"Result ID","Start Time ","Last Seen ","Duration ","Batch","Worker ID ","Worker Type ","MTurk Worker ID (Confirmation Code) ","State ","Message "
"5045","2021/05/29 15:21:45","2021/05/29 15:25:51","00:05:36","ARE_001","5041","General Multiple","none(none)","FINISHED","none"
"4549","2021/05/23 07:31:58","2021/05/23 07:36:01","00:05:38","ARE_001","4545","General Multiple","none(none)","FINISHED","none"
"4482","2021/05/19 19:08:01","2021/05/19 19:12:04","00:05:38","ARE_001","4478","General Multiple","none(none)","FINISHED","none"
"5022","2021/05/28 19:27:28","2021/05/28 19:31:31","00:05:44","ARE_001","5018","General Multiple","none(none)","FINISHED","none"
"4444","2021/05/17 08:47:52","2021/05/17 08:51:54","00:05:44","ARE_001","4437","General Multiple","none(none)","FINISHED","none"
"4903","2021/05/27 13:12:21","2021/05/27 13:16:25","00:05:46","ARE_001","4899","General Multiple","none(none)","FINISHED","none"
"5003","2021/05/28 13:14:38","2021/05/28 13:18:42","00:05:48","ARE_001","4999","General Multiple","none(none)","FINISHED","none"
"4622","2021/05/25 17:00:15","2021/05/25 17:04:18","00:05:49","ARE_001","4618","General Multiple","none(none)","FINISHED","none"
"5046","2021/05/29 15:27:29","2021/05/29 15:31:34","00:05:59","ARE_001","5042","General Multiple","none(none)","FINISHED","none"
"4463","2021/05/17 21:13:04","2021/05/17 21:17:08","00:05:59","ARE_001","4455","General Multiple","none(none)","FINISHED","none"
"4297","2021/05/09 07:50:59","2021/05/09 07:55:01","00:05:59","ARE_001","4290","General Multiple","none(none)","FINISHED","none"
"4471","2021/05/18 21:11:46","2021/05/18 21:15:52","00:06:02","ARE_001","4467","General Multiple","none(none)","FINISHED","none"
"4251","2021/05/07 19:44:24","2021/05/07 19:48:26","00:06:02","ARE_001","4244","General Multiple","none(none)","FINISHED","none"
"4242","2021/05/06 08:38:16","2021/05/06 08:44:20","00:06:03","ARE_001","4235","General Multiple","none(none)","FINISHED","none"
"4254","2021/05/07 20:33:45","2021/05/07 20:39:48","00:06:09","ARE_001","4247","General Multiple","none(none)","FINISHED","none"
"4500","2021/05/20 19:23:05","2021/05/20 19:29:09","00:06:10","ARE_001","4496","General Multiple","none(none)","FINISHED","none"
"4107","2021/05/05 19:31:38","2021/05/05 19:37:40","00:06:14","ARE_001","4100","General Multiple","none(none)","FINISHED","none"
"4324","2021/05/09 19:28:54","2021/05/09 19:34:57","00:06:15","ARE_001","4317","General Multiple","none(none)","FINISHED","none"
"4499","2021/05/20 18:57:08","2021/05/20 19:03:11","00:06:16","ARE_001","4495","General Multiple","none(none)","FINISHED","none"
"4250","2021/05/07 19:36:20","2021/05/07 19:42:23","00:06:17","ARE_001","4243","General Multiple","none(none)","FINISHED","none"
"4480","2021/05/19 19:01:36","2021/05/19 19:07:40","00:06:20","ARE_001","4476","General Multiple","none(none)","FINISHED","none"
"4684","2021/05/26 13:28:56","2021/05/26 13:35:00","00:06:27","ARE_001","4680","General Multiple","none(none)","FINISHED","none"
"4457","2021/05/17 18:58:00","2021/05/17 19:04:03","00:06:30","ARE_001","4449","General Multiple","none(none)","FINISHED","none"
"4304","2021/05/09 11:27:40","2021/05/09 11:33:44","00:06:30","ARE_001","4297","General Multiple","none(none)","FINISHED","none"
"4269","2021/05/08 11:45:48","2021/05/08 11:51:56","00:06:30","ARE_001","4262","General Multiple","none(none)","FINISHED","none"
"4470","2021/05/18 20:17:40","2021/05/18 20:23:43","00:06:31","ARE_001","4466","General Multiple","none(none)","FINISHED","none"
"4299","2021/05/09 08:19:44","2021/05/09 08:25:47","00:06:32","ARE_001","4292","General Multiple","none(none)","FINISHED","none"
"4325","2021/05/09 19:37:48","2021/05/09 19:43:54","00:06:35","ARE_001","4318","General Multiple","none(none)","FINISHED","none"
"4936","2021/05/27 20:37:55","2021/05/27 20:43:58","00:06:41","ARE_001","4932","General Multiple","none(none)","FINISHED","none"
"4103","2021/05/05 18:58:47","2021/05/05 19:04:50","00:06:41","ARE_001","4096","General Multiple","none(none)","FINISHED","none"
"5008","2021/05/28 13:34:26","2021/05/28 13:40:29","00:06:45","ARE_001","5004","General Multiple","none(none)","FINISHED","none"
"3952","2021/05/04 20:55:16","2021/05/04 21:01:19","00:06:49","ARE_001","3945","General Single","none(none)","FINISHED","none"
"4547","2021/05/22 19:40:49","2021/05/22 19:46:52","00:06:50","ARE_001","4543","General Multiple","none(none)","FINISHED","none"
"4935","2021/05/27 20:30:44","2021/05/27 20:36:47","00:07:05","ARE_001","4931","General Multiple","none(none)","FINISHED","none"
"4320","2021/05/09 12:22:32","2021/05/09 12:28:35","00:07:06","ARE_001","4313","General Multiple","none(none)","FINISHED","none"
"4484","2021/05/19 19:22:23","2021/05/19 19:28:26","00:07:11","ARE_001","4480","General Multiple","none(none)","FINISHED","none"
"4625","2021/05/25 17:56:11","2021/05/25 18:02:14","00:07:21","ARE_001","4621","General Multiple","none(none)","FINISHED","none"
"4567","2021/05/24 19:15:47","2021/05/24 19:21:55","00:07:52","ARE_001","4563","General Multiple","none(none)","FINISHED","none"
"4389","2021/05/12 09:13:41","2021/05/12 09:19:44","00:07:55","ARE_001","4382","General Multiple","none(none)","FINISHED","none"
"4104","2021/05/05 19:05:34","2021/05/05 19:13:36","00:08:24","ARE_001","4097","General Multiple","none(none)","FINISHED","none"
"3939","2021/05/04 13:31:32","2021/05/04 13:39:35","00:08:52","ARE_001","3932","General Multiple","none(none)","FINISHED","none"
"4430","2021/05/14 10:57:06","2021/05/14 11:05:10","00:08:56","ARE_001","4423","General Multiple","none(none)","FINISHED","none"
"4485","2021/05/19 19:49:09","2021/05/19 19:57:13","00:09:04","ARE_001","4481","General Multiple","none(none)","FINISHED","none"
"4937","2021/05/27 21:00:08","2021/05/27 21:08:11","00:09:41","ARE_001","4933","General Multiple","none(none)","FINISHED","none"
"3653","2021/05/02 21:06:59","2021/05/02 21:15:02","00:09:50","ARE_001","3646","General Multiple","none(none)","FINISHED","none"
"3644","2021/05/02 20:48:04","2021/05/02 20:58:09","00:11:20","ARE_001","3637","General Single","none(none)","FINISHED","none"
"4248","2021/05/07 19:07:15","2021/05/07 19:23:18","00:16:53","ARE_001","4241","General Multiple","none(none)","FINISHED","none"
"4445","2021/05/17 09:25:01","2021/05/17 10:07:09","00:43:26","ARE_001","4438","General Multiple","none(none)","FINISHED","none"
"4423","2021/05/13 19:57:03","2021/05/13 21:00:15","01:03:26","ARE_001","4416","General Multiple","none(none)","FINISHED","none"
"4339","2021/05/10 07:54:51","2021/05/10 09:21:18","01:26:47","ARE_001","4332","General Multiple","none(none)","FINISHED","none"
"4996","2021/05/28 11:16:47","2021/05/28 13:13:09","01:57:46","ARE_001","4992","General Multiple","none(none)","FINISHED","none"
"4688","2021/05/26 20:06:05","2021/05/27 05:40:25","09:35:19","ARE_001","4684","General Multiple","none(none)","FINISHED","none"
"4554","2021/05/23 11:40:02","2021/05/24 07:23:09","19:44:22","ARE_001","4550","General Multiple","none(none)","FINISHED","none"
