"LAB_SEED","List","Match","Orientation","PList","Probe","Target","Task","acc","accuracy","alt_task","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instruction_E","correct_Probe_Prac_response","correct_Probe_response","correct_Probe_sti_response","correct_Start_E","correct_Target_response","correct_Target_response_Prac","correct_Welcome_E","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_First_Fixation","count_First_Fixation_Prac","count_Instruction_DE","count_Instruction_E","count_Instruction_HUN","count_Instruction_NOB","count_Instruction_PL","count_Instruction_SC","count_Instruction_TC","count_LAB_SEED","count_Language_Selection","count_List_Select_DE","count_List_Select_E","count_List_Select_HUN","count_List_Select_NOB","count_List_Select_PL","count_List_Select_SC","count_List_Select_TC","count_List_Selection","count_Memory_loop","count_Memory_sequence","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Probe","count_Probe_Collect","count_Probe_Prac","count_Probe_Prac_response","count_Probe_import","count_Probe_response","count_Probe_sti","count_Probe_sti_correct","count_Probe_sti_response","count_Probe_sti_wrong","count_STUDY_order","count_Second_Fixation","count_Second_Fixation_Prac","count_Start_DE","count_Start_E","count_Start_HUN","count_Start_NOB","count_Start_PL","count_Start_SC","count_Start_TC","count_Target","count_Target_Prac","count_Target_response","count_Target_response_Prac","count_Target_response_correct","count_Target_response_correct_Prac","count_Target_response_noans","count_Target_response_noans_Prac","count_Target_response_wrong","count_Target_response_wrong_Prac","count_Trial_logger","count_Verification_Break","count_Verification_End","count_Verification_Exp","count_Verification_Prac","count_Verification_Start","count_Verification_Trial","count_Verification_Welcome","count_Verification_loop","count_Welcom_SC","count_Welcom_TC","count_Welcome_DE","count_Welcome_E","count_Welcome_HUN","count_Welcome_NOB","count_Welcome_PL","count_presetup","datetime","de","description","disable_garbage_collection","empty_column","en","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","hun","keyboard_backend","live_row","live_row_Prac","live_row_Prac_loop","live_row_Verification_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","pol","rectarget","repeat_cycle","reset_loop","response","response_Instruction_DE","response_Instruction_E","response_Instruction_HUN","response_Instruction_NOB","response_Instruction_PL","response_Instruction_SC","response_Instruction_TC","response_Probe_Prac_response","response_Probe_response","response_Probe_sti_response","response_Start_DE","response_Start_E","response_Start_HUN","response_Start_NOB","response_Start_PL","response_Start_SC","response_Start_TC","response_Target_response","response_Target_response_Prac","response_Verification_Break","response_Verification_End","response_Welcom_SC","response_Welcom_TC","response_Welcome_DE","response_Welcome_E","response_Welcome_HUN","response_Welcome_NOB","response_Welcome_PL","response_time","response_time_Instruction_DE","response_time_Instruction_E","response_time_Instruction_HUN","response_time_Instruction_NOB","response_time_Instruction_PL","response_time_Instruction_SC","response_time_Instruction_TC","response_time_Probe_Prac_response","response_time_Probe_response","response_time_Probe_sti_response","response_time_Start_DE","response_time_Start_E","response_time_Start_HUN","response_time_Start_NOB","response_time_Start_PL","response_time_Start_SC","response_time_Start_TC","response_time_Target_response","response_time_Target_response_Prac","response_time_Verification_Break","response_time_Verification_End","response_time_Welcom_SC","response_time_Welcom_TC","response_time_Welcome_DE","response_time_Welcome_E","response_time_Welcome_HUN","response_time_Welcome_NOB","response_time_Welcome_PL","round_decimals","sampler_backend","sc","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","task_order","tc","time_Check_This","time_Disable_Mouse","time_EXP","time_First_Fixation","time_First_Fixation_Prac","time_Instruction_DE","time_Instruction_E","time_Instruction_HUN","time_Instruction_NOB","time_Instruction_PL","time_Instruction_SC","time_Instruction_TC","time_LAB_SEED","time_Language_Selection","time_List_Select_DE","time_List_Select_E","time_List_Select_HUN","time_List_Select_NOB","time_List_Select_PL","time_List_Select_SC","time_List_Select_TC","time_List_Selection","time_Memory_loop","time_Memory_sequence","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Probe","time_Probe_Collect","time_Probe_Prac","time_Probe_Prac_response","time_Probe_import","time_Probe_response","time_Probe_sti","time_Probe_sti_correct","time_Probe_sti_response","time_Probe_sti_wrong","time_STUDY_order","time_Second_Fixation","time_Second_Fixation_Prac","time_Start_DE","time_Start_E","time_Start_HUN","time_Start_NOB","time_Start_PL","time_Start_SC","time_Start_TC","time_Target","time_Target_Prac","time_Target_response","time_Target_response_Prac","time_Target_response_correct","time_Target_response_correct_Prac","time_Target_response_noans","time_Target_response_noans_Prac","time_Target_response_wrong","time_Target_response_wrong_Prac","time_Trial_logger","time_Verification_Break","time_Verification_End","time_Verification_Exp","time_Verification_Prac","time_Verification_Start","time_Verification_Trial","time_Verification_Welcome","time_Verification_loop","time_Welcom_SC","time_Welcom_TC","time_Welcome_DE","time_Welcome_E","time_Welcome_HUN","time_Welcome_NOB","time_Welcome_PL","time_presetup","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"4257","ENG_LIST2.csv","Y","V","ENG_Prac2.csv","The young husband prepared to place the spare tire onto the wheel.","tireV.jpg","V","42.8571428571","42.8571428571","[7, 10, 15, 18, 21, 26, 31, 33, 37, 42, 45]","1633.85714286","1633.85714286","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","NA","undefined","0","1","undefined","6","j","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","0","5","0","5","0","0","0","0","0","5","5","NA","0","NA","NA","NA","NA","0","0","5","0","0","0","0","0","0","0","0","5","0","5","0","5","0","5","0","5","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10/09/19 13:18:22","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:\Users\Level1.PY-MC113A-05\Desktop\PSA\opensesame_3.2.8-py2.7-win32-1\opensesame_3.2.8-py2.7-win32-1\PSA","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","0","1","5","0","AUS_002_SP_SUBJ_65.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","None","NA","space","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","None","j","NA","NA","NA","NA","NA","space","NA","NA","NA","2000","NA","31561","NA","NA","NA","NA","NA","1566","701","NA","NA","12105","NA","NA","NA","NA","NA","2000","1215","NA","NA","NA","NA","NA","6164441","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","65","odd","Yes","no","NA","22683","9917","6264331","6247187","NA","6187179","NA","NA","NA","NA","NA","9922","21810","NA","22671","NA","NA","NA","NA","NA","22671","NA","NA","6218764","6251978","6218797","6247185","6218797","6218797","6218764","6265333","6265334","6248189","6248190","NA","6265334","NA","NA","NA","NA","NA","6266037","6249758","NA","6252018","NA","NA","NA","NA","NA","6266539","6250260","6266540","6250261","NA","6251478","6269043","NA","6268541","NA","6269544","NA","NA","6264134","6218764","6252016","6264329","22683","6264150","NA","NA","NA","22685","NA","NA","NA","6264134","Orientation_PSA2018","6","22874","14","yes","1024"
"4257","ENG_LIST2.csv","Y","V","ENG_Prac2.csv","Becca used the scissors to carve her initials into the wet concrete.","scssorV.jpg","V","43.75","43.75","[7, 10, 15, 18, 21, 26, 31, 33, 37, 42, 45]","1712.3125","1712.3125","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","NA","0","5","0","5","0","0","0","1","1","5","5","NA","1","NA","NA","NA","NA","0","1","5","0","0","0","0","0","0","0","1","5","1","5","1","5","1","5","1","5","1","NA","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","10/09/19 13:18:22","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:\Users\Level1.PY-MC113A-05\Desktop\PSA\opensesame_3.2.8-py2.7-win32-1\opensesame_3.2.8-py2.7-win32-1\PSA","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","1","1","5","1","AUS_002_SP_SUBJ_65.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","j","NA","space","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","j","j","NA","NA","NA","NA","NA","space","NA","NA","NA","950","NA","31561","NA","NA","NA","NA","NA","1566","3573","NA","NA","12105","NA","NA","NA","NA","NA","950","1215","NA","NA","NA","NA","NA","6164441","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","65","odd","Yes","no","NA","22683","9917","6269708","6247187","NA","6187179","NA","NA","NA","NA","NA","9922","21810","NA","22671","NA","NA","NA","NA","NA","22671","NA","NA","6218764","6251978","6218797","6247185","6218797","6218797","6218764","6270710","6270711","6248189","6248190","NA","6270711","NA","NA","NA","NA","NA","6274285","6249758","NA","6252018","NA","NA","NA","NA","NA","6274788","6250260","6274789","6250261","6275741","6251478","6269043","NA","6268541","NA","6276241","NA","NA","6264134","6218764","6252016","6269706","22683","6264150","NA","NA","NA","22685","NA","NA","NA","6264134","Orientation_PSA2018","7","27397","16","yes","1024"
"4257","ENG_LIST2.csv","F","F","ENG_Prac2.csv","Because the newborn cub was on display the zoo was more crowded than usual.","skirt.jpg","V","44.4444444444","44.4444444444","[7, 10, 15, 18, 21, 26, 31, 33, 37, 42, 45]","1696.38888889","1696.38888889","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","2","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","NA","0","5","0","5","0","0","0","2","2","5","5","NA","2","NA","NA","NA","NA","0","2","5","0","0","0","0","0","0","0","2","5","2","5","2","5","2","5","2","5","2","NA","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","10/09/19 13:18:22","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:\Users\Level1.PY-MC113A-05\Desktop\PSA\opensesame_3.2.8-py2.7-win32-1\opensesame_3.2.8-py2.7-win32-1\PSA","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","2","1","5","2","AUS_002_SP_SUBJ_65.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","f","NA","space","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","f","j","NA","NA","NA","NA","NA","space","NA","NA","NA","687","NA","31561","NA","NA","NA","NA","NA","1566","2451","NA","NA","12105","NA","NA","NA","NA","NA","687","1215","NA","NA","NA","NA","NA","6164441","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","65","odd","Yes","no","NA","22683","9917","6276381","6247187","NA","6187179","NA","NA","NA","NA","NA","9922","21810","NA","22671","NA","NA","NA","NA","NA","22671","NA","NA","6218764","6251978","6218797","6247185","6218797","6218797","6218764","6277383","6277384","6248189","6248190","NA","6277384","NA","NA","NA","NA","NA","6279837","6249758","NA","6252018","NA","NA","NA","NA","NA","6280339","6250260","6280340","6250261","6281029","6251478","6269043","NA","6268541","NA","6281529","NA","NA","6264134","6218764","6252016","6276379","22683","6264150","NA","NA","NA","22685","NA","NA","NA","6264134","Orientation_PSA2018","8","30535","18","yes","1024"
"4257","ENG_LIST2.csv","Y","V","ENG_Prac2.csv","The accountant stuck his pen into his pocket protector.","penV.jpg","V","45","45","[7, 10, 15, 18, 21, 26, 31, 33, 37, 42, 45]","1688","1688","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","NA","0","5","0","5","0","0","0","3","3","5","5","NA","3","NA","NA","NA","NA","0","3","5","0","0","0","0","0","0","0","3","5","3","5","3","5","3","5","3","5","3","NA","3","0","0","0","3","0","0","0","0","0","0","0","0","0","0","10/09/19 13:18:22","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:\Users\Level1.PY-MC113A-05\Desktop\PSA\opensesame_3.2.8-py2.7-win32-1\opensesame_3.2.8-py2.7-win32-1\PSA","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","3","1","5","3","AUS_002_SP_SUBJ_65.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","j","NA","space","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","j","j","NA","NA","NA","NA","NA","space","NA","NA","NA","831","NA","31561","NA","NA","NA","NA","NA","1566","2394","NA","NA","12105","NA","NA","NA","NA","NA","831","1215","NA","NA","NA","NA","NA","6164441","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","65","odd","Yes","no","NA","22683","9917","6281655","6247187","NA","6187179","NA","NA","NA","NA","NA","9922","21810","NA","22671","NA","NA","NA","NA","NA","22671","NA","NA","6218764","6251978","6218797","6247185","6218797","6218797","6218764","6282657","6282658","6248189","6248190","NA","6282658","NA","NA","NA","NA","NA","6285054","6249758","NA","6252018","NA","NA","NA","NA","NA","6285556","6250260","6285557","6250261","6286390","6251478","6269043","NA","6268541","NA","6286890","NA","NA","6264134","6218764","6252016","6281653","22683","6264150","NA","NA","NA","22685","NA","NA","NA","6264134","Orientation_PSA2018","9","33760","20","yes","1024"
"4257","ENG_LIST2.csv","Y","V","ENG_Prac2.csv","Jim prepared to insert the screw into the top of the cabinet.","screwV.jpg","V","45.4545454545","45.4545454545","[7, 10, 15, 18, 21, 26, 31, 33, 37, 42, 45]","1711.68181818","1711.68181818","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","4","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","NA","0","5","0","5","0","0","0","4","4","5","5","NA","4","NA","NA","NA","NA","0","4","5","0","0","0","0","0","0","0","4","5","4","5","4","5","4","5","4","5","4","NA","4","0","0","0","4","0","0","0","0","0","0","0","0","0","0","10/09/19 13:18:22","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:\Users\Level1.PY-MC113A-05\Desktop\PSA\opensesame_3.2.8-py2.7-win32-1\opensesame_3.2.8-py2.7-win32-1\PSA","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","4","1","5","4","AUS_002_SP_SUBJ_65.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","j","NA","space","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","j","j","NA","NA","NA","NA","NA","space","NA","NA","NA","774","NA","31561","NA","NA","NA","NA","NA","1566","3123","NA","NA","12105","NA","NA","NA","NA","NA","774","1215","NA","NA","NA","NA","NA","6164441","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","65","odd","Yes","no","NA","22683","9917","6287021","6247187","NA","6187179","NA","NA","NA","NA","NA","9922","21810","NA","22671","NA","NA","NA","NA","NA","22671","NA","NA","6218764","6251978","6218797","6247185","6218797","6218797","6218764","6288023","6288024","6248189","6248190","NA","6288024","NA","NA","NA","NA","NA","6291149","6249758","NA","6252018","NA","NA","NA","NA","NA","6291652","6250260","6291653","6250261","6292429","6251478","6269043","NA","6268541","NA","6292929","NA","NA","6264134","6218764","6252016","6287019","22683","6264150","NA","NA","NA","22685","NA","NA","NA","6264134","Orientation_PSA2018","10","37657","22","yes","1024"
"4257","ENG_LIST2.csv","F","F","ENG_Prac2.csv","The plumber noticed that the pipe had many leaks and needed replacement.","couch.jpg","V","45.8333333333","45.8333333333","[7, 10, 15, 18, 21, 26, 31, 33, 37, 42, 45]","1758.91666667","1758.91666667","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","NA","0","5","0","5","0","0","0","5","5","5","5","NA","5","NA","NA","NA","NA","0","5","5","0","0","0","0","0","0","0","5","5","5","5","5","5","5","5","5","5","5","NA","5","0","0","0","5","0","0","0","0","0","0","0","0","0","0","10/09/19 13:18:22","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:\Users\Level1.PY-MC113A-05\Desktop\PSA\opensesame_3.2.8-py2.7-win32-1\opensesame_3.2.8-py2.7-win32-1\PSA","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","5","1","5","5","AUS_002_SP_SUBJ_65.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","f","NA","space","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","f","j","NA","NA","NA","NA","NA","space","NA","NA","NA","584","NA","31561","NA","NA","NA","NA","NA","1566","3973","NA","NA","12105","NA","NA","NA","NA","NA","584","1215","NA","NA","NA","NA","NA","6164441","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","65","odd","Yes","no","NA","22683","9917","6293075","6247187","NA","6187179","NA","NA","NA","NA","NA","9922","21810","NA","22671","NA","NA","NA","NA","NA","22671","NA","NA","6218764","6251978","6218797","6247185","6218797","6218797","6218764","6294077","6294078","6248189","6248190","NA","6294078","NA","NA","NA","NA","NA","6298053","6249758","NA","6252018","NA","NA","NA","NA","NA","6298555","6250260","6298555","6250261","6299141","6251478","6269043","NA","6268541","NA","6299641","NA","NA","6264134","6218764","6252016","6293073","22683","6264150","NA","NA","NA","22685","NA","NA","NA","6264134","Orientation_PSA2018","11","42214","24","yes","1024"
"4257","ENG_LIST2.csv","N","H","ENG_Prac2.csv","Janie grabbed the broom and rode it around the house, pretending it was her horse.","broomV.jpg","V","46.1538461538","46.1538461538","[7, 10, 15, 18, 21, 26, 31, 33, 37, 42, 45]","1739.61538462","1739.61538462","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","6","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","NA","0","5","0","5","0","0","0","6","6","5","5","NA","6","NA","NA","NA","NA","0","6","5","0","0","0","0","0","0","0","6","5","6","5","6","5","6","5","6","5","6","NA","6","0","0","0","6","0","0","0","0","0","0","0","0","0","0","10/09/19 13:18:22","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:\Users\Level1.PY-MC113A-05\Desktop\PSA\opensesame_3.2.8-py2.7-win32-1\opensesame_3.2.8-py2.7-win32-1\PSA","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","6","1","5","6","AUS_002_SP_SUBJ_65.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","j","NA","space","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","j","j","NA","NA","NA","NA","NA","space","NA","NA","NA","791","NA","31561","NA","NA","NA","NA","NA","1566","2225","NA","NA","12105","NA","NA","NA","NA","NA","791","1215","NA","NA","NA","NA","NA","6164441","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","65","odd","Yes","no","NA","22683","9917","6299800","6247187","NA","6187179","NA","NA","NA","NA","NA","9922","21810","NA","22671","NA","NA","NA","NA","NA","22671","NA","NA","6218764","6251978","6218797","6247185","6218797","6218797","6218764","6300802","6300803","6248189","6248190","NA","6300803","NA","NA","NA","NA","NA","6303030","6249758","NA","6252018","NA","NA","NA","NA","NA","6303532","6250260","6303533","6250261","6304326","6251478","6269043","NA","6268541","NA","6304826","NA","NA","6264134","6218764","6252016","6299798","22683","6264150","NA","NA","NA","22685","NA","NA","NA","6264134","Orientation_PSA2018","12","45230","26","yes","1024"
"4257","ENG_LIST2.csv","N","V","ENG_Prac2.csv","Frank placed the iron onto the shelf, hoping he wouldn't be late.","ironH.jpg","V","46.4285714286","46.4285714286","[7, 10, 15, 18, 21, 26, 31, 33, 37, 42, 45]","1663.60714286","1663.60714286","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","7","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","NA","0","5","0","5","0","0","0","7","7","5","5","NA","7","NA","NA","NA","NA","0","7","5","0","0","0","0","0","0","0","7","5","7","5","7","5","7","5","7","5","7","NA","7","0","0","0","7","0","0","0","0","0","0","0","0","0","0","10/09/19 13:18:22","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:\Users\Level1.PY-MC113A-05\Desktop\PSA\opensesame_3.2.8-py2.7-win32-1\opensesame_3.2.8-py2.7-win32-1\PSA","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","7","1","5","7","AUS_002_SP_SUBJ_65.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","j","NA","space","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","j","j","NA","NA","NA","NA","NA","space","NA","NA","NA","1158","NA","31561","NA","NA","NA","NA","NA","1566","193","NA","NA","12105","NA","NA","NA","NA","NA","1158","1215","NA","NA","NA","NA","NA","6164441","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","65","odd","Yes","no","NA","22683","9917","6305000","6247187","NA","6187179","NA","NA","NA","NA","NA","9922","21810","NA","22671","NA","NA","NA","NA","NA","22671","NA","NA","6218764","6251978","6218797","6247185","6218797","6218797","6218764","6306002","6306003","6248189","6248190","NA","6306003","NA","NA","NA","NA","NA","6306198","6249758","NA","6252018","NA","NA","NA","NA","NA","6306700","6250260","6306701","6250261","6307861","6251478","6269043","NA","6268541","NA","6308362","NA","NA","6264134","6218764","6252016","6304998","22683","6264150","NA","NA","NA","22685","NA","NA","NA","6264134","Orientation_PSA2018","13","46581","28","yes","1024"
"4257","ENG_LIST2.csv","N","V","ENG_Prac2.csv","Frank placed the iron onto the shelf, hoping he wouldn't be late.","ironH.jpg","M","44.8275862069","44.8275862069","[7, 10, 15, 18, 21, 26, 31, 33, 37, 42, 45]","1751.72413793","1751.72413793","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","0","undefined","1","1","undefined","6","j","0","0","0","7","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","5","0","5","0","0","0","7","7","5","5","0","7","0","0","0","0","0","7","5","0","0","0","0","0","0","0","7","5","7","5","7","5","7","5","7","5","8","NA","7","0","0","0","7","0","0","0","0","0","0","0","0","0","0","10/09/19 13:18:22","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:\Users\Level1.PY-MC113A-05\Desktop\PSA\opensesame_3.2.8-py2.7-win32-1\opensesame_3.2.8-py2.7-win32-1\PSA","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","0","1","5","7","AUS_002_SP_SUBJ_65.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","Frank placed the iron onto the shelf, hoping he wouldn't be late.","0","0","f","NA","space","NA","NA","NA","NA","NA","space","space","f","NA","space","NA","NA","NA","NA","NA","j","j","NA","NA","NA","NA","NA","space","NA","NA","NA","4219","NA","31561","NA","NA","NA","NA","NA","1566","193","4219","NA","12105","NA","NA","NA","NA","NA","1158","1215","NA","NA","NA","NA","NA","6164441","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","65","odd","Yes","no","NA","22683","9917","6305000","6247187","NA","6187179","NA","NA","NA","NA","NA","9922","21810","NA","22671","NA","NA","NA","NA","NA","22671","6308371","6308446","6218764","6251978","6218797","6247185","6218797","6218797","6218764","6306002","6306003","6248189","6248190","6308446","6306003","6308448","NA","6308448","6312669","NA","6306198","6249758","NA","6252018","NA","NA","NA","NA","NA","6306700","6250260","6306701","6250261","6307861","6251478","6269043","NA","6268541","NA","6314169","NA","NA","6264134","6218764","6252016","6304998","22683","6264150","NA","NA","NA","22685","NA","NA","NA","6264134","Orientation_PSA2018","13","50800","29","yes","1024"
"4257","ENG_LIST2.csv","Y","H","ENG_Prac2.csv","The teenager placed her brush in the bottom of her bag, looking forward to the party.","brushH.jpg","V","45.1612903226","45.1612903226","[7, 10, 15, 18, 21, 26, 31, 33, 37, 42, 45]","1756.09677419","1756.09677419","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","0","undefined","1","1","undefined","6","j","0","0","0","8","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","5","0","5","0","0","0","8","8","5","5","0","8","0","0","0","0","0","8","5","0","0","0","0","0","0","0","8","5","8","5","8","5","8","5","8","5","9","NA","8","0","0","0","8","0","0","0","0","0","0","0","0","0","0","10/09/19 13:18:22","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:\Users\Level1.PY-MC113A-05\Desktop\PSA\opensesame_3.2.8-py2.7-win32-1\opensesame_3.2.8-py2.7-win32-1\PSA","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","8","1","5","8","AUS_002_SP_SUBJ_65.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","Frank placed the iron onto the shelf, hoping he wouldn't be late.","0","0","j","NA","space","NA","NA","NA","NA","NA","space","space","f","NA","space","NA","NA","NA","NA","NA","j","j","NA","NA","NA","NA","NA","space","NA","NA","NA","969","NA","31561","NA","NA","NA","NA","NA","1566","2670","4219","NA","12105","NA","NA","NA","NA","NA","969","1215","NA","NA","NA","NA","NA","6164441","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","65","odd","Yes","no","NA","22683","9917","6314330","6247187","NA","6187179","NA","NA","NA","NA","NA","9922","21810","NA","22671","NA","NA","NA","NA","NA","22671","6308371","6308446","6218764","6251978","6218797","6247185","6218797","6218797","6218764","6315332","6315333","6248189","6248190","6308446","6315333","6308448","NA","6308448","6312669","NA","6318005","6249758","NA","6252018","NA","NA","NA","NA","NA","6318507","6250260","6318507","6250261","6319478","6251478","6269043","NA","6268541","NA","6319978","NA","NA","6264134","6218764","6252016","6314328","22683","6264150","NA","NA","NA","22685","NA","NA","NA","6264134","Orientation_PSA2018","14","54439","31","yes","1024"
