Result ID,Start Time ,Last Seen ,Duration ,Worker ID ,Worker Type ,MTurk Worker ID (Confirmation Code) ,State ,Message ,Batch
1003,2021/03/20 06:23:13,2021/03/20 06:31:18,00:09:12,1009,General Single,none(none),FINISHED,none,AUS_091
1071,2021/03/21 01:20:34,2021/03/21 01:28:38,00:09:14,1077,General Single,none(none),FINISHED,none,AUS_091
1014,2021/03/20 07:08:38,2021/03/20 07:16:45,00:09:22,1020,General Single,none(none),FINISHED,none,AUS_091
1023,2021/03/20 10:15:06,2021/03/20 10:23:11,00:10:03,1029,General Single,none(none),FINISHED,none,AUS_091
1103,2021/03/22 00:09:23,2021/03/22 00:19:29,00:10:20,1109,General Single,none(none),FINISHED,none,AUS_091
1001,2021/03/20 06:17:28,2021/03/20 06:27:34,00:10:33,1007,General Single,none(none),FINISHED,none,AUS_091
1082,2021/03/21 02:46:38,2021/03/21 02:56:52,00:10:39,1088,General Single,none(none),FINISHED,none,AUS_091
1026,2021/03/20 11:51:48,2021/03/20 12:01:52,00:10:47,1032,General Single,none(none),FINISHED,none,AUS_091
1050,2021/03/20 23:03:10,2021/03/20 23:13:16,00:11:06,1056,General Single,none(none),FINISHED,none,AUS_091
1039,2021/03/20 19:59:58,2021/03/20 20:10:05,00:11:08,1045,General Single,none(none),FINISHED,none,AUS_091
1013,2021/03/20 07:06:39,2021/03/20 07:16:45,00:11:19,1019,General Single,none(none),FINISHED,none,AUS_091
997,2021/03/20 05:57:19,2021/03/20 06:07:26,00:11:40,1003,General Single,none(none),FINISHED,none,AUS_091
1086,2021/03/21 04:35:27,2021/03/21 04:45:32,00:11:43,1092,General Single,none(none),FINISHED,none,AUS_091
1006,2021/03/20 06:36:25,2021/03/20 06:46:32,00:11:47,1012,General Single,none(none),FINISHED,none,AUS_091
1131,2021/03/22 23:54:24,2021/03/23 00:04:30,00:11:47,1137,General Single,none(none),FINISHED,none,AUS_091
1021,2021/03/20 09:43:47,2021/03/20 09:53:52,00:11:55,1027,General Single,none(none),FINISHED,none,AUS_091
1049,2021/03/20 22:58:06,2021/03/20 23:08:13,00:12:04,1055,General Single,none(none),FINISHED,none,AUS_091
1076,2021/03/21 01:40:29,2021/03/21 01:52:40,00:12:24,1082,General Single,none(none),FINISHED,none,AUS_091
1000,2021/03/20 06:12:15,2021/03/20 06:24:22,00:12:32,1006,General Single,none(none),FINISHED,none,AUS_091
1133,2021/03/23 00:56:45,2021/03/23 01:08:51,00:13:03,1139,General Single,none(none),FINISHED,none,AUS_091
1053,2021/03/20 23:46:31,2021/03/20 23:58:40,00:13:08,1059,General Single,none(none),FINISHED,none,AUS_091
1079,2021/03/21 02:01:10,2021/03/21 02:13:17,00:13:08,1085,General Single,none(none),FINISHED,none,AUS_091
1054,2021/03/20 23:56:15,2021/03/21 00:08:20,00:13:19,1060,General Single,none(none),FINISHED,none,AUS_091
1064,2021/03/21 00:36:24,2021/03/21 00:48:30,00:13:27,1070,General Single,none(none),FINISHED,none,AUS_091
1044,2021/03/20 22:02:21,2021/03/20 22:14:31,00:13:32,1050,General Single,none(none),FINISHED,none,AUS_091
1106,2021/03/22 06:25:32,2021/03/22 06:37:38,00:13:34,1112,General Single,none(none),FINISHED,none,AUS_091
1012,2021/03/20 07:02:55,2021/03/20 07:15:01,00:13:48,1018,General Single,none(none),FINISHED,none,AUS_091
1058,2021/03/21 00:25:00,2021/03/21 00:37:06,00:14:04,1064,General Single,none(none),FINISHED,none,AUS_091
1032,2021/03/20 14:29:40,2021/03/20 14:43:47,00:14:18,1038,General Single,none(none),FINISHED,none,AUS_091
1075,2021/03/21 01:29:12,2021/03/21 01:43:21,00:15:01,1081,General Single,none(none),FINISHED,none,AUS_091
1015,2021/03/20 07:32:34,2021/03/20 07:46:43,00:15:18,1021,General Multiple,none(none),FINISHED,none,AUS_091
1065,2021/03/21 00:37:25,2021/03/21 00:51:32,00:15:27,1071,General Single,none(none),FINISHED,none,AUS_091
1045,2021/03/20 22:34:14,2021/03/20 22:48:21,00:15:33,1051,General Single,none(none),FINISHED,none,AUS_091
1033,2021/03/20 15:05:57,2021/03/20 15:20:04,00:15:39,1039,General Single,none(none),FINISHED,none,AUS_091
1037,2021/03/20 17:58:56,2021/03/20 18:15:03,00:16:32,1043,General Single,none(none),FINISHED,none,AUS_091
1072,2021/03/21 01:24:18,2021/03/21 01:40:24,00:16:37,1078,General Single,none(none),FINISHED,none,AUS_091
1025,2021/03/20 10:31:05,2021/03/20 10:47:11,00:16:43,1031,General Single,none(none),FINISHED,none,AUS_091
1073,2021/03/21 01:27:20,2021/03/21 01:47:30,00:21:24,1079,General Single,none(none),FINISHED,none,AUS_091
1067,2021/03/21 01:01:02,2021/03/21 01:23:10,00:22:35,1073,General Single,none(none),FINISHED,none,AUS_091
