"Result ID","Start Time ","Last Seen ","Duration ","Batch","Worker ID ","Worker Type ","MTurk Worker ID (Confirmation Code) ","State ","Message "
"5383","2021/06/16 01:19:17","2021/06/16 01:33:23","00:14:40","BRA_003","5381","General Single","none(none)","FINISHED","none"
"5375","2021/06/14 16:11:21","2021/06/14 16:23:26","00:12:21","BRA_003","5373","General Single","none(none)","FINISHED","none"
"5374","2021/06/14 13:01:42","2021/06/14 13:11:51","00:14:53","BRA_003","5372","General Single","none(none)","FINISHED","none"
"5366","2021/06/11 16:33:10","2021/06/11 16:47:24","00:15:22","BRA_003","5364","General Single","none(none)","FINISHED","none"
"5356","2021/06/10 23:57:27","2021/06/11 00:09:56","00:13:17","BRA_003","5354","General Single","none(none)","FINISHED","none"
"5341","2021/06/10 11:47:22","2021/06/10 11:57:24","00:11:31","BRA_003","5339","General Single","none(none)","FINISHED","none"
"5336","2021/06/10 02:23:56","2021/06/10 02:42:02","00:19:25","BRA_003","5334","General Single","none(none)","FINISHED","none"
"5325","2021/06/09 12:19:54","2021/06/09 12:30:01","00:11:16","BRA_003","5323","General Multiple","none(none)","FINISHED","none"
"5323","2021/06/09 12:06:53","2021/06/09 12:16:57","00:11:19","BRA_003","5321","General Single","none(none)","FINISHED","none"
"5314","2021/06/08 21:12:09","2021/06/08 21:24:16","00:13:33","BRA_003","5311","General Single","none(none)","FINISHED","none"
"5299","2021/06/07 19:48:11","2021/06/07 20:04:16","00:17:42","BRA_003","5295","General Multiple","none(none)","FINISHED","none"
"5279","2021/06/05 15:38:12","2021/06/05 15:50:16","00:12:41","BRA_003","5275","General Multiple","none(none)","FINISHED","none"
"5272","2021/06/05 14:47:41","2021/06/05 14:57:46","00:11:23","BRA_003","5268","General Multiple","none(none)","FINISHED","none"
"5252","2021/06/04 20:14:21","2021/06/04 20:32:28","00:18:26","BRA_003","5248","General Single","none(none)","FINISHED","none"
"5250","2021/06/04 11:41:39","2021/06/04 11:59:51","00:19:36","BRA_003","5246","General Single","none(none)","FINISHED","none"
"5237","2021/06/04 02:54:46","2021/06/04 03:02:49","00:08:26","BRA_003","5233","General Single","none(none)","FINISHED","none"
"5232","2021/06/03 20:08:49","2021/06/03 20:34:57","00:26:54","BRA_003","5228","General Single","none(none)","FINISHED","none"
