Identical,LAB_SEED,Orientation1,Orientation2,PPList,Picture1,Picture2,acc,accuracy,average_response_time,avg_rt,background,bidi,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_Pictures_response,correct_Start_E,correct_Target_response_Prac,correct_Welcome_PP_E,correct_count,correct_response,count_Check_This,count_Disable_Mouse,count_EXP,count_LAB_SEED,count_Language_Selection,count_List_Select,count_List_Selection,count_Pictures_Break,count_Pictures_End,count_Pictures_Exp,count_Pictures_Fixation,count_Pictures_Fixation_Prac,count_Pictures_Prac,count_Pictures_Start,count_Pictures_Target,count_Pictures_Trial,count_Pictures_Welcome,count_Pictures_loop,count_Pictures_response,count_Pictures_response_correct,count_Pictures_response_noans,count_Pictures_response_wrong,count_Prac,count_Prac_Count,count_Prac_Reset,count_Prac_Trial,count_Prac_loop,count_Prac_seq,count_Prac_setup,count_Start_DE,count_Start_E,count_Start_HUN,count_Start_NOR,count_Start_PL,count_Start_SC,count_Start_TC,count_Start_THAI,count_Target_Prac,count_Target_response_Prac,count_Target_response_correct_Prac,count_Target_response_noans_Prac,count_Target_response_wrong_Prac,count_Trial_logger,count_Welcome_PP_DE,count_Welcome_PP_E,count_Welcome_PP_HUN,count_Welcome_PP_NOR,count_Welcome_PP_PL,count_Welcome_PP_SC,count_Welcome_PP_TC,count_Welcome_PP_THAI,datetime,de,description,disable_garbage_collection,empty_column,en,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,form_response,fullscreen,height,hun,keyboard_backend,live_row,live_row_Pictures_loop,live_row_Prac,live_row_Prac_loop,logfile,mouse_backend,nor,opensesame_codename,opensesame_version,osf_always_upload_experiment,osf_id,pol,repeat_cycle,reset_loop,response,response_Pictures_Break,response_Pictures_End,response_Pictures_response,response_Start_DE,response_Start_E,response_Start_HUN,response_Start_NOR,response_Start_PL,response_Start_SC,response_Start_TC,response_Start_THAI,response_Target_response_Prac,response_Welcome_PP_DE,response_Welcome_PP_E,response_Welcome_PP_HUN,response_Welcome_PP_NOR,response_Welcome_PP_PL,response_Welcome_PP_SC,response_Welcome_PP_TC,response_Welcome_PP_THAI,response_time,response_time_Pictures_Break,response_time_Pictures_End,response_time_Pictures_response,response_time_Start_DE,response_time_Start_E,response_time_Start_HUN,response_time_Start_NOR,response_time_Start_PL,response_time_Start_SC,response_time_Start_TC,response_time_Start_THAI,response_time_Target_response_Prac,response_time_Welcome_PP_DE,response_time_Welcome_PP_E,response_time_Welcome_PP_HUN,response_time_Welcome_PP_NOR,response_time_Welcome_PP_PL,response_time_Welcome_PP_SC,response_time_Welcome_PP_TC,response_time_Welcome_PP_THAI,round_decimals,sampler_backend,sc,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,tc,thai,time_Check_This,time_Disable_Mouse,time_EXP,time_LAB_SEED,time_Language_Selection,time_List_Select,time_List_Selection,time_Pictures_Break,time_Pictures_End,time_Pictures_Exp,time_Pictures_Fixation,time_Pictures_Fixation_Prac,time_Pictures_Prac,time_Pictures_Start,time_Pictures_Target,time_Pictures_Trial,time_Pictures_Welcome,time_Pictures_loop,time_Pictures_response,time_Pictures_response_correct,time_Pictures_response_noans,time_Pictures_response_wrong,time_Prac,time_Prac_Count,time_Prac_Reset,time_Prac_Trial,time_Prac_loop,time_Prac_seq,time_Prac_setup,time_Start_DE,time_Start_E,time_Start_HUN,time_Start_NOR,time_Start_PL,time_Start_SC,time_Start_TC,time_Start_THAI,time_Target_Prac,time_Target_response_Prac,time_Target_response_correct_Prac,time_Target_response_noans_Prac,time_Target_response_wrong_Prac,time_Trial_logger,time_Welcome_PP_DE,time_Welcome_PP_E,time_Welcome_PP_HUN,time_Welcome_PP_NOR,time_Welcome_PP_PL,time_Welcome_PP_SC,time_Welcome_PP_TC,time_Welcome_PP_THAI,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
Y,6205,H,H,PP_LIST4.csv,clothespinH.jpg,clothespinH.jpg,100,100,845.5714286,845.5714286,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,j,0,0,0,0,0,0,0,NA,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,0,0,0,0,0,0,0,0,0,2011-07-19 15:33,no,Matching Tasks,yes,,yes,Task A.2_PP.osexp,C:\Users\Marina\Desktop\PSA002-003\Task A,no,chinese-japanese-korean,no,18,no,#0000ff,no,English,yes,768,no,legacy,0,0,1,5,C:/Users/Marina/Desktop/PSA002-003/Task A/PP Data/CAN020_PP_.csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,no,0,0,j,NA,NA,j,NA,space,NA,NA,NA,NA,NA,NA,f,NA,space,NA,NA,NA,NA,NA,NA,671,NA,NA,671,NA,2801,NA,NA,NA,NA,NA,NA,672,NA,20731,NA,NA,NA,NA,NA,NA,2,legacy,no,1024,2,48000,-16,EXP,29,odd,no,no,NA,10640,5467,5469,9347,10610,10609,NA,NA,47119,47510,42510,31405,44284,48017,47506,10641,47119,48017,48693,NA,NA,31405,44193,31473,42506,31473,31472,31405,NA,44288,NA,NA,NA,NA,NA,NA,43016,43016,43693,NA,NA,49193,NA,10645,NA,NA,NA,NA,NA,NA,Orientation_PSA2018,7,5919,7,yes,1024
Y,6205,H,H,PP_LIST4.csv,caterpillarH.jpg,caterpillarH.jpg,100,100,809.125,809.125,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,j,0,0,0,0,0,0,0,NA,1,0,1,5,0,0,1,1,0,0,1,1,1,1,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,1,0,0,0,0,0,0,0,0,2011-07-19 15:33,no,Matching Tasks,yes,,yes,Task A.2_PP.osexp,C:\Users\Marina\Desktop\PSA002-003\Task A,no,chinese-japanese-korean,no,18,no,#0000ff,no,English,yes,768,no,legacy,1,1,1,5,C:/Users/Marina/Desktop/PSA002-003/Task A/PP Data/CAN020_PP_.csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,no,0,0,j,NA,NA,j,NA,space,NA,NA,NA,NA,NA,NA,f,NA,space,NA,NA,NA,NA,NA,NA,554,NA,NA,554,NA,2801,NA,NA,NA,NA,NA,NA,672,NA,20731,NA,NA,NA,NA,NA,NA,2,legacy,no,1024,2,48000,-16,EXP,29,odd,no,no,NA,10640,5467,5469,9347,10610,10609,NA,NA,47119,49660,42510,31405,44284,50165,49656,10641,47119,50166,50725,NA,NA,31405,44193,31473,42506,31473,31472,31405,NA,44288,NA,NA,NA,NA,NA,NA,43016,43016,43693,NA,NA,51225,NA,10645,NA,NA,NA,NA,NA,NA,Orientation_PSA2018,8,6473,8,yes,1024
N,6205,H,V,PP_LIST4.csv,screwH.jpg,screwV.jpg,100,100,819,819,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,j,0,0,0,0,0,0,0,NA,2,0,2,5,0,0,2,2,0,0,2,2,2,2,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,2,0,0,0,0,0,0,0,0,2011-07-19 15:33,no,Matching Tasks,yes,,yes,Task A.2_PP.osexp,C:\Users\Marina\Desktop\PSA002-003\Task A,no,chinese-japanese-korean,no,18,no,#0000ff,no,English,yes,768,no,legacy,2,2,1,5,C:/Users/Marina/Desktop/PSA002-003/Task A/PP Data/CAN020_PP_.csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,no,0,0,j,NA,NA,j,NA,space,NA,NA,NA,NA,NA,NA,f,NA,space,NA,NA,NA,NA,NA,NA,898,NA,NA,898,NA,2801,NA,NA,NA,NA,NA,NA,672,NA,20731,NA,NA,NA,NA,NA,NA,2,legacy,no,1024,2,48000,-16,EXP,29,odd,no,no,NA,10640,5467,5469,9347,10610,10609,NA,NA,47119,51564,42510,31405,44284,52070,51560,10641,47119,52071,52974,NA,NA,31405,44193,31473,42506,31473,31472,31405,NA,44288,NA,NA,NA,NA,NA,NA,43016,43016,43693,NA,NA,53474,NA,10645,NA,NA,NA,NA,NA,NA,Orientation_PSA2018,9,7371,9,yes,1024
Y,6205,H,H,PP_LIST4.csv,flashH.jpg,flashH.jpg,100,100,817.2,817.2,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,j,0,0,0,0,0,0,0,NA,3,0,3,5,0,0,3,3,0,0,3,3,3,3,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,3,0,0,0,0,0,0,0,0,2011-07-19 15:33,no,Matching Tasks,yes,,yes,Task A.2_PP.osexp,C:\Users\Marina\Desktop\PSA002-003\Task A,no,chinese-japanese-korean,no,18,no,#0000ff,no,English,yes,768,no,legacy,3,3,1,5,C:/Users/Marina/Desktop/PSA002-003/Task A/PP Data/CAN020_PP_.csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,no,0,0,j,NA,NA,j,NA,space,NA,NA,NA,NA,NA,NA,f,NA,space,NA,NA,NA,NA,NA,NA,801,NA,NA,801,NA,2801,NA,NA,NA,NA,NA,NA,672,NA,20731,NA,NA,NA,NA,NA,NA,2,legacy,no,1024,2,48000,-16,EXP,29,odd,no,no,NA,10640,5467,5469,9347,10610,10609,NA,NA,47119,53853,42510,31405,44284,54360,53849,10641,47119,54360,55165,NA,NA,31405,44193,31473,42506,31473,31472,31405,NA,44288,NA,NA,NA,NA,NA,NA,43016,43016,43693,NA,NA,55666,NA,10645,NA,NA,NA,NA,NA,NA,Orientation_PSA2018,10,8172,10,yes,1024
N,6205,H,V,PP_LIST4.csv,scssorH.jpg,scssorV.jpg,100,100,799.1818182,799.1818182,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,j,0,0,0,0,0,0,0,NA,4,0,4,5,0,0,4,4,0,0,4,4,4,4,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,4,0,0,0,0,0,0,0,0,2011-07-19 15:33,no,Matching Tasks,yes,,yes,Task A.2_PP.osexp,C:\Users\Marina\Desktop\PSA002-003\Task A,no,chinese-japanese-korean,no,18,no,#0000ff,no,English,yes,768,no,legacy,4,4,1,5,C:/Users/Marina/Desktop/PSA002-003/Task A/PP Data/CAN020_PP_.csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,no,0,0,j,NA,NA,j,NA,space,NA,NA,NA,NA,NA,NA,f,NA,space,NA,NA,NA,NA,NA,NA,619,NA,NA,619,NA,2801,NA,NA,NA,NA,NA,NA,672,NA,20731,NA,NA,NA,NA,NA,NA,2,legacy,no,1024,2,48000,-16,EXP,29,odd,no,no,NA,10640,5467,5469,9347,10610,10609,NA,NA,47119,56019,42510,31405,44284,56524,56015,10641,47119,56525,57150,NA,NA,31405,44193,31473,42506,31473,31472,31405,NA,44288,NA,NA,NA,NA,NA,NA,43016,43016,43693,NA,NA,57650,NA,10645,NA,NA,NA,NA,NA,NA,Orientation_PSA2018,11,8791,11,yes,1024
Y,6205,V,V,PP_LIST4.csv,pencilV.jpg,pencilV.jpg,100,100,790.1666667,790.1666667,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,j,0,0,0,0,0,0,0,NA,5,0,5,5,0,0,5,5,0,0,5,5,5,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,0,0,0,0,0,0,0,0,2011-07-19 15:33,no,Matching Tasks,yes,,yes,Task A.2_PP.osexp,C:\Users\Marina\Desktop\PSA002-003\Task A,no,chinese-japanese-korean,no,18,no,#0000ff,no,English,yes,768,no,legacy,5,5,1,5,C:/Users/Marina/Desktop/PSA002-003/Task A/PP Data/CAN020_PP_.csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,no,0,0,j,NA,NA,j,NA,space,NA,NA,NA,NA,NA,NA,f,NA,space,NA,NA,NA,NA,NA,NA,691,NA,NA,691,NA,2801,NA,NA,NA,NA,NA,NA,672,NA,20731,NA,NA,NA,NA,NA,NA,2,legacy,no,1024,2,48000,-16,EXP,29,odd,no,no,NA,10640,5467,5469,9347,10610,10609,NA,NA,47119,57995,42510,31405,44284,58500,57991,10641,47119,58501,59197,NA,NA,31405,44193,31473,42506,31473,31472,31405,NA,44288,NA,NA,NA,NA,NA,NA,43016,43016,43693,NA,NA,59697,NA,10645,NA,NA,NA,NA,NA,NA,Orientation_PSA2018,12,9482,12,yes,1024
F,6205,F,F,PP_LIST4.csv,sutcse.jpg,pumpkin.jpg,100,100,785.9230769,785.9230769,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,f,0,0,0,0,0,0,0,NA,6,0,6,5,0,0,6,6,0,0,6,6,6,6,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,6,0,0,0,0,0,0,0,0,2011-07-19 15:33,no,Matching Tasks,yes,,yes,Task A.2_PP.osexp,C:\Users\Marina\Desktop\PSA002-003\Task A,no,chinese-japanese-korean,no,18,no,#0000ff,no,English,yes,768,no,legacy,6,6,1,5,C:/Users/Marina/Desktop/PSA002-003/Task A/PP Data/CAN020_PP_.csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,no,0,0,f,NA,NA,f,NA,space,NA,NA,NA,NA,NA,NA,f,NA,space,NA,NA,NA,NA,NA,NA,735,NA,NA,735,NA,2801,NA,NA,NA,NA,NA,NA,672,NA,20731,NA,NA,NA,NA,NA,NA,2,legacy,no,1024,2,48000,-16,EXP,29,odd,no,no,NA,10640,5467,5469,9347,10610,10609,NA,NA,47119,60064,42510,31405,44284,60569,60060,10641,47119,60570,61310,NA,NA,31405,44193,31473,42506,31473,31472,31405,NA,44288,NA,NA,NA,NA,NA,NA,43016,43016,43693,NA,NA,61810,NA,10645,NA,NA,NA,NA,NA,NA,Orientation_PSA2018,13,10217,13,yes,1024
F,6205,F,F,PP_LIST4.csv,spider.jpg,couch.jpg,100,100,780.7142857,780.7142857,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,f,0,0,0,0,0,0,0,NA,7,0,7,5,0,0,7,7,0,0,7,7,7,7,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,7,0,0,0,0,0,0,0,0,2011-07-19 15:33,no,Matching Tasks,yes,,yes,Task A.2_PP.osexp,C:\Users\Marina\Desktop\PSA002-003\Task A,no,chinese-japanese-korean,no,18,no,#0000ff,no,English,yes,768,no,legacy,7,7,1,5,C:/Users/Marina/Desktop/PSA002-003/Task A/PP Data/CAN020_PP_.csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,no,0,0,f,NA,NA,f,NA,space,NA,NA,NA,NA,NA,NA,f,NA,space,NA,NA,NA,NA,NA,NA,713,NA,NA,713,NA,2801,NA,NA,NA,NA,NA,NA,672,NA,20731,NA,NA,NA,NA,NA,NA,2,legacy,no,1024,2,48000,-16,EXP,29,odd,no,no,NA,10640,5467,5469,9347,10610,10609,NA,NA,47119,62158,42510,31405,44284,62663,62154,10641,47119,62664,63381,NA,NA,31405,44193,31473,42506,31473,31472,31405,NA,44288,NA,NA,NA,NA,NA,NA,43016,43016,43693,NA,NA,63882,NA,10645,NA,NA,NA,NA,NA,NA,Orientation_PSA2018,14,10930,14,yes,1024
Y,6205,V,V,PP_LIST4.csv,guitarV.jpg,guitarV.jpg,100,100,778.9333333,778.9333333,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,j,0,0,0,0,0,0,0,NA,8,0,8,5,0,0,8,8,0,0,8,8,8,8,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,8,0,0,0,0,0,0,0,0,2011-07-19 15:33,no,Matching Tasks,yes,,yes,Task A.2_PP.osexp,C:\Users\Marina\Desktop\PSA002-003\Task A,no,chinese-japanese-korean,no,18,no,#0000ff,no,English,yes,768,no,legacy,8,8,1,5,C:/Users/Marina/Desktop/PSA002-003/Task A/PP Data/CAN020_PP_.csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,no,0,0,j,NA,NA,j,NA,space,NA,NA,NA,NA,NA,NA,f,NA,space,NA,NA,NA,NA,NA,NA,754,NA,NA,754,NA,2801,NA,NA,NA,NA,NA,NA,672,NA,20731,NA,NA,NA,NA,NA,NA,2,legacy,no,1024,2,48000,-16,EXP,29,odd,no,no,NA,10640,5467,5469,9347,10610,10609,NA,NA,47119,64236,42510,31405,44284,64742,64232,10641,47119,64743,65502,NA,NA,31405,44193,31473,42506,31473,31472,31405,NA,44288,NA,NA,NA,NA,NA,NA,43016,43016,43693,NA,NA,66002,NA,10645,NA,NA,NA,NA,NA,NA,Orientation_PSA2018,15,11684,15,yes,1024
Y,6205,H,H,PP_LIST4.csv,crayonH.jpg,crayonH.jpg,100,100,773.1875,773.1875,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,j,0,0,0,0,0,0,0,NA,9,0,9,5,0,0,9,9,0,0,9,9,9,9,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,9,0,0,0,0,0,0,0,0,2011-07-19 15:33,no,Matching Tasks,yes,,yes,Task A.2_PP.osexp,C:\Users\Marina\Desktop\PSA002-003\Task A,no,chinese-japanese-korean,no,18,no,#0000ff,no,English,yes,768,no,legacy,9,9,1,5,C:/Users/Marina/Desktop/PSA002-003/Task A/PP Data/CAN020_PP_.csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,no,0,0,j,NA,NA,j,NA,space,NA,NA,NA,NA,NA,NA,f,NA,space,NA,NA,NA,NA,NA,NA,687,NA,NA,687,NA,2801,NA,NA,NA,NA,NA,NA,672,NA,20731,NA,NA,NA,NA,NA,NA,2,legacy,no,1024,2,48000,-16,EXP,29,odd,no,no,NA,10640,5467,5469,9347,10610,10609,NA,NA,47119,66375,42510,31405,44284,66881,66371,10641,47119,66881,67573,NA,NA,31405,44193,31473,42506,31473,31472,31405,NA,44288,NA,NA,NA,NA,NA,NA,43016,43016,43693,NA,NA,68073,NA,10645,NA,NA,NA,NA,NA,NA,Orientation_PSA2018,16,12371,16,yes,1024
