"Identical","LAB_SEED","Orientation1","Orientation2","PPList","Picture1","Picture2","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_E","correct_Target_response_Prac","correct_Welcome_PP_E","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_DE","count_Start_E","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_SC","count_Start_TC","count_Start_THAI","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac","count_Target_response_wrong_Prac","count_Trial_logger","count_Welcome_PP_DE","count_Welcome_PP_E","count_Welcome_PP_HUN","count_Welcome_PP_NOR","count_Welcome_PP_PL","count_Welcome_PP_SC","count_Welcome_PP_TC","count_Welcome_PP_THAI","datetime","de","description","disable_garbage_collection","empty_column","en","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","hun","keyboard_backend","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","pol","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_DE","response_Start_E","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_SC","response_Start_TC","response_Start_THAI","response_Target_response_Prac","response_Welcome_PP_DE","response_Welcome_PP_E","response_Welcome_PP_HUN","response_Welcome_PP_NOR","response_Welcome_PP_PL","response_Welcome_PP_SC","response_Welcome_PP_TC","response_Welcome_PP_THAI","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_DE","response_time_Start_E","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_SC","response_time_Start_TC","response_time_Start_THAI","response_time_Target_response_Prac","response_time_Welcome_PP_DE","response_time_Welcome_PP_E","response_time_Welcome_PP_HUN","response_time_Welcome_PP_NOR","response_time_Welcome_PP_PL","response_time_Welcome_PP_SC","response_time_Welcome_PP_TC","response_time_Welcome_PP_THAI","round_decimals","sampler_backend","sc","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","tc","thai","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_DE","time_Start_E","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_SC","time_Start_TC","time_Start_THAI","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac","time_Target_response_wrong_Prac","time_Trial_logger","time_Welcome_PP_DE","time_Welcome_PP_E","time_Welcome_PP_HUN","time_Welcome_PP_NOR","time_Welcome_PP_PL","time_Welcome_PP_SC","time_Welcome_PP_TC","time_Welcome_PP_THAI","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"F","6205","F","F","PP_LIST3.csv","trmpet.jpg","tapedispenser.jpg","91.6666666667","91.6666666667","709.833333333","709.833333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","10","1","10","1","1","0","0","0","0","0","0","0","0","0","10","10","10","10","10","0","0","0","0","0","0","0","0","0","12/04/19 16:09:49","no","Matching Tasks","yes","","yes","Task A.2_PP.osexp","C:\Users\Marina\Desktop\PSA002-003\Task A","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","0","0","2","5","C:/Users/Marina/Desktop/PSA002-003/Task A/PP Data/CAN020_PP_0081.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","1118","NA","NA","1118","NA","1851","NA","NA","NA","NA","NA","NA","480","NA","18513","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","81","odd","no","no","NA","31431","5538","5539","29051","31401","31401","NA","NA","72851","73161","69391","49978","70966","73664","73157","31432","72851","73664","74787","NA","NA","49978","70879","59857","69387","59857","59856","49978","NA","70970","NA","NA","NA","NA","NA","NA","69894","69894","70379","NA","59291","75287","NA","31436","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","11","8518","12","yes","1024"
"N","6205","H","V","PP_LIST3.csv","bottleH.jpg","bottleV.jpg","92.3076923077","92.3076923077","702.769230769","702.769230769","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","1","0","1","10","0","0","1","1","0","0","1","1","1","1","0","10","1","10","1","1","0","0","0","0","0","0","0","0","0","10","10","10","10","10","1","0","0","0","0","0","0","0","0","12/04/19 16:09:49","no","Matching Tasks","yes","","yes","Task A.2_PP.osexp","C:\Users\Marina\Desktop\PSA002-003\Task A","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","1","1","2","5","C:/Users/Marina/Desktop/PSA002-003/Task A/PP Data/CAN020_PP_0081.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","618","NA","NA","618","NA","1851","NA","NA","NA","NA","NA","NA","480","NA","18513","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","81","odd","no","no","NA","31431","5538","5539","29051","31401","31401","NA","NA","72851","75652","69391","49978","70966","76155","75648","31432","72851","76155","76779","NA","NA","49978","70879","59857","69387","59857","59856","49978","NA","70970","NA","NA","NA","NA","NA","NA","69894","69894","70379","NA","59291","77279","NA","31436","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","12","9136","13","yes","1024"
"F","6205","F","F","PP_LIST3.csv","mitten.jpg","needle.jpg","92.8571428571","92.8571428571","694.857142857","694.857142857","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","2","0","2","10","0","0","2","2","0","0","2","2","2","2","0","10","1","10","1","1","0","0","0","0","0","0","0","0","0","10","10","10","10","10","2","0","0","0","0","0","0","0","0","12/04/19 16:09:49","no","Matching Tasks","yes","","yes","Task A.2_PP.osexp","C:\Users\Marina\Desktop\PSA002-003\Task A","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","2","2","2","5","C:/Users/Marina/Desktop/PSA002-003/Task A/PP Data/CAN020_PP_0081.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","592","NA","NA","592","NA","1851","NA","NA","NA","NA","NA","NA","480","NA","18513","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","81","odd","no","no","NA","31431","5538","5539","29051","31401","31401","NA","NA","72851","77590","69391","49978","70966","78093","77586","31432","72851","78093","78690","NA","NA","49978","70879","59857","69387","59857","59856","49978","NA","70970","NA","NA","NA","NA","NA","NA","69894","69894","70379","NA","59291","79190","NA","31436","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","13","9728","14","yes","1024"
"F","6205","F","F","PP_LIST3.csv","spider.jpg","couch.jpg","93.3333333333","93.3333333333","696.933333333","696.933333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","3","0","3","10","0","0","3","3","0","0","3","3","3","3","0","10","1","10","1","1","0","0","0","0","0","0","0","0","0","10","10","10","10","10","3","0","0","0","0","0","0","0","0","12/04/19 16:09:49","no","Matching Tasks","yes","","yes","Task A.2_PP.osexp","C:\Users\Marina\Desktop\PSA002-003\Task A","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","3","3","2","5","C:/Users/Marina/Desktop/PSA002-003/Task A/PP Data/CAN020_PP_0081.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","726","NA","NA","726","NA","1851","NA","NA","NA","NA","NA","NA","480","NA","18513","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","81","odd","no","no","NA","31431","5538","5539","29051","31401","31401","NA","NA","72851","79512","69391","49978","70966","80015","79507","31432","72851","80015","80746","NA","NA","49978","70879","59857","69387","59857","59856","49978","NA","70970","NA","NA","NA","NA","NA","NA","69894","69894","70379","NA","59291","81247","NA","31436","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","14","10454","15","yes","1024"
"Y","6205","V","V","PP_LIST3.csv","screwV.jpg","screwV.jpg","93.75","93.75","680.75","680.75","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","4","0","4","10","0","0","4","4","0","0","4","4","4","4","0","10","1","10","1","1","0","0","0","0","0","0","0","0","0","10","10","10","10","10","4","0","0","0","0","0","0","0","0","12/04/19 16:09:49","no","Matching Tasks","yes","","yes","Task A.2_PP.osexp","C:\Users\Marina\Desktop\PSA002-003\Task A","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","4","4","2","5","C:/Users/Marina/Desktop/PSA002-003/Task A/PP Data/CAN020_PP_0081.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","438","NA","NA","438","NA","1851","NA","NA","NA","NA","NA","NA","480","NA","18513","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","81","odd","no","no","NA","31431","5538","5539","29051","31401","31401","NA","NA","72851","81632","69391","49978","70966","82135","81628","31432","72851","82135","82579","NA","NA","49978","70879","59857","69387","59857","59856","49978","NA","70970","NA","NA","NA","NA","NA","NA","69894","69894","70379","NA","59291","83079","NA","31436","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","15","10892","16","yes","1024"
"F","6205","F","F","PP_LIST3.csv","watch.jpg","skirt.jpg","94.1176470588","94.1176470588","674.470588235","674.470588235","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","5","0","5","10","0","0","5","5","0","0","5","5","5","5","0","10","1","10","1","1","0","0","0","0","0","0","0","0","0","10","10","10","10","10","5","0","0","0","0","0","0","0","0","12/04/19 16:09:49","no","Matching Tasks","yes","","yes","Task A.2_PP.osexp","C:\Users\Marina\Desktop\PSA002-003\Task A","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","5","5","2","5","C:/Users/Marina/Desktop/PSA002-003/Task A/PP Data/CAN020_PP_0081.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","574","NA","NA","574","NA","1851","NA","NA","NA","NA","NA","NA","480","NA","18513","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","81","odd","no","no","NA","31431","5538","5539","29051","31401","31401","NA","NA","72851","83392","69391","49978","70966","83895","83388","31432","72851","83895","84475","NA","NA","49978","70879","59857","69387","59857","59856","49978","NA","70970","NA","NA","NA","NA","NA","NA","69894","69894","70379","NA","59291","84975","NA","31436","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","16","11466","17","yes","1024"
"Y","6205","H","H","PP_LIST3.csv","guitarH.jpg","guitarH.jpg","94.4444444444","94.4444444444","661.388888889","661.388888889","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","6","0","6","10","0","0","6","6","0","0","6","6","6","6","0","10","1","10","1","1","0","0","0","0","0","0","0","0","0","10","10","10","10","10","6","0","0","0","0","0","0","0","0","12/04/19 16:09:49","no","Matching Tasks","yes","","yes","Task A.2_PP.osexp","C:\Users\Marina\Desktop\PSA002-003\Task A","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","6","6","2","5","C:/Users/Marina/Desktop/PSA002-003/Task A/PP Data/CAN020_PP_0081.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","439","NA","NA","439","NA","1851","NA","NA","NA","NA","NA","NA","480","NA","18513","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","81","odd","no","no","NA","31431","5538","5539","29051","31401","31401","NA","NA","72851","85303","69391","49978","70966","85806","85299","31432","72851","85806","86250","NA","NA","49978","70879","59857","69387","59857","59856","49978","NA","70970","NA","NA","NA","NA","NA","NA","69894","69894","70379","NA","59291","86750","NA","31436","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","17","11905","18","yes","1024"
"F","6205","F","F","PP_LIST3.csv","knife.jpg","ladder.jpg","94.7368421053","94.7368421053","659.368421053","659.368421053","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","7","0","7","10","0","0","7","7","0","0","7","7","7","7","0","10","1","10","1","1","0","0","0","0","0","0","0","0","0","10","10","10","10","10","7","0","0","0","0","0","0","0","0","12/04/19 16:09:49","no","Matching Tasks","yes","","yes","Task A.2_PP.osexp","C:\Users\Marina\Desktop\PSA002-003\Task A","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","7","7","2","5","C:/Users/Marina/Desktop/PSA002-003/Task A/PP Data/CAN020_PP_0081.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","623","NA","NA","623","NA","1851","NA","NA","NA","NA","NA","NA","480","NA","18513","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","81","odd","no","no","NA","31431","5538","5539","29051","31401","31401","NA","NA","72851","87064","69391","49978","70966","87567","87060","31432","72851","87567","88195","NA","NA","49978","70879","59857","69387","59857","59856","49978","NA","70970","NA","NA","NA","NA","NA","NA","69894","69894","70379","NA","59291","88695","NA","31436","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","18","12528","19","yes","1024"
"N","6205","V","H","PP_LIST3.csv","crayonV.jpg","crayonH.jpg","95","95","655.1","655.1","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","8","0","8","10","0","0","8","8","0","0","8","8","8","8","0","10","1","10","1","1","0","0","0","0","0","0","0","0","0","10","10","10","10","10","8","0","0","0","0","0","0","0","0","12/04/19 16:09:49","no","Matching Tasks","yes","","yes","Task A.2_PP.osexp","C:\Users\Marina\Desktop\PSA002-003\Task A","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","8","8","2","5","C:/Users/Marina/Desktop/PSA002-003/Task A/PP Data/CAN020_PP_0081.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","574","NA","NA","574","NA","1851","NA","NA","NA","NA","NA","NA","480","NA","18513","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","81","odd","no","no","NA","31431","5538","5539","29051","31401","31401","NA","NA","72851","89041","69391","49978","70966","89544","89037","31432","72851","89544","90124","NA","NA","49978","70879","59857","69387","59857","59856","49978","NA","70970","NA","NA","NA","NA","NA","NA","69894","69894","70379","NA","59291","90624","NA","31436","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","19","13102","20","yes","1024"
"F","6205","F","F","PP_LIST3.csv","tlphon.jpg","knife.jpg","95.2380952381","95.2380952381","649.761904762","649.761904762","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","9","0","9","10","0","0","9","9","0","0","9","9","9","9","0","10","1","10","1","1","0","0","0","0","0","0","0","0","0","10","10","10","10","10","9","0","0","0","0","0","0","0","0","12/04/19 16:09:49","no","Matching Tasks","yes","","yes","Task A.2_PP.osexp","C:\Users\Marina\Desktop\PSA002-003\Task A","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","9","9","2","5","C:/Users/Marina/Desktop/PSA002-003/Task A/PP Data/CAN020_PP_0081.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","543","NA","NA","543","NA","1851","NA","NA","NA","NA","NA","NA","480","NA","18513","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","81","odd","no","no","NA","31431","5538","5539","29051","31401","31401","NA","NA","72851","90951","69391","49978","70966","91455","90947","31432","72851","91455","92003","NA","NA","49978","70879","59857","69387","59857","59856","49978","NA","70970","NA","NA","NA","NA","NA","NA","69894","69894","70379","NA","59291","92503","NA","31436","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","20","13645","21","yes","1024"
