"LAB_SEED","List","Match","Orientation","PList","Probe","Target","Task","acc","accuracy","alt_task","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instruction_E","correct_Probe_Prac_response","correct_Probe_response","correct_Probe_sti_response","correct_Start_E","correct_Target_response","correct_Target_response_Prac","correct_Welcome_E","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_First_Fixation","count_First_Fixation_Prac","count_Instruction_DE","count_Instruction_E","count_Instruction_HUN","count_Instruction_NOR","count_Instruction_PL","count_Instruction_SC","count_Instruction_TC","count_Instruction_THAI","count_LAB_SEED","count_Language_Selection","count_List_Select_DE","count_List_Select_E","count_List_Select_HUN","count_List_Select_NOR","count_List_Select_PL","count_List_Select_SC","count_List_Select_TC","count_List_Select_THAI","count_List_Selection","count_Memory_loop","count_Memory_sequence","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Probe","count_Probe_Collect","count_Probe_Prac","count_Probe_Prac_response","count_Probe_import","count_Probe_response","count_Probe_sti","count_Probe_sti_correct","count_Probe_sti_response","count_Probe_sti_wrong","count_STUDY_order","count_Second_Fixation","count_Second_Fixation_Prac","count_Start_DE","count_Start_E","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_SC","count_Start_TC","count_Start_THAI","count_Target","count_Target_Prac","count_Target_response","count_Target_response_Prac","count_Target_response_correct","count_Target_response_correct_Prac","count_Target_response_noans","count_Target_response_noans_Prac","count_Target_response_wrong","count_Target_response_wrong_Prac","count_Trial_logger","count_Verification_Break","count_Verification_End","count_Verification_Exp","count_Verification_Prac","count_Verification_Start","count_Verification_Trial","count_Verification_Welcome","count_Verification_loop","count_Welcom_SC","count_Welcom_TC","count_Welcom_THAI","count_Welcome_DE","count_Welcome_E","count_Welcome_HUN","count_Welcome_NOR","count_Welcome_PL","count_presetup","datetime","de","description","disable_garbage_collection","empty_column","en","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","hun","keyboard_backend","live_row","live_row_Prac","live_row_Prac_loop","live_row_Verification_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","pol","rectarget","repeat_cycle","reset_loop","response","response_Instruction_DE","response_Instruction_E","response_Instruction_HUN","response_Instruction_NOR","response_Instruction_PL","response_Instruction_SC","response_Instruction_TC","response_Instruction_THAI","response_Probe_Prac_response","response_Probe_response","response_Probe_sti_response","response_Start_DE","response_Start_E","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_SC","response_Start_TC","response_Start_THAI","response_Target_response","response_Target_response_Prac","response_Verification_Break","response_Verification_End","response_Welcom_SC","response_Welcom_TC","response_Welcom_THAI","response_Welcome_DE","response_Welcome_E","response_Welcome_HUN","response_Welcome_NOR","response_Welcome_PL","response_time","response_time_Instruction_DE","response_time_Instruction_E","response_time_Instruction_HUN","response_time_Instruction_NOR","response_time_Instruction_PL","response_time_Instruction_SC","response_time_Instruction_TC","response_time_Instruction_THAI","response_time_Probe_Prac_response","response_time_Probe_response","response_time_Probe_sti_response","response_time_Start_DE","response_time_Start_E","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_SC","response_time_Start_TC","response_time_Start_THAI","response_time_Target_response","response_time_Target_response_Prac","response_time_Verification_Break","response_time_Verification_End","response_time_Welcom_SC","response_time_Welcom_TC","response_time_Welcom_THAI","response_time_Welcome_DE","response_time_Welcome_E","response_time_Welcome_HUN","response_time_Welcome_NOR","response_time_Welcome_PL","round_decimals","sampler_backend","sc","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","task_order","tc","thai","time_Check_This","time_Disable_Mouse","time_EXP","time_First_Fixation","time_First_Fixation_Prac","time_Instruction_DE","time_Instruction_E","time_Instruction_HUN","time_Instruction_NOR","time_Instruction_PL","time_Instruction_SC","time_Instruction_TC","time_Instruction_THAI","time_LAB_SEED","time_Language_Selection","time_List_Select_DE","time_List_Select_E","time_List_Select_HUN","time_List_Select_NOR","time_List_Select_PL","time_List_Select_SC","time_List_Select_TC","time_List_Select_THAI","time_List_Selection","time_Memory_loop","time_Memory_sequence","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Probe","time_Probe_Collect","time_Probe_Prac","time_Probe_Prac_response","time_Probe_import","time_Probe_response","time_Probe_sti","time_Probe_sti_correct","time_Probe_sti_response","time_Probe_sti_wrong","time_STUDY_order","time_Second_Fixation","time_Second_Fixation_Prac","time_Start_DE","time_Start_E","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_SC","time_Start_TC","time_Start_THAI","time_Target","time_Target_Prac","time_Target_response","time_Target_response_Prac","time_Target_response_correct","time_Target_response_correct_Prac","time_Target_response_noans","time_Target_response_noans_Prac","time_Target_response_wrong","time_Target_response_wrong_Prac","time_Trial_logger","time_Verification_Break","time_Verification_End","time_Verification_Exp","time_Verification_Prac","time_Verification_Start","time_Verification_Trial","time_Verification_Welcome","time_Verification_loop","time_Welcom_SC","time_Welcom_TC","time_Welcom_THAI","time_Welcome_DE","time_Welcome_E","time_Welcome_HUN","time_Welcome_NOR","time_Welcome_PL","time_presetup","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"6205","ENG_LIST1.csv","F","F","ENG_Prac2.csv","The doctor turned the faucet to wash his hands.","spider.jpg","V","43.75","43.75","[7, 9, 14, 18, 23, 26, 29, 34, 39, 41, 46]","2245.5625","2245.5625","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","0","6","1","6","1","1","0","0","0","6","6","NA","0","NA","NA","NA","NA","0","0","6","0","0","0","0","0","0","0","0","0","6","0","6","0","6","0","6","0","6","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11/26/19 15:07:49","no","Matching Tasks","yes","","yes","Task A.1_SP.osexp","C:\Users\Marina\Desktop\PSA002-003\Task A","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","0","2","5","0","C:/Users/Marina/Desktop/PSA002-003/Task A/SP Data/CAN020_SP_062.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","f","NA","space","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","f","j","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","625","NA","24692","NA","NA","NA","NA","NA","NA","2103","1580","NA","NA","11381","NA","NA","NA","NA","NA","NA","625","514","NA","NA","NA","NA","NA","NA","5337","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","62","even","Yes","no","no","NA","22906","16251","115615","99068","NA","28253","NA","NA","NA","NA","NA","NA","16268","21968","NA","22868","NA","NA","NA","NA","NA","NA","22868","NA","NA","52979","103706","66742","99063","66742","66742","52978","116620","116620","100073","100074","NA","116621","NA","NA","NA","NA","NA","118206","102182","NA","103812","NA","NA","NA","NA","NA","NA","118711","102686","118712","102687","119342","103206","NA","66157","NA","65652","119842","NA","NA","115224","52978","103808","115611","22907","115225","NA","NA","NA","NA","22912","NA","NA","NA","115224","Orientation_PSA2018","7","35929","16","yes","1024"
"6205","ENG_LIST1.csv","F","F","ENG_Prac2.csv","In the park a bison ran towards them.","ring.jpg","V","44.4444444444","44.4444444444","[7, 9, 14, 18, 23, 26, 29, 34, 39, 41, 46]","2092.88888889","2092.88888889","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","NA","0","6","1","6","1","1","0","1","1","6","6","NA","1","NA","NA","NA","NA","0","1","6","0","0","0","0","0","0","0","0","1","6","1","6","1","6","1","6","1","6","1","NA","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","11/26/19 15:07:49","no","Matching Tasks","yes","","yes","Task A.1_SP.osexp","C:\Users\Marina\Desktop\PSA002-003\Task A","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","1","2","5","1","C:/Users/Marina/Desktop/PSA002-003/Task A/SP Data/CAN020_SP_062.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","f","NA","space","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","f","j","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","531","NA","24692","NA","NA","NA","NA","NA","NA","2103","1212","NA","NA","11381","NA","NA","NA","NA","NA","NA","531","514","NA","NA","NA","NA","NA","NA","5337","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","62","even","Yes","no","no","NA","22906","16251","120326","99068","NA","28253","NA","NA","NA","NA","NA","NA","16268","21968","NA","22868","NA","NA","NA","NA","NA","NA","22868","NA","NA","52979","103706","66742","99063","66742","66742","52978","121332","121332","100073","100074","NA","121333","NA","NA","NA","NA","NA","122550","102182","NA","103812","NA","NA","NA","NA","NA","NA","123053","102686","123054","102687","123590","103206","NA","66157","NA","65652","124090","NA","NA","115224","52978","103808","120322","22907","115225","NA","NA","NA","NA","22912","NA","NA","NA","115224","Orientation_PSA2018","8","37672","18","yes","1024"
"6205","ENG_LIST1.csv","F","F","ENG_Prac2.csv","Because the newborn cub was on display the zoo was more crowded than usual.","skirt.jpg","V","45","45","[7, 9, 14, 18, 23, 26, 29, 34, 39, 41, 46]","2093","2093","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","2","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","NA","0","6","1","6","1","1","0","2","2","6","6","NA","2","NA","NA","NA","NA","0","2","6","0","0","0","0","0","0","0","0","2","6","2","6","2","6","2","6","2","6","2","NA","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","11/26/19 15:07:49","no","Matching Tasks","yes","","yes","Task A.1_SP.osexp","C:\Users\Marina\Desktop\PSA002-003\Task A","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","2","2","5","2","C:/Users/Marina/Desktop/PSA002-003/Task A/SP Data/CAN020_SP_062.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","f","NA","space","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","f","j","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","513","NA","24692","NA","NA","NA","NA","NA","NA","2103","3675","NA","NA","11381","NA","NA","NA","NA","NA","NA","513","514","NA","NA","NA","NA","NA","NA","5337","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","62","even","Yes","no","no","NA","22906","16251","124488","99068","NA","28253","NA","NA","NA","NA","NA","NA","16268","21968","NA","22868","NA","NA","NA","NA","NA","NA","22868","NA","NA","52979","103706","66742","99063","66742","66742","52978","125493","125494","100073","100074","NA","125494","NA","NA","NA","NA","NA","129174","102182","NA","103812","NA","NA","NA","NA","NA","NA","129679","102686","129680","102687","130198","103206","NA","66157","NA","65652","130698","NA","NA","115224","52978","103808","124484","22907","115225","NA","NA","NA","NA","22912","NA","NA","NA","115224","Orientation_PSA2018","9","41860","20","yes","1024"
"6205","ENG_LIST1.csv","F","F","ENG_Prac2.csv","The desperate chess player sacrificed a pawn for a stronger position.","tlphon.jpg","V","45.4545454545","45.4545454545","[7, 9, 14, 18, 23, 26, 29, 34, 39, 41, 46]","2011.27272727","2011.27272727","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","3","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","NA","0","6","1","6","1","1","0","3","3","6","6","NA","3","NA","NA","NA","NA","0","3","6","0","0","0","0","0","0","0","0","3","6","3","6","3","6","3","6","3","6","3","NA","3","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","11/26/19 15:07:49","no","Matching Tasks","yes","","yes","Task A.1_SP.osexp","C:\Users\Marina\Desktop\PSA002-003\Task A","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","3","2","5","3","C:/Users/Marina/Desktop/PSA002-003/Task A/SP Data/CAN020_SP_062.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","f","NA","space","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","f","j","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","536","NA","24692","NA","NA","NA","NA","NA","NA","2103","1852","NA","NA","11381","NA","NA","NA","NA","NA","NA","536","514","NA","NA","NA","NA","NA","NA","5337","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","62","even","Yes","no","no","NA","22906","16251","131142","99068","NA","28253","NA","NA","NA","NA","NA","NA","16268","21968","NA","22868","NA","NA","NA","NA","NA","NA","22868","NA","NA","52979","103706","66742","99063","66742","66742","52978","132147","132147","100073","100074","NA","132149","NA","NA","NA","NA","NA","134006","102182","NA","103812","NA","NA","NA","NA","NA","NA","134512","102686","134513","102687","135054","103206","NA","66157","NA","65652","135555","NA","NA","115224","52978","103808","131138","22907","115225","NA","NA","NA","NA","22912","NA","NA","NA","115224","Orientation_PSA2018","10","44248","22","yes","1024"
"6205","ENG_LIST1.csv","F","F","ENG_Prac2.csv","The plumber noticed that the pipe had many leaks and needed replacement.","couch.jpg","V","45.8333333333","45.8333333333","[7, 9, 14, 18, 23, 26, 29, 34, 39, 41, 46]","1952.58333333","1952.58333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","4","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","NA","0","6","1","6","1","1","0","4","4","6","6","NA","4","NA","NA","NA","NA","0","4","6","0","0","0","0","0","0","0","0","4","6","4","6","4","6","4","6","4","6","4","NA","4","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","11/26/19 15:07:49","no","Matching Tasks","yes","","yes","Task A.1_SP.osexp","C:\Users\Marina\Desktop\PSA002-003\Task A","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","4","2","5","4","C:/Users/Marina/Desktop/PSA002-003/Task A/SP Data/CAN020_SP_062.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","f","NA","space","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","f","j","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","488","NA","24692","NA","NA","NA","NA","NA","NA","2103","2126","NA","NA","11381","NA","NA","NA","NA","NA","NA","488","514","NA","NA","NA","NA","NA","NA","5337","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","62","even","Yes","no","no","NA","22906","16251","135989","99068","NA","28253","NA","NA","NA","NA","NA","NA","16268","21968","NA","22868","NA","NA","NA","NA","NA","NA","22868","NA","NA","52979","103706","66742","99063","66742","66742","52978","136994","136994","100073","100074","NA","136995","NA","NA","NA","NA","NA","139126","102182","NA","103812","NA","NA","NA","NA","NA","NA","139631","102686","139632","102687","140126","103206","NA","66157","NA","65652","140626","NA","NA","115224","52978","103808","135985","22907","115225","NA","NA","NA","NA","22912","NA","NA","NA","115224","Orientation_PSA2018","11","46862","24","yes","1024"
"6205","ENG_LIST1.csv","F","F","ENG_Prac2.csv","Justin appeared on the balcony and immediately the fans started screaming.","wrench.jpg","V","46.1538461538","46.1538461538","[7, 9, 14, 18, 23, 26, 29, 34, 39, 41, 46]","1974.30769231","1974.30769231","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","5","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","NA","0","6","1","6","1","1","0","5","5","6","6","NA","5","NA","NA","NA","NA","0","5","6","0","0","0","0","0","0","0","0","5","6","5","6","5","6","5","6","5","6","5","NA","5","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","11/26/19 15:07:49","no","Matching Tasks","yes","","yes","Task A.1_SP.osexp","C:\Users\Marina\Desktop\PSA002-003\Task A","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","5","2","5","5","C:/Users/Marina/Desktop/PSA002-003/Task A/SP Data/CAN020_SP_062.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","f","NA","space","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","f","j","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","504","NA","24692","NA","NA","NA","NA","NA","NA","2103","3966","NA","NA","11381","NA","NA","NA","NA","NA","NA","504","514","NA","NA","NA","NA","NA","NA","5337","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","62","even","Yes","no","no","NA","22906","16251","141029","99068","NA","28253","NA","NA","NA","NA","NA","NA","16268","21968","NA","22868","NA","NA","NA","NA","NA","NA","22868","NA","NA","52979","103706","66742","99063","66742","66742","52978","142034","142034","100073","100074","NA","142035","NA","NA","NA","NA","NA","146006","102182","NA","103812","NA","NA","NA","NA","NA","NA","146512","102686","146513","102687","147022","103206","NA","66157","NA","65652","147522","NA","NA","115224","52978","103808","141025","22907","115225","NA","NA","NA","NA","22912","NA","NA","NA","115224","Orientation_PSA2018","12","51332","26","yes","1024"
"6205","ENG_LIST1.csv","N","H","ENG_Prac2.csv","The teenager placed her brush in the bottom of her bag, looking forward to the party.","brushV.jpg","V","46.4285714286","46.4285714286","[7, 9, 14, 18, 23, 26, 29, 34, 39, 41, 46]","1959.67857143","1959.67857143","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","NA","0","6","1","6","1","1","0","6","6","6","6","NA","6","NA","NA","NA","NA","0","6","6","0","0","0","0","0","0","0","0","6","6","6","6","6","6","6","6","6","6","6","NA","6","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","11/26/19 15:07:49","no","Matching Tasks","yes","","yes","Task A.1_SP.osexp","C:\Users\Marina\Desktop\PSA002-003\Task A","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","6","2","5","6","C:/Users/Marina/Desktop/PSA002-003/Task A/SP Data/CAN020_SP_062.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","j","NA","space","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","j","j","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","544","NA","24692","NA","NA","NA","NA","NA","NA","2103","2995","NA","NA","11381","NA","NA","NA","NA","NA","NA","544","514","NA","NA","NA","NA","NA","NA","5337","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","62","even","Yes","no","no","NA","22906","16251","147992","99068","NA","28253","NA","NA","NA","NA","NA","NA","16268","21968","NA","22868","NA","NA","NA","NA","NA","NA","22868","NA","NA","52979","103706","66742","99063","66742","66742","52978","148997","148998","100073","100074","NA","148998","NA","NA","NA","NA","NA","151998","102182","NA","103812","NA","NA","NA","NA","NA","NA","152503","102686","152504","102687","153054","103206","NA","66157","NA","65652","153554","NA","NA","115224","52978","103808","147987","22907","115225","NA","NA","NA","NA","22912","NA","NA","NA","115224","Orientation_PSA2018","13","54871","28","yes","1024"
"6205","ENG_LIST1.csv","F","F","ENG_Prac2.csv","Duff played his bagpipe at odd hours causing his neighbors to complain.","knife.jpg","V","46.6666666667","46.6666666667","[7, 9, 14, 18, 23, 26, 29, 34, 39, 41, 46]","1915.8","1915.8","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","7","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","NA","0","6","1","6","1","1","0","7","7","6","6","NA","7","NA","NA","NA","NA","0","7","6","0","0","0","0","0","0","0","0","7","6","7","6","7","6","7","6","7","6","7","NA","7","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","11/26/19 15:07:49","no","Matching Tasks","yes","","yes","Task A.1_SP.osexp","C:\Users\Marina\Desktop\PSA002-003\Task A","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","7","2","5","7","C:/Users/Marina/Desktop/PSA002-003/Task A/SP Data/CAN020_SP_062.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","f","NA","space","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","f","j","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","536","NA","24692","NA","NA","NA","NA","NA","NA","2103","2067","NA","NA","11381","NA","NA","NA","NA","NA","NA","536","514","NA","NA","NA","NA","NA","NA","5337","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","62","even","Yes","no","no","NA","22906","16251","153990","99068","NA","28253","NA","NA","NA","NA","NA","NA","16268","21968","NA","22868","NA","NA","NA","NA","NA","NA","22868","NA","NA","52979","103706","66742","99063","66742","66742","52978","154996","154996","100073","100074","NA","154997","NA","NA","NA","NA","NA","157070","102182","NA","103812","NA","NA","NA","NA","NA","NA","157576","102686","157577","102687","158118","103206","NA","66157","NA","65652","158618","NA","NA","115224","52978","103808","153987","22907","115225","NA","NA","NA","NA","22912","NA","NA","NA","115224","Orientation_PSA2018","14","57474","30","yes","1024"
"6205","ENG_LIST1.csv","F","F","ENG_Prac2.csv","Duff played his bagpipe at odd hours causing his neighbors to complain.","knife.jpg","M","45.1612903226","45.1612903226","[7, 9, 14, 18, 23, 26, 29, 34, 39, 41, 46]","1966.87096774","1966.87096774","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","0","undefined","1","1","undefined","6","f","0","0","0","7","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","6","1","6","1","1","0","7","7","6","6","0","7","0","0","0","0","0","7","6","0","0","0","0","0","0","0","0","7","6","7","6","7","6","7","6","7","6","8","NA","7","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","11/26/19 15:07:49","no","Matching Tasks","yes","","yes","Task A.1_SP.osexp","C:\Users\Marina\Desktop\PSA002-003\Task A","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","0","2","5","7","C:/Users/Marina/Desktop/PSA002-003/Task A/SP Data/CAN020_SP_062.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","Because the newborn cub was on display the zoo was more crowded than usual.","0","0","j","NA","space","NA","NA","NA","NA","NA","NA","space","space","j","NA","space","NA","NA","NA","NA","NA","NA","f","j","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","3499","NA","24692","NA","NA","NA","NA","NA","NA","2103","2067","3499","NA","11381","NA","NA","NA","NA","NA","NA","536","514","NA","NA","NA","NA","NA","NA","5337","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","62","even","Yes","no","no","NA","22906","16251","153990","99068","NA","28253","NA","NA","NA","NA","NA","NA","16268","21968","NA","22868","NA","NA","NA","NA","NA","NA","22868","158670","158874","52979","103706","66742","99063","66742","66742","52978","154996","154996","100073","100074","158875","154997","158878","NA","158878","162382","NA","157070","102182","NA","103812","NA","NA","NA","NA","NA","NA","157576","102686","157577","102687","158118","103206","NA","66157","NA","65652","163882","NA","NA","115224","52978","103808","153987","22907","115225","NA","NA","NA","NA","22912","NA","NA","NA","115224","Orientation_PSA2018","14","60973","31","yes","1024"
"6205","ENG_LIST1.csv","F","F","ENG_Prac2.csv","The frog caught a fly using its tongue.","stove.jpg","V","45.4545454545","45.4545454545","[7, 9, 14, 18, 23, 26, 29, 34, 39, 41, 46]","2009.42424242","2009.42424242","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","0","undefined","1","1","undefined","6","f","0","0","0","8","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","6","1","6","1","1","0","8","8","6","6","0","8","0","0","0","0","0","8","6","0","0","0","0","0","0","0","0","8","6","8","6","8","6","8","6","8","6","9","NA","8","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","11/26/19 15:07:49","no","Matching Tasks","yes","","yes","Task A.1_SP.osexp","C:\Users\Marina\Desktop\PSA002-003\Task A","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","8","2","5","8","C:/Users/Marina/Desktop/PSA002-003/Task A/SP Data/CAN020_SP_062.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","Because the newborn cub was on display the zoo was more crowded than usual.","0","0","f","NA","space","NA","NA","NA","NA","NA","NA","space","space","j","NA","space","NA","NA","NA","NA","NA","NA","f","j","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","593","NA","24692","NA","NA","NA","NA","NA","NA","2103","4745","3499","NA","11381","NA","NA","NA","NA","NA","NA","593","514","NA","NA","NA","NA","NA","NA","5337","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","62","even","Yes","no","no","NA","22906","16251","164321","99068","NA","28253","NA","NA","NA","NA","NA","NA","16268","21968","NA","22868","NA","NA","NA","NA","NA","NA","22868","158670","158874","52979","103706","66742","99063","66742","66742","52978","165327","165328","100073","100074","158875","165328","158878","NA","158878","162382","NA","170078","102182","NA","103812","NA","NA","NA","NA","NA","NA","170583","102686","170584","102687","171182","103206","NA","66157","NA","65652","171682","NA","NA","115224","52978","103808","164317","22907","115225","NA","NA","NA","NA","22912","NA","NA","NA","115224","Orientation_PSA2018","15","66311","33","yes","1024"
