"Identical","LAB_SEED","Orientation1","Orientation2","PPList","Picture1","Picture2","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_SC","correct_Target_response_Prac","correct_Welcome_PP_SC","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_DE","count_Start_E","count_Start_ELL","count_Start_HEB","count_Start_HIN","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_POR","count_Start_SC","count_Start_SLK","count_Start_SPA","count_Start_TC","count_Start_THAI","count_Start_TUR","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac","count_Target_response_wrong_Prac","count_Trial_logger","count_Welcome_PP_DE","count_Welcome_PP_E","count_Welcome_PP_ELL","count_Welcome_PP_HEB","count_Welcome_PP_HIN","count_Welcome_PP_HUN","count_Welcome_PP_NOR","count_Welcome_PP_PL","count_Welcome_PP_POR","count_Welcome_PP_SC","count_Welcome_PP_SLK","count_Welcome_PP_SPA","count_Welcome_PP_TC","count_Welcome_PP_THAI","count_Welcome_PP_TUR","datetime","de","description","disable_garbage_collection","ell","empty_column","en","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","heb","height","hin","hun","keyboard_backend","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","pol","por","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_DE","response_Start_E","response_Start_ELL","response_Start_HEB","response_Start_HIN","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_POR","response_Start_SC","response_Start_SLK","response_Start_SPA","response_Start_TC","response_Start_THAI","response_Start_TUR","response_Target_response_Prac","response_Welcome_PP_DE","response_Welcome_PP_E","response_Welcome_PP_ELL","response_Welcome_PP_HEB","response_Welcome_PP_HIN","response_Welcome_PP_HUN","response_Welcome_PP_NOR","response_Welcome_PP_PL","response_Welcome_PP_POR","response_Welcome_PP_SC","response_Welcome_PP_SLK","response_Welcome_PP_SPA","response_Welcome_PP_TC","response_Welcome_PP_THAI","response_Welcome_PP_TUR","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_DE","response_time_Start_E","response_time_Start_ELL","response_time_Start_HEB","response_time_Start_HIN","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_POR","response_time_Start_SC","response_time_Start_SLK","response_time_Start_SPA","response_time_Start_TC","response_time_Start_THAI","response_time_Start_TUR","response_time_Target_response_Prac","response_time_Welcome_PP_DE","response_time_Welcome_PP_E","response_time_Welcome_PP_ELL","response_time_Welcome_PP_HEB","response_time_Welcome_PP_HIN","response_time_Welcome_PP_HUN","response_time_Welcome_PP_NOR","response_time_Welcome_PP_PL","response_time_Welcome_PP_POR","response_time_Welcome_PP_SC","response_time_Welcome_PP_SLK","response_time_Welcome_PP_SPA","response_time_Welcome_PP_TC","response_time_Welcome_PP_THAI","response_time_Welcome_PP_TUR","round_decimals","sampler_backend","sc","slk","sound_buf_size","sound_channels","sound_freq","sound_sample_size","spa","start","subject_nr","subject_parity","tc","thai","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_DE","time_Start_E","time_Start_ELL","time_Start_HEB","time_Start_HIN","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_POR","time_Start_SC","time_Start_SLK","time_Start_SPA","time_Start_TC","time_Start_THAI","time_Start_TUR","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac","time_Target_response_wrong_Prac","time_Trial_logger","time_Welcome_PP_DE","time_Welcome_PP_E","time_Welcome_PP_ELL","time_Welcome_PP_HEB","time_Welcome_PP_HIN","time_Welcome_PP_HUN","time_Welcome_PP_NOR","time_Welcome_PP_PL","time_Welcome_PP_POR","time_Welcome_PP_SC","time_Welcome_PP_SLK","time_Welcome_PP_SPA","time_Welcome_PP_TC","time_Welcome_PP_THAI","time_Welcome_PP_TUR","title","total_correct","total_response_time","total_responses","tur","uniform_coordinates","width"
"F","9497","F","F","PP_LIST4.csv","buggy.jpg","glass.jpg","100","100","823.142857143","823.142857143","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/10/19 10:08:20","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","G:\Resource\activities\PSA\002\data","no","mono","no","18","no","#0000ff","no","简体中文","yes","no","768","no","no","legacy","0","0","1","5","G:/Resource/activities/PSA/002/data/raw data/CHN_005_PP_010.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","547","NA","NA","547","NA","NA","NA","NA","NA","NA","NA","NA","NA","5283","NA","NA","NA","NA","NA","422","NA","NA","NA","NA","NA","NA","NA","NA","NA","20453","NA","NA","NA","NA","NA","2","legacy","yes","no","1024","2","48000","-16","no","EXP","10","even","no","no","NA","14390","6944","6945","12314","14359","14359","NA","NA","53119","53321","46286","34875","47802","53825","53316","14390","53119","53825","54378","NA","NA","34875","47717","34926","46281","34926","34926","34875","NA","NA","NA","NA","NA","NA","NA","NA","NA","47806","NA","NA","NA","NA","NA","46790","46790","47217","37784","NA","54878","NA","NA","NA","NA","NA","NA","NA","NA","NA","14394","NA","NA","NA","NA","NA","Orientation_PSA2018","7","5762","7","no","yes","1024"
"F","9497","F","F","PP_LIST4.csv","umberella.jpg","flower.jpg","100","100","781.25","781.25","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","1","0","1","5","0","0","1","1","0","0","1","1","1","1","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/10/19 10:08:20","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","G:\Resource\activities\PSA\002\data","no","mono","no","18","no","#0000ff","no","简体中文","yes","no","768","no","no","legacy","1","1","1","5","G:/Resource/activities/PSA/002/data/raw data/CHN_005_PP_010.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","488","NA","NA","488","NA","NA","NA","NA","NA","NA","NA","NA","NA","5283","NA","NA","NA","NA","NA","422","NA","NA","NA","NA","NA","NA","NA","NA","NA","20453","NA","NA","NA","NA","NA","2","legacy","yes","no","1024","2","48000","-16","no","EXP","10","even","no","no","NA","14390","6944","6945","12314","14359","14359","NA","NA","53119","55531","46286","34875","47802","56035","55526","14390","53119","56035","56529","NA","NA","34875","47717","34926","46281","34926","34926","34875","NA","NA","NA","NA","NA","NA","NA","NA","NA","47806","NA","NA","NA","NA","NA","46790","46790","47217","37784","NA","57029","NA","NA","NA","NA","NA","NA","NA","NA","NA","14394","NA","NA","NA","NA","NA","Orientation_PSA2018","8","6250","8","no","yes","1024"
"F","9497","F","F","PP_LIST4.csv","house.jpg","ring.jpg","100","100","750.333333333","750.333333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","2","0","2","5","0","0","2","2","0","0","2","2","2","2","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/10/19 10:08:20","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","G:\Resource\activities\PSA\002\data","no","mono","no","18","no","#0000ff","no","简体中文","yes","no","768","no","no","legacy","2","2","1","5","G:/Resource/activities/PSA/002/data/raw data/CHN_005_PP_010.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","503","NA","NA","503","NA","NA","NA","NA","NA","NA","NA","NA","NA","5283","NA","NA","NA","NA","NA","422","NA","NA","NA","NA","NA","NA","NA","NA","NA","20453","NA","NA","NA","NA","NA","2","legacy","yes","no","1024","2","48000","-16","no","EXP","10","even","no","no","NA","14390","6944","6945","12314","14359","14359","NA","NA","53119","57339","46286","34875","47802","57844","57335","14390","53119","57844","58353","NA","NA","34875","47717","34926","46281","34926","34926","34875","NA","NA","NA","NA","NA","NA","NA","NA","NA","47806","NA","NA","NA","NA","NA","46790","46790","47217","37784","NA","58853","NA","NA","NA","NA","NA","NA","NA","NA","NA","14394","NA","NA","NA","NA","NA","Orientation_PSA2018","9","6753","9","no","yes","1024"
"F","9497","F","F","PP_LIST4.csv","wndmil.jpg","mitten.jpg","100","100","719.3","719.3","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","3","0","3","5","0","0","3","3","0","0","3","3","3","3","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/10/19 10:08:20","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","G:\Resource\activities\PSA\002\data","no","mono","no","18","no","#0000ff","no","简体中文","yes","no","768","no","no","legacy","3","3","1","5","G:/Resource/activities/PSA/002/data/raw data/CHN_005_PP_010.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","440","NA","NA","440","NA","NA","NA","NA","NA","NA","NA","NA","NA","5283","NA","NA","NA","NA","NA","422","NA","NA","NA","NA","NA","NA","NA","NA","NA","20453","NA","NA","NA","NA","NA","2","legacy","yes","no","1024","2","48000","-16","no","EXP","10","even","no","no","NA","14390","6944","6945","12314","14359","14359","NA","NA","53119","59151","46286","34875","47802","59655","59147","14390","53119","59655","60101","NA","NA","34875","47717","34926","46281","34926","34926","34875","NA","NA","NA","NA","NA","NA","NA","NA","NA","47806","NA","NA","NA","NA","NA","46790","46790","47217","37784","NA","60601","NA","NA","NA","NA","NA","NA","NA","NA","NA","14394","NA","NA","NA","NA","NA","Orientation_PSA2018","10","7193","10","no","yes","1024"
"F","9497","F","F","PP_LIST4.csv","spider.jpg","couch.jpg","100","100","695","695","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","4","0","4","5","0","0","4","4","0","0","4","4","4","4","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/10/19 10:08:20","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","G:\Resource\activities\PSA\002\data","no","mono","no","18","no","#0000ff","no","简体中文","yes","no","768","no","no","legacy","4","4","1","5","G:/Resource/activities/PSA/002/data/raw data/CHN_005_PP_010.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","452","NA","NA","452","NA","NA","NA","NA","NA","NA","NA","NA","NA","5283","NA","NA","NA","NA","NA","422","NA","NA","NA","NA","NA","NA","NA","NA","NA","20453","NA","NA","NA","NA","NA","2","legacy","yes","no","1024","2","48000","-16","no","EXP","10","even","no","no","NA","14390","6944","6945","12314","14359","14359","NA","NA","53119","60903","46286","34875","47802","61407","60898","14390","53119","61407","61864","NA","NA","34875","47717","34926","46281","34926","34926","34875","NA","NA","NA","NA","NA","NA","NA","NA","NA","47806","NA","NA","NA","NA","NA","46790","46790","47217","37784","NA","62365","NA","NA","NA","NA","NA","NA","NA","NA","NA","14394","NA","NA","NA","NA","NA","Orientation_PSA2018","11","7645","11","no","yes","1024"
"Y","9497","H","H","PP_LIST4.csv","flashH.jpg","flashH.jpg","100","100","681.5","681.5","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","5","0","5","5","0","0","5","5","0","0","5","5","5","5","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/10/19 10:08:20","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","G:\Resource\activities\PSA\002\data","no","mono","no","18","no","#0000ff","no","简体中文","yes","no","768","no","no","legacy","5","5","1","5","G:/Resource/activities/PSA/002/data/raw data/CHN_005_PP_010.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","533","NA","NA","533","NA","NA","NA","NA","NA","NA","NA","NA","NA","5283","NA","NA","NA","NA","NA","422","NA","NA","NA","NA","NA","NA","NA","NA","NA","20453","NA","NA","NA","NA","NA","2","legacy","yes","no","1024","2","48000","-16","no","EXP","10","even","no","no","NA","14390","6944","6945","12314","14359","14359","NA","NA","53119","62684","46286","34875","47802","63189","62679","14390","53119","63189","63728","NA","NA","34875","47717","34926","46281","34926","34926","34875","NA","NA","NA","NA","NA","NA","NA","NA","NA","47806","NA","NA","NA","NA","NA","46790","46790","47217","37784","NA","64228","NA","NA","NA","NA","NA","NA","NA","NA","NA","14394","NA","NA","NA","NA","NA","Orientation_PSA2018","12","8178","12","no","yes","1024"
"F","9497","F","F","PP_LIST4.csv","tlphon.jpg","knife.jpg","100","100","666","666","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","6","0","6","5","0","0","6","6","0","0","6","6","6","6","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/10/19 10:08:20","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","G:\Resource\activities\PSA\002\data","no","mono","no","18","no","#0000ff","no","简体中文","yes","no","768","no","no","legacy","6","6","1","5","G:/Resource/activities/PSA/002/data/raw data/CHN_005_PP_010.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","480","NA","NA","480","NA","NA","NA","NA","NA","NA","NA","NA","NA","5283","NA","NA","NA","NA","NA","422","NA","NA","NA","NA","NA","NA","NA","NA","NA","20453","NA","NA","NA","NA","NA","2","legacy","yes","no","1024","2","48000","-16","no","EXP","10","even","no","no","NA","14390","6944","6945","12314","14359","14359","NA","NA","53119","64564","46286","34875","47802","65069","64559","14390","53119","65069","65555","NA","NA","34875","47717","34926","46281","34926","34926","34875","NA","NA","NA","NA","NA","NA","NA","NA","NA","47806","NA","NA","NA","NA","NA","46790","46790","47217","37784","NA","66055","NA","NA","NA","NA","NA","NA","NA","NA","NA","14394","NA","NA","NA","NA","NA","Orientation_PSA2018","13","8658","13","no","yes","1024"
"Y","9497","V","V","PP_LIST4.csv","guitarV.jpg","guitarV.jpg","100","100","667.5","667.5","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","7","0","7","5","0","0","7","7","0","0","7","7","7","7","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/10/19 10:08:20","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","G:\Resource\activities\PSA\002\data","no","mono","no","18","no","#0000ff","no","简体中文","yes","no","768","no","no","legacy","7","7","1","5","G:/Resource/activities/PSA/002/data/raw data/CHN_005_PP_010.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","687","NA","NA","687","NA","NA","NA","NA","NA","NA","NA","NA","NA","5283","NA","NA","NA","NA","NA","422","NA","NA","NA","NA","NA","NA","NA","NA","NA","20453","NA","NA","NA","NA","NA","2","legacy","yes","no","1024","2","48000","-16","no","EXP","10","even","no","no","NA","14390","6944","6945","12314","14359","14359","NA","NA","53119","66360","46286","34875","47802","66864","66356","14390","53119","66864","67556","NA","NA","34875","47717","34926","46281","34926","34926","34875","NA","NA","NA","NA","NA","NA","NA","NA","NA","47806","NA","NA","NA","NA","NA","46790","46790","47217","37784","NA","68057","NA","NA","NA","NA","NA","NA","NA","NA","NA","14394","NA","NA","NA","NA","NA","Orientation_PSA2018","14","9345","14","no","yes","1024"
"Y","9497","H","H","PP_LIST4.csv","crayonH.jpg","crayonH.jpg","100","100","657.066666667","657.066666667","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","8","0","8","5","0","0","8","8","0","0","8","8","8","8","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/10/19 10:08:20","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","G:\Resource\activities\PSA\002\data","no","mono","no","18","no","#0000ff","no","简体中文","yes","no","768","no","no","legacy","8","8","1","5","G:/Resource/activities/PSA/002/data/raw data/CHN_005_PP_010.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","511","NA","NA","511","NA","NA","NA","NA","NA","NA","NA","NA","NA","5283","NA","NA","NA","NA","NA","422","NA","NA","NA","NA","NA","NA","NA","NA","NA","20453","NA","NA","NA","NA","NA","2","legacy","yes","no","1024","2","48000","-16","no","EXP","10","even","no","no","NA","14390","6944","6945","12314","14359","14359","NA","NA","53119","68382","46286","34875","47802","68886","68377","14390","53119","68886","69403","NA","NA","34875","47717","34926","46281","34926","34926","34875","NA","NA","NA","NA","NA","NA","NA","NA","NA","47806","NA","NA","NA","NA","NA","46790","46790","47217","37784","NA","69903","NA","NA","NA","NA","NA","NA","NA","NA","NA","14394","NA","NA","NA","NA","NA","Orientation_PSA2018","15","9856","15","no","yes","1024"
"N","9497","H","V","PP_LIST4.csv","plateH.jpg","plateV.jpg","93.75","93.75","645.25","645.25","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","0","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","9","0","9","5","0","0","9","9","0","0","9","9","9","9","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/10/19 10:08:20","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","G:\Resource\activities\PSA\002\data","no","mono","no","18","no","#0000ff","no","简体中文","yes","no","768","no","no","legacy","9","9","1","5","G:/Resource/activities/PSA/002/data/raw data/CHN_005_PP_010.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","468","NA","NA","468","NA","NA","NA","NA","NA","NA","NA","NA","NA","5283","NA","NA","NA","NA","NA","422","NA","NA","NA","NA","NA","NA","NA","NA","NA","20453","NA","NA","NA","NA","NA","2","legacy","yes","no","1024","2","48000","-16","no","EXP","10","even","no","no","NA","14390","6944","6945","12314","14359","14359","NA","NA","53119","70246","46286","34875","47802","70750","70241","14390","53119","70750","69403","NA","71224","34875","47717","34926","46281","34926","34926","34875","NA","NA","NA","NA","NA","NA","NA","NA","NA","47806","NA","NA","NA","NA","NA","46790","46790","47217","37784","NA","71724","NA","NA","NA","NA","NA","NA","NA","NA","NA","14394","NA","NA","NA","NA","NA","Orientation_PSA2018","15","10324","16","no","yes","1024"
