"Identical","LAB_SEED","Orientation1","Orientation2","PPList","Picture1","Picture2","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_SC","correct_Target_response_Prac","correct_Welcome_PP_SC","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_DE","count_Start_E","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_SC","count_Start_TC","count_Start_THAI","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac","count_Target_response_wrong_Prac","count_Trial_logger","count_Welcome_PP_DE","count_Welcome_PP_E","count_Welcome_PP_HUN","count_Welcome_PP_NOR","count_Welcome_PP_PL","count_Welcome_PP_SC","count_Welcome_PP_TC","count_Welcome_PP_THAI","datetime","de","description","disable_garbage_collection","empty_column","en","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","hun","keyboard_backend","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","pol","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_DE","response_Start_E","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_SC","response_Start_TC","response_Start_THAI","response_Target_response_Prac","response_Welcome_PP_DE","response_Welcome_PP_E","response_Welcome_PP_HUN","response_Welcome_PP_NOR","response_Welcome_PP_PL","response_Welcome_PP_SC","response_Welcome_PP_TC","response_Welcome_PP_THAI","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_DE","response_time_Start_E","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_SC","response_time_Start_TC","response_time_Start_THAI","response_time_Target_response_Prac","response_time_Welcome_PP_DE","response_time_Welcome_PP_E","response_time_Welcome_PP_HUN","response_time_Welcome_PP_NOR","response_time_Welcome_PP_PL","response_time_Welcome_PP_SC","response_time_Welcome_PP_TC","response_time_Welcome_PP_THAI","round_decimals","sampler_backend","sc","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","tc","thai","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_DE","time_Start_E","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_SC","time_Start_TC","time_Start_THAI","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac","time_Target_response_wrong_Prac","time_Trial_logger","time_Welcome_PP_DE","time_Welcome_PP_E","time_Welcome_PP_HUN","time_Welcome_PP_NOR","time_Welcome_PP_PL","time_Welcome_PP_SC","time_Welcome_PP_TC","time_Welcome_PP_THAI","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"F","5316","F","F","PP_LIST4.csv","house.jpg","ring.jpg","100","100","728","728","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","0","0","0","0","0","0","0","0","0","12/19/19 09:41:01","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\lenovo\Desktop\ACE project2019\Experiment\scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","简体中文","yes","768","no","legacy","0","0","1","5","C:/Users/lenovo/Desktop/ACE project2019/Experiment/scripts/subject-10-2.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","space","NA","NA","f","NA","NA","NA","NA","NA","space","NA","NA","644","NA","NA","644","NA","NA","NA","NA","NA","3093","NA","NA","578","NA","NA","NA","NA","NA","4651","NA","NA","2","legacy","yes","1024","2","48000","-16","EXP","10","even","no","no","NA","8576","3830","3839","6682","8563","8562","NA","NA","27453","27569","22724","13241","24342","28071","27567","8576","27453","28072","28718","NA","NA","13242","24306","13265","22720","13265","13264","13242","NA","NA","NA","NA","NA","24347","NA","NA","23226","23226","23806","NA","NA","29218","NA","NA","NA","NA","NA","8578","NA","NA","Orientation_PSA2018","7","5096","7","yes","1024"
"F","5316","F","F","PP_LIST4.csv","piano.jpg","sutcse.jpg","100","100","724.75","724.75","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","1","0","1","5","0","0","1","1","0","0","1","1","1","1","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","1","0","0","0","0","0","0","0","0","12/19/19 09:41:01","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\lenovo\Desktop\ACE project2019\Experiment\scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","简体中文","yes","768","no","legacy","1","1","1","5","C:/Users/lenovo/Desktop/ACE project2019/Experiment/scripts/subject-10-2.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","space","NA","NA","f","NA","NA","NA","NA","NA","space","NA","NA","702","NA","NA","702","NA","NA","NA","NA","NA","3093","NA","NA","578","NA","NA","NA","NA","NA","4651","NA","NA","2","legacy","yes","1024","2","48000","-16","EXP","10","even","no","no","NA","8576","3830","3839","6682","8563","8562","NA","NA","27453","29415","22724","13241","24342","29918","29412","8576","27453","29918","30623","NA","NA","13242","24306","13265","22720","13265","13264","13242","NA","NA","NA","NA","NA","24347","NA","NA","23226","23226","23806","NA","NA","31123","NA","NA","NA","NA","NA","8578","NA","NA","Orientation_PSA2018","8","5798","8","yes","1024"
"N","5316","H","V","PP_LIST4.csv","tireH.jpg","tireV.jpg","100","100","746.222222222","746.222222222","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","2","0","2","5","0","0","2","2","0","0","2","2","2","2","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","2","0","0","0","0","0","0","0","0","12/19/19 09:41:01","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\lenovo\Desktop\ACE project2019\Experiment\scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","简体中文","yes","768","no","legacy","2","2","1","5","C:/Users/lenovo/Desktop/ACE project2019/Experiment/scripts/subject-10-2.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","space","NA","NA","f","NA","NA","NA","NA","NA","space","NA","NA","918","NA","NA","918","NA","NA","NA","NA","NA","3093","NA","NA","578","NA","NA","NA","NA","NA","4651","NA","NA","2","legacy","yes","1024","2","48000","-16","EXP","10","even","no","no","NA","8576","3830","3839","6682","8563","8562","NA","NA","27453","31305","22724","13241","24342","31807","31300","8576","27453","31809","32729","NA","NA","13242","24306","13265","22720","13265","13264","13242","NA","NA","NA","NA","NA","24347","NA","NA","23226","23226","23806","NA","NA","33229","NA","NA","NA","NA","NA","8578","NA","NA","Orientation_PSA2018","9","6716","9","yes","1024"
"F","5316","F","F","PP_LIST4.csv","skirt.jpg","tlphon.jpg","100","100","732.2","732.2","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","3","0","3","5","0","0","3","3","0","0","3","3","3","3","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","3","0","0","0","0","0","0","0","0","12/19/19 09:41:01","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\lenovo\Desktop\ACE project2019\Experiment\scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","简体中文","yes","768","no","legacy","3","3","1","5","C:/Users/lenovo/Desktop/ACE project2019/Experiment/scripts/subject-10-2.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","space","NA","NA","f","NA","NA","NA","NA","NA","space","NA","NA","606","NA","NA","606","NA","NA","NA","NA","NA","3093","NA","NA","578","NA","NA","NA","NA","NA","4651","NA","NA","2","legacy","yes","1024","2","48000","-16","EXP","10","even","no","no","NA","8576","3830","3839","6682","8563","8562","NA","NA","27453","33404","22724","13241","24342","33905","33400","8576","27453","33905","34513","NA","NA","13242","24306","13265","22720","13265","13264","13242","NA","NA","NA","NA","NA","24347","NA","NA","23226","23226","23806","NA","NA","35013","NA","NA","NA","NA","NA","8578","NA","NA","Orientation_PSA2018","10","7322","10","yes","1024"
"Y","5316","V","V","PP_LIST4.csv","pencilV.jpg","pencilV.jpg","100","100","719","719","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","4","0","4","5","0","0","4","4","0","0","4","4","4","4","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","4","0","0","0","0","0","0","0","0","12/19/19 09:41:01","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\lenovo\Desktop\ACE project2019\Experiment\scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","简体中文","yes","768","no","legacy","4","4","1","5","C:/Users/lenovo/Desktop/ACE project2019/Experiment/scripts/subject-10-2.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","space","NA","NA","f","NA","NA","NA","NA","NA","space","NA","NA","587","NA","NA","587","NA","NA","NA","NA","NA","3093","NA","NA","578","NA","NA","NA","NA","NA","4651","NA","NA","2","legacy","yes","1024","2","48000","-16","EXP","10","even","no","no","NA","8576","3830","3839","6682","8563","8562","NA","NA","27453","35182","22724","13241","24342","35684","35180","8576","27453","35684","36273","NA","NA","13242","24306","13265","22720","13265","13264","13242","NA","NA","NA","NA","NA","24347","NA","NA","23226","23226","23806","NA","NA","36773","NA","NA","NA","NA","NA","8578","NA","NA","Orientation_PSA2018","11","7909","11","yes","1024"
"F","5316","F","F","PP_LIST4.csv","ftball.jpg","nut.jpg","100","100","726.25","726.25","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","5","0","5","5","0","0","5","5","0","0","5","5","5","5","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","5","0","0","0","0","0","0","0","0","12/19/19 09:41:01","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\lenovo\Desktop\ACE project2019\Experiment\scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","简体中文","yes","768","no","legacy","5","5","1","5","C:/Users/lenovo/Desktop/ACE project2019/Experiment/scripts/subject-10-2.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","space","NA","NA","f","NA","NA","NA","NA","NA","space","NA","NA","806","NA","NA","806","NA","NA","NA","NA","NA","3093","NA","NA","578","NA","NA","NA","NA","NA","4651","NA","NA","2","legacy","yes","1024","2","48000","-16","EXP","10","even","no","no","NA","8576","3830","3839","6682","8563","8562","NA","NA","27453","36928","22724","13241","24342","37430","36923","8576","27453","37431","38239","NA","NA","13242","24306","13265","22720","13265","13264","13242","NA","NA","NA","NA","NA","24347","NA","NA","23226","23226","23806","NA","NA","38740","NA","NA","NA","NA","NA","8578","NA","NA","Orientation_PSA2018","12","8715","12","yes","1024"
"N","5316","H","V","PP_LIST4.csv","screwH.jpg","screwV.jpg","100","100","724.615384615","724.615384615","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","6","0","6","5","0","0","6","6","0","0","6","6","6","6","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","6","0","0","0","0","0","0","0","0","12/19/19 09:41:01","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\lenovo\Desktop\ACE project2019\Experiment\scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","简体中文","yes","768","no","legacy","6","6","1","5","C:/Users/lenovo/Desktop/ACE project2019/Experiment/scripts/subject-10-2.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","space","NA","NA","f","NA","NA","NA","NA","NA","space","NA","NA","705","NA","NA","705","NA","NA","NA","NA","NA","3093","NA","NA","578","NA","NA","NA","NA","NA","4651","NA","NA","2","legacy","yes","1024","2","48000","-16","EXP","10","even","no","no","NA","8576","3830","3839","6682","8563","8562","NA","NA","27453","38916","22724","13241","24342","39418","38911","8576","27453","39419","40126","NA","NA","13242","24306","13265","22720","13265","13264","13242","NA","NA","NA","NA","NA","24347","NA","NA","23226","23226","23806","NA","NA","40626","NA","NA","NA","NA","NA","8578","NA","NA","Orientation_PSA2018","13","9420","13","yes","1024"
"Y","5316","V","V","PP_LIST4.csv","nailV.jpg","nailV.jpg","100","100","727.857142857","727.857142857","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","7","0","7","5","0","0","7","7","0","0","7","7","7","7","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","7","0","0","0","0","0","0","0","0","12/19/19 09:41:01","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\lenovo\Desktop\ACE project2019\Experiment\scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","简体中文","yes","768","no","legacy","7","7","1","5","C:/Users/lenovo/Desktop/ACE project2019/Experiment/scripts/subject-10-2.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","space","NA","NA","f","NA","NA","NA","NA","NA","space","NA","NA","770","NA","NA","770","NA","NA","NA","NA","NA","3093","NA","NA","578","NA","NA","NA","NA","NA","4651","NA","NA","2","legacy","yes","1024","2","48000","-16","EXP","10","even","no","no","NA","8576","3830","3839","6682","8563","8562","NA","NA","27453","40783","22724","13241","24342","41285","40780","8576","27453","41285","42058","NA","NA","13242","24306","13265","22720","13265","13264","13242","NA","NA","NA","NA","NA","24347","NA","NA","23226","23226","23806","NA","NA","42558","NA","NA","NA","NA","NA","8578","NA","NA","Orientation_PSA2018","14","10190","14","yes","1024"
"F","5316","F","F","PP_LIST4.csv","tlphon.jpg","knife.jpg","100","100","718.866666667","718.866666667","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","8","0","8","5","0","0","8","8","0","0","8","8","8","8","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","8","0","0","0","0","0","0","0","0","12/19/19 09:41:01","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\lenovo\Desktop\ACE project2019\Experiment\scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","简体中文","yes","768","no","legacy","8","8","1","5","C:/Users/lenovo/Desktop/ACE project2019/Experiment/scripts/subject-10-2.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","space","NA","NA","f","NA","NA","NA","NA","NA","space","NA","NA","593","NA","NA","593","NA","NA","NA","NA","NA","3093","NA","NA","578","NA","NA","NA","NA","NA","4651","NA","NA","2","legacy","yes","1024","2","48000","-16","EXP","10","even","no","no","NA","8576","3830","3839","6682","8563","8562","NA","NA","27453","42731","22724","13241","24342","43233","42729","8576","27453","43233","43828","NA","NA","13242","24306","13265","22720","13265","13264","13242","NA","NA","NA","NA","NA","24347","NA","NA","23226","23226","23806","NA","NA","44328","NA","NA","NA","NA","NA","8578","NA","NA","Orientation_PSA2018","15","10783","15","yes","1024"
"F","5316","F","F","PP_LIST4.csv","needle.jpg","tiger.jpg","100","100","729.8125","729.8125","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","9","0","9","5","0","0","9","9","0","0","9","9","9","9","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","9","0","0","0","0","0","0","0","0","12/19/19 09:41:01","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\lenovo\Desktop\ACE project2019\Experiment\scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","简体中文","yes","768","no","legacy","9","9","1","5","C:/Users/lenovo/Desktop/ACE project2019/Experiment/scripts/subject-10-2.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","space","NA","NA","f","NA","NA","NA","NA","NA","space","NA","NA","894","NA","NA","894","NA","NA","NA","NA","NA","3093","NA","NA","578","NA","NA","NA","NA","NA","4651","NA","NA","2","legacy","yes","1024","2","48000","-16","EXP","10","even","no","no","NA","8576","3830","3839","6682","8563","8562","NA","NA","27453","44481","22724","13241","24342","44982","44479","8576","27453","44983","45879","NA","NA","13242","24306","13265","22720","13265","13264","13242","NA","NA","NA","NA","NA","24347","NA","NA","23226","23226","23806","NA","NA","46379","NA","NA","NA","NA","NA","8578","NA","NA","Orientation_PSA2018","16","11677","16","yes","1024"
