Identical,LAB_SEED,Orientation1,Orientation2,PPList,Picture1,Picture2,acc,accuracy,average_response_time,avg_rt,background,bidi,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_Pictures_response,correct_Start_SC,correct_Target_response_Prac,correct_Welcome_PP_SC,correct_count,correct_response,count_Check_This,count_Disable_Mouse,count_EXP,count_LAB_SEED,count_Language_Selection,count_List_Select,count_List_Selection,count_Pictures_Break,count_Pictures_End,count_Pictures_Exp,count_Pictures_Fixation,count_Pictures_Fixation_Prac,count_Pictures_Prac,count_Pictures_Start,count_Pictures_Target,count_Pictures_Trial,count_Pictures_Welcome,count_Pictures_loop,count_Pictures_response,count_Pictures_response_correct,count_Pictures_response_noans,count_Pictures_response_wrong,count_Prac,count_Prac_Count,count_Prac_Reset,count_Prac_Trial,count_Prac_loop,count_Prac_seq,count_Prac_setup,count_Start_DE,count_Start_E,count_Start_HUN,count_Start_NOR,count_Start_PL,count_Start_SC,count_Start_TC,count_Start_THAI,count_Target_Prac,count_Target_response_Prac,count_Target_response_correct_Prac,count_Target_response_noans_Prac,count_Target_response_wrong_Prac,count_Trial_logger,count_Welcome_PP_DE,count_Welcome_PP_E,count_Welcome_PP_HUN,count_Welcome_PP_NOR,count_Welcome_PP_PL,count_Welcome_PP_SC,count_Welcome_PP_TC,count_Welcome_PP_THAI,datetime,de,description,disable_garbage_collection,empty_column,en,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,form_response,fullscreen,height,hun,keyboard_backend,live_row,live_row_Pictures_loop,live_row_Prac,live_row_Prac_loop,logfile,mouse_backend,nor,opensesame_codename,opensesame_version,osf_always_upload_experiment,osf_id,pol,repeat_cycle,reset_loop,response,response_Pictures_Break,response_Pictures_End,response_Pictures_response,response_Start_DE,response_Start_E,response_Start_HUN,response_Start_NOR,response_Start_PL,response_Start_SC,response_Start_TC,response_Start_THAI,response_Target_response_Prac,response_Welcome_PP_DE,response_Welcome_PP_E,response_Welcome_PP_HUN,response_Welcome_PP_NOR,response_Welcome_PP_PL,response_Welcome_PP_SC,response_Welcome_PP_TC,response_Welcome_PP_THAI,response_time,response_time_Pictures_Break,response_time_Pictures_End,response_time_Pictures_response,response_time_Start_DE,response_time_Start_E,response_time_Start_HUN,response_time_Start_NOR,response_time_Start_PL,response_time_Start_SC,response_time_Start_TC,response_time_Start_THAI,response_time_Target_response_Prac,response_time_Welcome_PP_DE,response_time_Welcome_PP_E,response_time_Welcome_PP_HUN,response_time_Welcome_PP_NOR,response_time_Welcome_PP_PL,response_time_Welcome_PP_SC,response_time_Welcome_PP_TC,response_time_Welcome_PP_THAI,round_decimals,sampler_backend,sc,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,tc,thai,time_Check_This,time_Disable_Mouse,time_EXP,time_LAB_SEED,time_Language_Selection,time_List_Select,time_List_Selection,time_Pictures_Break,time_Pictures_End,time_Pictures_Exp,time_Pictures_Fixation,time_Pictures_Fixation_Prac,time_Pictures_Prac,time_Pictures_Start,time_Pictures_Target,time_Pictures_Trial,time_Pictures_Welcome,time_Pictures_loop,time_Pictures_response,time_Pictures_response_correct,time_Pictures_response_noans,time_Pictures_response_wrong,time_Prac,time_Prac_Count,time_Prac_Reset,time_Prac_Trial,time_Prac_loop,time_Prac_seq,time_Prac_setup,time_Start_DE,time_Start_E,time_Start_HUN,time_Start_NOR,time_Start_PL,time_Start_SC,time_Start_TC,time_Start_THAI,time_Target_Prac,time_Target_response_Prac,time_Target_response_correct_Prac,time_Target_response_noans_Prac,time_Target_response_wrong_Prac,time_Trial_logger,time_Welcome_PP_DE,time_Welcome_PP_E,time_Welcome_PP_HUN,time_Welcome_PP_NOR,time_Welcome_PP_PL,time_Welcome_PP_SC,time_Welcome_PP_TC,time_Welcome_PP_THAI,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
F,5316,F,F,PP_LIST2.csv,house.jpg,ring.jpg,100,100,812.571428571,812.571428571,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,f,0,0,0,0,0,0,0,NA,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,0,0,0,0,0,0,0,0,0,12/18/19 09:38:38,no,Matching Tasks,yes,,no,OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp,C:\Users\lenovo\Desktop\ACE project2019\Experiment\scripts,no,chinese-japanese-korean,no,18,no,#0000ff,no,简体中文,yes,768,no,legacy,0,0,1,5,C:/Users/lenovo/Desktop/ACE project2019/Experiment/scripts/subject-43-2.csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,no,0,0,f,NA,NA,f,NA,NA,NA,NA,NA,space,NA,NA,f,NA,NA,NA,NA,NA,space,NA,NA,898,NA,NA,898,NA,NA,NA,NA,NA,5943,NA,NA,954,NA,NA,NA,NA,NA,3211,NA,NA,2,legacy,yes,1024,2,48000,-16,EXP,17,odd,no,no,NA,8291,4426,4433,6524,8268,8267,NA,NA,29407,29661,21348,11516,23419,30166,29659,8291,29411,30166,31067,NA,NA,11518,23314,11539,21338,11539,11539,11518,NA,NA,NA,NA,NA,23432,NA,NA,21853,21854,22814,NA,NA,31567,NA,NA,NA,NA,NA,8295,NA,NA,Orientation_PSA2018,7,5688,7,yes,1024
F,5316,F,F,PP_LIST2.csv,piano.jpg,sutcse.jpg,100,100,790.875,790.875,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,f,0,0,0,0,0,0,0,NA,1,0,1,5,0,0,1,1,0,0,1,1,1,1,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,1,0,0,0,0,0,0,0,0,12/18/19 09:38:38,no,Matching Tasks,yes,,no,OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp,C:\Users\lenovo\Desktop\ACE project2019\Experiment\scripts,no,chinese-japanese-korean,no,18,no,#0000ff,no,简体中文,yes,768,no,legacy,1,1,1,5,C:/Users/lenovo/Desktop/ACE project2019/Experiment/scripts/subject-43-2.csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,no,0,0,f,NA,NA,f,NA,NA,NA,NA,NA,space,NA,NA,f,NA,NA,NA,NA,NA,space,NA,NA,639,NA,NA,639,NA,NA,NA,NA,NA,5943,NA,NA,954,NA,NA,NA,NA,NA,3211,NA,NA,2,legacy,yes,1024,2,48000,-16,EXP,17,odd,no,no,NA,8291,4426,4433,6524,8268,8267,NA,NA,29407,31870,21348,11516,23419,32374,31867,8291,29411,32375,33017,NA,NA,11518,23314,11539,21338,11539,11539,11518,NA,NA,NA,NA,NA,23432,NA,NA,21853,21854,22814,NA,NA,33517,NA,NA,NA,NA,NA,8295,NA,NA,Orientation_PSA2018,8,6327,8,yes,1024
Y,5316,H,H,PP_LIST2.csv,tireH.jpg,tireH.jpg,100,100,764.777777778,764.777777778,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,j,0,0,0,0,0,0,0,NA,2,0,2,5,0,0,2,2,0,0,2,2,2,2,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,2,0,0,0,0,0,0,0,0,12/18/19 09:38:38,no,Matching Tasks,yes,,no,OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp,C:\Users\lenovo\Desktop\ACE project2019\Experiment\scripts,no,chinese-japanese-korean,no,18,no,#0000ff,no,简体中文,yes,768,no,legacy,2,2,1,5,C:/Users/lenovo/Desktop/ACE project2019/Experiment/scripts/subject-43-2.csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,no,0,0,j,NA,NA,j,NA,NA,NA,NA,NA,space,NA,NA,f,NA,NA,NA,NA,NA,space,NA,NA,556,NA,NA,556,NA,NA,NA,NA,NA,5943,NA,NA,954,NA,NA,NA,NA,NA,3211,NA,NA,2,legacy,yes,1024,2,48000,-16,EXP,17,odd,no,no,NA,8291,4426,4433,6524,8268,8267,NA,NA,29407,33701,21348,11516,23419,34206,33699,8291,29411,34209,34769,NA,NA,11518,23314,11539,21338,11539,11539,11518,NA,NA,NA,NA,NA,23432,NA,NA,21853,21854,22814,NA,NA,35269,NA,NA,NA,NA,NA,8295,NA,NA,Orientation_PSA2018,9,6883,9,yes,1024
F,5316,F,F,PP_LIST2.csv,skirt.jpg,tlphon.jpg,100,100,759.2,759.2,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,f,0,0,0,0,0,0,0,NA,3,0,3,5,0,0,3,3,0,0,3,3,3,3,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,3,0,0,0,0,0,0,0,0,12/18/19 09:38:38,no,Matching Tasks,yes,,no,OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp,C:\Users\lenovo\Desktop\ACE project2019\Experiment\scripts,no,chinese-japanese-korean,no,18,no,#0000ff,no,简体中文,yes,768,no,legacy,3,3,1,5,C:/Users/lenovo/Desktop/ACE project2019/Experiment/scripts/subject-43-2.csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,no,0,0,f,NA,NA,f,NA,NA,NA,NA,NA,space,NA,NA,f,NA,NA,NA,NA,NA,space,NA,NA,709,NA,NA,709,NA,NA,NA,NA,NA,5943,NA,NA,954,NA,NA,NA,NA,NA,3211,NA,NA,2,legacy,yes,1024,2,48000,-16,EXP,17,odd,no,no,NA,8291,4426,4433,6524,8268,8267,NA,NA,29407,35535,21348,11516,23419,36040,35530,8291,29411,36040,36752,NA,NA,11518,23314,11539,21338,11539,11539,11518,NA,NA,NA,NA,NA,23432,NA,NA,21853,21854,22814,NA,NA,37252,NA,NA,NA,NA,NA,8295,NA,NA,Orientation_PSA2018,10,7592,10,yes,1024
N,5316,V,H,PP_LIST2.csv,pencilV.jpg,pencilH.jpg,100,100,807.545454545,807.545454545,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,j,0,0,0,0,0,0,0,NA,4,0,4,5,0,0,4,4,0,0,4,4,4,4,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,4,0,0,0,0,0,0,0,0,12/18/19 09:38:38,no,Matching Tasks,yes,,no,OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp,C:\Users\lenovo\Desktop\ACE project2019\Experiment\scripts,no,chinese-japanese-korean,no,18,no,#0000ff,no,简体中文,yes,768,no,legacy,4,4,1,5,C:/Users/lenovo/Desktop/ACE project2019/Experiment/scripts/subject-43-2.csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,no,0,0,j,NA,NA,j,NA,NA,NA,NA,NA,space,NA,NA,f,NA,NA,NA,NA,NA,space,NA,NA,1291,NA,NA,1291,NA,NA,NA,NA,NA,5943,NA,NA,954,NA,NA,NA,NA,NA,3211,NA,NA,2,legacy,yes,1024,2,48000,-16,EXP,17,odd,no,no,NA,8291,4426,4433,6524,8268,8267,NA,NA,29407,37469,21348,11516,23419,37973,37465,8291,29411,37979,39273,NA,NA,11518,23314,11539,21338,11539,11539,11518,NA,NA,NA,NA,NA,23432,NA,NA,21853,21854,22814,NA,NA,39773,NA,NA,NA,NA,NA,8295,NA,NA,Orientation_PSA2018,11,8883,11,yes,1024
F,5316,F,F,PP_LIST2.csv,ftball.jpg,nut.jpg,100,100,795.5,795.5,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,f,0,0,0,0,0,0,0,NA,5,0,5,5,0,0,5,5,0,0,5,5,5,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,0,0,0,0,0,0,0,0,12/18/19 09:38:38,no,Matching Tasks,yes,,no,OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp,C:\Users\lenovo\Desktop\ACE project2019\Experiment\scripts,no,chinese-japanese-korean,no,18,no,#0000ff,no,简体中文,yes,768,no,legacy,5,5,1,5,C:/Users/lenovo/Desktop/ACE project2019/Experiment/scripts/subject-43-2.csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,no,0,0,f,NA,NA,f,NA,NA,NA,NA,NA,space,NA,NA,f,NA,NA,NA,NA,NA,space,NA,NA,663,NA,NA,663,NA,NA,NA,NA,NA,5943,NA,NA,954,NA,NA,NA,NA,NA,3211,NA,NA,2,legacy,yes,1024,2,48000,-16,EXP,17,odd,no,no,NA,8291,4426,4433,6524,8268,8267,NA,NA,29407,40099,21348,11516,23419,40604,40096,8291,29411,40604,41271,NA,NA,11518,23314,11539,21338,11539,11539,11518,NA,NA,NA,NA,NA,23432,NA,NA,21853,21854,22814,NA,NA,41771,NA,NA,NA,NA,NA,8295,NA,NA,Orientation_PSA2018,12,9546,12,yes,1024
Y,5316,H,H,PP_LIST2.csv,screwH.jpg,screwH.jpg,100,100,776.384615385,776.384615385,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,j,0,0,0,0,0,0,0,NA,6,0,6,5,0,0,6,6,0,0,6,6,6,6,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,6,0,0,0,0,0,0,0,0,12/18/19 09:38:38,no,Matching Tasks,yes,,no,OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp,C:\Users\lenovo\Desktop\ACE project2019\Experiment\scripts,no,chinese-japanese-korean,no,18,no,#0000ff,no,简体中文,yes,768,no,legacy,6,6,1,5,C:/Users/lenovo/Desktop/ACE project2019/Experiment/scripts/subject-43-2.csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,no,0,0,j,NA,NA,j,NA,NA,NA,NA,NA,space,NA,NA,f,NA,NA,NA,NA,NA,space,NA,NA,547,NA,NA,547,NA,NA,NA,NA,NA,5943,NA,NA,954,NA,NA,NA,NA,NA,3211,NA,NA,2,legacy,yes,1024,2,48000,-16,EXP,17,odd,no,no,NA,8291,4426,4433,6524,8268,8267,NA,NA,29407,41983,21348,11516,23419,42487,41980,8291,29411,42487,43038,NA,NA,11518,23314,11539,21338,11539,11539,11518,NA,NA,NA,NA,NA,23432,NA,NA,21853,21854,22814,NA,NA,43538,NA,NA,NA,NA,NA,8295,NA,NA,Orientation_PSA2018,13,10093,13,yes,1024
N,5316,V,H,PP_LIST2.csv,nailV.jpg,nailH.jpg,100,100,762.214285714,762.214285714,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,j,0,0,0,0,0,0,0,NA,7,0,7,5,0,0,7,7,0,0,7,7,7,7,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,7,0,0,0,0,0,0,0,0,12/18/19 09:38:38,no,Matching Tasks,yes,,no,OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp,C:\Users\lenovo\Desktop\ACE project2019\Experiment\scripts,no,chinese-japanese-korean,no,18,no,#0000ff,no,简体中文,yes,768,no,legacy,7,7,1,5,C:/Users/lenovo/Desktop/ACE project2019/Experiment/scripts/subject-43-2.csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,no,0,0,j,NA,NA,j,NA,NA,NA,NA,NA,space,NA,NA,f,NA,NA,NA,NA,NA,space,NA,NA,578,NA,NA,578,NA,NA,NA,NA,NA,5943,NA,NA,954,NA,NA,NA,NA,NA,3211,NA,NA,2,legacy,yes,1024,2,48000,-16,EXP,17,odd,no,no,NA,8291,4426,4433,6524,8268,8267,NA,NA,29407,43879,21348,11516,23419,44384,43872,8291,29411,44384,44964,NA,NA,11518,23314,11539,21338,11539,11539,11518,NA,NA,NA,NA,NA,23432,NA,NA,21853,21854,22814,NA,NA,45464,NA,NA,NA,NA,NA,8295,NA,NA,Orientation_PSA2018,14,10671,14,yes,1024
F,5316,F,F,PP_LIST2.csv,tlphon.jpg,knife.jpg,100,100,756.6,756.6,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,f,0,0,0,0,0,0,0,NA,8,0,8,5,0,0,8,8,0,0,8,8,8,8,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,8,0,0,0,0,0,0,0,0,12/18/19 09:38:38,no,Matching Tasks,yes,,no,OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp,C:\Users\lenovo\Desktop\ACE project2019\Experiment\scripts,no,chinese-japanese-korean,no,18,no,#0000ff,no,简体中文,yes,768,no,legacy,8,8,1,5,C:/Users/lenovo/Desktop/ACE project2019/Experiment/scripts/subject-43-2.csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,no,0,0,f,NA,NA,f,NA,NA,NA,NA,NA,space,NA,NA,f,NA,NA,NA,NA,NA,space,NA,NA,678,NA,NA,678,NA,NA,NA,NA,NA,5943,NA,NA,954,NA,NA,NA,NA,NA,3211,NA,NA,2,legacy,yes,1024,2,48000,-16,EXP,17,odd,no,no,NA,8291,4426,4433,6524,8268,8267,NA,NA,29407,45691,21348,11516,23419,46197,45687,8291,29411,46198,46881,NA,NA,11518,23314,11539,21338,11539,11539,11518,NA,NA,NA,NA,NA,23432,NA,NA,21853,21854,22814,NA,NA,47381,NA,NA,NA,NA,NA,8295,NA,NA,Orientation_PSA2018,15,11349,15,yes,1024
F,5316,F,F,PP_LIST2.csv,needle.jpg,tiger.jpg,100,100,753.875,753.875,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,f,0,0,0,0,0,0,0,NA,9,0,9,5,0,0,9,9,0,0,9,9,9,9,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,9,0,0,0,0,0,0,0,0,12/18/19 09:38:38,no,Matching Tasks,yes,,no,OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp,C:\Users\lenovo\Desktop\ACE project2019\Experiment\scripts,no,chinese-japanese-korean,no,18,no,#0000ff,no,简体中文,yes,768,no,legacy,9,9,1,5,C:/Users/lenovo/Desktop/ACE project2019/Experiment/scripts/subject-43-2.csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,no,0,0,f,NA,NA,f,NA,NA,NA,NA,NA,space,NA,NA,f,NA,NA,NA,NA,NA,space,NA,NA,713,NA,NA,713,NA,NA,NA,NA,NA,5943,NA,NA,954,NA,NA,NA,NA,NA,3211,NA,NA,2,legacy,yes,1024,2,48000,-16,EXP,17,odd,no,no,NA,8291,4426,4433,6524,8268,8267,NA,NA,29407,47615,21348,11516,23419,48120,47612,8291,29411,48120,48845,NA,NA,11518,23314,11539,21338,11539,11539,11518,NA,NA,NA,NA,NA,23432,NA,NA,21853,21854,22814,NA,NA,49345,NA,NA,NA,NA,NA,8295,NA,NA,Orientation_PSA2018,16,12062,16,yes,1024
