"LAB_SEED","List","Match","Orientation","PList","Probe","Target","Task","acc","accuracy","alt_task","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instruction_SC","correct_Probe_Prac_response","correct_Probe_response","correct_Probe_sti_response","correct_Start_SC","correct_Target_response","correct_Target_response_Prac","correct_Welcom_SC","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EN_selection","count_EXP","count_First_Fixation","count_First_Fixation_Prac","count_Instruction_DE","count_Instruction_E","count_Instruction_HUN","count_Instruction_NOR","count_Instruction_PL","count_Instruction_SC","count_Instruction_TC","count_Instruction_THAI","count_Instruction_TUR","count_LAB_SEED","count_Language_Selection","count_List_Select_DE","count_List_Select_E","count_List_Select_HUN","count_List_Select_NOR","count_List_Select_PL","count_List_Select_SC","count_List_Select_TC","count_List_Select_THAI","count_List_Select_TUR","count_List_Selection","count_Memory_loop","count_Memory_sequence","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Probe","count_Probe_Collect","count_Probe_Prac","count_Probe_Prac_response","count_Probe_import","count_Probe_response","count_Probe_sti","count_Probe_sti_correct","count_Probe_sti_response","count_Probe_sti_wrong","count_STUDY_order","count_Second_Fixation","count_Second_Fixation_Prac","count_Start_DE","count_Start_E","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_SC","count_Start_TC","count_Start_THAI","count_Start_TUR","count_Target","count_Target_Prac","count_Target_response","count_Target_response_Prac","count_Target_response_correct","count_Target_response_correct_Prac","count_Target_response_noans","count_Target_response_noans_Prac","count_Target_response_wrong","count_Target_response_wrong_Prac","count_Trial_logger","count_Verification_Break","count_Verification_End","count_Verification_Exp","count_Verification_Prac","count_Verification_Start","count_Verification_Trial","count_Verification_Welcome","count_Verification_loop","count_Welcom_SC","count_Welcom_TC","count_Welcom_THAI","count_Welcom_TUR","count_Welcome_DE","count_Welcome_E","count_Welcome_HUN","count_Welcome_NOR","count_Welcome_PL","count_presetup","datetime","de","description","disable_garbage_collection","empty_column","en","en1","en2","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","hun","keyboard_backend","live_row","live_row_Prac","live_row_Prac_loop","live_row_Verification_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","pol","rectarget","repeat_cycle","reset_loop","response","response_Instruction_DE","response_Instruction_E","response_Instruction_HUN","response_Instruction_NOR","response_Instruction_PL","response_Instruction_SC","response_Instruction_TC","response_Instruction_THAI","response_Instruction_TUR","response_Probe_Prac_response","response_Probe_response","response_Probe_sti_response","response_Start_DE","response_Start_E","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_SC","response_Start_TC","response_Start_THAI","response_Start_TUR","response_Target_response","response_Target_response_Prac","response_Verification_Break","response_Verification_End","response_Welcom_SC","response_Welcom_TC","response_Welcom_THAI","response_Welcom_TUR","response_Welcome_DE","response_Welcome_E","response_Welcome_HUN","response_Welcome_NOR","response_Welcome_PL","response_time","response_time_Instruction_DE","response_time_Instruction_E","response_time_Instruction_HUN","response_time_Instruction_NOR","response_time_Instruction_PL","response_time_Instruction_SC","response_time_Instruction_TC","response_time_Instruction_THAI","response_time_Instruction_TUR","response_time_Probe_Prac_response","response_time_Probe_response","response_time_Probe_sti_response","response_time_Start_DE","response_time_Start_E","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_SC","response_time_Start_TC","response_time_Start_THAI","response_time_Start_TUR","response_time_Target_response","response_time_Target_response_Prac","response_time_Verification_Break","response_time_Verification_End","response_time_Welcom_SC","response_time_Welcom_TC","response_time_Welcom_THAI","response_time_Welcom_TUR","response_time_Welcome_DE","response_time_Welcome_E","response_time_Welcome_HUN","response_time_Welcome_NOR","response_time_Welcome_PL","round_decimals","sampler_backend","sc","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","task_order","tc","thai","time_Check_This","time_Disable_Mouse","time_EN_selection","time_EXP","time_First_Fixation","time_First_Fixation_Prac","time_Instruction_DE","time_Instruction_E","time_Instruction_HUN","time_Instruction_NOR","time_Instruction_PL","time_Instruction_SC","time_Instruction_TC","time_Instruction_THAI","time_Instruction_TUR","time_LAB_SEED","time_Language_Selection","time_List_Select_DE","time_List_Select_E","time_List_Select_HUN","time_List_Select_NOR","time_List_Select_PL","time_List_Select_SC","time_List_Select_TC","time_List_Select_THAI","time_List_Select_TUR","time_List_Selection","time_Memory_loop","time_Memory_sequence","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Probe","time_Probe_Collect","time_Probe_Prac","time_Probe_Prac_response","time_Probe_import","time_Probe_response","time_Probe_sti","time_Probe_sti_correct","time_Probe_sti_response","time_Probe_sti_wrong","time_STUDY_order","time_Second_Fixation","time_Second_Fixation_Prac","time_Start_DE","time_Start_E","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_SC","time_Start_TC","time_Start_THAI","time_Start_TUR","time_Target","time_Target_Prac","time_Target_response","time_Target_response_Prac","time_Target_response_correct","time_Target_response_correct_Prac","time_Target_response_noans","time_Target_response_noans_Prac","time_Target_response_wrong","time_Target_response_wrong_Prac","time_Trial_logger","time_Verification_Break","time_Verification_End","time_Verification_Exp","time_Verification_Prac","time_Verification_Start","time_Verification_Trial","time_Verification_Welcome","time_Verification_loop","time_Welcom_SC","time_Welcom_TC","time_Welcom_THAI","time_Welcom_TUR","time_Welcome_DE","time_Welcome_E","time_Welcome_HUN","time_Welcome_NOR","time_Welcome_PL","time_presetup","title","total_correct","total_response_time","total_responses","tur","uniform_coordinates","width"
"5316","SC_List01.csv","F","F","SC_Prac2.csv","提姆看见大象用鼻子把树拉倒。","wndmil.jpg","V","43.75","43.75","[6, 10, 13, 17, 23, 27, 30, 35, 37, 41, 47]","2340.75","2340.75","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","0","6","1","6","1","1","0","0","0","6","6","NA","0","NA","NA","NA","NA","0","0","6","0","0","0","0","0","0","0","0","0","0","6","0","6","0","6","0","6","0","6","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/11/19 18:46:42","no","Matching Tasks","yes","","no","no","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:\Users\lenovo\Desktop\ACE project2019\Experiment\scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","简体中文","yes","768","no","legacy","0","2","5","0","C:/Users/lenovo/Desktop/ACE project2019/Experiment/scripts/subject-26.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","f","NA","NA","NA","NA","NA","space","NA","NA","NA","space","space","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","f","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","856","NA","NA","NA","NA","NA","20311","NA","NA","NA","4458","2476","NA","NA","NA","NA","NA","NA","84180","NA","NA","NA","856","966","NA","NA","1211","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","yes","1024","2","48000","-16","EXP","26","even","Yes","no","no","NA","16180","NA","9005","173079","81128","NA","NA","NA","NA","NA","17395","NA","NA","NA","9016","15005","NA","NA","NA","NA","NA","16144","NA","NA","NA","16144","NA","NA","37720","88600","46361","81121","46361","46359","37720","174081","174081","82131","82132","NA","174081","NA","NA","NA","NA","NA","176568","86594","NA","NA","NA","NA","NA","88693","NA","NA","NA","177070","87100","177080","87127","177940","88099","NA","45806","NA","45300","178440","NA","NA","172902","37720","88687","173072","16180","172903","16182","NA","NA","NA","NA","NA","NA","NA","NA","172903","Orientation_PSA2018","7","37452","16","no","yes","1024"
"5316","SC_List01.csv","N","V","SC_Prac2.csv","吉姆准备把这颗螺丝钉拧进橱柜的顶部。","screwH.jpg","V","38.8888888889","38.8888888889","[6, 10, 13, 17, 23, 27, 30, 35, 37, 41, 47]","2197.22222222","2197.22222222","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","NA","undefined","0","1","undefined","6","j","0","0","0","0","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","NA","0","6","1","6","1","1","0","1","1","6","6","NA","1","NA","NA","NA","NA","0","1","6","0","0","0","0","0","0","0","0","0","1","6","1","6","1","6","1","6","1","6","1","NA","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","12/11/19 18:46:42","no","Matching Tasks","yes","","no","no","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:\Users\lenovo\Desktop\ACE project2019\Experiment\scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","简体中文","yes","768","no","legacy","1","2","5","1","C:/Users/lenovo/Desktop/ACE project2019/Experiment/scripts/subject-26.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","None","NA","NA","NA","NA","NA","space","NA","NA","NA","space","space","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","None","f","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","2000","NA","NA","NA","NA","NA","20311","NA","NA","NA","4458","98","NA","NA","NA","NA","NA","NA","84180","NA","NA","NA","2000","966","NA","NA","1211","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","yes","1024","2","48000","-16","EXP","26","even","Yes","no","no","NA","16180","NA","9005","178809","81128","NA","NA","NA","NA","NA","17395","NA","NA","NA","9016","15005","NA","NA","NA","NA","NA","16144","NA","NA","NA","16144","NA","NA","37720","88600","46361","81121","46361","46359","37720","179812","179812","82131","82132","NA","179812","NA","NA","NA","NA","NA","179912","86594","NA","NA","NA","NA","NA","88693","NA","NA","NA","180417","87100","180435","87127","177940","88099","182944","45806","182439","45300","183444","NA","NA","172902","37720","88687","178802","16180","172903","16182","NA","NA","NA","NA","NA","NA","NA","NA","172903","Orientation_PSA2018","7","39550","18","no","yes","1024"
"5316","SC_List01.csv","F","F","SC_Prac2.csv","伯特开卡车从港口开到了市区。","piano.jpg","V","40","40","[6, 10, 13, 17, 23, 27, 30, 35, 37, 41, 47]","2198.6","2198.6","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","0","2","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","NA","0","6","1","6","1","1","0","2","2","6","6","NA","2","NA","NA","NA","NA","0","2","6","0","0","0","0","0","0","0","0","0","2","6","2","6","2","6","2","6","2","6","2","NA","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","12/11/19 18:46:42","no","Matching Tasks","yes","","no","no","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:\Users\lenovo\Desktop\ACE project2019\Experiment\scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","简体中文","yes","768","no","legacy","2","2","5","2","C:/Users/lenovo/Desktop/ACE project2019/Experiment/scripts/subject-26.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","f","NA","NA","NA","NA","NA","space","NA","NA","NA","space","space","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","f","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","814","NA","NA","NA","NA","NA","20311","NA","NA","NA","4458","3608","NA","NA","NA","NA","NA","NA","84180","NA","NA","NA","814","966","NA","NA","1211","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","yes","1024","2","48000","-16","EXP","26","even","Yes","no","no","NA","16180","NA","9005","183784","81128","NA","NA","NA","NA","NA","17395","NA","NA","NA","9016","15005","NA","NA","NA","NA","NA","16144","NA","NA","NA","16144","NA","NA","37720","88600","46361","81121","46361","46359","37720","184785","184785","82131","82132","NA","184786","NA","NA","NA","NA","NA","188397","86594","NA","NA","NA","NA","NA","88693","NA","NA","NA","188901","87100","188910","87127","189726","88099","182944","45806","182439","45300","190226","NA","NA","172902","37720","88687","183782","16180","172903","16182","NA","NA","NA","NA","NA","NA","NA","NA","172903","Orientation_PSA2018","8","43972","20","no","yes","1024"
"5316","SC_List01.csv","F","F","SC_Prac2.csv","妈妈把胡萝卜放进了女儿的午餐包里。","tiger.jpg","V","40.9090909091","40.9090909091","[6, 10, 13, 17, 23, 27, 30, 35, 37, 41, 47]","2142.04545455","2142.04545455","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","0","3","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","NA","0","6","1","6","1","1","0","3","3","6","6","NA","3","NA","NA","NA","NA","0","3","6","0","0","0","0","0","0","0","0","0","3","6","3","6","3","6","3","6","3","6","3","NA","3","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","12/11/19 18:46:42","no","Matching Tasks","yes","","no","no","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:\Users\lenovo\Desktop\ACE project2019\Experiment\scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","简体中文","yes","768","no","legacy","3","2","5","3","C:/Users/lenovo/Desktop/ACE project2019/Experiment/scripts/subject-26.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","f","NA","NA","NA","NA","NA","space","NA","NA","NA","space","space","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","f","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","730","NA","NA","NA","NA","NA","20311","NA","NA","NA","4458","2423","NA","NA","NA","NA","NA","NA","84180","NA","NA","NA","730","966","NA","NA","1211","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","yes","1024","2","48000","-16","EXP","26","even","Yes","no","no","NA","16180","NA","9005","190434","81128","NA","NA","NA","NA","NA","17395","NA","NA","NA","9016","15005","NA","NA","NA","NA","NA","16144","NA","NA","NA","16144","NA","NA","37720","88600","46361","81121","46361","46359","37720","191438","191438","82131","82132","NA","191438","NA","NA","NA","NA","NA","193863","86594","NA","NA","NA","NA","NA","88693","NA","NA","NA","194368","87100","194378","87127","195125","88099","182944","45806","182439","45300","195625","NA","NA","172902","37720","88687","190429","16180","172903","16182","NA","NA","NA","NA","NA","NA","NA","NA","172903","Orientation_PSA2018","9","47125","22","no","yes","1024"
"5316","SC_List01.csv","Y","V","SC_Prac2.csv","木匠把钉子钉进了地板。","nailV.jpg","V","41.6666666667","41.6666666667","[6, 10, 13, 17, 23, 27, 30, 35, 37, 41, 47]","2067.16666667","2067.16666667","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","0","4","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","NA","0","6","1","6","1","1","0","4","4","6","6","NA","4","NA","NA","NA","NA","0","4","6","0","0","0","0","0","0","0","0","0","4","6","4","6","4","6","4","6","4","6","4","NA","4","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","12/11/19 18:46:42","no","Matching Tasks","yes","","no","no","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:\Users\lenovo\Desktop\ACE project2019\Experiment\scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","简体中文","yes","768","no","legacy","4","2","5","4","C:/Users/lenovo/Desktop/ACE project2019/Experiment/scripts/subject-26.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","j","NA","NA","NA","NA","NA","space","NA","NA","NA","space","space","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","j","f","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","874","NA","NA","NA","NA","NA","20311","NA","NA","NA","4458","1613","NA","NA","NA","NA","NA","NA","84180","NA","NA","NA","874","966","NA","NA","1211","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","yes","1024","2","48000","-16","EXP","26","even","Yes","no","no","NA","16180","NA","9005","196036","81128","NA","NA","NA","NA","NA","17395","NA","NA","NA","9016","15005","NA","NA","NA","NA","NA","16144","NA","NA","NA","16144","NA","NA","37720","88600","46361","81121","46361","46359","37720","197039","197039","82131","82132","NA","197039","NA","NA","NA","NA","NA","198655","86594","NA","NA","NA","NA","NA","88693","NA","NA","NA","199159","87100","199160","87127","200039","88099","182944","45806","182439","45300","200540","NA","NA","172902","37720","88687","196033","16180","172903","16182","NA","NA","NA","NA","NA","NA","NA","NA","172903","Orientation_PSA2018","10","49612","24","no","yes","1024"
"5316","SC_List01.csv","F","F","SC_Prac2.csv","哈利给了他女友一枚漂亮的戒指并期待着她答应他的求婚。","house.jpg","V","42.3076923077","42.3076923077","[6, 10, 13, 17, 23, 27, 30, 35, 37, 41, 47]","2043.69230769","2043.69230769","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","0","5","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","NA","0","6","1","6","1","1","0","5","5","6","6","NA","5","NA","NA","NA","NA","0","5","6","0","0","0","0","0","0","0","0","0","5","6","5","6","5","6","5","6","5","6","5","NA","5","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","12/11/19 18:46:42","no","Matching Tasks","yes","","no","no","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:\Users\lenovo\Desktop\ACE project2019\Experiment\scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","简体中文","yes","768","no","legacy","5","2","5","5","C:/Users/lenovo/Desktop/ACE project2019/Experiment/scripts/subject-26.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","f","NA","NA","NA","NA","NA","space","NA","NA","NA","space","space","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","f","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","688","NA","NA","NA","NA","NA","20311","NA","NA","NA","4458","2836","NA","NA","NA","NA","NA","NA","84180","NA","NA","NA","688","966","NA","NA","1211","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","yes","1024","2","48000","-16","EXP","26","even","Yes","no","no","NA","16180","NA","9005","200944","81128","NA","NA","NA","NA","NA","17395","NA","NA","NA","9016","15005","NA","NA","NA","NA","NA","16144","NA","NA","NA","16144","NA","NA","37720","88600","46361","81121","46361","46359","37720","201948","201948","82131","82132","NA","201949","NA","NA","NA","NA","NA","204788","86594","NA","NA","NA","NA","NA","88693","NA","NA","NA","205291","87100","205302","87127","205995","88099","182944","45806","182439","45300","206496","NA","NA","172902","37720","88687","200941","16180","172903","16182","NA","NA","NA","NA","NA","NA","NA","NA","172903","Orientation_PSA2018","11","53136","26","no","yes","1024"
"5316","SC_List01.csv","F","F","SC_Prac2.csv","鲍里斯听到他女朋友的车开上车道，便把蜡烛放到了桌子上。","umberella.jpg","V","42.8571428571","42.8571428571","[6, 10, 13, 17, 23, 27, 30, 35, 37, 41, 47]","2124.46428571","2124.46428571","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","NA","0","6","1","6","1","1","0","6","6","6","6","NA","6","NA","NA","NA","NA","0","6","6","0","0","0","0","0","0","0","0","0","6","6","6","6","6","6","6","6","6","6","6","NA","6","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","12/11/19 18:46:42","no","Matching Tasks","yes","","no","no","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:\Users\lenovo\Desktop\ACE project2019\Experiment\scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","简体中文","yes","768","no","legacy","6","2","5","6","C:/Users/lenovo/Desktop/ACE project2019/Experiment/scripts/subject-26.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","f","NA","NA","NA","NA","NA","space","NA","NA","NA","space","space","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","f","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","736","NA","NA","NA","NA","NA","20311","NA","NA","NA","4458","5613","NA","NA","NA","NA","NA","NA","84180","NA","NA","NA","736","966","NA","NA","1211","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","yes","1024","2","48000","-16","EXP","26","even","Yes","no","no","NA","16180","NA","9005","206765","81128","NA","NA","NA","NA","NA","17395","NA","NA","NA","9016","15005","NA","NA","NA","NA","NA","16144","NA","NA","NA","16144","NA","NA","37720","88600","46361","81121","46361","46359","37720","207769","207769","82131","82132","NA","207770","NA","NA","NA","NA","NA","213390","86594","NA","NA","NA","NA","NA","88693","NA","NA","NA","213893","87100","213895","87127","214635","88099","182944","45806","182439","45300","215135","NA","NA","172902","37720","88687","206759","16180","172903","16182","NA","NA","NA","NA","NA","NA","NA","NA","172903","Orientation_PSA2018","12","59485","28","no","yes","1024"
"5316","SC_List01.csv","F","F","SC_Prac2.csv","鲍里斯听到他女朋友的车开上车道，便把蜡烛放到了桌子上。","umberella.jpg","M","44.8275862069","44.8275862069","[6, 10, 13, 17, 23, 27, 30, 35, 37, 41, 47]","2234.31034483","2234.31034483","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","1","undefined","1","1","undefined","6","f","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","6","1","6","1","1","0","6","6","6","6","0","6","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","6","6","6","6","6","6","6","6","6","6","7","NA","6","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","12/11/19 18:46:42","no","Matching Tasks","yes","","no","no","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:\Users\lenovo\Desktop\ACE project2019\Experiment\scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","简体中文","yes","768","no","legacy","0","2","5","6","C:/Users/lenovo/Desktop/ACE project2019/Experiment/scripts/subject-26.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","吉姆准备把这颗螺丝钉拧进橱柜的顶部。","0","0","f","NA","NA","NA","NA","NA","space","NA","NA","NA","space","space","f","NA","NA","NA","NA","NA","space","NA","NA","NA","f","f","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","5310","NA","NA","NA","NA","NA","20311","NA","NA","NA","4458","5613","5310","NA","NA","NA","NA","NA","84180","NA","NA","NA","736","966","NA","NA","1211","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","yes","1024","2","48000","-16","EXP","26","even","Yes","no","no","NA","16180","NA","9005","206765","81128","NA","NA","NA","NA","NA","17395","NA","NA","NA","9016","15005","NA","NA","NA","NA","NA","16144","NA","NA","NA","16144","215228","215473","37720","88600","46361","81121","46361","46359","37720","207769","207769","82131","82132","215474","207770","215476","220790","215476","NA","NA","213390","86594","NA","NA","NA","NA","NA","88693","NA","NA","NA","213893","87100","213895","87127","214635","88099","182944","45806","182439","45300","221290","NA","NA","172902","37720","88687","206759","16180","172903","16182","NA","NA","NA","NA","NA","NA","NA","NA","172903","Orientation_PSA2018","13","64795","29","no","yes","1024"
"5316","SC_List01.csv","F","F","SC_Prac2.csv","老人摘掉帽子之后坐在了椅子上。","buggy.jpg","V","45.1612903226","45.1612903226","[6, 10, 13, 17, 23, 27, 30, 35, 37, 41, 47]","2229.48387097","2229.48387097","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","1","undefined","1","1","undefined","6","f","0","0","0","0","7","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","6","1","6","1","1","0","7","7","6","6","0","7","0","0","0","0","0","7","6","0","0","0","0","0","0","0","0","0","7","6","7","6","7","6","7","6","7","6","8","NA","7","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","12/11/19 18:46:42","no","Matching Tasks","yes","","no","no","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:\Users\lenovo\Desktop\ACE project2019\Experiment\scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","简体中文","yes","768","no","legacy","7","2","5","7","C:/Users/lenovo/Desktop/ACE project2019/Experiment/scripts/subject-26.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","吉姆准备把这颗螺丝钉拧进橱柜的顶部。","0","0","f","NA","NA","NA","NA","NA","space","NA","NA","NA","space","space","f","NA","NA","NA","NA","NA","space","NA","NA","NA","f","f","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","817","NA","NA","NA","NA","NA","20311","NA","NA","NA","4458","3502","5310","NA","NA","NA","NA","NA","84180","NA","NA","NA","817","966","NA","NA","1211","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","yes","1024","2","48000","-16","EXP","26","even","Yes","no","no","NA","16180","NA","9005","221612","81128","NA","NA","NA","NA","NA","17395","NA","NA","NA","9016","15005","NA","NA","NA","NA","NA","16144","NA","NA","NA","16144","215228","215473","37720","88600","46361","81121","46361","46359","37720","222614","222614","82131","82132","215474","222615","215476","220790","215476","NA","NA","226124","86594","NA","NA","NA","NA","NA","88693","NA","NA","NA","226625","87100","226627","87127","227447","88099","182944","45806","182439","45300","227947","NA","NA","172902","37720","88687","221604","16180","172903","16182","NA","NA","NA","NA","NA","NA","NA","NA","172903","Orientation_PSA2018","14","69114","31","no","yes","1024"
"5316","SC_List01.csv","Y","H","SC_Prac2.csv","杰姆斯把碗放进橱柜里的空位。","bowlH.jpg","V","45.4545454545","45.4545454545","[6, 10, 13, 17, 23, 27, 30, 35, 37, 41, 47]","2283.87878788","2283.87878788","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","1","undefined","1","1","undefined","6","j","0","0","0","0","8","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","6","1","6","1","1","0","8","8","6","6","0","8","0","0","0","0","0","8","6","0","0","0","0","0","0","0","0","0","8","6","8","6","8","6","8","6","8","6","9","NA","8","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","12/11/19 18:46:42","no","Matching Tasks","yes","","no","no","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:\Users\lenovo\Desktop\ACE project2019\Experiment\scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","简体中文","yes","768","no","legacy","8","2","5","8","C:/Users/lenovo/Desktop/ACE project2019/Experiment/scripts/subject-26.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","吉姆准备把这颗螺丝钉拧进橱柜的顶部。","0","0","j","NA","NA","NA","NA","NA","space","NA","NA","NA","space","space","f","NA","NA","NA","NA","NA","space","NA","NA","NA","j","f","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","1048","NA","NA","NA","NA","NA","20311","NA","NA","NA","4458","5206","5310","NA","NA","NA","NA","NA","84180","NA","NA","NA","1048","966","NA","NA","1211","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","yes","1024","2","48000","-16","EXP","26","even","Yes","no","no","NA","16180","NA","9005","228373","81128","NA","NA","NA","NA","NA","17395","NA","NA","NA","9016","15005","NA","NA","NA","NA","NA","16144","NA","NA","NA","16144","215228","215473","37720","88600","46361","81121","46361","46359","37720","229377","229377","82131","82132","215474","229377","215476","220790","215476","NA","NA","234586","86594","NA","NA","NA","NA","NA","88693","NA","NA","NA","235090","87100","235093","87127","236143","88099","182944","45806","182439","45300","236643","NA","NA","172902","37720","88687","228367","16180","172903","16182","NA","NA","NA","NA","NA","NA","NA","NA","172903","Orientation_PSA2018","15","75368","33","no","yes","1024"
