SEED,SUBJID,Sequence,DATE,SIGN,round,Note
5747,1,002_SP -> 002_PP -> 003,2019/11/5,Danilo Zambrano,1,
5747,2,003 -> 002_SP -> 002_PP,2019/11/5,Danilo Zambrano,1,
5747,3,003 -> 002_SP -> 002_PP,2019/11/5,Danilo Zambrano,1,
5747,4,002_SP -> 002_PP -> 003,2019/11/5,Danilo Zambrano,1,
5747,5,003 -> 002_SP -> 002_PP,2019/11/5,Danilo Zambrano,1,
5747,6,002_SP -> 002_PP -> 003,2019/11/6,Danilo Zambrano,1,
5747,7,003 -> 002_SP -> 002_PP,2019/11/6,Danilo Zambrano,1,
5747,8,003 -> 002_SP -> 002_PP,2019/11/6,Danilo Zambrano,1,
5747,9,002_SP -> 002_PP -> 003,2019/11/7,Danilo Zambrano,1,
5747,10,003 -> 002_SP -> 002_PP,2019/11/7,Danilo Zambrano,1,
5747,11,003 -> 002_SP -> 002_PP,2019/11/7,Danilo Zambrano,1,
5747,12,003 -> 002_SP -> 002_PP,2019/11/7,Danilo Zambrano,1,
5747,13,003 -> 002_SP -> 002_PP,2019/11/7,Danilo Zambrano,1,
5747,14,003 -> 002_SP -> 002_PP,2019/11/7,Danilo Zambrano,1,
5747,15,003 -> 002_SP -> 002_PP,2019/11/8,Danilo Zambrano,1,
5747,16,002_SP -> 002_PP -> 003,2019/11/8,Danilo Zambrano,1,
5747,17,002_SP -> 002_PP -> 003,2019/11/8,Danilo Zambrano,1,
5747,18,002_SP -> 002_PP -> 003,2019/11/8,Danilo Zambrano,1,
5747,19,002_SP -> 002_PP -> 003,2019/11/8,Danilo Zambrano,1,
5747,20,002_SP -> 002_PP -> 003,2019/11/8,Danilo Zambrano,1,
5747,21,003 -> 002_SP -> 002_PP,2019/11/12,Danilo Zambrano,1,
5747,22,003 -> 002_SP -> 002_PP,2019/11/12,Danilo Zambrano,1,
5747,23,003 -> 002_SP -> 002_PP,2019/11/12,Danilo Zambrano,1,
5747,24,003 -> 002_SP -> 002_PP,2019/11/14,Danilo Zambrano,1,
5747,25,003 -> 002_SP -> 002_PP,2019/11/15,Danilo Zambrano,1,
5747,26,002_SP -> 002_PP -> 003,2019/11/15,Danilo Zambrano,1,
5747,27,002_SP -> 002_PP -> 003,2019/11/15,Danilo Zambrano,1,
