"ID","N","BF"
556,1,1
663,1,1
683,3,0.993013169437225
699,4,0.986326254193116
754,5,0.937986598372897
763,6,0.548124068163829
769,7,0.322272407569329
800,8,0.375141691033971
1171,9,0.321336942663339
1326,10,0.368811018799957
1584,11,0.360588007805242
1632,12,0.324237148176941
1638,13,0.514107256039548
1676,14,0.539923756499987
1807,15,0.523420501482846
1808,16,0.501971746893885
1836,17,0.419963045072054
1842,18,0.351838447299311
1921,19,0.464755347160829
2332,20,0.454370485807594
2496,21,0.670675304907174
2713,22,0.47459849911368
2794,23,0.363685353018163
2796,24,0.331724240548972
3248,25,0.342495069853146
3405,26,0.44156236731268
