"Result ID","Start Time ","Last Seen ","Duration ","Batch","Worker ID ","Worker Type ","MTurk Worker ID (Confirmation Code) ","State ","Message "
"754","2021/03/11 14:05:14","2021/03/11 14:13:15","00:09:52","DEU_020","760","General Single","none(none)","FINISHED","none"
"1326","2021/03/25 18:35:22","2021/03/25 18:45:23","00:10:23","DEU_020","1331","General Single","none(none)","FINISHED","none"
"699","2021/03/10 09:57:54","2021/03/10 10:07:55","00:10:37","DEU_020","705","General Single","none(none)","FINISHED","none"
"1638","2021/04/08 13:48:39","2021/04/08 13:58:40","00:10:54","DEU_020","1641","General Single","none(none)","FINISHED","none"
"663","2021/03/09 08:13:01","2021/03/09 08:23:03","00:11:04","DEU_020","669","General Single","none(none)","FINISHED","none"
"2713","2021/04/21 15:54:16","2021/04/21 16:04:17","00:11:23","DEU_020","2707","General Single","none(none)","FINISHED","none"
"1171","2021/03/23 17:14:46","2021/03/23 17:24:47","00:11:34","DEU_020","1177","General Single","none(none)","FINISHED","none"
"763","2021/03/11 15:37:36","2021/03/11 15:47:38","00:11:36","DEU_020","769","General Single","none(none)","FINISHED","none"
"2794","2021/04/22 13:02:30","2021/04/22 13:12:32","00:11:38","DEU_020","2787","General Single","none(none)","FINISHED","none"
"2496","2021/04/19 10:44:57","2021/04/19 10:56:58","00:12:09","DEU_020","2490","General Single","none(none)","FINISHED","none"
"2796","2021/04/22 15:06:57","2021/04/22 15:18:58","00:12:11","DEU_020","2789","General Single","none(none)","FINISHED","none"
"1808","2021/04/14 15:57:59","2021/04/14 16:10:00","00:12:46","DEU_020","1806","General Single","none(none)","FINISHED","none"
"1632","2021/04/08 10:29:35","2021/04/08 10:41:37","00:13:18","DEU_020","1635","General Single","none(none)","FINISHED","none"
"3248","2021/04/29 12:44:46","2021/04/29 12:56:48","00:13:22","DEU_020","3241","General Single","none(none)","FINISHED","none"
"1807","2021/04/14 15:03:09","2021/04/14 15:17:11","00:14:02","DEU_020","1805","General Single","none(none)","FINISHED","none"
"800","2021/03/12 20:17:15","2021/03/12 20:31:16","00:14:16","DEU_020","806","General Single","none(none)","FINISHED","none"
"1584","2021/04/05 16:16:20","2021/04/05 16:30:21","00:14:18","DEU_020","1588","General Single","none(none)","FINISHED","none"
"2332","2021/04/17 16:32:06","2021/04/17 16:46:08","00:15:21","DEU_020","2326","General Single","none(none)","FINISHED","none"
"1842","2021/04/16 09:12:43","2021/04/16 09:26:45","00:15:25","DEU_020","1839","General Single","none(none)","FINISHED","none"
"769","2021/03/12 09:51:26","2021/03/12 10:05:27","00:15:27","DEU_020","775","General Single","none(none)","FINISHED","none"
"1921","2021/04/16 11:52:26","2021/04/16 12:08:27","00:16:25","DEU_020","1918","General Single","none(none)","FINISHED","none"
"683","2021/03/09 19:15:50","2021/03/09 19:33:51","00:18:05","DEU_020","689","General Single","none(none)","FINISHED","none"
"1676","2021/04/09 13:54:57","2021/04/09 14:12:58","00:18:43","DEU_020","1679","General Single","none(none)","FINISHED","none"
"3405","2021/04/30 15:19:08","2021/04/30 15:37:10","00:19:06","DEU_020","3398","General Single","none(none)","FINISHED","none"
"1836","2021/04/15 17:19:55","2021/04/15 17:41:57","00:22:17","DEU_020","1833","General Single","none(none)","FINISHED","none"
"556","2021/03/05 15:23:00","2021/03/05 16:45:04","01:23:43","DEU_020","565","General Single","none(none)","FINISHED","none"
