Identical,LAB_SEED,Orientation1,Orientation2,PPList,Picture1,Picture2,acc,accuracy,average_response_time,avg_rt,background,bidi,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_Pictures_response,correct_Start_SPA,correct_Target_response_Prac,correct_Welcome_PP_SPA,correct_count,correct_response,count_Check_This,count_Disable_Mouse,count_EXP,count_LAB_SEED,count_Language_Selection,count_List_Select,count_List_Selection,count_Pictures_Break,count_Pictures_End,count_Pictures_Exp,count_Pictures_Fixation,count_Pictures_Fixation_Prac,count_Pictures_Prac,count_Pictures_Start,count_Pictures_Target,count_Pictures_Trial,count_Pictures_Welcome,count_Pictures_loop,count_Pictures_response,count_Pictures_response_correct,count_Pictures_response_noans,count_Pictures_response_wrong,count_Prac,count_Prac_Count,count_Prac_Reset,count_Prac_Trial,count_Prac_loop,count_Prac_seq,count_Prac_setup,count_Start_DE,count_Start_E,count_Start_ELL,count_Start_HEB,count_Start_HIN,count_Start_HUN,count_Start_NOR,count_Start_PL,count_Start_POR,count_Start_SC,count_Start_SLK,count_Start_SPA,count_Start_TC,count_Start_THAI,count_Start_TUR,count_Target_Prac,count_Target_response_Prac,count_Target_response_correct_Prac,count_Target_response_noans_Prac,count_Target_response_wrong_Prac,count_Trial_logger,count_Welcome_PP_DE,count_Welcome_PP_E,count_Welcome_PP_ELL,count_Welcome_PP_HEB,count_Welcome_PP_HIN,count_Welcome_PP_HUN,count_Welcome_PP_NOR,count_Welcome_PP_PL,count_Welcome_PP_POR,count_Welcome_PP_SC,count_Welcome_PP_SLK,count_Welcome_PP_SPA,count_Welcome_PP_TC,count_Welcome_PP_THAI,count_Welcome_PP_TUR,datetime,de,description,disable_garbage_collection,ell,empty_column,en,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,form_response,fullscreen,heb,height,hin,hun,keyboard_backend,live_row,live_row_Pictures_loop,live_row_Prac,live_row_Prac_loop,logfile,mouse_backend,nor,opensesame_codename,opensesame_version,osf_always_upload_experiment,osf_id,pol,por,repeat_cycle,reset_loop,response,response_Pictures_Break,response_Pictures_End,response_Pictures_response,response_Start_DE,response_Start_E,response_Start_ELL,response_Start_HEB,response_Start_HIN,response_Start_HUN,response_Start_NOR,response_Start_PL,response_Start_POR,response_Start_SC,response_Start_SLK,response_Start_SPA,response_Start_TC,response_Start_THAI,response_Start_TUR,response_Target_response_Prac,response_Welcome_PP_DE,response_Welcome_PP_E,response_Welcome_PP_ELL,response_Welcome_PP_HEB,response_Welcome_PP_HIN,response_Welcome_PP_HUN,response_Welcome_PP_NOR,response_Welcome_PP_PL,response_Welcome_PP_POR,response_Welcome_PP_SC,response_Welcome_PP_SLK,response_Welcome_PP_SPA,response_Welcome_PP_TC,response_Welcome_PP_THAI,response_Welcome_PP_TUR,response_time,response_time_Pictures_Break,response_time_Pictures_End,response_time_Pictures_response,response_time_Start_DE,response_time_Start_E,response_time_Start_ELL,response_time_Start_HEB,response_time_Start_HIN,response_time_Start_HUN,response_time_Start_NOR,response_time_Start_PL,response_time_Start_POR,response_time_Start_SC,response_time_Start_SLK,response_time_Start_SPA,response_time_Start_TC,response_time_Start_THAI,response_time_Start_TUR,response_time_Target_response_Prac,response_time_Welcome_PP_DE,response_time_Welcome_PP_E,response_time_Welcome_PP_ELL,response_time_Welcome_PP_HEB,response_time_Welcome_PP_HIN,response_time_Welcome_PP_HUN,response_time_Welcome_PP_NOR,response_time_Welcome_PP_PL,response_time_Welcome_PP_POR,response_time_Welcome_PP_SC,response_time_Welcome_PP_SLK,response_time_Welcome_PP_SPA,response_time_Welcome_PP_TC,response_time_Welcome_PP_THAI,response_time_Welcome_PP_TUR,round_decimals,sampler_backend,sc,slk,sound_buf_size,sound_channels,sound_freq,sound_sample_size,spa,start,subject_nr,subject_parity,tc,thai,time_Check_This,time_Disable_Mouse,time_EXP,time_LAB_SEED,time_Language_Selection,time_List_Select,time_List_Selection,time_Pictures_Break,time_Pictures_End,time_Pictures_Exp,time_Pictures_Fixation,time_Pictures_Fixation_Prac,time_Pictures_Prac,time_Pictures_Start,time_Pictures_Target,time_Pictures_Trial,time_Pictures_Welcome,time_Pictures_loop,time_Pictures_response,time_Pictures_response_correct,time_Pictures_response_noans,time_Pictures_response_wrong,time_Prac,time_Prac_Count,time_Prac_Reset,time_Prac_Trial,time_Prac_loop,time_Prac_seq,time_Prac_setup,time_Start_DE,time_Start_E,time_Start_ELL,time_Start_HEB,time_Start_HIN,time_Start_HUN,time_Start_NOR,time_Start_PL,time_Start_POR,time_Start_SC,time_Start_SLK,time_Start_SPA,time_Start_TC,time_Start_THAI,time_Start_TUR,time_Target_Prac,time_Target_response_Prac,time_Target_response_correct_Prac,time_Target_response_noans_Prac,time_Target_response_wrong_Prac,time_Trial_logger,time_Welcome_PP_DE,time_Welcome_PP_E,time_Welcome_PP_ELL,time_Welcome_PP_HEB,time_Welcome_PP_HIN,time_Welcome_PP_HUN,time_Welcome_PP_NOR,time_Welcome_PP_PL,time_Welcome_PP_POR,time_Welcome_PP_SC,time_Welcome_PP_SLK,time_Welcome_PP_SPA,time_Welcome_PP_TC,time_Welcome_PP_THAI,time_Welcome_PP_TUR,title,total_correct,total_response_time,total_responses,tur,uniform_coordinates,width
N,8016,H,V,PP_LIST4.csv,tireH.jpg,tireV.jpg,58.3333333333,58.3333333333,1057.91666667,1057.91666667,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,j,0,0,0,0,0,0,0,NA,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,5,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/20/19 15:55:05,no,Matching Tasks,yes,no,,no,OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp,D:/Comportamiento/PSA,no,mono,no,18,no,#0000ff,no,Español,yes,no,768,no,no,legacy,0,0,6,5,D:/Comportamiento/PSA/ECU_001_PP_51.csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,no,no,0,0,J,NA,NA,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,space,NA,NA,NA,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,space,NA,NA,NA,1157,NA,NA,1157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2734,NA,NA,NA,657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3482,NA,NA,NA,2,legacy,no,no,1024,2,48000,-16,yes,EXP,51,even,no,no,NA,12499,6220,6221,10601,12482,12481,NA,NA,45906,46091,41348,16001,43147,46596,46088,12499,45906,46596,47756,NA,NA,16001,43013,30884,41346,30884,30883,16001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43156,NA,NA,NA,41853,41853,42513,30280,29775,48256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12502,NA,NA,NA,Orientation_PSA2018,7,12695,12,no,yes,1024
F,8016,F,F,PP_LIST4.csv,needle.jpg,tiger.jpg,61.5384615385,61.5384615385,1047.61538462,1047.61538462,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,f,0,0,0,0,0,0,0,NA,1,0,1,10,0,0,1,1,0,0,1,1,1,1,0,10,5,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/20/19 15:55:05,no,Matching Tasks,yes,no,,no,OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp,D:/Comportamiento/PSA,no,mono,no,18,no,#0000ff,no,Español,yes,no,768,no,no,legacy,1,1,6,5,D:/Comportamiento/PSA/ECU_001_PP_51.csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,no,no,0,0,F,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,space,NA,NA,NA,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,space,NA,NA,NA,924,NA,NA,924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2734,NA,NA,NA,657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3482,NA,NA,NA,2,legacy,no,no,1024,2,48000,-16,yes,EXP,51,even,no,no,NA,12499,6220,6221,10601,12482,12481,NA,NA,45906,48750,41348,16001,43147,49256,48748,12499,45906,49256,50183,NA,NA,16001,43013,30884,41346,30884,30883,16001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43156,NA,NA,NA,41853,41853,42513,30280,29775,50683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12502,NA,NA,NA,Orientation_PSA2018,8,13619,13,no,yes,1024
F,8016,F,F,PP_LIST4.csv,tlphon.jpg,knife.jpg,64.2857142857,64.2857142857,1021,1021,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,f,0,0,0,0,0,0,0,NA,2,0,2,10,0,0,2,2,0,0,2,2,2,2,0,10,5,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/20/19 15:55:05,no,Matching Tasks,yes,no,,no,OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp,D:/Comportamiento/PSA,no,mono,no,18,no,#0000ff,no,Español,yes,no,768,no,no,legacy,2,2,6,5,D:/Comportamiento/PSA/ECU_001_PP_51.csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,no,no,0,0,F,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,space,NA,NA,NA,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,space,NA,NA,NA,675,NA,NA,675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2734,NA,NA,NA,657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3482,NA,NA,NA,2,legacy,no,no,1024,2,48000,-16,yes,EXP,51,even,no,no,NA,12499,6220,6221,10601,12482,12481,NA,NA,45906,50972,41348,16001,43147,51478,50970,12499,45906,51478,52156,NA,NA,16001,43013,30884,41346,30884,30883,16001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43156,NA,NA,NA,41853,41853,42513,30280,29775,52657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12502,NA,NA,NA,Orientation_PSA2018,9,14294,14,no,yes,1024
N,8016,H,V,PP_LIST4.csv,scssorH.jpg,scssorV.jpg,66.6666666667,66.6666666667,1020.6,1020.6,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,j,0,0,0,0,0,0,0,NA,3,0,3,10,0,0,3,3,0,0,3,3,3,3,0,10,5,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/20/19 15:55:05,no,Matching Tasks,yes,no,,no,OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp,D:/Comportamiento/PSA,no,mono,no,18,no,#0000ff,no,Español,yes,no,768,no,no,legacy,3,3,6,5,D:/Comportamiento/PSA/ECU_001_PP_51.csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,no,no,0,0,J,NA,NA,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,space,NA,NA,NA,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,space,NA,NA,NA,1015,NA,NA,1015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2734,NA,NA,NA,657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3482,NA,NA,NA,2,legacy,no,no,1024,2,48000,-16,yes,EXP,51,even,no,no,NA,12499,6220,6221,10601,12482,12481,NA,NA,45906,53030,41348,16001,43147,53535,53027,12499,45906,53535,54552,NA,NA,16001,43013,30884,41346,30884,30883,16001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43156,NA,NA,NA,41853,41853,42513,30280,29775,55052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12502,NA,NA,NA,Orientation_PSA2018,10,15309,15,no,yes,1024
F,8016,F,F,PP_LIST4.csv,piano.jpg,sutcse.jpg,62.5,62.5,1020.1875,1020.1875,#ffffff,yes,legacy,legacy,legacy,0,uniform,0,0,undefined,1,undefined,6,f,0,0,0,0,0,0,0,NA,4,0,4,10,0,0,4,4,0,0,4,4,4,4,0,10,5,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/20/19 15:55:05,no,Matching Tasks,yes,no,,no,OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp,D:/Comportamiento/PSA,no,mono,no,18,no,#0000ff,no,Español,yes,no,768,no,no,legacy,4,4,6,5,D:/Comportamiento/PSA/ECU_001_PP_51.csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,no,no,0,0,J,NA,NA,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,space,NA,NA,NA,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,space,NA,NA,NA,1014,NA,NA,1014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2734,NA,NA,NA,657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3482,NA,NA,NA,2,legacy,no,no,1024,2,48000,-16,yes,EXP,51,even,no,no,NA,12499,6220,6221,10601,12482,12481,NA,NA,45906,55359,41348,16001,43147,55865,55357,12499,45906,55865,54552,NA,56882,16001,43013,30884,41346,30884,30883,16001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43156,NA,NA,NA,41853,41853,42513,30280,29775,57382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12502,NA,NA,NA,Orientation_PSA2018,10,16323,16,no,yes,1024
N,8016,H,V,PP_LIST4.csv,saltH.jpg,saltV.jpg,64.7058823529,64.7058823529,1004.29411765,1004.29411765,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,j,0,0,0,0,0,0,0,NA,5,0,5,10,0,0,5,5,0,0,5,5,5,5,0,10,5,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/20/19 15:55:05,no,Matching Tasks,yes,no,,no,OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp,D:/Comportamiento/PSA,no,mono,no,18,no,#0000ff,no,Español,yes,no,768,no,no,legacy,5,5,6,5,D:/Comportamiento/PSA/ECU_001_PP_51.csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,no,no,0,0,J,NA,NA,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,space,NA,NA,NA,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,space,NA,NA,NA,750,NA,NA,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2734,NA,NA,NA,657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3482,NA,NA,NA,2,legacy,no,no,1024,2,48000,-16,yes,EXP,51,even,no,no,NA,12499,6220,6221,10601,12482,12481,NA,NA,45906,57851,41348,16001,43147,58357,57847,12499,45906,58357,59110,NA,56882,16001,43013,30884,41346,30884,30883,16001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43156,NA,NA,NA,41853,41853,42513,30280,29775,59610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12502,NA,NA,NA,Orientation_PSA2018,11,17073,17,no,yes,1024
N,8016,V,H,PP_LIST4.csv,batV.jpg,batH.jpg,66.6666666667,66.6666666667,983.166666667,983.166666667,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,j,0,0,0,0,0,0,0,NA,6,0,6,10,0,0,6,6,0,0,6,6,6,6,0,10,5,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/20/19 15:55:05,no,Matching Tasks,yes,no,,no,OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp,D:/Comportamiento/PSA,no,mono,no,18,no,#0000ff,no,Español,yes,no,768,no,no,legacy,6,6,6,5,D:/Comportamiento/PSA/ECU_001_PP_51.csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,no,no,0,0,J,NA,NA,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,space,NA,NA,NA,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,space,NA,NA,NA,624,NA,NA,624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2734,NA,NA,NA,657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3482,NA,NA,NA,2,legacy,no,no,1024,2,48000,-16,yes,EXP,51,even,no,no,NA,12499,6220,6221,10601,12482,12481,NA,NA,45906,59905,41348,16001,43147,60410,59902,12499,45906,60411,61038,NA,56882,16001,43013,30884,41346,30884,30883,16001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43156,NA,NA,NA,41853,41853,42513,30280,29775,61538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12502,NA,NA,NA,Orientation_PSA2018,12,17697,18,no,yes,1024
N,8016,V,H,PP_LIST4.csv,bowlV.jpg,bowlH.jpg,68.4210526316,68.4210526316,966.421052632,966.421052632,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,j,0,0,0,0,0,0,0,NA,7,0,7,10,0,0,7,7,0,0,7,7,7,7,0,10,5,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/20/19 15:55:05,no,Matching Tasks,yes,no,,no,OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp,D:/Comportamiento/PSA,no,mono,no,18,no,#0000ff,no,Español,yes,no,768,no,no,legacy,7,7,6,5,D:/Comportamiento/PSA/ECU_001_PP_51.csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,no,no,0,0,J,NA,NA,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,space,NA,NA,NA,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,space,NA,NA,NA,665,NA,NA,665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2734,NA,NA,NA,657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3482,NA,NA,NA,2,legacy,no,no,1024,2,48000,-16,yes,EXP,51,even,no,no,NA,12499,6220,6221,10601,12482,12481,NA,NA,45906,61786,41348,16001,43147,62292,61784,12499,45906,62292,62960,NA,56882,16001,43013,30884,41346,30884,30883,16001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43156,NA,NA,NA,41853,41853,42513,30280,29775,63460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12502,NA,NA,NA,Orientation_PSA2018,13,18362,19,no,yes,1024
F,8016,F,F,PP_LIST4.csv,sutcse.jpg,pumpkin.jpg,70,70,950.3,950.3,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,f,0,0,0,0,0,0,0,NA,8,0,8,10,0,0,8,8,0,0,8,8,8,8,0,10,5,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/20/19 15:55:05,no,Matching Tasks,yes,no,,no,OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp,D:/Comportamiento/PSA,no,mono,no,18,no,#0000ff,no,Español,yes,no,768,no,no,legacy,8,8,6,5,D:/Comportamiento/PSA/ECU_001_PP_51.csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,no,no,0,0,F,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,space,NA,NA,NA,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,space,NA,NA,NA,644,NA,NA,644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2734,NA,NA,NA,657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3482,NA,NA,NA,2,legacy,no,no,1024,2,48000,-16,yes,EXP,51,even,no,no,NA,12499,6220,6221,10601,12482,12481,NA,NA,45906,63767,41348,16001,43147,64273,63765,12499,45906,64273,64920,NA,56882,16001,43013,30884,41346,30884,30883,16001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43156,NA,NA,NA,41853,41853,42513,30280,29775,65420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12502,NA,NA,NA,Orientation_PSA2018,14,19006,20,no,yes,1024
F,8016,F,F,PP_LIST4.csv,pumpkin.jpg,trmpet.jpg,71.4285714286,71.4285714286,941.714285714,941.714285714,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,f,0,0,0,0,0,0,0,NA,9,0,9,10,0,0,9,9,0,0,9,9,9,9,0,10,5,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/20/19 15:55:05,no,Matching Tasks,yes,no,,no,OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp,D:/Comportamiento/PSA,no,mono,no,18,no,#0000ff,no,Español,yes,no,768,no,no,legacy,9,9,6,5,D:/Comportamiento/PSA/ECU_001_PP_51.csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,no,no,0,0,F,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,space,NA,NA,NA,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,space,NA,NA,NA,770,NA,NA,770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2734,NA,NA,NA,657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3482,NA,NA,NA,2,legacy,no,no,1024,2,48000,-16,yes,EXP,51,even,no,no,NA,12499,6220,6221,10601,12482,12481,NA,NA,45906,65657,41348,16001,43147,66162,65654,12499,45906,66163,66936,NA,56882,16001,43013,30884,41346,30884,30883,16001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43156,NA,NA,NA,41853,41853,42513,30280,29775,67436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12502,NA,NA,NA,Orientation_PSA2018,15,19776,21,no,yes,1024
