"ID","N","BF"
1,1,1
3,1,1
4,3,0.691884880077451
5,4,0.470734782539565
6,5,0.442317692872264
7,6,0.439755778126554
8,7,0.52340081410623
9,8,0.508658470370633
10,9,0.605287664509581
11,10,0.539975611464841
12,11,0.630223630948244
13,12,0.387709643780046
14,13,0.319322901733409
15,14,0.267443197120521
16,15,0.313359422176135
17,16,0.371056781420859
18,17,0.229704833508914
19,18,0.239360555380553
20,19,0.245047104706573
21,20,0.170992847145874
22,21,0.220285758570067
23,22,0.18557223741343
24,23,0.16031445305943
25,24,0.137185684416168
26,25,0.121705132684138
27,26,0.12146391240731
28,27,0.126215318738619
29,28,0.120261266684313
30,29,0.112442102470535
31,30,0.111069709687948
32,31,0.126217305397663
33,32,0.117251767852352
34,33,0.109709489540496
35,34,0.195378855095491
36,35,0.200539805437549
37,36,0.213660112750656
38,37,0.231438195066701
39,38,0.304295128804003
40,39,0.256901785548528
41,40,0.242968652198539
42,41,0.29927416376964
43,42,0.346306645367827
44,43,0.297839287799702
45,44,0.283034704603986
46,45,0.283609626053812
47,46,0.288902355562762
48,47,0.277394507036646
49,48,0.277968464657367
50,49,0.322884694157261
51,50,0.338287515092622
53,51,0.330084482451593
54,52,0.379540718113158
55,53,0.537911225381349
56,54,0.713602859011273
57,55,0.530188592881699
58,56,0.459255730318575
59,57,0.498696746292969
60,58,0.317639612000006
