"LAB_SEED","List","Match","Orientation","PList","Probe","Target","Task","acc","accuracy","alt_task","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instruction_E","correct_Probe_Prac_response","correct_Probe_response","correct_Probe_sti_response","correct_Start_E","correct_Target_response","correct_Target_response_Prac","correct_Welcome_E","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EN_selection","count_EXP","count_First_Fixation","count_First_Fixation_Prac","count_Instruction_DE","count_Instruction_E","count_Instruction_HUN","count_Instruction_NOR","count_Instruction_PL","count_Instruction_SC","count_Instruction_TC","count_Instruction_THAI","count_Instruction_TUR","count_LAB_SEED","count_Language_Selection","count_List_Select_DE","count_List_Select_E","count_List_Select_HUN","count_List_Select_NOR","count_List_Select_PL","count_List_Select_SC","count_List_Select_TC","count_List_Select_THAI","count_List_Select_TUR","count_List_Selection","count_Memory_loop","count_Memory_sequence","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Probe","count_Probe_Collect","count_Probe_Prac","count_Probe_Prac_response","count_Probe_import","count_Probe_response","count_Probe_sti","count_Probe_sti_correct","count_Probe_sti_response","count_Probe_sti_wrong","count_STUDY_order","count_Second_Fixation","count_Second_Fixation_Prac","count_Start_DE","count_Start_E","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_SC","count_Start_TC","count_Start_THAI","count_Start_TUR","count_Target","count_Target_Prac","count_Target_response","count_Target_response_Prac","count_Target_response_correct","count_Target_response_correct_Prac","count_Target_response_noans","count_Target_response_noans_Prac","count_Target_response_wrong","count_Target_response_wrong_Prac","count_Trial_logger","count_Verification_Break","count_Verification_End","count_Verification_Exp","count_Verification_Prac","count_Verification_Start","count_Verification_Trial","count_Verification_Welcome","count_Verification_loop","count_Welcom_SC","count_Welcom_TC","count_Welcom_THAI","count_Welcom_TUR","count_Welcome_DE","count_Welcome_E","count_Welcome_HUN","count_Welcome_NOR","count_Welcome_PL","count_presetup","datetime","de","description","disable_garbage_collection","empty_column","en","en1","en2","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","hun","keyboard_backend","live_row","live_row_Prac","live_row_Prac_loop","live_row_Verification_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","pol","rectarget","repeat_cycle","reset_loop","response","response_Instruction_DE","response_Instruction_E","response_Instruction_HUN","response_Instruction_NOR","response_Instruction_PL","response_Instruction_SC","response_Instruction_TC","response_Instruction_THAI","response_Instruction_TUR","response_Probe_Prac_response","response_Probe_response","response_Probe_sti_response","response_Start_DE","response_Start_E","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_SC","response_Start_TC","response_Start_THAI","response_Start_TUR","response_Target_response","response_Target_response_Prac","response_Verification_Break","response_Verification_End","response_Welcom_SC","response_Welcom_TC","response_Welcom_THAI","response_Welcom_TUR","response_Welcome_DE","response_Welcome_E","response_Welcome_HUN","response_Welcome_NOR","response_Welcome_PL","response_time","response_time_Instruction_DE","response_time_Instruction_E","response_time_Instruction_HUN","response_time_Instruction_NOR","response_time_Instruction_PL","response_time_Instruction_SC","response_time_Instruction_TC","response_time_Instruction_THAI","response_time_Instruction_TUR","response_time_Probe_Prac_response","response_time_Probe_response","response_time_Probe_sti_response","response_time_Start_DE","response_time_Start_E","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_SC","response_time_Start_TC","response_time_Start_THAI","response_time_Start_TUR","response_time_Target_response","response_time_Target_response_Prac","response_time_Verification_Break","response_time_Verification_End","response_time_Welcom_SC","response_time_Welcom_TC","response_time_Welcom_THAI","response_time_Welcom_TUR","response_time_Welcome_DE","response_time_Welcome_E","response_time_Welcome_HUN","response_time_Welcome_NOR","response_time_Welcome_PL","round_decimals","sampler_backend","sc","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","task_order","tc","thai","time_Check_This","time_Disable_Mouse","time_EN_selection","time_EXP","time_First_Fixation","time_First_Fixation_Prac","time_Instruction_DE","time_Instruction_E","time_Instruction_HUN","time_Instruction_NOR","time_Instruction_PL","time_Instruction_SC","time_Instruction_TC","time_Instruction_THAI","time_Instruction_TUR","time_LAB_SEED","time_Language_Selection","time_List_Select_DE","time_List_Select_E","time_List_Select_HUN","time_List_Select_NOR","time_List_Select_PL","time_List_Select_SC","time_List_Select_TC","time_List_Select_THAI","time_List_Select_TUR","time_List_Selection","time_Memory_loop","time_Memory_sequence","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Probe","time_Probe_Collect","time_Probe_Prac","time_Probe_Prac_response","time_Probe_import","time_Probe_response","time_Probe_sti","time_Probe_sti_correct","time_Probe_sti_response","time_Probe_sti_wrong","time_STUDY_order","time_Second_Fixation","time_Second_Fixation_Prac","time_Start_DE","time_Start_E","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_SC","time_Start_TC","time_Start_THAI","time_Start_TUR","time_Target","time_Target_Prac","time_Target_response","time_Target_response_Prac","time_Target_response_correct","time_Target_response_correct_Prac","time_Target_response_noans","time_Target_response_noans_Prac","time_Target_response_wrong","time_Target_response_wrong_Prac","time_Trial_logger","time_Verification_Break","time_Verification_End","time_Verification_Exp","time_Verification_Prac","time_Verification_Start","time_Verification_Trial","time_Verification_Welcome","time_Verification_loop","time_Welcom_SC","time_Welcom_TC","time_Welcom_THAI","time_Welcom_TUR","time_Welcome_DE","time_Welcome_E","time_Welcome_HUN","time_Welcome_NOR","time_Welcome_PL","time_presetup","title","total_correct","total_response_time","total_responses","tur","uniform_coordinates","width"
"6652","GBR_LIST4.csv","F","F","GBR_Prac1.csv","The thirsty mountain biker refilled his bottle at the waterfountain.","flower.jpg","V","38.2352941176","38.2352941176","[6, 11, 13, 17, 23, 25, 29, 34, 38, 43, 47]","3440.35294118","3440.35294118","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","0","15","4","15","4","4","0","0","0","15","15","NA","0","NA","NA","NA","NA","0","0","15","0","0","0","0","0","0","0","0","0","0","15","0","15","0","15","0","15","0","15","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Thu Oct 31 13:16:53 2019","no","Matching Tasks","yes","","yes","no","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","/Users/psylab/Documents/MIRO/01_SP","no","chinese-japanese-korean","no","18","no","#0000ff","no","UK","yes","768","no","legacy","0","5","5","0","/Users/psylab/Documents/MIRO/01_SP/subject-6.csv","legacy","no","Kafkaesque Koffka","3.2.7","no","NA","0","0","f","NA","space","NA","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","f","j","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","1240","NA","39261","NA","NA","NA","NA","NA","NA","NA","2692","7781","NA","NA","29100","NA","NA","NA","NA","NA","NA","NA","1240","832","NA","NA","NA","NA","NA","NA","NA","49773","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","6","even","Yes","no","no","NA","9122","8420","4463","269995","235162","NA","58914","NA","NA","NA","NA","NA","NA","NA","4465","7499","NA","9109","NA","NA","NA","NA","NA","NA","NA","9109","NA","NA","98189","240726","204599","235153","204599","204599","98189","271003","271003","236172","236172","NA","271003","NA","NA","NA","NA","NA","278795","238874","NA","240772","NA","NA","NA","NA","NA","NA","NA","279304","239383","279304","239383","280554","240225","NA","123429","NA","204073","281055","NA","NA","269886","98189","240762","269986","9122","269887","NA","NA","NA","NA","NA","9131","NA","NA","NA","269886","Orientation_PSA2018","13","116972","34","no","yes","1024"
"6652","GBR_LIST4.csv","F","F","GBR_Prac1.csv","Melissa volleyed the ball over the net.","house.jpg","V","38.8888888889","38.8888888889","[6, 11, 13, 17, 23, 25, 29, 34, 38, 43, 47]","3363.58333333","3363.58333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","0","1","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","NA","0","15","4","15","4","4","0","1","1","15","15","NA","1","NA","NA","NA","NA","0","1","15","0","0","0","0","0","0","0","0","0","1","15","1","15","1","15","1","15","1","15","1","NA","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","Thu Oct 31 13:16:53 2019","no","Matching Tasks","yes","","yes","no","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","/Users/psylab/Documents/MIRO/01_SP","no","chinese-japanese-korean","no","18","no","#0000ff","no","UK","yes","768","no","legacy","1","5","5","1","/Users/psylab/Documents/MIRO/01_SP/subject-6.csv","legacy","no","Kafkaesque Koffka","3.2.7","no","NA","0","0","f","NA","space","NA","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","f","j","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","912","NA","39261","NA","NA","NA","NA","NA","NA","NA","2692","3205","NA","NA","29100","NA","NA","NA","NA","NA","NA","NA","912","832","NA","NA","NA","NA","NA","NA","NA","49773","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","6","even","Yes","no","no","NA","9122","8420","4463","281194","235162","NA","58914","NA","NA","NA","NA","NA","NA","NA","4465","7499","NA","9109","NA","NA","NA","NA","NA","NA","NA","9109","NA","NA","98189","240726","204599","235153","204599","204599","98189","282203","282203","236172","236172","NA","282203","NA","NA","NA","NA","NA","285419","238874","NA","240772","NA","NA","NA","NA","NA","NA","NA","285928","239383","285928","239383","286850","240225","NA","123429","NA","204073","287351","NA","NA","269886","98189","240762","281185","9122","269887","NA","NA","NA","NA","NA","9131","NA","NA","NA","269886","Orientation_PSA2018","14","121089","36","no","yes","1024"
"6652","GBR_LIST4.csv","F","F","GBR_Prac1.csv","The coach threw his water bottle on the ground in anger.","ftball.jpg","V","39.4736842105","39.4736842105","[6, 11, 13, 17, 23, 25, 29, 34, 38, 43, 47]","3292.60526316","3292.60526316","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","0","2","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","NA","0","15","4","15","4","4","0","2","2","15","15","NA","2","NA","NA","NA","NA","0","2","15","0","0","0","0","0","0","0","0","0","2","15","2","15","2","15","2","15","2","15","2","NA","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","Thu Oct 31 13:16:53 2019","no","Matching Tasks","yes","","yes","no","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","/Users/psylab/Documents/MIRO/01_SP","no","chinese-japanese-korean","no","18","no","#0000ff","no","UK","yes","768","no","legacy","2","5","5","2","/Users/psylab/Documents/MIRO/01_SP/subject-6.csv","legacy","no","Kafkaesque Koffka","3.2.7","no","NA","0","0","f","NA","space","NA","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","f","j","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","1369","NA","39261","NA","NA","NA","NA","NA","NA","NA","2692","2661","NA","NA","29100","NA","NA","NA","NA","NA","NA","NA","1369","832","NA","NA","NA","NA","NA","NA","NA","49773","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","6","even","Yes","no","no","NA","9122","8420","4463","287474","235162","NA","58914","NA","NA","NA","NA","NA","NA","NA","4465","7499","NA","9109","NA","NA","NA","NA","NA","NA","NA","9109","NA","NA","98189","240726","204599","235153","204599","204599","98189","288483","288483","236172","236172","NA","288483","NA","NA","NA","NA","NA","291153","238874","NA","240772","NA","NA","NA","NA","NA","NA","NA","291663","239383","291663","239383","293042","240225","NA","123429","NA","204073","293542","NA","NA","269886","98189","240762","287465","9122","269887","NA","NA","NA","NA","NA","9131","NA","NA","NA","269886","Orientation_PSA2018","15","125119","38","no","yes","1024"
"6652","GBR_LIST4.csv","F","F","GBR_Prac1.csv","George put his cell phone in the pocket of his trench coat.","spider.jpg","V","40","40","[6, 11, 13, 17, 23, 25, 29, 34, 38, 43, 47]","3238.775","3238.775","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","0","3","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","NA","0","15","4","15","4","4","0","3","3","15","15","NA","3","NA","NA","NA","NA","0","3","15","0","0","0","0","0","0","0","0","0","3","15","3","15","3","15","3","15","3","15","3","NA","3","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","Thu Oct 31 13:16:53 2019","no","Matching Tasks","yes","","yes","no","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","/Users/psylab/Documents/MIRO/01_SP","no","chinese-japanese-korean","no","18","no","#0000ff","no","UK","yes","768","no","legacy","3","5","5","3","/Users/psylab/Documents/MIRO/01_SP/subject-6.csv","legacy","no","Kafkaesque Koffka","3.2.7","no","NA","0","0","f","NA","space","NA","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","f","j","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","1018","NA","39261","NA","NA","NA","NA","NA","NA","NA","2692","3414","NA","NA","29100","NA","NA","NA","NA","NA","NA","NA","1018","832","NA","NA","NA","NA","NA","NA","NA","49773","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","6","even","Yes","no","no","NA","9122","8420","4463","293665","235162","NA","58914","NA","NA","NA","NA","NA","NA","NA","4465","7499","NA","9109","NA","NA","NA","NA","NA","NA","NA","9109","NA","NA","98189","240726","204599","235153","204599","204599","98189","294674","294674","236172","236172","NA","294674","NA","NA","NA","NA","NA","298098","238874","NA","240772","NA","NA","NA","NA","NA","NA","NA","298607","239383","298607","239383","299635","240225","NA","123429","NA","204073","300135","NA","NA","269886","98189","240762","293656","9122","269887","NA","NA","NA","NA","NA","9131","NA","NA","NA","269886","Orientation_PSA2018","16","129551","40","no","yes","1024"
"6652","GBR_LIST4.csv","N","H","GBR_Prac1.csv","The lab assistant put the key to the monkey cage in the lock.","keyV.jpg","V","40.4761904762","40.4761904762","[6, 11, 13, 17, 23, 25, 29, 34, 38, 43, 47]","3202.71428571","3202.71428571","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","0","4","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","NA","0","15","4","15","4","4","0","4","4","15","15","NA","4","NA","NA","NA","NA","0","4","15","0","0","0","0","0","0","0","0","0","4","15","4","15","4","15","4","15","4","15","4","NA","4","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","Thu Oct 31 13:16:53 2019","no","Matching Tasks","yes","","yes","no","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","/Users/psylab/Documents/MIRO/01_SP","no","chinese-japanese-korean","no","18","no","#0000ff","no","UK","yes","768","no","legacy","4","5","5","4","/Users/psylab/Documents/MIRO/01_SP/subject-6.csv","legacy","no","Kafkaesque Koffka","3.2.7","no","NA","0","0","j","NA","space","NA","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","j","j","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","888","NA","39261","NA","NA","NA","NA","NA","NA","NA","2692","4075","NA","NA","29100","NA","NA","NA","NA","NA","NA","NA","888","832","NA","NA","NA","NA","NA","NA","NA","49773","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","6","even","Yes","no","no","NA","9122","8420","4463","300258","235162","NA","58914","NA","NA","NA","NA","NA","NA","NA","4465","7499","NA","9109","NA","NA","NA","NA","NA","NA","NA","9109","NA","NA","98189","240726","204599","235153","204599","204599","98189","301268","301268","236172","236172","NA","301268","NA","NA","NA","NA","NA","305355","238874","NA","240772","NA","NA","NA","NA","NA","NA","NA","305864","239383","305864","239383","306763","240225","NA","123429","NA","204073","307263","NA","NA","269886","98189","240762","300249","9122","269887","NA","NA","NA","NA","NA","9131","NA","NA","NA","269886","Orientation_PSA2018","17","134514","42","no","yes","1024"
"6652","GBR_LIST4.csv","Y","V","GBR_Prac1.csv","The caterpillar inched along the lamp post.","caterpillarV.jpg","V","40.9090909091","40.9090909091","[6, 11, 13, 17, 23, 25, 29, 34, 38, 43, 47]","3154.34090909","3154.34090909","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","0","5","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","NA","0","15","4","15","4","4","0","5","5","15","15","NA","5","NA","NA","NA","NA","0","5","15","0","0","0","0","0","0","0","0","0","5","15","5","15","5","15","5","15","5","15","5","NA","5","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","Thu Oct 31 13:16:53 2019","no","Matching Tasks","yes","","yes","no","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","/Users/psylab/Documents/MIRO/01_SP","no","chinese-japanese-korean","no","18","no","#0000ff","no","UK","yes","768","no","legacy","5","5","5","5","/Users/psylab/Documents/MIRO/01_SP/subject-6.csv","legacy","no","Kafkaesque Koffka","3.2.7","no","NA","0","0","j","NA","space","NA","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","j","j","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","1320","NA","39261","NA","NA","NA","NA","NA","NA","NA","2692","2957","NA","NA","29100","NA","NA","NA","NA","NA","NA","NA","1320","832","NA","NA","NA","NA","NA","NA","NA","49773","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","6","even","Yes","no","no","NA","9122","8420","4463","307435","235162","NA","58914","NA","NA","NA","NA","NA","NA","NA","4465","7499","NA","9109","NA","NA","NA","NA","NA","NA","NA","9109","NA","NA","98189","240726","204599","235153","204599","204599","98189","308444","308444","236172","236172","NA","308444","NA","NA","NA","NA","NA","311411","238874","NA","240772","NA","NA","NA","NA","NA","NA","NA","311920","239383","311920","239383","313250","240225","NA","123429","NA","204073","313750","NA","NA","269886","98189","240762","307426","9122","269887","NA","NA","NA","NA","NA","9131","NA","NA","NA","269886","Orientation_PSA2018","18","138791","44","no","yes","1024"
"6652","GBR_LIST4.csv","N","H","GBR_Prac1.csv","The carpenter hammered the nail into the wall.","nailV.jpg","V","41.3043478261","41.3043478261","[6, 11, 13, 17, 23, 25, 29, 34, 38, 43, 47]","3129.65217391","3129.65217391","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","0","6","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","NA","0","15","4","15","4","4","0","6","6","15","15","NA","6","NA","NA","NA","NA","0","6","15","0","0","0","0","0","0","0","0","0","6","15","6","15","6","15","6","15","6","15","6","NA","6","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","Thu Oct 31 13:16:53 2019","no","Matching Tasks","yes","","yes","no","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","/Users/psylab/Documents/MIRO/01_SP","no","chinese-japanese-korean","no","18","no","#0000ff","no","UK","yes","768","no","legacy","6","5","5","6","/Users/psylab/Documents/MIRO/01_SP/subject-6.csv","legacy","no","Kafkaesque Koffka","3.2.7","no","NA","0","0","j","NA","space","NA","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","j","j","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","1034","NA","39261","NA","NA","NA","NA","NA","NA","NA","2692","4139","NA","NA","29100","NA","NA","NA","NA","NA","NA","NA","1034","832","NA","NA","NA","NA","NA","NA","NA","49773","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","6","even","Yes","no","no","NA","9122","8420","4463","313876","235162","NA","58914","NA","NA","NA","NA","NA","NA","NA","4465","7499","NA","9109","NA","NA","NA","NA","NA","NA","NA","9109","NA","NA","98189","240726","204599","235153","204599","204599","98189","314885","314885","236172","236172","NA","314885","NA","NA","NA","NA","NA","319034","238874","NA","240772","NA","NA","NA","NA","NA","NA","NA","319543","239383","319543","239383","320587","240225","NA","123429","NA","204073","321087","NA","NA","269886","98189","240762","313867","9122","269887","NA","NA","NA","NA","NA","9131","NA","NA","NA","269886","Orientation_PSA2018","19","143964","46","no","yes","1024"
"6652","GBR_LIST4.csv","N","H","GBR_Prac1.csv","The carpenter hammered the nail into the wall.","nailV.jpg","M","40.4255319149","40.4255319149","[6, 11, 13, 17, 23, 25, 29, 34, 38, 43, 47]","3245.38297872","3245.38297872","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","0","undefined","1","1","undefined","6","f","0","0","0","0","6","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","15","4","15","4","4","0","6","6","15","15","0","6","0","0","0","0","0","6","15","0","0","0","0","0","0","0","0","0","6","15","6","15","6","15","6","15","6","15","7","NA","6","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","Thu Oct 31 13:16:53 2019","no","Matching Tasks","yes","","yes","no","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","/Users/psylab/Documents/MIRO/01_SP","no","chinese-japanese-korean","no","18","no","#0000ff","no","UK","yes","768","no","legacy","0","5","5","6","/Users/psylab/Documents/MIRO/01_SP/subject-6.csv","legacy","no","Kafkaesque Koffka","3.2.7","no","The coach threw his water bottle on the ground in anger.","0","0","j","NA","space","NA","NA","NA","NA","NA","NA","NA","space","space","j","NA","space","NA","NA","NA","NA","NA","NA","NA","j","j","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","8569","NA","39261","NA","NA","NA","NA","NA","NA","NA","2692","4139","8569","NA","29100","NA","NA","NA","NA","NA","NA","NA","1034","832","NA","NA","NA","NA","NA","NA","NA","49773","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","6","even","Yes","no","no","NA","9122","8420","4463","313876","235162","NA","58914","NA","NA","NA","NA","NA","NA","NA","4465","7499","NA","9109","NA","NA","NA","NA","NA","NA","NA","9109","321094","321151","98189","240726","204599","235153","204599","204599","98189","314885","314885","236172","236172","321151","314885","321160","NA","321160","329739","NA","319034","238874","NA","240772","NA","NA","NA","NA","NA","NA","NA","319543","239383","319543","239383","320587","240225","NA","123429","NA","204073","331239","NA","NA","269886","98189","240762","313867","9122","269887","NA","NA","NA","NA","NA","9131","NA","NA","NA","269886","Orientation_PSA2018","19","152533","47","no","yes","1024"
"6652","GBR_LIST4.csv","F","F","GBR_Prac1.csv","A turtle was resting on a log across the pond.","pumpkin.jpg","V","40.8163265306","40.8163265306","[6, 11, 13, 17, 23, 25, 29, 34, 38, 43, 47]","3250.97959184","3250.97959184","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","0","undefined","1","1","undefined","6","f","0","0","0","0","7","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","15","4","15","4","4","0","7","7","15","15","0","7","0","0","0","0","0","7","15","0","0","0","0","0","0","0","0","0","7","15","7","15","7","15","7","15","7","15","8","NA","7","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","Thu Oct 31 13:16:53 2019","no","Matching Tasks","yes","","yes","no","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","/Users/psylab/Documents/MIRO/01_SP","no","chinese-japanese-korean","no","18","no","#0000ff","no","UK","yes","768","no","legacy","7","5","5","7","/Users/psylab/Documents/MIRO/01_SP/subject-6.csv","legacy","no","Kafkaesque Koffka","3.2.7","no","The coach threw his water bottle on the ground in anger.","0","0","f","NA","space","NA","NA","NA","NA","NA","NA","NA","space","space","j","NA","space","NA","NA","NA","NA","NA","NA","NA","f","j","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","1090","NA","39261","NA","NA","NA","NA","NA","NA","NA","2692","5675","8569","NA","29100","NA","NA","NA","NA","NA","NA","NA","1090","832","NA","NA","NA","NA","NA","NA","NA","49773","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","6","even","Yes","no","no","NA","9122","8420","4463","331379","235162","NA","58914","NA","NA","NA","NA","NA","NA","NA","4465","7499","NA","9109","NA","NA","NA","NA","NA","NA","NA","9109","321094","321151","98189","240726","204599","235153","204599","204599","98189","332388","332388","236172","236172","321151","332388","321160","NA","321160","329739","NA","338074","238874","NA","240772","NA","NA","NA","NA","NA","NA","NA","338583","239383","338583","239383","339683","240225","NA","123429","NA","204073","340183","NA","NA","269886","98189","240762","331369","9122","269887","NA","NA","NA","NA","NA","9131","NA","NA","NA","269886","Orientation_PSA2018","20","159298","49","no","yes","1024"
"6652","GBR_LIST4.csv","F","F","GBR_Prac1.csv","The mechanic replaced the tires on the vintage automobile.","glass.jpg","V","41.1764705882","41.1764705882","[6, 11, 13, 17, 23, 25, 29, 34, 38, 43, 47]","3258.39215686","3258.39215686","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","0","undefined","1","1","undefined","6","f","0","0","0","0","8","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","15","4","15","4","4","0","8","8","15","15","0","8","0","0","0","0","0","8","15","0","0","0","0","0","0","0","0","0","8","15","8","15","8","15","8","15","8","15","9","NA","8","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","Thu Oct 31 13:16:53 2019","no","Matching Tasks","yes","","yes","no","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","/Users/psylab/Documents/MIRO/01_SP","no","chinese-japanese-korean","no","18","no","#0000ff","no","UK","yes","768","no","legacy","8","5","5","8","/Users/psylab/Documents/MIRO/01_SP/subject-6.csv","legacy","no","Kafkaesque Koffka","3.2.7","no","The coach threw his water bottle on the ground in anger.","0","0","f","NA","space","NA","NA","NA","NA","NA","NA","NA","space","space","j","NA","space","NA","NA","NA","NA","NA","NA","NA","f","j","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","1130","NA","39261","NA","NA","NA","NA","NA","NA","NA","2692","5750","8569","NA","29100","NA","NA","NA","NA","NA","NA","NA","1130","832","NA","NA","NA","NA","NA","NA","NA","49773","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","6","even","Yes","no","no","NA","9122","8420","4463","340304","235162","NA","58914","NA","NA","NA","NA","NA","NA","NA","4465","7499","NA","9109","NA","NA","NA","NA","NA","NA","NA","9109","321094","321151","98189","240726","204599","235153","204599","204599","98189","341314","341314","236172","236172","321151","341314","321160","NA","321160","329739","NA","347074","238874","NA","240772","NA","NA","NA","NA","NA","NA","NA","347583","239383","347583","239383","348723","240225","NA","123429","NA","204073","349223","NA","NA","269886","98189","240762","340295","9122","269887","NA","NA","NA","NA","NA","9131","NA","NA","NA","269886","Orientation_PSA2018","21","166178","51","no","yes","1024"
