"Identical","LAB_SEED","Match","Orientation","Orientation1","Orientation2","PPList","Picture1","Picture2","Probe","Target","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_E","correct_Target_response_Prac","correct_Welcome_PP_E","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_DE","count_Start_E","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_SC","count_Start_TC","count_Start_THAI","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac","count_Target_response_wrong_Prac","count_Trial_logger","count_Welcome_PP_DE","count_Welcome_PP_E","count_Welcome_PP_HUN","count_Welcome_PP_NOR","count_Welcome_PP_PL","count_Welcome_PP_SC","count_Welcome_PP_TC","count_Welcome_PP_THAI","datetime","de","description","disable_garbage_collection","empty_column","en","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","hun","keyboard_backend","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","pol","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_DE","response_Start_E","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_SC","response_Start_TC","response_Start_THAI","response_Target_response_Prac","response_Welcome_PP_DE","response_Welcome_PP_E","response_Welcome_PP_HUN","response_Welcome_PP_NOR","response_Welcome_PP_PL","response_Welcome_PP_SC","response_Welcome_PP_TC","response_Welcome_PP_THAI","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_DE","response_time_Start_E","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_SC","response_time_Start_TC","response_time_Start_THAI","response_time_Target_response_Prac","response_time_Welcome_PP_DE","response_time_Welcome_PP_E","response_time_Welcome_PP_HUN","response_time_Welcome_PP_NOR","response_time_Welcome_PP_PL","response_time_Welcome_PP_SC","response_time_Welcome_PP_TC","response_time_Welcome_PP_THAI","round_decimals","sampler_backend","sc","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","tc","thai","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_DE","time_Start_E","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_SC","time_Start_TC","time_Start_THAI","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac","time_Target_response_wrong_Prac","time_Trial_logger","time_Welcome_PP_DE","time_Welcome_PP_E","time_Welcome_PP_HUN","time_Welcome_PP_NOR","time_Welcome_PP_PL","time_Welcome_PP_SC","time_Welcome_PP_TC","time_Welcome_PP_THAI","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"Y","1069","NA","NA","H","H","PP_LIST2.csv","saltH.jpg","saltH.jpg","NA","NA","91.6666666667","91.6666666667","815.833333333","815.833333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","0","1","undefined","6","j","0","0","0","0","0","0","0","NA","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","10","1","10","1","1","0","0","0","0","0","0","0","0","0","10","10","10","10","10","0","0","0","0","0","0","0","0","0","10/01/19 11:44:56","no","Matching Tasks","yes","","yes","H:/Research/PSA002003","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","0","0","2","5","H:/Research/PSA002003/GBR_006_PP_045.csv","legacy","no","Jazzy James","3.1.9","yes","5a7ce671e83246000deafe81","no","0","0","J","NA","NA","J","NA","space","NA","NA","NA","NA","NA","NA","J","NA","space","NA","NA","NA","NA","NA","NA","1096","NA","NA","1096","NA","4253","NA","NA","NA","NA","NA","NA","807","NA","33425","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","45","odd","no","no","NA","6359","1616","1619","5286","6352","6352","NA","NA","64655","64718","58575","39792","60396","65218","64717","6359","64655","65218","66315","NA","NA","39792","60383","50434","58573","50434","50434","39792","NA","60397","NA","NA","NA","NA","NA","NA","59075","59075","59883","42719","49923","66815","NA","6361","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","11","9790","12","yes","1024"
"N","1069","NA","NA","V","H","PP_LIST2.csv","guitarV.jpg","guitarH.jpg","NA","NA","84.6153846154","84.6153846154","793.384615385","793.384615385","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","0","0","1","undefined","6","j","0","0","0","0","0","0","0","NA","1","0","1","10","0","0","1","1","0","0","1","1","1","1","0","10","1","10","1","1","0","0","0","0","0","0","0","0","0","10","10","10","10","10","1","0","0","0","0","0","0","0","0","10/01/19 11:44:56","no","Matching Tasks","yes","","yes","H:/Research/PSA002003","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","1","1","2","5","H:/Research/PSA002003/GBR_006_PP_045.csv","legacy","no","Jazzy James","3.1.9","yes","5a7ce671e83246000deafe81","no","0","0","F","NA","NA","F","NA","space","NA","NA","NA","NA","NA","NA","J","NA","space","NA","NA","NA","NA","NA","NA","524","NA","NA","524","NA","4253","NA","NA","NA","NA","NA","NA","807","NA","33425","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","45","odd","no","no","NA","6359","1616","1619","5286","6352","6352","NA","NA","64655","66866","58575","39792","60396","67366","66864","6359","64655","67366","66315","NA","67891","39792","60383","50434","58573","50434","50434","39792","NA","60397","NA","NA","NA","NA","NA","NA","59075","59075","59883","42719","49923","68391","NA","6361","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","11","10314","13","yes","1024"
"F","1069","NA","NA","F","F","PP_LIST2.csv","tapedispenser.jpg","wrench.jpg","NA","NA","78.5714285714","78.5714285714","822.142857143","822.142857143","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","0","0","1","undefined","6","f","0","0","0","0","0","0","0","NA","2","0","2","10","0","0","2","2","0","0","2","2","2","2","0","10","1","10","1","1","0","0","0","0","0","0","0","0","0","10","10","10","10","10","2","0","0","0","0","0","0","0","0","10/01/19 11:44:56","no","Matching Tasks","yes","","yes","H:/Research/PSA002003","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","2","2","2","5","H:/Research/PSA002003/GBR_006_PP_045.csv","legacy","no","Jazzy James","3.1.9","yes","5a7ce671e83246000deafe81","no","0","0","J","NA","NA","J","NA","space","NA","NA","NA","NA","NA","NA","J","NA","space","NA","NA","NA","NA","NA","NA","1196","NA","NA","1196","NA","4253","NA","NA","NA","NA","NA","NA","807","NA","33425","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","45","odd","no","no","NA","6359","1616","1619","5286","6352","6352","NA","NA","64655","68434","58575","39792","60396","68934","68432","6359","64655","68934","66315","NA","70131","39792","60383","50434","58573","50434","50434","39792","NA","60397","NA","NA","NA","NA","NA","NA","59075","59075","59883","42719","49923","70631","NA","6361","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","11","11510","14","yes","1024"
"F","1069","NA","NA","F","F","PP_LIST2.csv","tiger.jpg","wndmil.jpg","NA","NA","80","80","828.333333333","828.333333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","0","1","undefined","6","f","0","0","0","0","0","0","0","NA","3","0","3","10","0","0","3","3","0","0","3","3","3","3","0","10","1","10","1","1","0","0","0","0","0","0","0","0","0","10","10","10","10","10","3","0","0","0","0","0","0","0","0","10/01/19 11:44:56","no","Matching Tasks","yes","","yes","H:/Research/PSA002003","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","3","3","2","5","H:/Research/PSA002003/GBR_006_PP_045.csv","legacy","no","Jazzy James","3.1.9","yes","5a7ce671e83246000deafe81","no","0","0","F","NA","NA","F","NA","space","NA","NA","NA","NA","NA","NA","J","NA","space","NA","NA","NA","NA","NA","NA","915","NA","NA","915","NA","4253","NA","NA","NA","NA","NA","NA","807","NA","33425","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","45","odd","no","no","NA","6359","1616","1619","5286","6352","6352","NA","NA","64655","70675","58575","39792","60396","71175","70674","6359","64655","71175","72091","NA","70131","39792","60383","50434","58573","50434","50434","39792","NA","60397","NA","NA","NA","NA","NA","NA","59075","59075","59883","42719","49923","72591","NA","6361","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","12","12425","15","yes","1024"
"F","1069","NA","NA","F","F","PP_LIST2.csv","house.jpg","ring.jpg","NA","NA","81.25","81.25","813.8125","813.8125","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","0","1","undefined","6","f","0","0","0","0","0","0","0","NA","4","0","4","10","0","0","4","4","0","0","4","4","4","4","0","10","1","10","1","1","0","0","0","0","0","0","0","0","0","10","10","10","10","10","4","0","0","0","0","0","0","0","0","10/01/19 11:44:56","no","Matching Tasks","yes","","yes","H:/Research/PSA002003","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","4","4","2","5","H:/Research/PSA002003/GBR_006_PP_045.csv","legacy","no","Jazzy James","3.1.9","yes","5a7ce671e83246000deafe81","no","0","0","F","NA","NA","F","NA","space","NA","NA","NA","NA","NA","NA","J","NA","space","NA","NA","NA","NA","NA","NA","596","NA","NA","596","NA","4253","NA","NA","NA","NA","NA","NA","807","NA","33425","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","45","odd","no","no","NA","6359","1616","1619","5286","6352","6352","NA","NA","64655","72634","58575","39792","60396","73134","72632","6359","64655","73134","73731","NA","70131","39792","60383","50434","58573","50434","50434","39792","NA","60397","NA","NA","NA","NA","NA","NA","59075","59075","59883","42719","49923","74231","NA","6361","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","13","13021","16","yes","1024"
"F","1069","NA","NA","F","F","PP_LIST2.csv","umberella.jpg","flower.jpg","NA","NA","82.3529411765","82.3529411765","805.235294118","805.235294118","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","0","1","undefined","6","f","0","0","0","0","0","0","0","NA","5","0","5","10","0","0","5","5","0","0","5","5","5","5","0","10","1","10","1","1","0","0","0","0","0","0","0","0","0","10","10","10","10","10","5","0","0","0","0","0","0","0","0","10/01/19 11:44:56","no","Matching Tasks","yes","","yes","H:/Research/PSA002003","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","5","5","2","5","H:/Research/PSA002003/GBR_006_PP_045.csv","legacy","no","Jazzy James","3.1.9","yes","5a7ce671e83246000deafe81","no","0","0","F","NA","NA","F","NA","space","NA","NA","NA","NA","NA","NA","J","NA","space","NA","NA","NA","NA","NA","NA","668","NA","NA","668","NA","4253","NA","NA","NA","NA","NA","NA","807","NA","33425","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","45","odd","no","no","NA","6359","1616","1619","5286","6352","6352","NA","NA","64655","74274","58575","39792","60396","74774","74272","6359","64655","74774","75443","NA","70131","39792","60383","50434","58573","50434","50434","39792","NA","60397","NA","NA","NA","NA","NA","NA","59075","59075","59883","42719","49923","75943","NA","6361","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","14","13689","17","yes","1024"
"F","1069","NA","NA","F","F","PP_LIST2.csv","spider.jpg","couch.jpg","NA","NA","83.3333333333","83.3333333333","799.666666667","799.666666667","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","0","1","undefined","6","f","0","0","0","0","0","0","0","NA","6","0","6","10","0","0","6","6","0","0","6","6","6","6","0","10","1","10","1","1","0","0","0","0","0","0","0","0","0","10","10","10","10","10","6","0","0","0","0","0","0","0","0","10/01/19 11:44:56","no","Matching Tasks","yes","","yes","H:/Research/PSA002003","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","6","6","2","5","H:/Research/PSA002003/GBR_006_PP_045.csv","legacy","no","Jazzy James","3.1.9","yes","5a7ce671e83246000deafe81","no","0","0","F","NA","NA","F","NA","space","NA","NA","NA","NA","NA","NA","J","NA","space","NA","NA","NA","NA","NA","NA","705","NA","NA","705","NA","4253","NA","NA","NA","NA","NA","NA","807","NA","33425","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","45","odd","no","no","NA","6359","1616","1619","5286","6352","6352","NA","NA","64655","75989","58575","39792","60396","76489","75987","6359","64655","76489","77195","NA","70131","39792","60383","50434","58573","50434","50434","39792","NA","60397","NA","NA","NA","NA","NA","NA","59075","59075","59883","42719","49923","77695","NA","6361","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","15","14394","18","yes","1024"
"F","1069","NA","NA","F","F","PP_LIST2.csv","piano.jpg","sutcse.jpg","NA","NA","84.2105263158","84.2105263158","792.315789474","792.315789474","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","0","1","undefined","6","f","0","0","0","0","0","0","0","NA","7","0","7","10","0","0","7","7","0","0","7","7","7","7","0","10","1","10","1","1","0","0","0","0","0","0","0","0","0","10","10","10","10","10","7","0","0","0","0","0","0","0","0","10/01/19 11:44:56","no","Matching Tasks","yes","","yes","H:/Research/PSA002003","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","7","7","2","5","H:/Research/PSA002003/GBR_006_PP_045.csv","legacy","no","Jazzy James","3.1.9","yes","5a7ce671e83246000deafe81","no","0","0","F","NA","NA","F","NA","space","NA","NA","NA","NA","NA","NA","J","NA","space","NA","NA","NA","NA","NA","NA","660","NA","NA","660","NA","4253","NA","NA","NA","NA","NA","NA","807","NA","33425","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","45","odd","no","no","NA","6359","1616","1619","5286","6352","6352","NA","NA","64655","77738","58575","39792","60396","78238","77736","6359","64655","78238","78899","NA","70131","39792","60383","50434","58573","50434","50434","39792","NA","60397","NA","NA","NA","NA","NA","NA","59075","59075","59883","42719","49923","79399","NA","6361","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","16","15054","19","yes","1024"
"N","1069","NA","NA","H","V","PP_LIST2.csv","fire_extinguisherH.jpg","fire_extinguisherV.jpg","NA","NA","85","85","791.1","791.1","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","0","1","undefined","6","j","0","0","0","0","0","0","0","NA","8","0","8","10","0","0","8","8","0","0","8","8","8","8","0","10","1","10","1","1","0","0","0","0","0","0","0","0","0","10","10","10","10","10","8","0","0","0","0","0","0","0","0","10/01/19 11:44:56","no","Matching Tasks","yes","","yes","H:/Research/PSA002003","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","8","8","2","5","H:/Research/PSA002003/GBR_006_PP_045.csv","legacy","no","Jazzy James","3.1.9","yes","5a7ce671e83246000deafe81","no","0","0","J","NA","NA","J","NA","space","NA","NA","NA","NA","NA","NA","J","NA","space","NA","NA","NA","NA","NA","NA","768","NA","NA","768","NA","4253","NA","NA","NA","NA","NA","NA","807","NA","33425","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","45","odd","no","no","NA","6359","1616","1619","5286","6352","6352","NA","NA","64655","79446","58575","39792","60396","79946","79444","6359","64655","79946","80715","NA","70131","39792","60383","50434","58573","50434","50434","39792","NA","60397","NA","NA","NA","NA","NA","NA","59075","59075","59883","42719","49923","81215","NA","6361","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","17","15822","20","yes","1024"
"Y","1069","NA","NA","H","H","PP_LIST2.csv","plateH.jpg","plateH.jpg","NA","NA","85.7142857143","85.7142857143","790.619047619","790.619047619","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","0","1","undefined","6","j","0","0","0","0","0","0","0","NA","9","0","9","10","0","0","9","9","0","0","9","9","9","9","0","10","1","10","1","1","0","0","0","0","0","0","0","0","0","10","10","10","10","10","9","0","0","0","0","0","0","0","0","10/01/19 11:44:56","no","Matching Tasks","yes","","yes","H:/Research/PSA002003","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","9","9","2","5","H:/Research/PSA002003/GBR_006_PP_045.csv","legacy","no","Jazzy James","3.1.9","yes","5a7ce671e83246000deafe81","no","0","0","J","NA","NA","J","NA","space","NA","NA","NA","NA","NA","NA","J","NA","space","NA","NA","NA","NA","NA","NA","781","NA","NA","781","NA","4253","NA","NA","NA","NA","NA","NA","807","NA","33425","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","45","odd","no","no","NA","6359","1616","1619","5286","6352","6352","NA","NA","64655","81265","58575","39792","60396","81765","81263","6359","64655","81765","82547","NA","70131","39792","60383","50434","58573","50434","50434","39792","NA","60397","NA","NA","NA","NA","NA","NA","59075","59075","59883","42719","49923","83047","NA","6361","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","18","16603","21","yes","1024"
