"LAB_SEED","List","Match","Orientation","PList","Probe","Target","Task","acc","accuracy","alt_task","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instruction_E","correct_Probe_Prac_response","correct_Probe_response","correct_Probe_sti_response","correct_Start_E","correct_Target_response","correct_Target_response_Prac","correct_Welcome_E","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_First_Fixation","count_First_Fixation_Prac","count_Instruction_DE","count_Instruction_E","count_Instruction_HUN","count_Instruction_NOR","count_Instruction_PL","count_Instruction_SC","count_Instruction_TC","count_Instruction_THAI","count_LAB_SEED","count_Language_Selection","count_List_Select_DE","count_List_Select_E","count_List_Select_HUN","count_List_Select_NOR","count_List_Select_PL","count_List_Select_SC","count_List_Select_TC","count_List_Select_THAI","count_List_Selection","count_Memory_loop","count_Memory_sequence","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Probe","count_Probe_Collect","count_Probe_Prac","count_Probe_Prac_response","count_Probe_import","count_Probe_response","count_Probe_sti","count_Probe_sti_correct","count_Probe_sti_response","count_Probe_sti_wrong","count_STUDY_order","count_Second_Fixation","count_Second_Fixation_Prac","count_Start_DE","count_Start_E","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_SC","count_Start_TC","count_Start_THAI","count_Target","count_Target_Prac","count_Target_response","count_Target_response_Prac","count_Target_response_correct","count_Target_response_correct_Prac","count_Target_response_noans","count_Target_response_noans_Prac","count_Target_response_wrong","count_Target_response_wrong_Prac","count_Trial_logger","count_Verification_Break","count_Verification_End","count_Verification_Exp","count_Verification_Prac","count_Verification_Start","count_Verification_Trial","count_Verification_Welcome","count_Verification_loop","count_Welcom_SC","count_Welcom_TC","count_Welcom_THAI","count_Welcome_DE","count_Welcome_E","count_Welcome_HUN","count_Welcome_NOR","count_Welcome_PL","count_presetup","datetime","de","description","disable_garbage_collection","empty_column","en","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","form_var","fullscreen","height","hun","keyboard_backend","live_row","live_row_Prac","live_row_Prac_loop","live_row_Verification_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","pol","rectarget","repeat_cycle","reset_loop","response","response_Instruction_DE","response_Instruction_E","response_Instruction_HUN","response_Instruction_NOR","response_Instruction_PL","response_Instruction_SC","response_Instruction_TC","response_Instruction_THAI","response_Probe_Prac_response","response_Probe_response","response_Probe_sti_response","response_Start_DE","response_Start_E","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_SC","response_Start_TC","response_Start_THAI","response_Target_response","response_Target_response_Prac","response_Verification_Break","response_Verification_End","response_Welcom_SC","response_Welcom_TC","response_Welcom_THAI","response_Welcome_DE","response_Welcome_E","response_Welcome_HUN","response_Welcome_NOR","response_Welcome_PL","response_time","response_time_Instruction_DE","response_time_Instruction_E","response_time_Instruction_HUN","response_time_Instruction_NOR","response_time_Instruction_PL","response_time_Instruction_SC","response_time_Instruction_TC","response_time_Instruction_THAI","response_time_Probe_Prac_response","response_time_Probe_response","response_time_Probe_sti_response","response_time_Start_DE","response_time_Start_E","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_SC","response_time_Start_TC","response_time_Start_THAI","response_time_Target_response","response_time_Target_response_Prac","response_time_Verification_Break","response_time_Verification_End","response_time_Welcom_SC","response_time_Welcom_TC","response_time_Welcom_THAI","response_time_Welcome_DE","response_time_Welcome_E","response_time_Welcome_HUN","response_time_Welcome_NOR","response_time_Welcome_PL","round_decimals","sampler_backend","sc","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","task_order","tc","thai","time_Check_This","time_Disable_Mouse","time_EXP","time_First_Fixation","time_First_Fixation_Prac","time_Instruction_DE","time_Instruction_E","time_Instruction_HUN","time_Instruction_NOR","time_Instruction_PL","time_Instruction_SC","time_Instruction_TC","time_Instruction_THAI","time_LAB_SEED","time_Language_Selection","time_List_Select_DE","time_List_Select_E","time_List_Select_HUN","time_List_Select_NOR","time_List_Select_PL","time_List_Select_SC","time_List_Select_TC","time_List_Select_THAI","time_List_Selection","time_Memory_loop","time_Memory_sequence","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Probe","time_Probe_Collect","time_Probe_Prac","time_Probe_Prac_response","time_Probe_import","time_Probe_response","time_Probe_sti","time_Probe_sti_correct","time_Probe_sti_response","time_Probe_sti_wrong","time_STUDY_order","time_Second_Fixation","time_Second_Fixation_Prac","time_Start_DE","time_Start_E","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_SC","time_Start_TC","time_Start_THAI","time_Target","time_Target_Prac","time_Target_response","time_Target_response_Prac","time_Target_response_correct","time_Target_response_correct_Prac","time_Target_response_noans","time_Target_response_noans_Prac","time_Target_response_wrong","time_Target_response_wrong_Prac","time_Trial_logger","time_Verification_Break","time_Verification_End","time_Verification_Exp","time_Verification_Prac","time_Verification_Start","time_Verification_Trial","time_Verification_Welcome","time_Verification_loop","time_Welcom_SC","time_Welcom_TC","time_Welcom_THAI","time_Welcome_DE","time_Welcome_E","time_Welcome_HUN","time_Welcome_NOR","time_Welcome_PL","time_presetup","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"1069","ENG_LIST2.csv","F","F","ENG_Prac2.csv","Duff played his bagpipe at odd hours causing his neighbors to complain.","knife.jpg","V","43.75","43.75","[5, 10, 15, 18, 22, 26, 29, 33, 39, 41, 47]","2651.875","2651.875","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","0","1","1","undefined","6","f","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","0","6","1","6","1","1","0","0","0","6","6","NA","0","NA","NA","NA","NA","0","0","6","0","0","0","0","0","0","0","0","0","6","0","6","0","6","0","6","0","6","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09/25/19 14:50:44","no","Matching Tasks","yes","","yes","H:/Research/PSA002003","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","NA","yes","768","no","legacy","0","2","5","0","H:/Research/PSA002003/GBR_006_SP_016.csv","legacy","no","Jazzy James","3.1.9","no","NA","0","0","F","NA","space","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","F","F","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","1089","NA","32390","NA","NA","NA","NA","NA","NA","3242","4714","NA","NA","5888","NA","NA","NA","NA","NA","NA","1089","777","NA","NA","NA","NA","NA","NA","6674","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","16","even","Yes","no","no","NA","7640","2236","104288","92279","NA","14317","NA","NA","NA","NA","NA","NA","2238","6878","NA","7628","NA","NA","NA","NA","NA","NA","7628","NA","NA","46716","98305","56102","92277","56102","56102","46716","105289","105289","93281","93281","NA","105289","NA","NA","NA","NA","NA","110005","96525","NA","98331","NA","NA","NA","NA","NA","NA","110506","97026","110506","97026","111596","97805","NA","55584","NA","55083","112097","NA","NA","104228","46716","98330","104287","7640","104228","NA","NA","NA","NA","7641","NA","NA","NA","104228","Orientation_PSA2018","7","42430","16","yes","1024"
"1069","ENG_LIST2.csv","F","F","ENG_Prac2.csv","The mother put the carrot in her daughter's lunch bag.","tiger.jpg","V","44.4444444444","44.4444444444","[5, 10, 15, 18, 22, 26, 29, 33, 39, 41, 47]","2566.27777778","2566.27777778","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","0","1","1","undefined","6","f","0","0","0","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","NA","0","6","1","6","1","1","0","1","1","6","6","NA","1","NA","NA","NA","NA","0","1","6","0","0","0","0","0","0","0","0","1","6","1","6","1","6","1","6","1","6","1","NA","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","09/25/19 14:50:44","no","Matching Tasks","yes","","yes","H:/Research/PSA002003","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","NA","yes","768","no","legacy","1","2","5","1","H:/Research/PSA002003/GBR_006_SP_016.csv","legacy","no","Jazzy James","3.1.9","no","NA","0","0","F","NA","space","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","F","F","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","857","NA","32390","NA","NA","NA","NA","NA","NA","3242","2906","NA","NA","5888","NA","NA","NA","NA","NA","NA","857","777","NA","NA","NA","NA","NA","NA","6674","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","16","even","Yes","no","no","NA","7640","2236","112176","92279","NA","14317","NA","NA","NA","NA","NA","NA","2238","6878","NA","7628","NA","NA","NA","NA","NA","NA","7628","NA","NA","46716","98305","56102","92277","56102","56102","46716","113177","113177","93281","93281","NA","113177","NA","NA","NA","NA","NA","116085","96525","NA","98331","NA","NA","NA","NA","NA","NA","116586","97026","116586","97026","117444","97805","NA","55584","NA","55083","117944","NA","NA","104228","46716","98330","112173","7640","104228","NA","NA","NA","NA","7641","NA","NA","NA","104228","Orientation_PSA2018","8","46193","18","yes","1024"
"1069","ENG_LIST2.csv","Y","H","ENG_Prac2.csv","The teenager placed her brush in the bottom of her bag, looking forward to the party.","brushH.jpg","V","45","45","[5, 10, 15, 18, 22, 26, 29, 33, 39, 41, 47]","2530.7","2530.7","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","0","1","1","undefined","6","j","0","0","0","2","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","NA","0","6","1","6","1","1","0","2","2","6","6","NA","2","NA","NA","NA","NA","0","2","6","0","0","0","0","0","0","0","0","2","6","2","6","2","6","2","6","2","6","2","NA","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","09/25/19 14:50:44","no","Matching Tasks","yes","","yes","H:/Research/PSA002003","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","NA","yes","768","no","legacy","2","2","5","2","H:/Research/PSA002003/GBR_006_SP_016.csv","legacy","no","Jazzy James","3.1.9","no","NA","0","0","J","NA","space","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","J","F","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","553","NA","32390","NA","NA","NA","NA","NA","NA","3242","3868","NA","NA","5888","NA","NA","NA","NA","NA","NA","553","777","NA","NA","NA","NA","NA","NA","6674","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","16","even","Yes","no","no","NA","7640","2236","118014","92279","NA","14317","NA","NA","NA","NA","NA","NA","2238","6878","NA","7628","NA","NA","NA","NA","NA","NA","7628","NA","NA","46716","98305","56102","92277","56102","56102","46716","119015","119015","93281","93281","NA","119015","NA","NA","NA","NA","NA","122885","96525","NA","98331","NA","NA","NA","NA","NA","NA","123386","97026","123386","97026","123941","97805","NA","55584","NA","55083","124441","NA","NA","104228","46716","98330","118012","7640","104228","NA","NA","NA","NA","7641","NA","NA","NA","104228","Orientation_PSA2018","9","50614","20","yes","1024"
"1069","ENG_LIST2.csv","N","H","ENG_Prac2.csv","Jessica stuck the bottle in the wine rack, anticipating a romantic evening.","bottleV.jpg","V","45.4545454545","45.4545454545","[5, 10, 15, 18, 22, 26, 29, 33, 39, 41, 47]","2518.36363636","2518.36363636","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","0","1","1","undefined","6","j","0","0","0","3","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","NA","0","6","1","6","1","1","0","3","3","6","6","NA","3","NA","NA","NA","NA","0","3","6","0","0","0","0","0","0","0","0","3","6","3","6","3","6","3","6","3","6","3","NA","3","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","09/25/19 14:50:44","no","Matching Tasks","yes","","yes","H:/Research/PSA002003","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","NA","yes","768","no","legacy","3","2","5","3","H:/Research/PSA002003/GBR_006_SP_016.csv","legacy","no","Jazzy James","3.1.9","no","NA","0","0","J","NA","space","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","J","F","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","905","NA","32390","NA","NA","NA","NA","NA","NA","3242","3885","NA","NA","5888","NA","NA","NA","NA","NA","NA","905","777","NA","NA","NA","NA","NA","NA","6674","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","16","even","Yes","no","no","NA","7640","2236","124508","92279","NA","14317","NA","NA","NA","NA","NA","NA","2238","6878","NA","7628","NA","NA","NA","NA","NA","NA","7628","NA","NA","46716","98305","56102","92277","56102","56102","46716","125510","125510","93281","93281","NA","125510","NA","NA","NA","NA","NA","129397","96525","NA","98331","NA","NA","NA","NA","NA","NA","129898","97026","129898","97026","130805","97805","NA","55584","NA","55083","131305","NA","NA","104228","46716","98330","124506","7640","104228","NA","NA","NA","NA","7641","NA","NA","NA","104228","Orientation_PSA2018","10","55404","22","yes","1024"
"1069","ENG_LIST2.csv","Y","H","ENG_Prac2.csv","The race car driver fastened the fire-extinguisher under his seat.","fire_extinguisherH.jpg","V","45.8333333333","45.8333333333","[5, 10, 15, 18, 22, 26, 29, 33, 39, 41, 47]","2567.625","2567.625","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","0","1","1","undefined","6","j","0","0","0","4","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","NA","0","6","1","6","1","1","0","4","4","6","6","NA","4","NA","NA","NA","NA","0","4","6","0","0","0","0","0","0","0","0","4","6","4","6","4","6","4","6","4","6","4","NA","4","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","09/25/19 14:50:44","no","Matching Tasks","yes","","yes","H:/Research/PSA002003","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","NA","yes","768","no","legacy","4","2","5","4","H:/Research/PSA002003/GBR_006_SP_016.csv","legacy","no","Jazzy James","3.1.9","no","NA","0","0","J","NA","space","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","J","F","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","842","NA","32390","NA","NA","NA","NA","NA","NA","3242","5377","NA","NA","5888","NA","NA","NA","NA","NA","NA","842","777","NA","NA","NA","NA","NA","NA","6674","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","16","even","Yes","no","no","NA","7640","2236","131377","92279","NA","14317","NA","NA","NA","NA","NA","NA","2238","6878","NA","7628","NA","NA","NA","NA","NA","NA","7628","NA","NA","46716","98305","56102","92277","56102","56102","46716","132378","132378","93281","93281","NA","132378","NA","NA","NA","NA","NA","137756","96525","NA","98331","NA","NA","NA","NA","NA","NA","138257","97026","138257","97026","139100","97805","NA","55584","NA","55083","139600","NA","NA","104228","46716","98330","131375","7640","104228","NA","NA","NA","NA","7641","NA","NA","NA","104228","Orientation_PSA2018","11","61623","24","yes","1024"
"1069","ENG_LIST2.csv","Y","V","ENG_Prac2.csv","Sara situated the expensive plate on its holder on the shelf.","plateV.jpg","V","46.1538461538","46.1538461538","[5, 10, 15, 18, 22, 26, 29, 33, 39, 41, 47]","2583.80769231","2583.80769231","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","0","1","1","undefined","6","j","0","0","0","5","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","NA","0","6","1","6","1","1","0","5","5","6","6","NA","5","NA","NA","NA","NA","0","5","6","0","0","0","0","0","0","0","0","5","6","5","6","5","6","5","6","5","6","5","NA","5","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","09/25/19 14:50:44","no","Matching Tasks","yes","","yes","H:/Research/PSA002003","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","NA","yes","768","no","legacy","5","2","5","5","H:/Research/PSA002003/GBR_006_SP_016.csv","legacy","no","Jazzy James","3.1.9","no","NA","0","0","J","NA","space","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","J","F","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","1241","NA","32390","NA","NA","NA","NA","NA","NA","3242","4315","NA","NA","5888","NA","NA","NA","NA","NA","NA","1241","777","NA","NA","NA","NA","NA","NA","6674","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","16","even","Yes","no","no","NA","7640","2236","139671","92279","NA","14317","NA","NA","NA","NA","NA","NA","2238","6878","NA","7628","NA","NA","NA","NA","NA","NA","7628","NA","NA","46716","98305","56102","92277","56102","56102","46716","140672","140672","93281","93281","NA","140672","NA","NA","NA","NA","NA","144989","96525","NA","98331","NA","NA","NA","NA","NA","NA","145490","97026","145490","97026","146733","97805","NA","55584","NA","55083","147233","NA","NA","104228","46716","98330","139669","7640","104228","NA","NA","NA","NA","7641","NA","NA","NA","104228","Orientation_PSA2018","12","67179","26","yes","1024"
"1069","ENG_LIST2.csv","Y","V","ENG_Prac2.csv","Sara situated the expensive plate on its holder on the shelf.","plateV.jpg","M","48.1481481481","48.1481481481","[5, 10, 15, 18, 22, 26, 29, 33, 39, 41, 47]","2763.48148148","2763.48148148","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","1","0","1","1","undefined","6","j","0","0","0","5","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","6","1","6","1","1","0","5","5","6","6","0","5","0","0","0","0","0","5","6","0","0","0","0","0","0","0","0","5","6","5","6","5","6","5","6","5","6","6","NA","5","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","09/25/19 14:50:44","no","Matching Tasks","yes","","yes","H:/Research/PSA002003","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","NA","yes","768","no","legacy","0","2","5","5","H:/Research/PSA002003/GBR_006_SP_016.csv","legacy","no","Jazzy James","3.1.9","no","The race car driver fastened the fire-extinguisher under his seat.","0","0","J","NA","space","NA","NA","NA","NA","NA","NA","space","space","J","NA","space","NA","NA","NA","NA","NA","NA","J","F","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","7435","NA","32390","NA","NA","NA","NA","NA","NA","3242","4315","7435","NA","5888","NA","NA","NA","NA","NA","NA","1241","777","NA","NA","NA","NA","NA","NA","6674","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","16","even","Yes","no","no","NA","7640","2236","139671","92279","NA","14317","NA","NA","NA","NA","NA","NA","2238","6878","NA","7628","NA","NA","NA","NA","NA","NA","7628","147239","147261","46716","98305","56102","92277","56102","56102","46716","140672","140672","93281","93281","147261","140672","147263","154700","147263","NA","NA","144989","96525","NA","98331","NA","NA","NA","NA","NA","NA","145490","97026","145490","97026","146733","97805","NA","55584","NA","55083","155200","NA","NA","104228","46716","98330","139669","7640","104228","NA","NA","NA","NA","7641","NA","NA","NA","104228","Orientation_PSA2018","13","74614","27","yes","1024"
"1069","ENG_LIST2.csv","N","V","ENG_Prac2.csv","The lab assistant put the key to the monkey cage on the hook.","keyH.jpg","V","48.275862069","48.275862069","[5, 10, 15, 18, 22, 26, 29, 33, 39, 41, 47]","2797.13793103","2797.13793103","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","1","0","1","1","undefined","6","j","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","6","1","6","1","1","0","6","6","6","6","0","6","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","6","6","6","6","6","6","6","6","6","6","7","NA","6","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","09/25/19 14:50:44","no","Matching Tasks","yes","","yes","H:/Research/PSA002003","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","NA","yes","768","no","legacy","6","2","5","6","H:/Research/PSA002003/GBR_006_SP_016.csv","legacy","no","Jazzy James","3.1.9","no","The race car driver fastened the fire-extinguisher under his seat.","0","0","J","NA","space","NA","NA","NA","NA","NA","NA","space","space","J","NA","space","NA","NA","NA","NA","NA","NA","J","F","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","769","NA","32390","NA","NA","NA","NA","NA","NA","3242","5734","7435","NA","5888","NA","NA","NA","NA","NA","NA","769","777","NA","NA","NA","NA","NA","NA","6674","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","16","even","Yes","no","no","NA","7640","2236","155275","92279","NA","14317","NA","NA","NA","NA","NA","NA","2238","6878","NA","7628","NA","NA","NA","NA","NA","NA","7628","147239","147261","46716","98305","56102","92277","56102","56102","46716","156276","156276","93281","93281","147261","156276","147263","154700","147263","NA","NA","162012","96525","NA","98331","NA","NA","NA","NA","NA","NA","162514","97026","162514","97026","163285","97805","NA","55584","NA","55083","163785","NA","NA","104228","46716","98330","155274","7640","104228","NA","NA","NA","NA","7641","NA","NA","NA","104228","Orientation_PSA2018","14","81117","29","yes","1024"
"1069","ENG_LIST2.csv","F","F","ENG_Prac2.csv","Susan wished that her parents had a swimming pool in their back yard.","pumpkin.jpg","V","48.3870967742","48.3870967742","[5, 10, 15, 18, 22, 26, 29, 33, 39, 41, 47]","2749.83870968","2749.83870968","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","1","0","1","1","undefined","6","f","0","0","0","7","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","6","1","6","1","1","0","7","7","6","6","0","7","0","0","0","0","0","7","6","0","0","0","0","0","0","0","0","7","6","7","6","7","6","7","6","7","6","8","NA","7","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","09/25/19 14:50:44","no","Matching Tasks","yes","","yes","H:/Research/PSA002003","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","NA","yes","768","no","legacy","7","2","5","7","H:/Research/PSA002003/GBR_006_SP_016.csv","legacy","no","Jazzy James","3.1.9","no","The race car driver fastened the fire-extinguisher under his seat.","0","0","F","NA","space","NA","NA","NA","NA","NA","NA","space","space","J","NA","space","NA","NA","NA","NA","NA","NA","F","F","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","842","NA","32390","NA","NA","NA","NA","NA","NA","3242","3286","7435","NA","5888","NA","NA","NA","NA","NA","NA","842","777","NA","NA","NA","NA","NA","NA","6674","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","16","even","Yes","no","no","NA","7640","2236","163851","92279","NA","14317","NA","NA","NA","NA","NA","NA","2238","6878","NA","7628","NA","NA","NA","NA","NA","NA","7628","147239","147261","46716","98305","56102","92277","56102","56102","46716","164852","164852","93281","93281","147261","164852","147263","154700","147263","NA","NA","168140","96525","NA","98331","NA","NA","NA","NA","NA","NA","168641","97026","168641","97026","169484","97805","NA","55584","NA","55083","169984","NA","NA","104228","46716","98330","163849","7640","104228","NA","NA","NA","NA","7641","NA","NA","NA","104228","Orientation_PSA2018","15","85245","31","yes","1024"
"1069","ENG_LIST2.csv","N","H","ENG_Prac2.csv","James placed the bowl into an open space in the cabinet.","bowlV.jpg","V","48.4848484848","48.4848484848","[5, 10, 15, 18, 22, 26, 29, 33, 39, 41, 47]","2722.93939394","2722.93939394","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","1","0","1","1","undefined","6","j","0","0","0","8","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","6","1","6","1","1","0","8","8","6","6","0","8","0","0","0","0","0","8","6","0","0","0","0","0","0","0","0","8","6","8","6","8","6","8","6","8","6","9","NA","8","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","09/25/19 14:50:44","no","Matching Tasks","yes","","yes","H:/Research/PSA002003","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","NA","yes","768","no","legacy","8","2","5","8","H:/Research/PSA002003/GBR_006_SP_016.csv","legacy","no","Jazzy James","3.1.9","no","The race car driver fastened the fire-extinguisher under his seat.","0","0","J","NA","space","NA","NA","NA","NA","NA","NA","space","space","J","NA","space","NA","NA","NA","NA","NA","NA","J","F","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","882","NA","32390","NA","NA","NA","NA","NA","NA","3242","3730","7435","NA","5888","NA","NA","NA","NA","NA","NA","882","777","NA","NA","NA","NA","NA","NA","6674","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","16","even","Yes","no","no","NA","7640","2236","170056","92279","NA","14317","NA","NA","NA","NA","NA","NA","2238","6878","NA","7628","NA","NA","NA","NA","NA","NA","7628","147239","147261","46716","98305","56102","92277","56102","56102","46716","171057","171057","93281","93281","147261","171057","147263","154700","147263","NA","NA","174788","96525","NA","98331","NA","NA","NA","NA","NA","NA","175289","97026","175289","97026","176172","97805","NA","55584","NA","55083","176673","NA","NA","104228","46716","98330","170054","7640","104228","NA","NA","NA","NA","7641","NA","NA","NA","104228","Orientation_PSA2018","16","89857","33","yes","1024"
