SEED,SUBJID,Sequence,DATE,SIGN,round
7054,1,002_SP -> 002_PP -> 003,2019-11-11,Pablo Bernabeu,1
7054,2,003 -> 002_SP -> 002_PP,2019-11-11,Pablo Bernabeu,1
7054,3,003 -> 002_SP -> 002_PP,2019-11-11,Pablo Bernabeu,1
7054,4,002_SP -> 002_PP -> 003,2019-11-11,Pablo Bernabeu,1
7054,5,002_SP -> 002_PP -> 003,2019-11-11,Pablo Bernabeu,1
7054,6,003 -> 002_SP -> 002_PP,2019-11-11,Pablo Bernabeu,1
7054,7,003 -> 002_SP -> 002_PP,2019-11-12,Pablo Bernabeu,1
7054,8,003 -> 002_SP -> 002_PP,2019-11-12,Pablo Bernabeu,1
7054,9,002_SP -> 002_PP -> 003,2019-11-12,Pablo Bernabeu,1
7054,10,002_SP -> 002_PP -> 003,2019-11-13,Pablo Bernabeu,1
7054,11,002_SP -> 002_PP -> 003,2019-11-14,Pablo Bernabeu,1
7054,12,002_SP -> 002_PP -> 003,2019-11-18,Pablo Bernabeu,1
7054,13,003 -> 002_SP -> 002_PP,2019-11-18,Pablo Bernabeu,1
7054,14,002_SP -> 002_PP -> 003,2019-11-18,Pablo Bernabeu,1
7054,15,002_SP -> 002_PP -> 003,2019-11-18,Pablo Bernabeu,1
7054,16,003 -> 002_SP -> 002_PP,2019-11-19,Pablo Bernabeu,1
7054,17,003 -> 002_SP -> 002_PP,2019-11-20,Pablo Bernabeu,1
7054,18,002_SP -> 002_PP -> 003,2019-11-19,Pablo Bernabeu,1
7054,19,002_SP -> 002_PP -> 003,2019-11-19,Pablo Bernabeu,1
7054,20,002_SP -> 002_PP -> 003,2019-11-20,Pablo Bernabeu,1
7054,21,003 -> 002_SP -> 002_PP,2019-11-20,Pablo Bernabeu,1
7054,22,003 -> 002_SP -> 002_PP,2019-11-22,Pablo Bernabeu,1
7054,23,003 -> 002_SP -> 002_PP,2019-11-22,Pablo Bernabeu,1
7054,24,002_SP -> 002_PP -> 003,2019-11-22,Pablo Bernabeu,1
7054,25,003 -> 002_SP -> 002_PP,2019-11-22,Pablo Bernabeu,1
7054,26,002_SP -> 002_PP -> 003,2019-12-04,Liam Morgillo,1
7054,27,003 -> 002_SP -> 002_PP,2019-11-22,Pablo Bernabeu,1
7054,28,003 -> 002_SP -> 002_PP,2019-11-22,Pablo Bernabeu,1
7054,29,002_SP -> 002_PP -> 003,2019-11-26,Pablo Bernabeu,1
7054,30,002_SP -> 002_PP -> 003,2019-11-26,Pablo Bernabeu,1
7054,31,002_SP -> 002_PP -> 003,2019-11-26,Pablo Bernabeu,1
7054,32,002_SP -> 002_PP -> 003,2019-11-26,Pablo Bernabeu,1
7054,33,003 -> 002_SP -> 002_PP,2019-11-26,Pablo Bernabeu,1
7054,34,003 -> 002_SP -> 002_PP,2019-11-26,Pablo Bernabeu,1
7054,35,003 -> 002_SP -> 002_PP,2019-11-26,Pablo Bernabeu,1
7054,36,003 -> 002_SP -> 002_PP,2019-11-26,Pablo Bernabeu,1
7054,37,002_SP -> 002_PP -> 003,2019-12-04,Liam Morgillo,1
7054,38,003 -> 002_SP -> 002_PP,2019-11-29,Pablo Bernabeu,1
7054,39,003 -> 002_SP -> 002_PP,2019-11-29,Pablo Bernabeu,1
7054,40,002_SP -> 002_PP -> 003,2019-11-29,Pablo Bernabeu,1
7054,41,003 -> 002_SP -> 002_PP,2019-11-29,Liam Morgillo,1
7054,42,003 -> 002_SP -> 002_PP,2019-11-29,Pablo Bernabeu,1
7054,43,002_SP -> 002_PP -> 003,2019-11-29,Pablo Bernabeu,1
7054,44,003 -> 002_SP -> 002_PP,2019-12-02,Liam Morgillo,1
7054,45,002_SP -> 002_PP -> 003,2019-11-29,Pablo Bernabeu,1
7054,46,002_SP -> 002_PP -> 003,2019-11-29,Pablo Bernabeu,1
7054,47,003 -> 002_SP -> 002_PP,2019-12-03,Liam Morgillo,1
7054,48,003 -> 002_SP -> 002_PP,2019-12-03,Liam Morgillo,1
7054,49,002_SP -> 002_PP -> 003,2019-11-22,Pablo Bernabeu,1
7054,50,002_SP -> 002_PP -> 003,2019-12-10,Liam Morgillo,1
