SEED,SUBJID,Sequence,DATE,SIGN,round,Note
5620,1,002_SP -> 002_PP -> 003,05/11/2019,BL,1,
5620,2,002_SP -> 002_PP -> 003,05/11/2019,BL,1,
5620,3,002_SP -> 002_PP -> 003,11/11/2019,BL,1,
5620,4,002_SP -> 002_PP -> 003,11/11/2019,BL,1,
5620,5,002_SP -> 002_PP -> 003,11/11/2019,DR,1,
5620,6,003 -> 002_SP -> 002_PP,11/11/2019,DR,1,
5620,7,003 -> 002_SP -> 002_PP,11/11/2019,DR,1,"Wrong choice, Correct sequence"
5620,8,002_SP -> 002_PP -> 003,14/11/2019,DR,1,
5620,9,003 -> 002_SP -> 002_PP,14/11/2019,DR,1,
5620,10,003 -> 002_SP -> 002_PP,14/11/2019,DR,1,
5620,11,003 -> 002_SP -> 002_PP,14/11/2019,DR,1,
5620,12,003 -> 002_SP -> 002_PP,14/11/2019,DR,1,
5620,13,003 -> 002_SP -> 002_PP,14/11/2019,DR,1,
5620,14,003 -> 002_SP -> 002_PP,19/11/2019,DR,1,
5620,15,002_SP -> 002_PP -> 003,19/11/2019,DR,1,
5620,16,003 -> 002_SP -> 002_PP,19/11/2019,DR,1,
5620,17,003 -> 002_SP -> 002_PP,19/11/2019,DR,1,
5620,18,003 -> 002_SP -> 002_PP,19/11/2019,DR,1,
5620,19,002_SP -> 002_PP -> 003,21/11/2019,DR,1,"check date"
5620,20,003 -> 002_SP -> 002_PP,27/11/2019,BL,1,"Wrong choice, Correct sequence"
5620,21,002_SP -> 002_PP -> 003,27/11/2019,BL,1,
5620,22,002_SP -> 002_PP -> 003,27/11/2019,BL,1,
5620,23,002_SP -> 002_PP -> 003,27/11/2019,BL,1,
5620,24,002_SP -> 002_PP -> 003,28/11/2019,BL,1,
5620,25,003 -> 002_SP -> 002_PP,28/11/2019,BL,1,"Wrong choice, Correct sequence"
5620,26,003 -> 002_SP -> 002_PP,28/11/2019,BL,1,"Wrong choice, Correct sequence"
5620,27,003 -> 002_SP -> 002_PP,02/12/2019,BL,1,"Wrong choice, Correct sequence"
5620,28,002_SP -> 002_PP -> 003,04/12/2019,BL,1,
5620,29,002_SP -> 002_PP -> 003,09/12/2019,BL,1,
5620,30,002_SP -> 002_PP -> 003,09/12/2019,BL,1,
