"Identical","LAB_SEED","Orientation1","Orientation2","PPList","Picture1","Picture2","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_HUN","correct_Target_response_Prac","correct_Welcome_PP_HUN","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_DE","count_Start_E","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_SC","count_Start_TC","count_Start_THAI","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac","count_Target_response_wrong_Prac","count_Trial_logger","count_Welcome_PP_DE","count_Welcome_PP_E","count_Welcome_PP_HUN","count_Welcome_PP_NOR","count_Welcome_PP_PL","count_Welcome_PP_SC","count_Welcome_PP_TC","count_Welcome_PP_THAI","datetime","de","description","disable_garbage_collection","empty_column","en","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","hun","keyboard_backend","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","pol","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_DE","response_Start_E","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_SC","response_Start_TC","response_Start_THAI","response_Target_response_Prac","response_Welcome_PP_DE","response_Welcome_PP_E","response_Welcome_PP_HUN","response_Welcome_PP_NOR","response_Welcome_PP_PL","response_Welcome_PP_SC","response_Welcome_PP_TC","response_Welcome_PP_THAI","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_DE","response_time_Start_E","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_SC","response_time_Start_TC","response_time_Start_THAI","response_time_Target_response_Prac","response_time_Welcome_PP_DE","response_time_Welcome_PP_E","response_time_Welcome_PP_HUN","response_time_Welcome_PP_NOR","response_time_Welcome_PP_PL","response_time_Welcome_PP_SC","response_time_Welcome_PP_TC","response_time_Welcome_PP_THAI","round_decimals","sampler_backend","sc","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","tc","thai","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_DE","time_Start_E","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_SC","time_Start_TC","time_Start_THAI","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac","time_Target_response_wrong_Prac","time_Trial_logger","time_Welcome_PP_DE","time_Welcome_PP_E","time_Welcome_PP_HUN","time_Welcome_PP_NOR","time_Welcome_PP_PL","time_Welcome_PP_SC","time_Welcome_PP_TC","time_Welcome_PP_THAI","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"F","6447","F","F","PP_LIST4.csv","knife.jpg","ladder.jpg","87.5","87.5","903.5","903.5","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","6","1","6","1","1","0","0","0","0","0","0","0","0","0","6","6","6","6","6","0","0","0","0","0","0","0","0","0","10/07/19 15:18:49","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\User\Desktop\PSA","no","chinese-japanese-korean","no","18","no","#0000ff","no","Magyar","yes","768","yes","legacy","0","0","2","5","pp-149.csv","legacy","no","Kafkaesque Koffka","3.2.4","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","680","NA","NA","680","NA","NA","3986","NA","NA","NA","NA","NA","641","NA","NA","6622","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","149","odd","no","no","NA","12591","1456","1457","10520","12577","12577","NA","NA","38013","38122","32321","19229","34012","38624","38120","12592","38013","38625","39307","NA","NA","19230","33967","22868","32319","22868","22868","19230","NA","NA","34014","NA","NA","NA","NA","NA","32823","32824","33467","22334","21831","39807","NA","NA","12594","NA","NA","NA","NA","NA","Orientation_PSA2018","7","7228","8","yes","1024"
"Y","6447","H","H","PP_LIST4.csv","flashH.jpg","flashH.jpg","88.8888888889","88.8888888889","871","871","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","1","0","1","6","0","0","1","1","0","0","1","1","1","1","0","6","1","6","1","1","0","0","0","0","0","0","0","0","0","6","6","6","6","6","1","0","0","0","0","0","0","0","0","10/07/19 15:18:49","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\User\Desktop\PSA","no","chinese-japanese-korean","no","18","no","#0000ff","no","Magyar","yes","768","yes","legacy","1","1","2","5","pp-149.csv","legacy","no","Kafkaesque Koffka","3.2.4","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","611","NA","NA","611","NA","NA","3986","NA","NA","NA","NA","NA","641","NA","NA","6622","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","149","odd","no","no","NA","12591","1456","1457","10520","12577","12577","NA","NA","38013","40030","32321","19229","34012","40532","40028","12592","38013","40533","41146","NA","NA","19230","33967","22868","32319","22868","22868","19230","NA","NA","34014","NA","NA","NA","NA","NA","32823","32824","33467","22334","21831","41646","NA","NA","12594","NA","NA","NA","NA","NA","Orientation_PSA2018","8","7839","9","yes","1024"
"F","6447","F","F","PP_LIST4.csv","nut.jpg","watch.jpg","90","90","848.3","848.3","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","2","0","2","6","0","0","2","2","0","0","2","2","2","2","0","6","1","6","1","1","0","0","0","0","0","0","0","0","0","6","6","6","6","6","2","0","0","0","0","0","0","0","0","10/07/19 15:18:49","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\User\Desktop\PSA","no","chinese-japanese-korean","no","18","no","#0000ff","no","Magyar","yes","768","yes","legacy","2","2","2","5","pp-149.csv","legacy","no","Kafkaesque Koffka","3.2.4","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","644","NA","NA","644","NA","NA","3986","NA","NA","NA","NA","NA","641","NA","NA","6622","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","149","odd","no","no","NA","12591","1456","1457","10520","12577","12577","NA","NA","38013","41805","32321","19229","34012","42307","41803","12592","38013","42308","42954","NA","NA","19230","33967","22868","32319","22868","22868","19230","NA","NA","34014","NA","NA","NA","NA","NA","32823","32824","33467","22334","21831","43454","NA","NA","12594","NA","NA","NA","NA","NA","Orientation_PSA2018","9","8483","10","yes","1024"
"F","6447","F","F","PP_LIST4.csv","trmpet.jpg","tapedispenser.jpg","90.9090909091","90.9090909091","821.909090909","821.909090909","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","3","0","3","6","0","0","3","3","0","0","3","3","3","3","0","6","1","6","1","1","0","0","0","0","0","0","0","0","0","6","6","6","6","6","3","0","0","0","0","0","0","0","0","10/07/19 15:18:49","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\User\Desktop\PSA","no","chinese-japanese-korean","no","18","no","#0000ff","no","Magyar","yes","768","yes","legacy","3","3","2","5","pp-149.csv","legacy","no","Kafkaesque Koffka","3.2.4","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","558","NA","NA","558","NA","NA","3986","NA","NA","NA","NA","NA","641","NA","NA","6622","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","149","odd","no","no","NA","12591","1456","1457","10520","12577","12577","NA","NA","38013","43603","32321","19229","34012","44106","43601","12592","38013","44106","44666","NA","NA","19230","33967","22868","32319","22868","22868","19230","NA","NA","34014","NA","NA","NA","NA","NA","32823","32824","33467","22334","21831","45166","NA","NA","12594","NA","NA","NA","NA","NA","Orientation_PSA2018","10","9041","11","yes","1024"
"Y","6447","V","V","PP_LIST4.csv","nailV.jpg","nailV.jpg","91.6666666667","91.6666666667","797.833333333","797.833333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","4","0","4","6","0","0","4","4","0","0","4","4","4","4","0","6","1","6","1","1","0","0","0","0","0","0","0","0","0","6","6","6","6","6","4","0","0","0","0","0","0","0","0","10/07/19 15:18:49","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\User\Desktop\PSA","no","chinese-japanese-korean","no","18","no","#0000ff","no","Magyar","yes","768","yes","legacy","4","4","2","5","pp-149.csv","legacy","no","Kafkaesque Koffka","3.2.4","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","533","NA","NA","533","NA","NA","3986","NA","NA","NA","NA","NA","641","NA","NA","6622","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","149","odd","no","no","NA","12591","1456","1457","10520","12577","12577","NA","NA","38013","45308","32321","19229","34012","45810","45306","12592","38013","45811","46347","NA","NA","19230","33967","22868","32319","22868","22868","19230","NA","NA","34014","NA","NA","NA","NA","NA","32823","32824","33467","22334","21831","46847","NA","NA","12594","NA","NA","NA","NA","NA","Orientation_PSA2018","11","9574","12","yes","1024"
"F","6447","F","F","PP_LIST4.csv","piano.jpg","sutcse.jpg","92.3076923077","92.3076923077","775.923076923","775.923076923","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","5","0","5","6","0","0","5","5","0","0","5","5","5","5","0","6","1","6","1","1","0","0","0","0","0","0","0","0","0","6","6","6","6","6","5","0","0","0","0","0","0","0","0","10/07/19 15:18:49","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\User\Desktop\PSA","no","chinese-japanese-korean","no","18","no","#0000ff","no","Magyar","yes","768","yes","legacy","5","5","2","5","pp-149.csv","legacy","no","Kafkaesque Koffka","3.2.4","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","513","NA","NA","513","NA","NA","3986","NA","NA","NA","NA","NA","641","NA","NA","6622","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","149","odd","no","no","NA","12591","1456","1457","10520","12577","12577","NA","NA","38013","47017","32321","19229","34012","47519","47015","12592","38013","47520","48035","NA","NA","19230","33967","22868","32319","22868","22868","19230","NA","NA","34014","NA","NA","NA","NA","NA","32823","32824","33467","22334","21831","48535","NA","NA","12594","NA","NA","NA","NA","NA","Orientation_PSA2018","12","10087","13","yes","1024"
"F","6447","F","F","PP_LIST4.csv","ladder.jpg","house.jpg","92.8571428571","92.8571428571","758.071428571","758.071428571","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","6","0","6","6","0","0","6","6","0","0","6","6","6","6","0","6","1","6","1","1","0","0","0","0","0","0","0","0","0","6","6","6","6","6","6","0","0","0","0","0","0","0","0","10/07/19 15:18:49","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\User\Desktop\PSA","no","chinese-japanese-korean","no","18","no","#0000ff","no","Magyar","yes","768","yes","legacy","6","6","2","5","pp-149.csv","legacy","no","Kafkaesque Koffka","3.2.4","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","526","NA","NA","526","NA","NA","3986","NA","NA","NA","NA","NA","641","NA","NA","6622","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","149","odd","no","no","NA","12591","1456","1457","10520","12577","12577","NA","NA","38013","48676","32321","19229","34012","49178","48674","12592","38013","49179","49707","NA","NA","19230","33967","22868","32319","22868","22868","19230","NA","NA","34014","NA","NA","NA","NA","NA","32823","32824","33467","22334","21831","50207","NA","NA","12594","NA","NA","NA","NA","NA","Orientation_PSA2018","13","10613","14","yes","1024"
"N","6447","H","V","PP_LIST4.csv","tireH.jpg","tireV.jpg","93.3333333333","93.3333333333","739.066666667","739.066666667","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","7","0","7","6","0","0","7","7","0","0","7","7","7","7","0","6","1","6","1","1","0","0","0","0","0","0","0","0","0","6","6","6","6","6","7","0","0","0","0","0","0","0","0","10/07/19 15:18:49","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\User\Desktop\PSA","no","chinese-japanese-korean","no","18","no","#0000ff","no","Magyar","yes","768","yes","legacy","7","7","2","5","pp-149.csv","legacy","no","Kafkaesque Koffka","3.2.4","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","473","NA","NA","473","NA","NA","3986","NA","NA","NA","NA","NA","641","NA","NA","6622","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","149","odd","no","no","NA","12591","1456","1457","10520","12577","12577","NA","NA","38013","50368","32321","19229","34012","50870","50366","12592","38013","50871","51346","NA","NA","19230","33967","22868","32319","22868","22868","19230","NA","NA","34014","NA","NA","NA","NA","NA","32823","32824","33467","22334","21831","51846","NA","NA","12594","NA","NA","NA","NA","NA","Orientation_PSA2018","14","11086","15","yes","1024"
"N","6447","H","V","PP_LIST4.csv","penH.jpg","penV.jpg","93.75","93.75","733.25","733.25","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","8","0","8","6","0","0","8","8","0","0","8","8","8","8","0","6","1","6","1","1","0","0","0","0","0","0","0","0","0","6","6","6","6","6","8","0","0","0","0","0","0","0","0","10/07/19 15:18:49","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\User\Desktop\PSA","no","chinese-japanese-korean","no","18","no","#0000ff","no","Magyar","yes","768","yes","legacy","8","8","2","5","pp-149.csv","legacy","no","Kafkaesque Koffka","3.2.4","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","646","NA","NA","646","NA","NA","3986","NA","NA","NA","NA","NA","641","NA","NA","6622","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","149","odd","no","no","NA","12591","1456","1457","10520","12577","12577","NA","NA","38013","51995","32321","19229","34012","52497","51993","12592","38013","52498","53146","NA","NA","19230","33967","22868","32319","22868","22868","19230","NA","NA","34014","NA","NA","NA","NA","NA","32823","32824","33467","22334","21831","53646","NA","NA","12594","NA","NA","NA","NA","NA","Orientation_PSA2018","15","11732","16","yes","1024"
"F","6447","F","F","PP_LIST4.csv","tapedispenser.jpg","wrench.jpg","94.1176470588","94.1176470588","726.882352941","726.882352941","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","9","0","9","6","0","0","9","9","0","0","9","9","9","9","0","6","1","6","1","1","0","0","0","0","0","0","0","0","0","6","6","6","6","6","9","0","0","0","0","0","0","0","0","10/07/19 15:18:49","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\User\Desktop\PSA","no","chinese-japanese-korean","no","18","no","#0000ff","no","Magyar","yes","768","yes","legacy","9","9","2","5","pp-149.csv","legacy","no","Kafkaesque Koffka","3.2.4","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","space","NA","NA","NA","NA","NA","625","NA","NA","625","NA","NA","3986","NA","NA","NA","NA","NA","641","NA","NA","6622","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","149","odd","no","no","NA","12591","1456","1457","10520","12577","12577","NA","NA","38013","53799","32321","19229","34012","54302","53797","12592","38013","54303","54930","NA","NA","19230","33967","22868","32319","22868","22868","19230","NA","NA","34014","NA","NA","NA","NA","NA","32823","32824","33467","22334","21831","55430","NA","NA","12594","NA","NA","NA","NA","NA","Orientation_PSA2018","16","12357","17","yes","1024"
