"Identical","LAB_SEED","Orientation1","Orientation2","PPList","Picture1","Picture2","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_HIN","correct_Target_response_Prac","correct_Welcome_PP_HIN","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_DE","count_Start_E","count_Start_ELL","count_Start_HEB","count_Start_HIN","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_POR","count_Start_SC","count_Start_SLK","count_Start_SPA","count_Start_TC","count_Start_THAI","count_Start_TUR","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac","count_Target_response_wrong_Prac","count_Trial_logger","count_Welcome_PP_DE","count_Welcome_PP_E","count_Welcome_PP_ELL","count_Welcome_PP_HEB","count_Welcome_PP_HIN","count_Welcome_PP_HUN","count_Welcome_PP_NOR","count_Welcome_PP_PL","count_Welcome_PP_POR","count_Welcome_PP_SC","count_Welcome_PP_SLK","count_Welcome_PP_SPA","count_Welcome_PP_TC","count_Welcome_PP_THAI","count_Welcome_PP_TUR","datetime","de","description","disable_garbage_collection","ell","empty_column","en","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","heb","height","hin","hun","keyboard_backend","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","pol","por","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_DE","response_Start_E","response_Start_ELL","response_Start_HEB","response_Start_HIN","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_POR","response_Start_SC","response_Start_SLK","response_Start_SPA","response_Start_TC","response_Start_THAI","response_Start_TUR","response_Target_response_Prac","response_Welcome_PP_DE","response_Welcome_PP_E","response_Welcome_PP_ELL","response_Welcome_PP_HEB","response_Welcome_PP_HIN","response_Welcome_PP_HUN","response_Welcome_PP_NOR","response_Welcome_PP_PL","response_Welcome_PP_POR","response_Welcome_PP_SC","response_Welcome_PP_SLK","response_Welcome_PP_SPA","response_Welcome_PP_TC","response_Welcome_PP_THAI","response_Welcome_PP_TUR","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_DE","response_time_Start_E","response_time_Start_ELL","response_time_Start_HEB","response_time_Start_HIN","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_POR","response_time_Start_SC","response_time_Start_SLK","response_time_Start_SPA","response_time_Start_TC","response_time_Start_THAI","response_time_Start_TUR","response_time_Target_response_Prac","response_time_Welcome_PP_DE","response_time_Welcome_PP_E","response_time_Welcome_PP_ELL","response_time_Welcome_PP_HEB","response_time_Welcome_PP_HIN","response_time_Welcome_PP_HUN","response_time_Welcome_PP_NOR","response_time_Welcome_PP_PL","response_time_Welcome_PP_POR","response_time_Welcome_PP_SC","response_time_Welcome_PP_SLK","response_time_Welcome_PP_SPA","response_time_Welcome_PP_TC","response_time_Welcome_PP_THAI","response_time_Welcome_PP_TUR","round_decimals","sampler_backend","sc","slk","sound_buf_size","sound_channels","sound_freq","sound_sample_size","spa","start","subject_nr","subject_parity","tc","thai","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_DE","time_Start_E","time_Start_ELL","time_Start_HEB","time_Start_HIN","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_POR","time_Start_SC","time_Start_SLK","time_Start_SPA","time_Start_TC","time_Start_THAI","time_Start_TUR","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac","time_Target_response_wrong_Prac","time_Trial_logger","time_Welcome_PP_DE","time_Welcome_PP_E","time_Welcome_PP_ELL","time_Welcome_PP_HEB","time_Welcome_PP_HIN","time_Welcome_PP_HUN","time_Welcome_PP_NOR","time_Welcome_PP_PL","time_Welcome_PP_POR","time_Welcome_PP_SC","time_Welcome_PP_SLK","time_Welcome_PP_SPA","time_Welcome_PP_TC","time_Welcome_PP_THAI","time_Welcome_PP_TUR","title","total_correct","total_response_time","total_responses","tur","uniform_coordinates","width"
"N","1183","H","V","PP_LIST1.csv","keyH.jpg","keyV.jpg","81.8181818182","81.8181818182","1006.63636364","1006.63636364","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","9","2","9","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/23/19 15:06:03","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","E:\Project\PSA002","no","mono","no","18","no","#0000ff","no","हिन्दी","yes","no","768","yes","no","legacy","0","0","3","5","E:/Project/PSA002/raw_data/IND_003-PP_012.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","J","NA","NA","J","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","F","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1166","NA","NA","1166","NA","NA","NA","NA","6966","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","656","NA","NA","NA","NA","3255","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","no","1024","2","48000","-16","no","EXP","12","even","no","no","NA","13645","7018","7020","11759","13624","13624","NA","NA","46753","47118","37999","16922","39763","47624","47115","13646","46753","47625","48795","NA","NA","16922","39664","28279","37996","28279","28279","16922","NA","NA","NA","NA","39767","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","38505","38505","39164","23741","27711","49295","NA","NA","NA","NA","13649","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","9","11073","11","no","yes","1024"
"F","1183","F","F","PP_LIST1.csv","stove.jpg","ftball.jpg","83.3333333333","83.3333333333","994.916666667","994.916666667","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","1","0","1","9","0","0","1","1","0","0","1","1","1","1","0","9","2","9","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9","9","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/23/19 15:06:03","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","E:\Project\PSA002","no","mono","no","18","no","#0000ff","no","हिन्दी","yes","no","768","yes","no","legacy","1","1","3","5","E:/Project/PSA002/raw_data/IND_003-PP_012.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","F","NA","NA","F","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","F","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","866","NA","NA","866","NA","NA","NA","NA","6966","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","656","NA","NA","NA","NA","3255","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","no","1024","2","48000","-16","no","EXP","12","even","no","no","NA","13645","7018","7020","11759","13624","13624","NA","NA","46753","49676","37999","16922","39763","50181","49673","13646","46753","50183","51052","NA","NA","16922","39664","28279","37996","28279","28279","16922","NA","NA","NA","NA","39767","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","38505","38505","39164","23741","27711","51553","NA","NA","NA","NA","13649","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","10","11939","12","no","yes","1024"
"N","1183","H","V","PP_LIST1.csv","pencilH.jpg","pencilV.jpg","84.6153846154","84.6153846154","975.230769231","975.230769231","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","2","0","2","9","0","0","2","2","0","0","2","2","2","2","0","9","2","9","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9","9","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/23/19 15:06:03","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","E:\Project\PSA002","no","mono","no","18","no","#0000ff","no","हिन्दी","yes","no","768","yes","no","legacy","2","2","3","5","E:/Project/PSA002/raw_data/IND_003-PP_012.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","J","NA","NA","J","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","F","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","739","NA","NA","739","NA","NA","NA","NA","6966","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","656","NA","NA","NA","NA","3255","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","no","1024","2","48000","-16","no","EXP","12","even","no","no","NA","13645","7018","7020","11759","13624","13624","NA","NA","46753","51853","37999","16922","39763","52358","51850","13646","46753","52359","53101","NA","NA","16922","39664","28279","37996","28279","28279","16922","NA","NA","NA","NA","39767","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","38505","38505","39164","23741","27711","53603","NA","NA","NA","NA","13649","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","11","12678","13","no","yes","1024"
"N","1183","V","H","PP_LIST1.csv","tireV.jpg","tireH.jpg","85.7142857143","85.7142857143","950.857142857","950.857142857","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","3","0","3","9","0","0","3","3","0","0","3","3","3","3","0","9","2","9","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9","9","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/23/19 15:06:03","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","E:\Project\PSA002","no","mono","no","18","no","#0000ff","no","हिन्दी","yes","no","768","yes","no","legacy","3","3","3","5","E:/Project/PSA002/raw_data/IND_003-PP_012.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","J","NA","NA","J","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","F","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","634","NA","NA","634","NA","NA","NA","NA","6966","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","656","NA","NA","NA","NA","3255","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","no","1024","2","48000","-16","no","EXP","12","even","no","no","NA","13645","7018","7020","11759","13624","13624","NA","NA","46753","53901","37999","16922","39763","54407","53898","13646","46753","54408","55046","NA","NA","16922","39664","28279","37996","28279","28279","16922","NA","NA","NA","NA","39767","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","38505","38505","39164","23741","27711","55546","NA","NA","NA","NA","13649","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","12","13312","14","no","yes","1024"
"N","1183","H","V","PP_LIST1.csv","ironH.jpg","ironV.jpg","86.6666666667","86.6666666667","928.533333333","928.533333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","4","0","4","9","0","0","4","4","0","0","4","4","4","4","0","9","2","9","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9","9","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/23/19 15:06:03","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","E:\Project\PSA002","no","mono","no","18","no","#0000ff","no","हिन्दी","yes","no","768","yes","no","legacy","4","4","3","5","E:/Project/PSA002/raw_data/IND_003-PP_012.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","J","NA","NA","J","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","F","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","616","NA","NA","616","NA","NA","NA","NA","6966","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","656","NA","NA","NA","NA","3255","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","no","1024","2","48000","-16","no","EXP","12","even","no","no","NA","13645","7018","7020","11759","13624","13624","NA","NA","46753","55789","37999","16922","39763","56293","55786","13646","46753","56293","56913","NA","NA","16922","39664","28279","37996","28279","28279","16922","NA","NA","NA","NA","39767","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","38505","38505","39164","23741","27711","57413","NA","NA","NA","NA","13649","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","13","13928","15","no","yes","1024"
"N","1183","V","H","PP_LIST1.csv","saltV.jpg","saltH.jpg","87.5","87.5","923.75","923.75","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","5","0","5","9","0","0","5","5","0","0","5","5","5","5","0","9","2","9","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9","9","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/23/19 15:06:03","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","E:\Project\PSA002","no","mono","no","18","no","#0000ff","no","हिन्दी","yes","no","768","yes","no","legacy","5","5","3","5","E:/Project/PSA002/raw_data/IND_003-PP_012.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","J","NA","NA","J","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","F","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","852","NA","NA","852","NA","NA","NA","NA","6966","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","656","NA","NA","NA","NA","3255","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","no","1024","2","48000","-16","no","EXP","12","even","no","no","NA","13645","7018","7020","11759","13624","13624","NA","NA","46753","57724","37999","16922","39763","58226","57721","13646","46753","58226","59082","NA","NA","16922","39664","28279","37996","28279","28279","16922","NA","NA","NA","NA","39767","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","38505","38505","39164","23741","27711","59582","NA","NA","NA","NA","13649","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","14","14780","16","no","yes","1024"
"F","1183","F","F","PP_LIST1.csv","tiger.jpg","wndmil.jpg","88.2352941176","88.2352941176","907.352941176","907.352941176","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","6","0","6","9","0","0","6","6","0","0","6","6","6","6","0","9","2","9","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9","9","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/23/19 15:06:03","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","E:\Project\PSA002","no","mono","no","18","no","#0000ff","no","हिन्दी","yes","no","768","yes","no","legacy","6","6","3","5","E:/Project/PSA002/raw_data/IND_003-PP_012.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","F","NA","NA","F","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","F","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","645","NA","NA","645","NA","NA","NA","NA","6966","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","656","NA","NA","NA","NA","3255","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","no","1024","2","48000","-16","no","EXP","12","even","no","no","NA","13645","7018","7020","11759","13624","13624","NA","NA","46753","59864","37999","16922","39763","60366","59860","13646","46753","60366","61014","NA","NA","16922","39664","28279","37996","28279","28279","16922","NA","NA","NA","NA","39767","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","38505","38505","39164","23741","27711","61514","NA","NA","NA","NA","13649","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","15","15425","17","no","yes","1024"
"F","1183","F","F","PP_LIST1.csv","ring.jpg","stove.jpg","88.8888888889","88.8888888889","898.5","898.5","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","7","0","7","9","0","0","7","7","0","0","7","7","7","7","0","9","2","9","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9","9","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/23/19 15:06:03","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","E:\Project\PSA002","no","mono","no","18","no","#0000ff","no","हिन्दी","yes","no","768","yes","no","legacy","7","7","3","5","E:/Project/PSA002/raw_data/IND_003-PP_012.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","F","NA","NA","F","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","F","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","748","NA","NA","748","NA","NA","NA","NA","6966","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","656","NA","NA","NA","NA","3255","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","no","1024","2","48000","-16","no","EXP","12","even","no","no","NA","13645","7018","7020","11759","13624","13624","NA","NA","46753","61780","37999","16922","39763","62282","61777","13646","46753","62283","63034","NA","NA","16922","39664","28279","37996","28279","28279","16922","NA","NA","NA","NA","39767","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","38505","38505","39164","23741","27711","63534","NA","NA","NA","NA","13649","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","16","16173","18","no","yes","1024"
"F","1183","F","F","PP_LIST1.csv","pumpkin.jpg","trmpet.jpg","89.4736842105","89.4736842105","890.210526316","890.210526316","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","8","0","8","9","0","0","8","8","0","0","8","8","8","8","0","9","2","9","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9","9","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/23/19 15:06:03","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","E:\Project\PSA002","no","mono","no","18","no","#0000ff","no","हिन्दी","yes","no","768","yes","no","legacy","8","8","3","5","E:/Project/PSA002/raw_data/IND_003-PP_012.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","F","NA","NA","F","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","F","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","741","NA","NA","741","NA","NA","NA","NA","6966","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","656","NA","NA","NA","NA","3255","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","no","1024","2","48000","-16","no","EXP","12","even","no","no","NA","13645","7018","7020","11759","13624","13624","NA","NA","46753","63791","37999","16922","39763","64293","63787","13646","46753","64293","65037","NA","NA","16922","39664","28279","37996","28279","28279","16922","NA","NA","NA","NA","39767","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","38505","38505","39164","23741","27711","65537","NA","NA","NA","NA","13649","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","17","16914","19","no","yes","1024"
"Y","1183","H","H","PP_LIST1.csv","bookH.jpg","bookH.jpg","90","90","880.85","880.85","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","9","0","9","9","0","0","9","9","0","0","9","9","9","9","0","9","2","9","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9","9","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/23/19 15:06:03","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","E:\Project\PSA002","no","mono","no","18","no","#0000ff","no","हिन्दी","yes","no","768","yes","no","legacy","9","9","3","5","E:/Project/PSA002/raw_data/IND_003-PP_012.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","J","NA","NA","J","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","F","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","703","NA","NA","703","NA","NA","NA","NA","6966","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","656","NA","NA","NA","NA","3255","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","no","1024","2","48000","-16","no","EXP","12","even","no","no","NA","13645","7018","7020","11759","13624","13624","NA","NA","46753","65745","37999","16922","39763","66248","65742","13646","46753","66248","66954","NA","NA","16922","39664","28279","37996","28279","28279","16922","NA","NA","NA","NA","39767","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","38505","38505","39164","23741","27711","67454","NA","NA","NA","NA","13649","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","18","17617","20","no","yes","1024"
