"Identical","LAB_SEED","Orientation1","Orientation2","PPList","Picture1","Picture2","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_E","correct_Target_response_Prac","correct_Welcome_PP_E","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_DE","count_Start_E","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_SC","count_Start_TC","count_Start_THAI","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac","count_Target_response_wrong_Prac","count_Trial_logger","count_Welcome_PP_DE","count_Welcome_PP_E","count_Welcome_PP_HUN","count_Welcome_PP_NOR","count_Welcome_PP_PL","count_Welcome_PP_SC","count_Welcome_PP_TC","count_Welcome_PP_THAI","datetime","de","description","disable_garbage_collection","empty_column","en","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","hun","keyboard_backend","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","pol","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_DE","response_Start_E","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_SC","response_Start_TC","response_Start_THAI","response_Target_response_Prac","response_Welcome_PP_DE","response_Welcome_PP_E","response_Welcome_PP_HUN","response_Welcome_PP_NOR","response_Welcome_PP_PL","response_Welcome_PP_SC","response_Welcome_PP_TC","response_Welcome_PP_THAI","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_DE","response_time_Start_E","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_SC","response_time_Start_TC","response_time_Start_THAI","response_time_Target_response_Prac","response_time_Welcome_PP_DE","response_time_Welcome_PP_E","response_time_Welcome_PP_HUN","response_time_Welcome_PP_NOR","response_time_Welcome_PP_PL","response_time_Welcome_PP_SC","response_time_Welcome_PP_TC","response_time_Welcome_PP_THAI","round_decimals","sampler_backend","sc","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","tc","thai","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_DE","time_Start_E","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_SC","time_Start_TC","time_Start_THAI","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac","time_Target_response_wrong_Prac","time_Trial_logger","time_Welcome_PP_DE","time_Welcome_PP_E","time_Welcome_PP_HUN","time_Welcome_PP_NOR","time_Welcome_PP_PL","time_Welcome_PP_SC","time_Welcome_PP_TC","time_Welcome_PP_THAI","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"F","8272","F","F","PP_LIST2.csv","wrench.jpg","piano.jpg","100","100","737.714285714","737.714285714","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","0","0","0","0","0","0","0","0","0","10/22/19 13:43:17","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\USER.USER-PC\Desktop\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","0","0","1","5","MYS_003_PP_6.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","616","NA","NA","616","NA","1526","NA","NA","NA","NA","NA","NA","496","NA","9267","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","6","even","no","no","NA","5808","3044","3044","4304","5792","5792","NA","NA","28435","28573","25333","15092","26892","29076","28570","5808","28435","29076","29695","NA","NA","15092","26835","15123","25330","15123","15123","15092","NA","26894","NA","NA","NA","NA","NA","NA","25836","25836","26335","17775","NA","30195","NA","5810","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","7","5164","7","yes","1024"
"F","8272","F","F","PP_LIST2.csv","needle.jpg","tiger.jpg","100","100","711.375","711.375","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","1","0","1","5","0","0","1","1","0","0","1","1","1","1","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","1","0","0","0","0","0","0","0","0","10/22/19 13:43:17","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\USER.USER-PC\Desktop\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","1","1","1","5","MYS_003_PP_6.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","527","NA","NA","527","NA","1526","NA","NA","NA","NA","NA","NA","496","NA","9267","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","6","even","no","no","NA","5808","3044","3044","4304","5792","5792","NA","NA","28435","30390","25333","15092","26892","30893","30387","5808","28435","30893","31423","NA","NA","15092","26835","15123","25330","15123","15123","15092","NA","26894","NA","NA","NA","NA","NA","NA","25836","25836","26335","17775","NA","31923","NA","5810","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","8","5691","8","yes","1024"
"F","8272","F","F","PP_LIST2.csv","tlphon.jpg","knife.jpg","100","100","688.888888889","688.888888889","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","2","0","2","5","0","0","2","2","0","0","2","2","2","2","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","2","0","0","0","0","0","0","0","0","10/22/19 13:43:17","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\USER.USER-PC\Desktop\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","2","2","1","5","MYS_003_PP_6.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","509","NA","NA","509","NA","1526","NA","NA","NA","NA","NA","NA","496","NA","9267","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","6","even","no","no","NA","5808","3044","3044","4304","5792","5792","NA","NA","28435","32096","25333","15092","26892","32600","32094","5808","28435","32600","33112","NA","NA","15092","26835","15123","25330","15123","15123","15092","NA","26894","NA","NA","NA","NA","NA","NA","25836","25836","26335","17775","NA","33612","NA","5810","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","9","6200","9","yes","1024"
"F","8272","F","F","PP_LIST2.csv","spider.jpg","couch.jpg","100","100","666.6","666.6","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","3","0","3","5","0","0","3","3","0","0","3","3","3","3","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","3","0","0","0","0","0","0","0","0","10/22/19 13:43:17","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\USER.USER-PC\Desktop\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","3","3","1","5","MYS_003_PP_6.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","466","NA","NA","466","NA","1526","NA","NA","NA","NA","NA","NA","496","NA","9267","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","6","even","no","no","NA","5808","3044","3044","4304","5792","5792","NA","NA","28435","33780","25333","15092","26892","34283","33777","5808","28435","34283","34751","NA","NA","15092","26835","15123","25330","15123","15123","15092","NA","26894","NA","NA","NA","NA","NA","NA","25836","25836","26335","17775","NA","35252","NA","5810","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","10","6666","10","yes","1024"
"Y","8272","V","V","PP_LIST2.csv","bookV.jpg","bookV.jpg","100","100","666.090909091","666.090909091","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","4","0","4","5","0","0","4","4","0","0","4","4","4","4","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","4","0","0","0","0","0","0","0","0","10/22/19 13:43:17","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\USER.USER-PC\Desktop\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","4","4","1","5","MYS_003_PP_6.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","661","NA","NA","661","NA","1526","NA","NA","NA","NA","NA","NA","496","NA","9267","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","6","even","no","no","NA","5808","3044","3044","4304","5792","5792","NA","NA","28435","35433","25333","15092","26892","35936","35430","5808","28435","35936","36599","NA","NA","15092","26835","15123","25330","15123","15123","15092","NA","26894","NA","NA","NA","NA","NA","NA","25836","25836","26335","17775","NA","37100","NA","5810","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","11","7327","11","yes","1024"
"N","8272","H","V","PP_LIST2.csv","fire_extinguisherH.jpg","fire_extinguisherV.jpg","100","100","660.75","660.75","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","5","0","5","5","0","0","5","5","0","0","5","5","5","5","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","5","0","0","0","0","0","0","0","0","10/22/19 13:43:17","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\USER.USER-PC\Desktop\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","5","5","1","5","MYS_003_PP_6.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","602","NA","NA","602","NA","1526","NA","NA","NA","NA","NA","NA","496","NA","9267","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","6","even","no","no","NA","5808","3044","3044","4304","5792","5792","NA","NA","28435","37283","25333","15092","26892","37786","37280","5808","28435","37786","38391","NA","NA","15092","26835","15123","25330","15123","15123","15092","NA","26894","NA","NA","NA","NA","NA","NA","25836","25836","26335","17775","NA","38891","NA","5810","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","12","7929","12","yes","1024"
"F","8272","F","F","PP_LIST2.csv","ring.jpg","stove.jpg","100","100","653.538461538","653.538461538","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","6","0","6","5","0","0","6","6","0","0","6","6","6","6","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","6","0","0","0","0","0","0","0","0","10/22/19 13:43:17","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\USER.USER-PC\Desktop\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","6","6","1","5","MYS_003_PP_6.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","567","NA","NA","567","NA","1526","NA","NA","NA","NA","NA","NA","496","NA","9267","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","6","even","no","no","NA","5808","3044","3044","4304","5792","5792","NA","NA","28435","39062","25333","15092","26892","39565","39059","5808","28435","39565","40135","NA","NA","15092","26835","15123","25330","15123","15123","15092","NA","26894","NA","NA","NA","NA","NA","NA","25836","25836","26335","17775","NA","40636","NA","5810","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","13","8496","13","yes","1024"
"F","8272","F","F","PP_LIST2.csv","wndmil.jpg","mitten.jpg","92.8571428571","92.8571428571","644.785714286","644.785714286","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","0","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","7","0","7","5","0","0","7","7","0","0","7","7","7","7","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","7","0","0","0","0","0","0","0","0","10/22/19 13:43:17","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\USER.USER-PC\Desktop\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","7","7","1","5","MYS_003_PP_6.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","531","NA","NA","531","NA","1526","NA","NA","NA","NA","NA","NA","496","NA","9267","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","6","even","no","no","NA","5808","3044","3044","4304","5792","5792","NA","NA","28435","40817","25333","15092","26892","41321","40815","5808","28435","41321","40135","NA","41855","15092","26835","15123","25330","15123","15123","15092","NA","26894","NA","NA","NA","NA","NA","NA","25836","25836","26335","17775","NA","42355","NA","5810","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","13","9027","14","yes","1024"
"Y","8272","H","H","PP_LIST2.csv","plateH.jpg","plateH.jpg","93.3333333333","93.3333333333","648.533333333","648.533333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","8","0","8","5","0","0","8","8","0","0","8","8","8","8","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","8","0","0","0","0","0","0","0","0","10/22/19 13:43:17","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\USER.USER-PC\Desktop\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","8","8","1","5","MYS_003_PP_6.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","701","NA","NA","701","NA","1526","NA","NA","NA","NA","NA","NA","496","NA","9267","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","6","even","no","no","NA","5808","3044","3044","4304","5792","5792","NA","NA","28435","42544","25333","15092","26892","43047","42542","5808","28435","43047","43751","NA","41855","15092","26835","15123","25330","15123","15123","15092","NA","26894","NA","NA","NA","NA","NA","NA","25836","25836","26335","17775","NA","44251","NA","5810","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","14","9728","15","yes","1024"
"N","8272","V","H","PP_LIST2.csv","ironV.jpg","ironH.jpg","93.75","93.75","656.875","656.875","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","9","0","9","5","0","0","9","9","0","0","9","9","9","9","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","9","0","0","0","0","0","0","0","0","10/22/19 13:43:17","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\USER.USER-PC\Desktop\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","9","9","1","5","MYS_003_PP_6.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","j","NA","space","NA","NA","NA","NA","NA","NA","782","NA","NA","782","NA","1526","NA","NA","NA","NA","NA","NA","496","NA","9267","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","6","even","no","no","NA","5808","3044","3044","4304","5792","5792","NA","NA","28435","44431","25333","15092","26892","44934","44429","5808","28435","44934","45719","NA","41855","15092","26835","15123","25330","15123","15123","15092","NA","26894","NA","NA","NA","NA","NA","NA","25836","25836","26335","17775","NA","46219","NA","5810","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","15","10510","16","yes","1024"
