"LAB_SEED","List","Match","Orientation","PList","Probe","Target","Task","acc","accuracy","alt_task","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instruction_E","correct_Probe_Prac_response","correct_Probe_response","correct_Probe_sti_response","correct_Start_E","correct_Target_response","correct_Target_response_Prac","correct_Welcome_E","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_First_Fixation","count_First_Fixation_Prac","count_Instruction_DE","count_Instruction_E","count_Instruction_HUN","count_Instruction_NOR","count_Instruction_PL","count_Instruction_SC","count_Instruction_TC","count_Instruction_THAI","count_LAB_SEED","count_Language_Selection","count_List_Select_DE","count_List_Select_E","count_List_Select_HUN","count_List_Select_NOR","count_List_Select_PL","count_List_Select_SC","count_List_Select_TC","count_List_Select_THAI","count_List_Selection","count_Memory_loop","count_Memory_sequence","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Probe","count_Probe_Collect","count_Probe_Prac","count_Probe_Prac_response","count_Probe_import","count_Probe_response","count_Probe_sti","count_Probe_sti_correct","count_Probe_sti_response","count_Probe_sti_wrong","count_STUDY_order","count_Second_Fixation","count_Second_Fixation_Prac","count_Start_DE","count_Start_E","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_SC","count_Start_TC","count_Start_THAI","count_Target","count_Target_Prac","count_Target_response","count_Target_response_Prac","count_Target_response_correct","count_Target_response_correct_Prac","count_Target_response_noans","count_Target_response_noans_Prac","count_Target_response_wrong","count_Target_response_wrong_Prac","count_Trial_logger","count_Verification_Break","count_Verification_End","count_Verification_Exp","count_Verification_Prac","count_Verification_Start","count_Verification_Trial","count_Verification_Welcome","count_Verification_loop","count_Welcom_SC","count_Welcom_TC","count_Welcom_THAI","count_Welcome_DE","count_Welcome_E","count_Welcome_HUN","count_Welcome_NOR","count_Welcome_PL","count_presetup","datetime","de","description","disable_garbage_collection","empty_column","en","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","hun","keyboard_backend","live_row","live_row_Prac","live_row_Prac_loop","live_row_Verification_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","pol","rectarget","repeat_cycle","reset_loop","response","response_Instruction_DE","response_Instruction_E","response_Instruction_HUN","response_Instruction_NOR","response_Instruction_PL","response_Instruction_SC","response_Instruction_TC","response_Instruction_THAI","response_Probe_Prac_response","response_Probe_response","response_Probe_sti_response","response_Start_DE","response_Start_E","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_SC","response_Start_TC","response_Start_THAI","response_Target_response","response_Target_response_Prac","response_Verification_Break","response_Verification_End","response_Welcom_SC","response_Welcom_TC","response_Welcom_THAI","response_Welcome_DE","response_Welcome_E","response_Welcome_HUN","response_Welcome_NOR","response_Welcome_PL","response_time","response_time_Instruction_DE","response_time_Instruction_E","response_time_Instruction_HUN","response_time_Instruction_NOR","response_time_Instruction_PL","response_time_Instruction_SC","response_time_Instruction_TC","response_time_Instruction_THAI","response_time_Probe_Prac_response","response_time_Probe_response","response_time_Probe_sti_response","response_time_Start_DE","response_time_Start_E","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_SC","response_time_Start_TC","response_time_Start_THAI","response_time_Target_response","response_time_Target_response_Prac","response_time_Verification_Break","response_time_Verification_End","response_time_Welcom_SC","response_time_Welcom_TC","response_time_Welcom_THAI","response_time_Welcome_DE","response_time_Welcome_E","response_time_Welcome_HUN","response_time_Welcome_NOR","response_time_Welcome_PL","round_decimals","sampler_backend","sc","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","task_order","tc","thai","time_Check_This","time_Disable_Mouse","time_EXP","time_First_Fixation","time_First_Fixation_Prac","time_Instruction_DE","time_Instruction_E","time_Instruction_HUN","time_Instruction_NOR","time_Instruction_PL","time_Instruction_SC","time_Instruction_TC","time_Instruction_THAI","time_LAB_SEED","time_Language_Selection","time_List_Select_DE","time_List_Select_E","time_List_Select_HUN","time_List_Select_NOR","time_List_Select_PL","time_List_Select_SC","time_List_Select_TC","time_List_Select_THAI","time_List_Selection","time_Memory_loop","time_Memory_sequence","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Probe","time_Probe_Collect","time_Probe_Prac","time_Probe_Prac_response","time_Probe_import","time_Probe_response","time_Probe_sti","time_Probe_sti_correct","time_Probe_sti_response","time_Probe_sti_wrong","time_STUDY_order","time_Second_Fixation","time_Second_Fixation_Prac","time_Start_DE","time_Start_E","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_SC","time_Start_TC","time_Start_THAI","time_Target","time_Target_Prac","time_Target_response","time_Target_response_Prac","time_Target_response_correct","time_Target_response_correct_Prac","time_Target_response_noans","time_Target_response_noans_Prac","time_Target_response_wrong","time_Target_response_wrong_Prac","time_Trial_logger","time_Verification_Break","time_Verification_End","time_Verification_Exp","time_Verification_Prac","time_Verification_Start","time_Verification_Trial","time_Verification_Welcome","time_Verification_loop","time_Welcom_SC","time_Welcom_TC","time_Welcom_THAI","time_Welcome_DE","time_Welcome_E","time_Welcome_HUN","time_Welcome_NOR","time_Welcome_PL","time_presetup","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"8272","ENG_LIST3.csv","N","H","ENG_Prac1.csv","The young husband prepared to place the spare tire into the trunk.","tireV.jpg","V","42.8571428571","42.8571428571","[5, 11, 14, 18, 23, 25, 31, 33, 39, 43, 46]","1612.46428571","1612.46428571","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","0","12","2","12","2","2","0","0","0","12","12","NA","0","NA","NA","NA","NA","0","0","12","0","0","0","0","0","0","0","0","0","12","0","12","0","12","0","12","0","12","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11/13/19 14:58:14","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:\Users\USER.USER-PC\Desktop\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","0","3","5","0","MYS_003_SP_13.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","j","NA","space","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","j","j","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","822","NA","20765","NA","NA","NA","NA","NA","NA","1889","2582","NA","NA","8722","NA","NA","NA","NA","NA","NA","822","438","NA","NA","NA","NA","NA","NA","7081","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","13","odd","Yes","no","no","NA","9832","4790","117027","103728","NA","16919","NA","NA","NA","NA","NA","NA","4791","8772","NA","9815","NA","NA","NA","NA","NA","NA","9815","NA","NA","37700","108067","81128","103726","81128","81128","37700","118030","118030","104731","104731","NA","118030","NA","NA","NA","NA","NA","120615","106623","NA","108122","NA","NA","NA","NA","NA","NA","121118","107126","121118","107126","121943","107567","NA","46974","NA","80583","122443","NA","NA","116860","37700","108119","117024","9832","116861","NA","NA","NA","NA","9835","NA","NA","NA","116861","Orientation_PSA2018","12","45149","28","yes","1024"
"8272","ENG_LIST3.csv","F","F","ENG_Prac1.csv","Denise bought a ticket for the subway.","sutcse.jpg","V","43.3333333333","43.3333333333","[5, 11, 14, 18, 23, 25, 31, 33, 39, 43, 46]","1599.7","1599.7","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","1","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","NA","0","12","2","12","2","2","0","1","1","12","12","NA","1","NA","NA","NA","NA","0","1","12","0","0","0","0","0","0","0","0","1","12","1","12","1","12","1","12","1","12","1","NA","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","11/13/19 14:58:14","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:\Users\USER.USER-PC\Desktop\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","1","3","5","1","MYS_003_SP_13.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","f","NA","space","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","f","j","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","846","NA","20765","NA","NA","NA","NA","NA","NA","1889","1996","NA","NA","8722","NA","NA","NA","NA","NA","NA","846","438","NA","NA","NA","NA","NA","NA","7081","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","13","odd","Yes","no","no","NA","9832","4790","122701","103728","NA","16919","NA","NA","NA","NA","NA","NA","4791","8772","NA","9815","NA","NA","NA","NA","NA","NA","9815","NA","NA","37700","108067","81128","103726","81128","81128","37700","123704","123704","104731","104731","NA","123704","NA","NA","NA","NA","NA","125703","106623","NA","108122","NA","NA","NA","NA","NA","NA","126206","107126","126206","107126","127055","107567","NA","46974","NA","80583","127555","NA","NA","116860","37700","108119","122698","9832","116861","NA","NA","NA","NA","9835","NA","NA","NA","116861","Orientation_PSA2018","13","47991","30","yes","1024"
"8272","ENG_LIST3.csv","F","F","ENG_Prac1.csv","Melissa volleyed the ball over the net.","house.jpg","V","43.75","43.75","[5, 11, 14, 18, 23, 25, 31, 33, 39, 43, 46]","1553.4375","1553.4375","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","2","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","NA","0","12","2","12","2","2","0","2","2","12","12","NA","2","NA","NA","NA","NA","0","2","12","0","0","0","0","0","0","0","0","2","12","2","12","2","12","2","12","2","12","2","NA","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","11/13/19 14:58:14","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:\Users\USER.USER-PC\Desktop\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","2","3","5","2","MYS_003_SP_13.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","f","NA","space","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","f","j","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","614","NA","20765","NA","NA","NA","NA","NA","NA","1889","1105","NA","NA","8722","NA","NA","NA","NA","NA","NA","614","438","NA","NA","NA","NA","NA","NA","7081","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","13","odd","Yes","no","no","NA","9832","4790","127735","103728","NA","16919","NA","NA","NA","NA","NA","NA","4791","8772","NA","9815","NA","NA","NA","NA","NA","NA","9815","NA","NA","37700","108067","81128","103726","81128","81128","37700","128739","128739","104731","104731","NA","128739","NA","NA","NA","NA","NA","129847","106623","NA","108122","NA","NA","NA","NA","NA","NA","130350","107126","130350","107126","130967","107567","NA","46974","NA","80583","131467","NA","NA","116860","37700","108119","127733","9832","116861","NA","NA","NA","NA","9835","NA","NA","NA","116861","Orientation_PSA2018","14","49710","32","yes","1024"
"8272","ENG_LIST3.csv","F","F","ENG_Prac1.csv","The bartender poured another scotch for the salesman.","piano.jpg","V","44.1176470588","44.1176470588","[5, 11, 14, 18, 23, 25, 31, 33, 39, 43, 46]","1552.32352941","1552.32352941","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","3","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","NA","0","12","2","12","2","2","0","3","3","12","12","NA","3","NA","NA","NA","NA","0","3","12","0","0","0","0","0","0","0","0","3","12","3","12","3","12","3","12","3","12","3","NA","3","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","11/13/19 14:58:14","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:\Users\USER.USER-PC\Desktop\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","3","3","5","3","MYS_003_SP_13.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","f","NA","space","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","f","j","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","877","NA","20765","NA","NA","NA","NA","NA","NA","1889","2192","NA","NA","8722","NA","NA","NA","NA","NA","NA","877","438","NA","NA","NA","NA","NA","NA","7081","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","13","odd","Yes","no","no","NA","9832","4790","131672","103728","NA","16919","NA","NA","NA","NA","NA","NA","4791","8772","NA","9815","NA","NA","NA","NA","NA","NA","9815","NA","NA","37700","108067","81128","103726","81128","81128","37700","132676","132676","104731","104731","NA","132676","NA","NA","NA","NA","NA","134872","106623","NA","108122","NA","NA","NA","NA","NA","NA","135375","107126","135375","107126","136255","107567","NA","46974","NA","80583","136756","NA","NA","116860","37700","108119","131670","9832","116861","NA","NA","NA","NA","9835","NA","NA","NA","116861","Orientation_PSA2018","15","52779","34","yes","1024"
"8272","ENG_LIST3.csv","Y","V","ENG_Prac1.csv","The librarian put the book back on the shelf.","bookV.jpg","V","44.4444444444","44.4444444444","[5, 11, 14, 18, 23, 25, 31, 33, 39, 43, 46]","1532.55555556","1532.55555556","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","4","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","NA","0","12","2","12","2","2","0","4","4","12","12","NA","4","NA","NA","NA","NA","0","4","12","0","0","0","0","0","0","0","0","4","12","4","12","4","12","4","12","4","12","4","NA","4","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","11/13/19 14:58:14","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:\Users\USER.USER-PC\Desktop\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","4","3","5","4","MYS_003_SP_13.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","j","NA","space","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","j","j","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","686","NA","20765","NA","NA","NA","NA","NA","NA","1889","1707","NA","NA","8722","NA","NA","NA","NA","NA","NA","686","438","NA","NA","NA","NA","NA","NA","7081","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","13","odd","Yes","no","no","NA","9832","4790","136966","103728","NA","16919","NA","NA","NA","NA","NA","NA","4791","8772","NA","9815","NA","NA","NA","NA","NA","NA","9815","NA","NA","37700","108067","81128","103726","81128","81128","37700","137969","137969","104731","104731","NA","137969","NA","NA","NA","NA","NA","139679","106623","NA","108122","NA","NA","NA","NA","NA","NA","140182","107126","140182","107126","140871","107567","NA","46974","NA","80583","141371","NA","NA","116860","37700","108119","136963","9832","116861","NA","NA","NA","NA","9835","NA","NA","NA","116861","Orientation_PSA2018","16","55172","36","yes","1024"
"8272","ENG_LIST3.csv","F","F","ENG_Prac1.csv","The swimmers were startled by the alligator.","stove.jpg","V","44.7368421053","44.7368421053","[5, 11, 14, 18, 23, 25, 31, 33, 39, 43, 46]","1522.65789474","1522.65789474","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","5","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","NA","0","12","2","12","2","2","0","5","5","12","12","NA","5","NA","NA","NA","NA","0","5","12","0","0","0","0","0","0","0","0","5","12","5","12","5","12","5","12","5","12","5","NA","5","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","11/13/19 14:58:14","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:\Users\USER.USER-PC\Desktop\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","5","3","5","5","MYS_003_SP_13.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","f","NA","space","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","f","j","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","574","NA","20765","NA","NA","NA","NA","NA","NA","1889","2115","NA","NA","8722","NA","NA","NA","NA","NA","NA","574","438","NA","NA","NA","NA","NA","NA","7081","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","13","odd","Yes","no","no","NA","9832","4790","141582","103728","NA","16919","NA","NA","NA","NA","NA","NA","4791","8772","NA","9815","NA","NA","NA","NA","NA","NA","9815","NA","NA","37700","108067","81128","103726","81128","81128","37700","142585","142585","104731","104731","NA","142585","NA","NA","NA","NA","NA","144703","106623","NA","108122","NA","NA","NA","NA","NA","NA","145206","107126","145206","107126","145783","107567","NA","46974","NA","80583","146283","NA","NA","116860","37700","108119","141580","9832","116861","NA","NA","NA","NA","9835","NA","NA","NA","116861","Orientation_PSA2018","17","57861","38","yes","1024"
"8272","ENG_LIST3.csv","F","F","ENG_Prac1.csv","The swimmers were startled by the alligator.","stove.jpg","M","43.5897435897","43.5897435897","[5, 11, 14, 18, 23, 25, 31, 33, 39, 43, 46]","1559","1559","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","0","undefined","1","1","undefined","6","f","0","0","0","5","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","12","2","12","2","2","0","5","5","12","12","0","5","0","0","0","0","0","5","12","0","0","0","0","0","0","0","0","5","12","5","12","5","12","5","12","5","12","6","NA","5","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","11/13/19 14:58:14","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:\Users\USER.USER-PC\Desktop\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","0","3","5","5","MYS_003_SP_13.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","The young husband prepared to place the spare tire into the trunk.","0","0","j","NA","space","NA","NA","NA","NA","NA","NA","space","space","j","NA","space","NA","NA","NA","NA","NA","NA","f","j","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","2940","NA","20765","NA","NA","NA","NA","NA","NA","1889","2115","2940","NA","8722","NA","NA","NA","NA","NA","NA","574","438","NA","NA","NA","NA","NA","NA","7081","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","13","odd","Yes","no","no","NA","9832","4790","141582","103728","NA","16919","NA","NA","NA","NA","NA","NA","4791","8772","NA","9815","NA","NA","NA","NA","NA","NA","9815","146315","146422","37700","108067","81128","103726","81128","81128","37700","142585","142585","104731","104731","146422","142585","146424","NA","146424","149367","NA","144703","106623","NA","108122","NA","NA","NA","NA","NA","NA","145206","107126","145206","107126","145783","107567","NA","46974","NA","80583","150867","NA","NA","116860","37700","108119","141580","9832","116861","NA","NA","NA","NA","9835","NA","NA","NA","116861","Orientation_PSA2018","17","60801","39","yes","1024"
"8272","ENG_LIST3.csv","F","F","ENG_Prac1.csv","Ted showed off his new motor cycle to his friends.","spider.jpg","V","43.9024390244","43.9024390244","[5, 11, 14, 18, 23, 25, 31, 33, 39, 43, 46]","1629.24390244","1629.24390244","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","0","undefined","1","1","undefined","6","f","0","0","0","6","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","12","2","12","2","2","0","6","6","12","12","0","6","0","0","0","0","0","6","12","0","0","0","0","0","0","0","0","6","12","6","12","6","12","6","12","6","12","7","NA","6","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","11/13/19 14:58:14","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:\Users\USER.USER-PC\Desktop\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","6","3","5","6","MYS_003_SP_13.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","The young husband prepared to place the spare tire into the trunk.","0","0","f","NA","space","NA","NA","NA","NA","NA","NA","space","space","j","NA","space","NA","NA","NA","NA","NA","NA","f","j","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","646","NA","20765","NA","NA","NA","NA","NA","NA","1889","5352","2940","NA","8722","NA","NA","NA","NA","NA","NA","646","438","NA","NA","NA","NA","NA","NA","7081","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","13","odd","Yes","no","no","NA","9832","4790","151072","103728","NA","16919","NA","NA","NA","NA","NA","NA","4791","8772","NA","9815","NA","NA","NA","NA","NA","NA","9815","146315","146422","37700","108067","81128","103726","81128","81128","37700","152076","152076","104731","104731","146422","152076","146424","NA","146424","149367","NA","157431","106623","NA","108122","NA","NA","NA","NA","NA","NA","157934","107126","157934","107126","158583","107567","NA","46974","NA","80583","159083","NA","NA","116860","37700","108119","151070","9832","116861","NA","NA","NA","NA","9835","NA","NA","NA","116861","Orientation_PSA2018","18","66799","41","yes","1024"
"8272","ENG_LIST3.csv","Y","H","ENG_Prac1.csv","Mick strummed his guitar as he warmed up for the concert.","guitarH.jpg","V","44.1860465116","44.1860465116","[5, 11, 14, 18, 23, 25, 31, 33, 39, 43, 46]","1644.44186047","1644.44186047","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","0","undefined","1","1","undefined","6","j","0","0","0","7","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","12","2","12","2","2","0","7","7","12","12","0","7","0","0","0","0","0","7","12","0","0","0","0","0","0","0","0","7","12","7","12","7","12","7","12","7","12","8","NA","7","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","11/13/19 14:58:14","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:\Users\USER.USER-PC\Desktop\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","7","3","5","7","MYS_003_SP_13.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","The young husband prepared to place the spare tire into the trunk.","0","0","j","NA","space","NA","NA","NA","NA","NA","NA","space","space","j","NA","space","NA","NA","NA","NA","NA","NA","j","j","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","574","NA","20765","NA","NA","NA","NA","NA","NA","1889","3338","2940","NA","8722","NA","NA","NA","NA","NA","NA","574","438","NA","NA","NA","NA","NA","NA","7081","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","13","odd","Yes","no","no","NA","9832","4790","159279","103728","NA","16919","NA","NA","NA","NA","NA","NA","4791","8772","NA","9815","NA","NA","NA","NA","NA","NA","9815","146315","146422","37700","108067","81128","103726","81128","81128","37700","160282","160282","104731","104731","146422","160282","146424","NA","146424","149367","NA","163623","106623","NA","108122","NA","NA","NA","NA","NA","NA","164126","107126","164126","107126","164703","107567","NA","46974","NA","80583","165203","NA","NA","116860","37700","108119","159277","9832","116861","NA","NA","NA","NA","9835","NA","NA","NA","116861","Orientation_PSA2018","19","70711","43","yes","1024"
"8272","ENG_LIST3.csv","Y","V","ENG_Prac1.csv","Jessica stuck the bottle in the ice, anticipating a romantic evening.","bottleV.jpg","V","44.4444444444","44.4444444444","[5, 11, 14, 18, 23, 25, 31, 33, 39, 43, 46]","1722.44444444","1722.44444444","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","0","undefined","1","1","undefined","6","j","0","0","0","8","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","12","2","12","2","2","0","8","8","12","12","0","8","0","0","0","0","0","8","12","0","0","0","0","0","0","0","0","8","12","8","12","8","12","8","12","8","12","9","NA","8","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","11/13/19 14:58:14","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:\Users\USER.USER-PC\Desktop\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","8","3","5","8","MYS_003_SP_13.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","The young husband prepared to place the spare tire into the trunk.","0","0","j","NA","space","NA","NA","NA","NA","NA","NA","space","space","j","NA","space","NA","NA","NA","NA","NA","NA","j","j","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","813","NA","20765","NA","NA","NA","NA","NA","NA","1889","5986","2940","NA","8722","NA","NA","NA","NA","NA","NA","813","438","NA","NA","NA","NA","NA","NA","7081","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","13","odd","Yes","no","no","NA","9832","4790","165399","103728","NA","16919","NA","NA","NA","NA","NA","NA","4791","8772","NA","9815","NA","NA","NA","NA","NA","NA","9815","146315","146422","37700","108067","81128","103726","81128","81128","37700","166402","166402","104731","104731","146422","166402","146424","NA","146424","149367","NA","172391","106623","NA","108122","NA","NA","NA","NA","NA","NA","172895","107126","172895","107126","173711","107567","NA","46974","NA","80583","174211","NA","NA","116860","37700","108119","165397","9832","116861","NA","NA","NA","NA","9835","NA","NA","NA","116861","Orientation_PSA2018","20","77510","45","yes","1024"
