"LAB_SEED","List","Match","Orientation","PList","Probe","Target","Task","acc","accuracy","alt_task","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instruction_E","correct_Probe_Prac_response","correct_Probe_response","correct_Probe_sti_response","correct_Start_E","correct_Target_response","correct_Target_response_Prac","correct_Welcome_E","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EN_selection","count_EXP","count_First_Fixation","count_First_Fixation_Prac","count_Instruction_DE","count_Instruction_E","count_Instruction_HUN","count_Instruction_NOR","count_Instruction_PL","count_Instruction_SC","count_Instruction_TC","count_Instruction_THAI","count_Instruction_TUR","count_LAB_SEED","count_Language_Selection","count_List_Select_DE","count_List_Select_E","count_List_Select_HUN","count_List_Select_NOR","count_List_Select_PL","count_List_Select_SC","count_List_Select_TC","count_List_Select_THAI","count_List_Select_TUR","count_List_Selection","count_Memory_loop","count_Memory_sequence","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Probe","count_Probe_Collect","count_Probe_Prac","count_Probe_Prac_response","count_Probe_import","count_Probe_response","count_Probe_sti","count_Probe_sti_correct","count_Probe_sti_response","count_Probe_sti_wrong","count_STUDY_order","count_Second_Fixation","count_Second_Fixation_Prac","count_Start_DE","count_Start_E","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_SC","count_Start_TC","count_Start_THAI","count_Start_TUR","count_Target","count_Target_Prac","count_Target_response","count_Target_response_Prac","count_Target_response_correct","count_Target_response_correct_Prac","count_Target_response_noans","count_Target_response_noans_Prac","count_Target_response_wrong","count_Target_response_wrong_Prac","count_Trial_logger","count_Verification_Break","count_Verification_End","count_Verification_Exp","count_Verification_Prac","count_Verification_Start","count_Verification_Trial","count_Verification_Welcome","count_Verification_loop","count_Welcom_SC","count_Welcom_TC","count_Welcom_THAI","count_Welcom_TUR","count_Welcome_DE","count_Welcome_E","count_Welcome_HUN","count_Welcome_NOR","count_Welcome_PL","count_presetup","datetime","de","description","disable_garbage_collection","empty_column","en","en1","en2","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","hun","keyboard_backend","live_row","live_row_Prac","live_row_Prac_loop","live_row_Verification_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","pol","rectarget","repeat_cycle","reset_loop","response","response_Instruction_DE","response_Instruction_E","response_Instruction_HUN","response_Instruction_NOR","response_Instruction_PL","response_Instruction_SC","response_Instruction_TC","response_Instruction_THAI","response_Instruction_TUR","response_Probe_Prac_response","response_Probe_response","response_Probe_sti_response","response_Start_DE","response_Start_E","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_SC","response_Start_TC","response_Start_THAI","response_Start_TUR","response_Target_response","response_Target_response_Prac","response_Verification_Break","response_Verification_End","response_Welcom_SC","response_Welcom_TC","response_Welcom_THAI","response_Welcom_TUR","response_Welcome_DE","response_Welcome_E","response_Welcome_HUN","response_Welcome_NOR","response_Welcome_PL","response_time","response_time_Instruction_DE","response_time_Instruction_E","response_time_Instruction_HUN","response_time_Instruction_NOR","response_time_Instruction_PL","response_time_Instruction_SC","response_time_Instruction_TC","response_time_Instruction_THAI","response_time_Instruction_TUR","response_time_Probe_Prac_response","response_time_Probe_response","response_time_Probe_sti_response","response_time_Start_DE","response_time_Start_E","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_SC","response_time_Start_TC","response_time_Start_THAI","response_time_Start_TUR","response_time_Target_response","response_time_Target_response_Prac","response_time_Verification_Break","response_time_Verification_End","response_time_Welcom_SC","response_time_Welcom_TC","response_time_Welcom_THAI","response_time_Welcom_TUR","response_time_Welcome_DE","response_time_Welcome_E","response_time_Welcome_HUN","response_time_Welcome_NOR","response_time_Welcome_PL","round_decimals","sampler_backend","sc","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","task_order","tc","thai","time_Check_This","time_Disable_Mouse","time_EN_selection","time_EXP","time_First_Fixation","time_First_Fixation_Prac","time_Instruction_DE","time_Instruction_E","time_Instruction_HUN","time_Instruction_NOR","time_Instruction_PL","time_Instruction_SC","time_Instruction_TC","time_Instruction_THAI","time_Instruction_TUR","time_LAB_SEED","time_Language_Selection","time_List_Select_DE","time_List_Select_E","time_List_Select_HUN","time_List_Select_NOR","time_List_Select_PL","time_List_Select_SC","time_List_Select_TC","time_List_Select_THAI","time_List_Select_TUR","time_List_Selection","time_Memory_loop","time_Memory_sequence","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Probe","time_Probe_Collect","time_Probe_Prac","time_Probe_Prac_response","time_Probe_import","time_Probe_response","time_Probe_sti","time_Probe_sti_correct","time_Probe_sti_response","time_Probe_sti_wrong","time_STUDY_order","time_Second_Fixation","time_Second_Fixation_Prac","time_Start_DE","time_Start_E","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_SC","time_Start_TC","time_Start_THAI","time_Start_TUR","time_Target","time_Target_Prac","time_Target_response","time_Target_response_Prac","time_Target_response_correct","time_Target_response_correct_Prac","time_Target_response_noans","time_Target_response_noans_Prac","time_Target_response_wrong","time_Target_response_wrong_Prac","time_Trial_logger","time_Verification_Break","time_Verification_End","time_Verification_Exp","time_Verification_Prac","time_Verification_Start","time_Verification_Trial","time_Verification_Welcome","time_Verification_loop","time_Welcom_SC","time_Welcom_TC","time_Welcom_THAI","time_Welcom_TUR","time_Welcome_DE","time_Welcome_E","time_Welcome_HUN","time_Welcome_NOR","time_Welcome_PL","time_presetup","title","total_correct","total_response_time","total_responses","tur","uniform_coordinates","width"
"8272","ENG_LIST3.csv","F","F","ENG_Prac1.csv","Calmly, the sniper mounted the scope on his rifle.","needle.jpg","V","31.6666666667","31.6666666667","[7, 11, 14, 19, 23, 27, 30, 35, 39, 42, 45]","2765.23333333","2765.23333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","0","0","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","0","28","11","28","11","11","0","0","0","28","28","NA","0","NA","NA","NA","NA","0","0","28","0","0","0","0","0","0","0","0","0","0","28","0","28","0","28","0","28","0","28","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Fri Dec 20 10:57:26 2019","no","Matching Tasks","yes","","yes","yes","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","/Users/chrystalle/Desktop/PSA 002","no","chinese-japanese-korean","no","18","no","#0000ff","no","US","yes","768","no","legacy","0","12","5","0","/Users/chrystalle/Desktop/PSA 002/MYS_003_SP_40.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","f","NA","space","NA","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","f","f","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","1082","NA","3692","NA","NA","NA","NA","NA","NA","NA","2455","30067","NA","NA","11941","NA","NA","NA","NA","NA","NA","NA","1082","660","NA","NA","NA","NA","NA","NA","NA","677","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","40","even","No","no","no","NA","11586","10871","4749","227092","209747","NA","12289","NA","NA","NA","NA","NA","NA","NA","4750","9576","NA","11566","NA","NA","NA","NA","NA","NA","NA","11565","NA","NA","16001","214917","181940","209735","181940","181940","16001","228106","228106","210762","210762","NA","228106","NA","NA","NA","NA","NA","258188","213231","NA","214988","NA","NA","NA","NA","NA","NA","NA","258701","213744","258701","213744","259797","214417","NA","163862","NA","181399","260297","NA","NA","226951","16001","214975","227079","11586","226951","NA","NA","NA","NA","NA","11599","NA","NA","NA","226951","Orientation_PSA2018","19","165914","60","no","yes","1024"
"8272","ENG_LIST3.csv","N","V","ENG_Prac1.csv","The caterpillar inched along the lamp post.","caterpillarH.jpg","V","30.6451612903","30.6451612903","[7, 11, 14, 19, 23, 27, 30, 35, 39, 42, 45]","2898.96774194","2898.96774194","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","NA","undefined","0","1","undefined","6","j","0","0","0","0","1","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","NA","0","28","11","28","11","11","0","1","1","28","28","NA","1","NA","NA","NA","NA","0","1","28","0","0","0","0","0","0","0","0","0","1","28","1","28","1","28","1","28","1","28","1","NA","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","Fri Dec 20 10:57:26 2019","no","Matching Tasks","yes","","yes","yes","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","/Users/chrystalle/Desktop/PSA 002","no","chinese-japanese-korean","no","18","no","#0000ff","no","US","yes","768","no","legacy","1","12","5","1","/Users/chrystalle/Desktop/PSA 002/MYS_003_SP_40.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","f","NA","space","NA","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","f","f","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","941","NA","3692","NA","NA","NA","NA","NA","NA","NA","2455","12881","NA","NA","11941","NA","NA","NA","NA","NA","NA","NA","941","660","NA","NA","NA","NA","NA","NA","NA","677","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","40","even","No","no","no","NA","11586","10871","4749","260484","209747","NA","12289","NA","NA","NA","NA","NA","NA","NA","4750","9576","NA","11566","NA","NA","NA","NA","NA","NA","NA","11565","NA","NA","16001","214917","181940","209735","181940","181940","16001","261497","261497","210762","210762","NA","261498","NA","NA","NA","NA","NA","274393","213231","NA","214988","NA","NA","NA","NA","NA","NA","NA","274907","213744","274907","213744","259797","214417","NA","163862","275862","181399","276362","NA","NA","226951","16001","214975","260471","11586","226951","NA","NA","NA","NA","NA","11599","NA","NA","NA","226951","Orientation_PSA2018","19","179736","62","no","yes","1024"
"8272","ENG_LIST3.csv","Y","H","ENG_Prac1.csv","Mick strummed his guitar as he warmed up for the concert.","guitarH.jpg","V","31.25","31.25","[7, 11, 14, 19, 23, 27, 30, 35, 39, 42, 45]","2919.75","2919.75","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","0","2","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","NA","0","28","11","28","11","11","0","2","2","28","28","NA","2","NA","NA","NA","NA","0","2","28","0","0","0","0","0","0","0","0","0","2","28","2","28","2","28","2","28","2","28","2","NA","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","Fri Dec 20 10:57:26 2019","no","Matching Tasks","yes","","yes","yes","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","/Users/chrystalle/Desktop/PSA 002","no","chinese-japanese-korean","no","18","no","#0000ff","no","US","yes","768","no","legacy","2","12","5","2","/Users/chrystalle/Desktop/PSA 002/MYS_003_SP_40.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","j","NA","space","NA","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","j","f","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","1087","NA","3692","NA","NA","NA","NA","NA","NA","NA","2455","6041","NA","NA","11941","NA","NA","NA","NA","NA","NA","NA","1087","660","NA","NA","NA","NA","NA","NA","NA","677","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","40","even","No","no","no","NA","11586","10871","4749","276522","209747","NA","12289","NA","NA","NA","NA","NA","NA","NA","4750","9576","NA","11566","NA","NA","NA","NA","NA","NA","NA","11565","NA","NA","16001","214917","181940","209735","181940","181940","16001","277537","277537","210762","210762","NA","277537","NA","NA","NA","NA","NA","283593","213231","NA","214988","NA","NA","NA","NA","NA","NA","NA","284106","213744","284106","213744","285207","214417","NA","163862","275862","181399","285707","NA","NA","226951","16001","214975","276510","11586","226951","NA","NA","NA","NA","NA","11599","NA","NA","NA","226951","Orientation_PSA2018","20","186864","64","no","yes","1024"
"8272","ENG_LIST3.csv","N","V","ENG_Prac1.csv","Laura hung the decoration on the line with the clothespin.","clothespinH.jpg","V","31.8181818182","31.8181818182","[7, 11, 14, 19, 23, 27, 30, 35, 39, 42, 45]","3573.3030303","3573.3030303","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","0","3","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","NA","0","28","11","28","11","11","0","3","3","28","28","NA","3","NA","NA","NA","NA","0","3","28","0","0","0","0","0","0","0","0","0","3","28","3","28","3","28","3","28","3","28","3","NA","3","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","Fri Dec 20 10:57:26 2019","no","Matching Tasks","yes","","yes","yes","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","/Users/chrystalle/Desktop/PSA 002","no","chinese-japanese-korean","no","18","no","#0000ff","no","US","yes","768","no","legacy","3","12","5","3","/Users/chrystalle/Desktop/PSA 002/MYS_003_SP_40.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","j","NA","space","NA","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","j","f","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","1323","NA","3692","NA","NA","NA","NA","NA","NA","NA","2455","47651","NA","NA","11941","NA","NA","NA","NA","NA","NA","NA","1323","660","NA","NA","NA","NA","NA","NA","NA","677","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","40","even","No","no","no","NA","11586","10871","4749","285869","209747","NA","12289","NA","NA","NA","NA","NA","NA","NA","4750","9576","NA","11566","NA","NA","NA","NA","NA","NA","NA","11565","NA","NA","16001","214917","181940","209735","181940","181940","16001","286883","286883","210762","210762","NA","286883","NA","NA","NA","NA","NA","334550","213231","NA","214988","NA","NA","NA","NA","NA","NA","NA","335063","213744","335063","213744","336400","214417","NA","163862","275862","181399","336900","NA","NA","226951","16001","214975","285857","11586","226951","NA","NA","NA","NA","NA","11599","NA","NA","NA","226951","Orientation_PSA2018","21","235838","66","no","yes","1024"
"8272","ENG_LIST3.csv","Y","V","ENG_Prac1.csv","Jessica stuck the bottle in the ice, anticipating a romantic evening.","bottleV.jpg","V","32.3529411765","32.3529411765","[7, 11, 14, 19, 23, 27, 30, 35, 39, 42, 45]","3607.67647059","3607.67647059","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","0","4","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","NA","0","28","11","28","11","11","0","4","4","28","28","NA","4","NA","NA","NA","NA","0","4","28","0","0","0","0","0","0","0","0","0","4","28","4","28","4","28","4","28","4","28","4","NA","4","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","Fri Dec 20 10:57:26 2019","no","Matching Tasks","yes","","yes","yes","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","/Users/chrystalle/Desktop/PSA 002","no","chinese-japanese-korean","no","18","no","#0000ff","no","US","yes","768","no","legacy","4","12","5","4","/Users/chrystalle/Desktop/PSA 002/MYS_003_SP_40.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","j","NA","space","NA","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","j","f","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","1423","NA","3692","NA","NA","NA","NA","NA","NA","NA","2455","8061","NA","NA","11941","NA","NA","NA","NA","NA","NA","NA","1423","660","NA","NA","NA","NA","NA","NA","NA","677","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","40","even","No","no","no","NA","11586","10871","4749","337067","209747","NA","12289","NA","NA","NA","NA","NA","NA","NA","4750","9576","NA","11566","NA","NA","NA","NA","NA","NA","NA","11565","NA","NA","16001","214917","181940","209735","181940","181940","16001","338081","338081","210762","210762","NA","338082","NA","NA","NA","NA","NA","346159","213231","NA","214988","NA","NA","NA","NA","NA","NA","NA","346673","213744","346673","213744","348110","214417","NA","163862","275862","181399","348610","NA","NA","226951","16001","214975","337055","11586","226951","NA","NA","NA","NA","NA","11599","NA","NA","NA","226951","Orientation_PSA2018","22","245322","68","no","yes","1024"
"8272","ENG_LIST3.csv","Y","V","ENG_Prac1.csv","The librarian put the book back on the shelf.","bookV.jpg","V","31.4285714286","31.4285714286","[7, 11, 14, 19, 23, 27, 30, 35, 39, 42, 45]","3596.62857143","3596.62857143","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","NA","undefined","0","1","undefined","6","j","0","0","0","0","5","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","NA","0","28","11","28","11","11","0","5","5","28","28","NA","5","NA","NA","NA","NA","0","5","28","0","0","0","0","0","0","0","0","0","5","28","5","28","5","28","5","28","5","28","5","NA","5","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","Fri Dec 20 10:57:26 2019","no","Matching Tasks","yes","","yes","yes","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","/Users/chrystalle/Desktop/PSA 002","no","chinese-japanese-korean","no","18","no","#0000ff","no","US","yes","768","no","legacy","5","12","5","5","/Users/chrystalle/Desktop/PSA 002/MYS_003_SP_40.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","f","NA","space","NA","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","f","f","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","728","NA","3692","NA","NA","NA","NA","NA","NA","NA","2455","5714","NA","NA","11941","NA","NA","NA","NA","NA","NA","NA","728","660","NA","NA","NA","NA","NA","NA","NA","677","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","40","even","No","no","no","NA","11586","10871","4749","348769","209747","NA","12289","NA","NA","NA","NA","NA","NA","NA","4750","9576","NA","11566","NA","NA","NA","NA","NA","NA","NA","11565","NA","NA","16001","214917","181940","209735","181940","181940","16001","349784","349784","210762","210762","NA","349784","NA","NA","NA","NA","NA","355513","213231","NA","214988","NA","NA","NA","NA","NA","NA","NA","356026","213744","356026","213744","348110","214417","NA","163862","356768","181399","357268","NA","NA","226951","16001","214975","348757","11586","226951","NA","NA","NA","NA","NA","11599","NA","NA","NA","226951","Orientation_PSA2018","22","251764","70","no","yes","1024"
"8272","ENG_LIST3.csv","F","F","ENG_Prac1.csv","George put his cell phone in the pocket of his trench coat.","ring.jpg","V","30.5555555556","30.5555555556","[7, 11, 14, 19, 23, 27, 30, 35, 39, 42, 45]","3580.86111111","3580.86111111","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","NA","undefined","0","1","undefined","6","f","0","0","0","0","6","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","NA","0","28","11","28","11","11","0","6","6","28","28","NA","6","NA","NA","NA","NA","0","6","28","0","0","0","0","0","0","0","0","0","6","28","6","28","6","28","6","28","6","28","6","NA","6","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","Fri Dec 20 10:57:26 2019","no","Matching Tasks","yes","","yes","yes","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","/Users/chrystalle/Desktop/PSA 002","no","chinese-japanese-korean","no","18","no","#0000ff","no","US","yes","768","no","legacy","6","12","5","6","/Users/chrystalle/Desktop/PSA 002/MYS_003_SP_40.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","j","NA","space","NA","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","j","f","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","940","NA","3692","NA","NA","NA","NA","NA","NA","NA","2455","5118","NA","NA","11941","NA","NA","NA","NA","NA","NA","NA","940","660","NA","NA","NA","NA","NA","NA","NA","677","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","40","even","No","no","no","NA","11586","10871","4749","357431","209747","NA","12289","NA","NA","NA","NA","NA","NA","NA","4750","9576","NA","11566","NA","NA","NA","NA","NA","NA","NA","11565","NA","NA","16001","214917","181940","209735","181940","181940","16001","358445","358445","210762","210762","NA","358446","NA","NA","NA","NA","NA","363579","213231","NA","214988","NA","NA","NA","NA","NA","NA","NA","364093","213744","364093","213744","348110","214417","NA","163862","365047","181399","365547","NA","NA","226951","16001","214975","357419","11586","226951","NA","NA","NA","NA","NA","11599","NA","NA","NA","226951","Orientation_PSA2018","22","257822","72","no","yes","1024"
"8272","ENG_LIST3.csv","N","V","ENG_Prac1.csv","The hunter shone the flashlight onto the floor of the cavern.","flashH.jpg","V","31.0810810811","31.0810810811","[7, 11, 14, 19, 23, 27, 30, 35, 39, 42, 45]","3550.32432432","3550.32432432","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","0","7","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","NA","0","28","11","28","11","11","0","7","7","28","28","NA","7","NA","NA","NA","NA","0","7","28","0","0","0","0","0","0","0","0","0","7","28","7","28","7","28","7","28","7","28","7","NA","7","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","Fri Dec 20 10:57:26 2019","no","Matching Tasks","yes","","yes","yes","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","/Users/chrystalle/Desktop/PSA 002","no","chinese-japanese-korean","no","18","no","#0000ff","no","US","yes","768","no","legacy","7","12","5","7","/Users/chrystalle/Desktop/PSA 002/MYS_003_SP_40.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","j","NA","space","NA","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","j","f","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","798","NA","3692","NA","NA","NA","NA","NA","NA","NA","2455","4104","NA","NA","11941","NA","NA","NA","NA","NA","NA","NA","798","660","NA","NA","NA","NA","NA","NA","NA","677","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","40","even","No","no","no","NA","11586","10871","4749","365708","209747","NA","12289","NA","NA","NA","NA","NA","NA","NA","4750","9576","NA","11566","NA","NA","NA","NA","NA","NA","NA","11565","NA","NA","16001","214917","181940","209735","181940","181940","16001","366722","366722","210762","210762","NA","366722","NA","NA","NA","NA","NA","370840","213231","NA","214988","NA","NA","NA","NA","NA","NA","NA","371353","213744","371353","213744","372165","214417","NA","163862","365047","181399","372665","NA","NA","226951","16001","214975","365696","11586","226951","NA","NA","NA","NA","NA","11599","NA","NA","NA","226951","Orientation_PSA2018","23","262724","74","no","yes","1024"
"8272","ENG_LIST3.csv","N","V","ENG_Prac1.csv","The hunter shone the flashlight onto the floor of the cavern.","flashH.jpg","M","30.6666666667","30.6666666667","[7, 11, 14, 19, 23, 27, 30, 35, 39, 42, 45]","3855.33333333","3855.33333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","0","undefined","1","1","undefined","6","j","0","0","0","0","7","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","28","11","28","11","11","0","7","7","28","28","0","7","0","0","0","0","0","7","28","0","0","0","0","0","0","0","0","0","7","28","7","28","7","28","7","28","7","28","8","NA","7","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","Fri Dec 20 10:57:26 2019","no","Matching Tasks","yes","","yes","yes","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","/Users/chrystalle/Desktop/PSA 002","no","chinese-japanese-korean","no","18","no","#0000ff","no","US","yes","768","no","legacy","0","12","5","7","/Users/chrystalle/Desktop/PSA 002/MYS_003_SP_40.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","George put his cell phone in the pocket of his trench coat.","0","0","f","NA","space","NA","NA","NA","NA","NA","NA","NA","space","space","f","NA","space","NA","NA","NA","NA","NA","NA","NA","j","f","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","26426","NA","3692","NA","NA","NA","NA","NA","NA","NA","2455","4104","26426","NA","11941","NA","NA","NA","NA","NA","NA","NA","798","660","NA","NA","NA","NA","NA","NA","NA","677","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","40","even","No","no","no","NA","11586","10871","4749","365708","209747","NA","12289","NA","NA","NA","NA","NA","NA","NA","4750","9576","NA","11566","NA","NA","NA","NA","NA","NA","NA","11565","372672","372746","16001","214917","181940","209735","181940","181940","16001","366722","366722","210762","210762","372747","366722","372759","NA","372759","399200","NA","370840","213231","NA","214988","NA","NA","NA","NA","NA","NA","NA","371353","213744","371353","213744","372165","214417","NA","163862","365047","181399","400700","NA","NA","226951","16001","214975","365696","11586","226951","NA","NA","NA","NA","NA","11599","NA","NA","NA","226951","Orientation_PSA2018","23","289150","75","no","yes","1024"
"8272","ENG_LIST3.csv","F","F","ENG_Prac1.csv","The flowers that were planted last week had survived the storm.","nut.jpg","V","29.8701298701","29.8701298701","[7, 11, 14, 19, 23, 27, 30, 35, 39, 42, 45]","3818.76623377","3818.76623377","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","0","undefined","0","1","undefined","6","f","0","0","0","0","8","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","28","11","28","11","11","0","8","8","28","28","0","8","0","0","0","0","0","8","28","0","0","0","0","0","0","0","0","0","8","28","8","28","8","28","8","28","8","28","9","NA","8","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","Fri Dec 20 10:57:26 2019","no","Matching Tasks","yes","","yes","yes","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","/Users/chrystalle/Desktop/PSA 002","no","chinese-japanese-korean","no","18","no","#0000ff","no","US","yes","768","no","legacy","8","12","5","8","/Users/chrystalle/Desktop/PSA 002/MYS_003_SP_40.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","George put his cell phone in the pocket of his trench coat.","0","0","j","NA","space","NA","NA","NA","NA","NA","NA","NA","space","space","f","NA","space","NA","NA","NA","NA","NA","NA","NA","j","f","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","891","NA","3692","NA","NA","NA","NA","NA","NA","NA","2455","4004","26426","NA","11941","NA","NA","NA","NA","NA","NA","NA","891","660","NA","NA","NA","NA","NA","NA","NA","677","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","40","even","No","no","no","NA","11586","10871","4749","400884","209747","NA","12289","NA","NA","NA","NA","NA","NA","NA","4750","9576","NA","11566","NA","NA","NA","NA","NA","NA","NA","11565","372672","372746","16001","214917","181940","209735","181940","181940","16001","401899","401899","210762","210762","372747","401899","372759","NA","372759","399200","NA","405918","213231","NA","214988","NA","NA","NA","NA","NA","NA","NA","406432","213744","406432","213744","372165","214417","NA","163862","407337","181399","407837","NA","NA","226951","16001","214975","400872","11586","226951","NA","NA","NA","NA","NA","11599","NA","NA","NA","226951","Orientation_PSA2018","23","294045","77","no","yes","1024"
