"LAB_SEED","List","Match","Orientation","PList","Probe","Target","Task","acc","accuracy","alt_task","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instruction_E","correct_Probe_Prac_response","correct_Probe_response","correct_Probe_sti_response","correct_Start_E","correct_Target_response","correct_Target_response_Prac","correct_Welcome_E","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_First_Fixation","count_First_Fixation_Prac","count_Instruction_DE","count_Instruction_E","count_Instruction_HUN","count_Instruction_NOB","count_Instruction_PL","count_Instruction_SC","count_Instruction_TC","count_LAB_SEED","count_Language_Selection","count_List_Select_DE","count_List_Select_E","count_List_Select_HUN","count_List_Select_NOB","count_List_Select_PL","count_List_Select_SC","count_List_Select_TC","count_List_Selection","count_Memory_loop","count_Memory_sequence","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Probe","count_Probe_Collect","count_Probe_Prac","count_Probe_Prac_response","count_Probe_import","count_Probe_response","count_Probe_sti","count_Probe_sti_correct","count_Probe_sti_response","count_Probe_sti_wrong","count_STUDY_order","count_Second_Fixation","count_Second_Fixation_Prac","count_Start_DE","count_Start_E","count_Start_HUN","count_Start_NOB","count_Start_PL","count_Start_SC","count_Start_TC","count_Target","count_Target_Prac","count_Target_response","count_Target_response_Prac","count_Target_response_correct","count_Target_response_correct_Prac","count_Target_response_noans","count_Target_response_noans_Prac","count_Target_response_wrong","count_Target_response_wrong_Prac","count_Trial_logger","count_Verification_Break","count_Verification_End","count_Verification_Exp","count_Verification_Prac","count_Verification_Start","count_Verification_Trial","count_Verification_Welcome","count_Verification_loop","count_Welcom_SC","count_Welcom_TC","count_Welcome_DE","count_Welcome_E","count_Welcome_HUN","count_Welcome_NOB","count_Welcome_PL","count_presetup","datetime","de","description","disable_garbage_collection","empty_column","en","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","hun","keyboard_backend","live_row","live_row_Prac","live_row_Prac_loop","live_row_Verification_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","pol","rectarget","repeat_cycle","reset_loop","response","response_Instruction_DE","response_Instruction_E","response_Instruction_HUN","response_Instruction_NOB","response_Instruction_PL","response_Instruction_SC","response_Instruction_TC","response_Probe_Prac_response","response_Probe_response","response_Probe_sti_response","response_Start_DE","response_Start_E","response_Start_HUN","response_Start_NOB","response_Start_PL","response_Start_SC","response_Start_TC","response_Target_response","response_Target_response_Prac","response_Verification_Break","response_Verification_End","response_Welcom_SC","response_Welcom_TC","response_Welcome_DE","response_Welcome_E","response_Welcome_HUN","response_Welcome_NOB","response_Welcome_PL","response_time","response_time_Instruction_DE","response_time_Instruction_E","response_time_Instruction_HUN","response_time_Instruction_NOB","response_time_Instruction_PL","response_time_Instruction_SC","response_time_Instruction_TC","response_time_Probe_Prac_response","response_time_Probe_response","response_time_Probe_sti_response","response_time_Start_DE","response_time_Start_E","response_time_Start_HUN","response_time_Start_NOB","response_time_Start_PL","response_time_Start_SC","response_time_Start_TC","response_time_Target_response","response_time_Target_response_Prac","response_time_Verification_Break","response_time_Verification_End","response_time_Welcom_SC","response_time_Welcom_TC","response_time_Welcome_DE","response_time_Welcome_E","response_time_Welcome_HUN","response_time_Welcome_NOB","response_time_Welcome_PL","round_decimals","sampler_backend","sc","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","task_order","tc","time_Check_This","time_Disable_Mouse","time_EXP","time_First_Fixation","time_First_Fixation_Prac","time_Instruction_DE","time_Instruction_E","time_Instruction_HUN","time_Instruction_NOB","time_Instruction_PL","time_Instruction_SC","time_Instruction_TC","time_LAB_SEED","time_Language_Selection","time_List_Select_DE","time_List_Select_E","time_List_Select_HUN","time_List_Select_NOB","time_List_Select_PL","time_List_Select_SC","time_List_Select_TC","time_List_Selection","time_Memory_loop","time_Memory_sequence","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Probe","time_Probe_Collect","time_Probe_Prac","time_Probe_Prac_response","time_Probe_import","time_Probe_response","time_Probe_sti","time_Probe_sti_correct","time_Probe_sti_response","time_Probe_sti_wrong","time_STUDY_order","time_Second_Fixation","time_Second_Fixation_Prac","time_Start_DE","time_Start_E","time_Start_HUN","time_Start_NOB","time_Start_PL","time_Start_SC","time_Start_TC","time_Target","time_Target_Prac","time_Target_response","time_Target_response_Prac","time_Target_response_correct","time_Target_response_correct_Prac","time_Target_response_noans","time_Target_response_noans_Prac","time_Target_response_wrong","time_Target_response_wrong_Prac","time_Trial_logger","time_Verification_Break","time_Verification_End","time_Verification_Exp","time_Verification_Prac","time_Verification_Start","time_Verification_Trial","time_Verification_Welcome","time_Verification_loop","time_Welcom_SC","time_Welcom_TC","time_Welcome_DE","time_Welcome_E","time_Welcome_HUN","time_Welcome_NOB","time_Welcome_PL","time_presetup","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"5186","ENG_LIST3.csv","F","F","ENG_Prac1.csv","The coach threw his water bottle on the ground in anger.","ftball.jpg","V","50","50","[7, 10, 13, 17, 22, 27, 29, 33, 38, 41, 47]","3509.21428571","3509.21428571","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","0","5","0","5","0","0","0","0","0","5","5","NA","0","NA","NA","NA","NA","0","0","5","0","0","0","0","0","0","0","0","5","0","5","0","5","0","5","0","5","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09/24/19 17:03:39","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:/Users/user/Documents/PSA scripts - Alicia","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","0","1","5","0","C:/Users/user/Documents/PSA scripts - Alicia/Participant Data/MYS_004_SP_63.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","F","NA","space","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","F","J","NA","NA","NA","NA","NA","space","NA","NA","NA","768","NA","28774","NA","NA","NA","NA","NA","4881","4469","NA","NA","14736","NA","NA","NA","NA","NA","768","826","NA","NA","NA","NA","NA","107476","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","63","odd","No","no","NA","8290","2821","215874","193277","NA","115770","NA","NA","NA","NA","NA","2822","7563","NA","8280","NA","NA","NA","NA","NA","8280","NA","NA","144554","200989","144568","193275","144568","144568","144554","216875","216875","194278","194278","NA","216875","NA","NA","NA","NA","NA","221346","199161","NA","201024","NA","NA","NA","NA","NA","221847","199662","221847","199662","222617","200489","NA","NA","NA","NA","223117","NA","NA","215770","144554","201022","215872","8291","215770","NA","NA","NA","8292","NA","NA","NA","215770","Orientation_PSA2018","7","49129","14","yes","1024"
"5186","ENG_LIST3.csv","N","V","ENG_Prac1.csv","Laura hung the decoration on the line with the clothespin.","clothespinH.jpg","V","50","50","[7, 10, 13, 17, 22, 27, 29, 33, 38, 41, 47]","3653.3125","3653.3125","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","NA","0","5","0","5","0","0","0","1","1","5","5","NA","1","NA","NA","NA","NA","0","1","5","0","0","0","0","0","0","0","1","5","1","5","1","5","1","5","1","5","1","NA","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","09/24/19 17:03:39","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:/Users/user/Documents/PSA scripts - Alicia","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","1","1","5","1","C:/Users/user/Documents/PSA scripts - Alicia/Participant Data/MYS_004_SP_63.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","J","NA","space","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","J","J","NA","NA","NA","NA","NA","space","NA","NA","NA","721","NA","28774","NA","NA","NA","NA","NA","4881","8603","NA","NA","14736","NA","NA","NA","NA","NA","721","826","NA","NA","NA","NA","NA","107476","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","63","odd","No","no","NA","8290","2821","223315","193277","NA","115770","NA","NA","NA","NA","NA","2822","7563","NA","8280","NA","NA","NA","NA","NA","8280","NA","NA","144554","200989","144568","193275","144568","144568","144554","224316","224317","194278","194278","NA","224317","NA","NA","NA","NA","NA","232922","199161","NA","201024","NA","NA","NA","NA","NA","233423","199662","233423","199662","234146","200489","NA","NA","NA","NA","234646","NA","NA","215770","144554","201022","223314","8291","215770","NA","NA","NA","8292","NA","NA","NA","215770","Orientation_PSA2018","8","58453","16","yes","1024"
"5186","ENG_LIST3.csv","N","H","ENG_Prac1.csv","The accountant stuck his pen behind his ear.","penV.jpg","V","50","50","[7, 10, 13, 17, 22, 27, 29, 33, 38, 41, 47]","3433.72222222","3433.72222222","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","2","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","NA","0","5","0","5","0","0","0","2","2","5","5","NA","2","NA","NA","NA","NA","0","2","5","0","0","0","0","0","0","0","2","5","2","5","2","5","2","5","2","5","2","NA","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","09/24/19 17:03:39","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:/Users/user/Documents/PSA scripts - Alicia","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","2","1","5","2","C:/Users/user/Documents/PSA scripts - Alicia/Participant Data/MYS_004_SP_63.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","J","NA","space","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","J","J","NA","NA","NA","NA","NA","space","NA","NA","NA","753","NA","28774","NA","NA","NA","NA","NA","4881","2601","NA","NA","14736","NA","NA","NA","NA","NA","753","826","NA","NA","NA","NA","NA","107476","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","63","odd","No","no","NA","8290","2821","234773","193277","NA","115770","NA","NA","NA","NA","NA","2822","7563","NA","8280","NA","NA","NA","NA","NA","8280","NA","NA","144554","200989","144568","193275","144568","144568","144554","235774","235774","194278","194278","NA","235774","NA","NA","NA","NA","NA","238377","199161","NA","201024","NA","NA","NA","NA","NA","238878","199662","238878","199662","239633","200489","NA","NA","NA","NA","240133","NA","NA","215770","144554","201022","234771","8291","215770","NA","NA","NA","8292","NA","NA","NA","215770","Orientation_PSA2018","9","61807","18","yes","1024"
"5186","ENG_LIST3.csv","N","H","ENG_Prac1.csv","Sara situated the expensive plate on its mat on the table.","plateV.jpg","V","50","50","[7, 10, 13, 17, 22, 27, 29, 33, 38, 41, 47]","3449.2","3449.2","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","NA","0","5","0","5","0","0","0","3","3","5","5","NA","3","NA","NA","NA","NA","0","3","5","0","0","0","0","0","0","0","3","5","3","5","3","5","3","5","3","5","3","NA","3","0","0","0","3","0","0","0","0","0","0","0","0","0","0","09/24/19 17:03:39","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:/Users/user/Documents/PSA scripts - Alicia","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","3","1","5","3","C:/Users/user/Documents/PSA scripts - Alicia/Participant Data/MYS_004_SP_63.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","J","NA","space","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","J","J","NA","NA","NA","NA","NA","space","NA","NA","NA","720","NA","28774","NA","NA","NA","NA","NA","4881","6457","NA","NA","14736","NA","NA","NA","NA","NA","720","826","NA","NA","NA","NA","NA","107476","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","63","odd","No","no","NA","8290","2821","240262","193277","NA","115770","NA","NA","NA","NA","NA","2822","7563","NA","8280","NA","NA","NA","NA","NA","8280","NA","NA","144554","200989","144568","193275","144568","144568","144554","241263","241263","194278","194278","NA","241263","NA","NA","NA","NA","NA","247722","199161","NA","201024","NA","NA","NA","NA","NA","248223","199662","248223","199662","248945","200489","NA","NA","NA","NA","249445","NA","NA","215770","144554","201022","240260","8291","215770","NA","NA","NA","8292","NA","NA","NA","215770","Orientation_PSA2018","10","68984","20","yes","1024"
"5186","ENG_LIST3.csv","Y","H","ENG_Prac1.csv","Mick strummed his guitar as he warmed up for the concert.","guitarH.jpg","V","50","50","[7, 10, 13, 17, 22, 27, 29, 33, 38, 41, 47]","3262.40909091","3262.40909091","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","4","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","NA","0","5","0","5","0","0","0","4","4","5","5","NA","4","NA","NA","NA","NA","0","4","5","0","0","0","0","0","0","0","4","5","4","5","4","5","4","5","4","5","4","NA","4","0","0","0","4","0","0","0","0","0","0","0","0","0","0","09/24/19 17:03:39","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:/Users/user/Documents/PSA scripts - Alicia","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","4","1","5","4","C:/Users/user/Documents/PSA scripts - Alicia/Participant Data/MYS_004_SP_63.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","J","NA","space","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","J","J","NA","NA","NA","NA","NA","space","NA","NA","NA","426","NA","28774","NA","NA","NA","NA","NA","4881","2363","NA","NA","14736","NA","NA","NA","NA","NA","426","826","NA","NA","NA","NA","NA","107476","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","63","odd","No","no","NA","8290","2821","249587","193277","NA","115770","NA","NA","NA","NA","NA","2822","7563","NA","8280","NA","NA","NA","NA","NA","8280","NA","NA","144554","200989","144568","193275","144568","144568","144554","250588","250588","194278","194278","NA","250589","NA","NA","NA","NA","NA","252953","199161","NA","201024","NA","NA","NA","NA","NA","253454","199662","253454","199662","253882","200489","NA","NA","NA","NA","254382","NA","NA","215770","144554","201022","249585","8291","215770","NA","NA","NA","8292","NA","NA","NA","215770","Orientation_PSA2018","11","71773","22","yes","1024"
"5186","ENG_LIST3.csv","Y","H","ENG_Prac1.csv","Frank pressed the iron onto his pants, hoping he wouldn't be late.","ironH.jpg","V","50","50","[7, 10, 13, 17, 22, 27, 29, 33, 38, 41, 47]","3211.33333333","3211.33333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","NA","0","5","0","5","0","0","0","5","5","5","5","NA","5","NA","NA","NA","NA","0","5","5","0","0","0","0","0","0","0","5","5","5","5","5","5","5","5","5","5","5","NA","5","0","0","0","5","0","0","0","0","0","0","0","0","0","0","09/24/19 17:03:39","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:/Users/user/Documents/PSA scripts - Alicia","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","5","1","5","5","C:/Users/user/Documents/PSA scripts - Alicia/Participant Data/MYS_004_SP_63.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","J","NA","space","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","J","J","NA","NA","NA","NA","NA","space","NA","NA","NA","496","NA","28774","NA","NA","NA","NA","NA","4881","4803","NA","NA","14736","NA","NA","NA","NA","NA","496","826","NA","NA","NA","NA","NA","107476","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","63","odd","No","no","NA","8290","2821","254507","193277","NA","115770","NA","NA","NA","NA","NA","2822","7563","NA","8280","NA","NA","NA","NA","NA","8280","NA","NA","144554","200989","144568","193275","144568","144568","144554","255508","255508","194278","194278","NA","255509","NA","NA","NA","NA","NA","260314","199161","NA","201024","NA","NA","NA","NA","NA","260815","199662","260815","199662","261313","200489","NA","NA","NA","NA","261813","NA","NA","215770","144554","201022","254506","8291","215770","NA","NA","NA","8292","NA","NA","NA","215770","Orientation_PSA2018","12","77072","24","yes","1024"
"5186","ENG_LIST3.csv","Y","H","ENG_Prac1.csv","The carpenter hammered the nail into the wall.","nailH.jpg","V","50","50","[7, 10, 13, 17, 22, 27, 29, 33, 38, 41, 47]","3120.88461538","3120.88461538","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","6","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","NA","0","5","0","5","0","0","0","6","6","5","5","NA","6","NA","NA","NA","NA","0","6","5","0","0","0","0","0","0","0","6","5","6","5","6","5","6","5","6","5","6","NA","6","0","0","0","6","0","0","0","0","0","0","0","0","0","0","09/24/19 17:03:39","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:/Users/user/Documents/PSA scripts - Alicia","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","6","1","5","6","C:/Users/user/Documents/PSA scripts - Alicia/Participant Data/MYS_004_SP_63.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","J","NA","space","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","J","J","NA","NA","NA","NA","NA","space","NA","NA","NA","425","NA","28774","NA","NA","NA","NA","NA","4881","3646","NA","NA","14736","NA","NA","NA","NA","NA","425","826","NA","NA","NA","NA","NA","107476","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","63","odd","No","no","NA","8290","2821","261945","193277","NA","115770","NA","NA","NA","NA","NA","2822","7563","NA","8280","NA","NA","NA","NA","NA","8280","NA","NA","144554","200989","144568","193275","144568","144568","144554","262946","262946","194278","194278","NA","262946","NA","NA","NA","NA","NA","266594","199161","NA","201024","NA","NA","NA","NA","NA","267095","199662","267095","199662","267521","200489","NA","NA","NA","NA","268022","NA","NA","215770","144554","201022","261944","8291","215770","NA","NA","NA","8292","NA","NA","NA","215770","Orientation_PSA2018","13","81143","26","yes","1024"
"5186","ENG_LIST3.csv","F","F","ENG_Prac1.csv","The swimmers were startled by the alligator.","stove.jpg","V","50","50","[7, 10, 13, 17, 22, 27, 29, 33, 38, 41, 47]","2967.78571429","2967.78571429","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","7","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","NA","0","5","0","5","0","0","0","7","7","5","5","NA","7","NA","NA","NA","NA","0","7","5","0","0","0","0","0","0","0","7","5","7","5","7","5","7","5","7","5","7","NA","7","0","0","0","7","0","0","0","0","0","0","0","0","0","0","09/24/19 17:03:39","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:/Users/user/Documents/PSA scripts - Alicia","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","7","1","5","7","C:/Users/user/Documents/PSA scripts - Alicia/Participant Data/MYS_004_SP_63.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","F","NA","space","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","F","J","NA","NA","NA","NA","NA","space","NA","NA","NA","689","NA","28774","NA","NA","NA","NA","NA","4881","1266","NA","NA","14736","NA","NA","NA","NA","NA","689","826","NA","NA","NA","NA","NA","107476","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","63","odd","No","no","NA","8290","2821","268148","193277","NA","115770","NA","NA","NA","NA","NA","2822","7563","NA","8280","NA","NA","NA","NA","NA","8280","NA","NA","144554","200989","144568","193275","144568","144568","144554","269149","269149","194278","194278","NA","269149","NA","NA","NA","NA","NA","270417","199161","NA","201024","NA","NA","NA","NA","NA","270918","199662","270918","199662","271609","200489","NA","NA","NA","NA","272109","NA","NA","215770","144554","201022","268146","8291","215770","NA","NA","NA","8292","NA","NA","NA","215770","Orientation_PSA2018","14","83098","28","yes","1024"
"5186","ENG_LIST3.csv","F","F","ENG_Prac1.csv","The swimmers were startled by the alligator.","stove.jpg","M","51.724137931","51.724137931","[7, 10, 13, 17, 22, 27, 29, 33, 38, 41, 47]","3187","3187","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","1","undefined","1","1","undefined","6","j","0","0","0","7","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","5","0","5","0","0","0","7","7","5","5","0","7","0","0","0","0","0","7","5","0","0","0","0","0","0","0","7","5","7","5","7","5","7","5","7","5","8","NA","7","0","0","0","7","0","0","0","0","0","0","0","0","0","0","09/24/19 17:03:39","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:/Users/user/Documents/PSA scripts - Alicia","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","0","1","5","7","C:/Users/user/Documents/PSA scripts - Alicia/Participant Data/MYS_004_SP_63.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","The carpenter hammered the nail into the wall.","0","0","J","NA","space","NA","NA","NA","NA","NA","space","space","J","NA","space","NA","NA","NA","NA","NA","F","J","NA","NA","NA","NA","NA","space","NA","NA","NA","9325","NA","28774","NA","NA","NA","NA","NA","4881","1266","9325","NA","14736","NA","NA","NA","NA","NA","689","826","NA","NA","NA","NA","NA","107476","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","63","odd","No","no","NA","8290","2821","268148","193277","NA","115770","NA","NA","NA","NA","NA","2822","7563","NA","8280","NA","NA","NA","NA","NA","8280","272131","272193","144554","200989","144568","193275","144568","144568","144554","269149","269149","194278","194278","272193","269149","272194","281521","272194","NA","NA","270417","199161","NA","201024","NA","NA","NA","NA","NA","270918","199662","270918","199662","271609","200489","NA","NA","NA","NA","283021","NA","NA","215770","144554","201022","268146","8291","215770","NA","NA","NA","8292","NA","NA","NA","215770","Orientation_PSA2018","15","92423","29","yes","1024"
"5186","ENG_LIST3.csv","F","F","ENG_Prac1.csv","The todler rode his tricycle around and around.","tapedispenser.jpg","V","51.6129032258","51.6129032258","[7, 10, 13, 17, 22, 27, 29, 33, 38, 41, 47]","3140.03225806","3140.03225806","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","1","undefined","1","1","undefined","6","f","0","0","0","8","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","5","0","5","0","0","0","8","8","5","5","0","8","0","0","0","0","0","8","5","0","0","0","0","0","0","0","8","5","8","5","8","5","8","5","8","5","9","NA","8","0","0","0","8","0","0","0","0","0","0","0","0","0","0","09/24/19 17:03:39","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:/Users/user/Documents/PSA scripts - Alicia","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","8","1","5","8","C:/Users/user/Documents/PSA scripts - Alicia/Participant Data/MYS_004_SP_63.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","The carpenter hammered the nail into the wall.","0","0","F","NA","space","NA","NA","NA","NA","NA","space","space","J","NA","space","NA","NA","NA","NA","NA","F","J","NA","NA","NA","NA","NA","space","NA","NA","NA","698","NA","28774","NA","NA","NA","NA","NA","4881","4220","9325","NA","14736","NA","NA","NA","NA","NA","698","826","NA","NA","NA","NA","NA","107476","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","63","odd","No","no","NA","8290","2821","283170","193277","NA","115770","NA","NA","NA","NA","NA","2822","7563","NA","8280","NA","NA","NA","NA","NA","8280","272131","272193","144554","200989","144568","193275","144568","144568","144554","284171","284171","194278","194278","272193","284171","272194","281521","272194","NA","NA","288393","199161","NA","201024","NA","NA","NA","NA","NA","288894","199662","288894","199662","289594","200489","NA","NA","NA","NA","290094","NA","NA","215770","144554","201022","283168","8291","215770","NA","NA","NA","8292","NA","NA","NA","215770","Orientation_PSA2018","16","97341","31","yes","1024"
