"LAB_SEED","List","Match","Orientation","PList","Probe","Target","Task","acc","accuracy","alt_task","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instruction_NOR","correct_Probe_Prac_response","correct_Probe_response","correct_Probe_sti_response","correct_Start_NOR","correct_Target_response","correct_Target_response_Prac","correct_Welcome_NOR","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_First_Fixation","count_First_Fixation_Prac","count_Instruction_DE","count_Instruction_E","count_Instruction_HUN","count_Instruction_NOR","count_Instruction_PL","count_Instruction_SC","count_Instruction_TC","count_Instruction_THAI","count_LAB_SEED","count_Language_Selection","count_List_Select_DE","count_List_Select_E","count_List_Select_HUN","count_List_Select_NOR","count_List_Select_PL","count_List_Select_SC","count_List_Select_TC","count_List_Select_THAI","count_List_Selection","count_Memory_loop","count_Memory_sequence","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Probe","count_Probe_Collect","count_Probe_Prac","count_Probe_Prac_response","count_Probe_import","count_Probe_response","count_Probe_sti","count_Probe_sti_correct","count_Probe_sti_response","count_Probe_sti_wrong","count_STUDY_order","count_Second_Fixation","count_Second_Fixation_Prac","count_Start_DE","count_Start_E","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_SC","count_Start_TC","count_Start_THAI","count_Target","count_Target_Prac","count_Target_response","count_Target_response_Prac","count_Target_response_correct","count_Target_response_correct_Prac","count_Target_response_noans","count_Target_response_noans_Prac","count_Target_response_wrong","count_Target_response_wrong_Prac","count_Trial_logger","count_Verification_Break","count_Verification_End","count_Verification_Exp","count_Verification_Prac","count_Verification_Start","count_Verification_Trial","count_Verification_Welcome","count_Verification_loop","count_Welcom_SC","count_Welcom_TC","count_Welcom_THAI","count_Welcome_DE","count_Welcome_E","count_Welcome_HUN","count_Welcome_NOR","count_Welcome_PL","count_presetup","datetime","de","description","disable_garbage_collection","empty_column","en","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","hun","keyboard_backend","live_row","live_row_Prac","live_row_Prac_loop","live_row_Verification_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","pol","rectarget","repeat_cycle","reset_loop","response","response_Instruction_DE","response_Instruction_E","response_Instruction_HUN","response_Instruction_NOR","response_Instruction_PL","response_Instruction_SC","response_Instruction_TC","response_Instruction_THAI","response_Probe_Prac_response","response_Probe_response","response_Probe_sti_response","response_Start_DE","response_Start_E","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_SC","response_Start_TC","response_Start_THAI","response_Target_response","response_Target_response_Prac","response_Verification_Break","response_Verification_End","response_Welcom_SC","response_Welcom_TC","response_Welcom_THAI","response_Welcome_DE","response_Welcome_E","response_Welcome_HUN","response_Welcome_NOR","response_Welcome_PL","response_time","response_time_Instruction_DE","response_time_Instruction_E","response_time_Instruction_HUN","response_time_Instruction_NOR","response_time_Instruction_PL","response_time_Instruction_SC","response_time_Instruction_TC","response_time_Instruction_THAI","response_time_Probe_Prac_response","response_time_Probe_response","response_time_Probe_sti_response","response_time_Start_DE","response_time_Start_E","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_SC","response_time_Start_TC","response_time_Start_THAI","response_time_Target_response","response_time_Target_response_Prac","response_time_Verification_Break","response_time_Verification_End","response_time_Welcom_SC","response_time_Welcom_TC","response_time_Welcom_THAI","response_time_Welcome_DE","response_time_Welcome_E","response_time_Welcome_HUN","response_time_Welcome_NOR","response_time_Welcome_PL","round_decimals","sampler_backend","sc","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","task_order","tc","thai","time_Check_This","time_Disable_Mouse","time_EXP","time_First_Fixation","time_First_Fixation_Prac","time_Instruction_DE","time_Instruction_E","time_Instruction_HUN","time_Instruction_NOR","time_Instruction_PL","time_Instruction_SC","time_Instruction_TC","time_Instruction_THAI","time_LAB_SEED","time_Language_Selection","time_List_Select_DE","time_List_Select_E","time_List_Select_HUN","time_List_Select_NOR","time_List_Select_PL","time_List_Select_SC","time_List_Select_TC","time_List_Select_THAI","time_List_Selection","time_Memory_loop","time_Memory_sequence","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Probe","time_Probe_Collect","time_Probe_Prac","time_Probe_Prac_response","time_Probe_import","time_Probe_response","time_Probe_sti","time_Probe_sti_correct","time_Probe_sti_response","time_Probe_sti_wrong","time_STUDY_order","time_Second_Fixation","time_Second_Fixation_Prac","time_Start_DE","time_Start_E","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_SC","time_Start_TC","time_Start_THAI","time_Target","time_Target_Prac","time_Target_response","time_Target_response_Prac","time_Target_response_correct","time_Target_response_correct_Prac","time_Target_response_noans","time_Target_response_noans_Prac","time_Target_response_wrong","time_Target_response_wrong_Prac","time_Trial_logger","time_Verification_Break","time_Verification_End","time_Verification_Exp","time_Verification_Prac","time_Verification_Start","time_Verification_Trial","time_Verification_Welcome","time_Verification_loop","time_Welcom_SC","time_Welcom_TC","time_Welcom_THAI","time_Welcome_DE","time_Welcome_E","time_Welcome_HUN","time_Welcome_NOR","time_Welcome_PL","time_presetup","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"6835","NOR_LIST02.csv","N","H","NOR_Prac2.csv","Bibliotekaren puttet boken tilbake på bordet.","bookV.jpg","V","50","50","[5, 9, 13, 19, 23, 25, 31, 34, 37, 42, 47]","2026.28571429","2026.28571429","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","0","5","0","5","0","0","0","0","0","5","5","NA","0","NA","NA","NA","NA","0","0","5","0","0","0","0","0","0","0","0","0","5","0","5","0","5","0","5","0","5","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10/23/19 14:35:15","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_SP_1.2.4 (2).osexp","M:\Projects\PSA\PSA002\OpenSesame_Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","Norwegian","yes","768","no","legacy","0","1","5","0","M:/Projects/PSA/PSA002/raw_data/NOR_003_SP_16.csv","legacy","yes","Kafkaesque Koffka","3.2.8","no","NA","0","0","j","NA","NA","NA","space","NA","NA","NA","NA","space","space","NA","NA","NA","NA","space","NA","NA","NA","NA","j","f","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","614","NA","NA","NA","33647","NA","NA","NA","NA","3546","2138","NA","NA","NA","NA","10655","NA","NA","NA","NA","614","607","NA","NA","NA","NA","NA","NA","NA","NA","10985","NA","2","legacy","no","1024","2","48000","-16","EXP","16","even","No","no","no","NA","10140","3398","104192","87200","NA","NA","NA","21127","NA","NA","NA","NA","3401","8852","NA","NA","NA","10129","NA","NA","NA","NA","10129","NA","NA","54784","93363","54803","87199","54803","54803","54784","105195","105196","88203","88204","NA","105196","NA","NA","NA","NA","NA","107335","91751","NA","NA","NA","93407","NA","NA","NA","NA","107839","92254","107840","92255","108455","92863","NA","NA","NA","NA","108955","NA","NA","104072","54784","93404","104191","10140","104072","NA","NA","NA","NA","NA","NA","10141","NA","104072","Orientation_PSA2018","7","28368","14","yes","1024"
"6835","NOR_LIST02.csv","N","H","NOR_Prac2.csv","Janie grep kosten og ridde den rundt huset mens hun lot som om det var hennes hest.","broomV.jpg","V","50","50","[5, 9, 13, 19, 23, 25, 31, 34, 37, 42, 47]","2091.375","2091.375","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","NA","0","5","0","5","0","0","0","1","1","5","5","NA","1","NA","NA","NA","NA","0","1","5","0","0","0","0","0","0","0","0","1","5","1","5","1","5","1","5","1","5","1","NA","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","10/23/19 14:35:15","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_SP_1.2.4 (2).osexp","M:\Projects\PSA\PSA002\OpenSesame_Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","Norwegian","yes","768","no","legacy","1","1","5","1","M:/Projects/PSA/PSA002/raw_data/NOR_003_SP_16.csv","legacy","yes","Kafkaesque Koffka","3.2.8","no","NA","0","0","j","NA","NA","NA","space","NA","NA","NA","NA","space","space","NA","NA","NA","NA","space","NA","NA","NA","NA","j","f","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","566","NA","NA","NA","33647","NA","NA","NA","NA","3546","4528","NA","NA","NA","NA","10655","NA","NA","NA","NA","566","607","NA","NA","NA","NA","NA","NA","NA","NA","10985","NA","2","legacy","no","1024","2","48000","-16","EXP","16","even","No","no","no","NA","10140","3398","109113","87200","NA","NA","NA","21127","NA","NA","NA","NA","3401","8852","NA","NA","NA","10129","NA","NA","NA","NA","10129","NA","NA","54784","93363","54803","87199","54803","54803","54784","110116","110117","88203","88204","NA","110117","NA","NA","NA","NA","NA","114647","91751","NA","NA","NA","93407","NA","NA","NA","NA","115150","92254","115151","92255","115719","92863","NA","NA","NA","NA","116219","NA","NA","104072","54784","93404","109112","10140","104072","NA","NA","NA","NA","NA","NA","10141","NA","104072","Orientation_PSA2018","8","33462","16","yes","1024"
"6835","NOR_LIST02.csv","F","F","NOR_Prac2.csv","Boris satte stearinlyset på bordet når han hørte kjæresten sin bil i oppkjørselen.","umberella.jpg","V","50","50","[5, 9, 13, 19, 23, 25, 31, 34, 37, 42, 47]","2113.77777778","2113.77777778","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","2","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","NA","0","5","0","5","0","0","0","2","2","5","5","NA","2","NA","NA","NA","NA","0","2","5","0","0","0","0","0","0","0","0","2","5","2","5","2","5","2","5","2","5","2","NA","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","10/23/19 14:35:15","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_SP_1.2.4 (2).osexp","M:\Projects\PSA\PSA002\OpenSesame_Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","Norwegian","yes","768","no","legacy","2","1","5","2","M:/Projects/PSA/PSA002/raw_data/NOR_003_SP_16.csv","legacy","yes","Kafkaesque Koffka","3.2.8","no","NA","0","0","f","NA","NA","NA","space","NA","NA","NA","NA","space","space","NA","NA","NA","NA","space","NA","NA","NA","NA","f","f","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","542","NA","NA","NA","33647","NA","NA","NA","NA","3546","4044","NA","NA","NA","NA","10655","NA","NA","NA","NA","542","607","NA","NA","NA","NA","NA","NA","NA","NA","10985","NA","2","legacy","no","1024","2","48000","-16","EXP","16","even","No","no","no","NA","10140","3398","116374","87200","NA","NA","NA","21127","NA","NA","NA","NA","3401","8852","NA","NA","NA","10129","NA","NA","NA","NA","10129","NA","NA","54784","93363","54803","87199","54803","54803","54784","117377","117378","88203","88204","NA","117378","NA","NA","NA","NA","NA","121424","91751","NA","NA","NA","93407","NA","NA","NA","NA","121927","92254","121928","92255","122472","92863","NA","NA","NA","NA","122972","NA","NA","104072","54784","93404","116373","10140","104072","NA","NA","NA","NA","NA","NA","10141","NA","104072","Orientation_PSA2018","9","38048","18","yes","1024"
"6835","NOR_LIST02.csv","Y","V","NOR_Prac2.csv","Den unge ektemannen forberedte seg på å sette reservehjulet på hjulet.","tireV.jpg","V","50","50","[5, 9, 13, 19, 23, 25, 31, 34, 37, 42, 47]","2066.95","2066.95","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","NA","0","5","0","5","0","0","0","3","3","5","5","NA","3","NA","NA","NA","NA","0","3","5","0","0","0","0","0","0","0","0","3","5","3","5","3","5","3","5","3","5","3","NA","3","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","10/23/19 14:35:15","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_SP_1.2.4 (2).osexp","M:\Projects\PSA\PSA002\OpenSesame_Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","Norwegian","yes","768","no","legacy","3","1","5","3","M:/Projects/PSA/PSA002/raw_data/NOR_003_SP_16.csv","legacy","yes","Kafkaesque Koffka","3.2.8","no","NA","0","0","j","NA","NA","NA","space","NA","NA","NA","NA","space","space","NA","NA","NA","NA","space","NA","NA","NA","NA","j","f","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","455","NA","NA","NA","33647","NA","NA","NA","NA","3546","2836","NA","NA","NA","NA","10655","NA","NA","NA","NA","455","607","NA","NA","NA","NA","NA","NA","NA","NA","10985","NA","2","legacy","no","1024","2","48000","-16","EXP","16","even","No","no","no","NA","10140","3398","123118","87200","NA","NA","NA","21127","NA","NA","NA","NA","3401","8852","NA","NA","NA","10129","NA","NA","NA","NA","10129","NA","NA","54784","93363","54803","87199","54803","54803","54784","124121","124122","88203","88204","NA","124122","NA","NA","NA","NA","NA","126959","91751","NA","NA","NA","93407","NA","NA","NA","NA","127462","92254","127463","92255","127919","92863","NA","NA","NA","NA","128419","NA","NA","104072","54784","93404","123117","10140","104072","NA","NA","NA","NA","NA","NA","10141","NA","104072","Orientation_PSA2018","10","41339","20","yes","1024"
"6835","NOR_LIST02.csv","F","F","NOR_Prac2.csv","Moren la gulroten i datterens matboks.","tiger.jpg","V","50","50","[5, 9, 13, 19, 23, 25, 31, 34, 37, 42, 47]","1992.68181818","1992.68181818","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","4","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","NA","0","5","0","5","0","0","0","4","4","5","5","NA","4","NA","NA","NA","NA","0","4","5","0","0","0","0","0","0","0","0","4","5","4","5","4","5","4","5","4","5","4","NA","4","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","10/23/19 14:35:15","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_SP_1.2.4 (2).osexp","M:\Projects\PSA\PSA002\OpenSesame_Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","Norwegian","yes","768","no","legacy","4","1","5","4","M:/Projects/PSA/PSA002/raw_data/NOR_003_SP_16.csv","legacy","yes","Kafkaesque Koffka","3.2.8","no","NA","0","0","f","NA","NA","NA","space","NA","NA","NA","NA","space","space","NA","NA","NA","NA","space","NA","NA","NA","NA","f","f","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","438","NA","NA","NA","33647","NA","NA","NA","NA","3546","2062","NA","NA","NA","NA","10655","NA","NA","NA","NA","438","607","NA","NA","NA","NA","NA","NA","NA","NA","10985","NA","2","legacy","no","1024","2","48000","-16","EXP","16","even","No","no","no","NA","10140","3398","128635","87200","NA","NA","NA","21127","NA","NA","NA","NA","3401","8852","NA","NA","NA","10129","NA","NA","NA","NA","10129","NA","NA","54784","93363","54803","87199","54803","54803","54784","129638","129639","88203","88204","NA","129639","NA","NA","NA","NA","NA","131703","91751","NA","NA","NA","93407","NA","NA","NA","NA","132206","92254","132207","92255","132647","92863","NA","NA","NA","NA","133147","NA","NA","104072","54784","93404","128633","10140","104072","NA","NA","NA","NA","NA","NA","10141","NA","104072","Orientation_PSA2018","11","43839","22","yes","1024"
"6835","NOR_LIST02.csv","F","F","NOR_Prac2.csv","Duff spilte på sekkepipen sin på tider som fikk hans naboer til å klage.","knife.jpg","V","50","50","[5, 9, 13, 19, 23, 25, 31, 34, 37, 42, 47]","2222.58333333","2222.58333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","NA","0","5","0","5","0","0","0","5","5","5","5","NA","5","NA","NA","NA","NA","0","5","5","0","0","0","0","0","0","0","0","5","5","5","5","5","5","5","5","5","5","5","NA","5","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","10/23/19 14:35:15","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_SP_1.2.4 (2).osexp","M:\Projects\PSA\PSA002\OpenSesame_Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","Norwegian","yes","768","no","legacy","5","1","5","5","M:/Projects/PSA/PSA002/raw_data/NOR_003_SP_16.csv","legacy","yes","Kafkaesque Koffka","3.2.8","no","NA","0","0","f","NA","NA","NA","space","NA","NA","NA","NA","space","space","NA","NA","NA","NA","space","NA","NA","NA","NA","f","f","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","438","NA","NA","NA","33647","NA","NA","NA","NA","3546","9065","NA","NA","NA","NA","10655","NA","NA","NA","NA","438","607","NA","NA","NA","NA","NA","NA","NA","NA","10985","NA","2","legacy","no","1024","2","48000","-16","EXP","16","even","No","no","no","NA","10140","3398","133289","87200","NA","NA","NA","21127","NA","NA","NA","NA","3401","8852","NA","NA","NA","10129","NA","NA","NA","NA","10129","NA","NA","54784","93363","54803","87199","54803","54803","54784","134292","134293","88203","88204","NA","134293","NA","NA","NA","NA","NA","143360","91751","NA","NA","NA","93407","NA","NA","NA","NA","143863","92254","143864","92255","144303","92863","NA","NA","NA","NA","144803","NA","NA","104072","54784","93404","133288","10140","104072","NA","NA","NA","NA","NA","NA","10141","NA","104072","Orientation_PSA2018","12","53342","24","yes","1024"
"6835","NOR_LIST02.csv","F","F","NOR_Prac2.csv","Duff spilte på sekkepipen sin på tider som fikk hans naboer til å klage.","knife.jpg","M","48","48","[5, 9, 13, 19, 23, 25, 31, 34, 37, 42, 47]","2273.24","2273.24","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","0","undefined","1","1","undefined","6","f","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","5","0","5","0","0","0","5","5","5","5","0","5","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","5","5","5","5","5","5","5","5","5","5","6","NA","5","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","10/23/19 14:35:15","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_SP_1.2.4 (2).osexp","M:\Projects\PSA\PSA002\OpenSesame_Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","Norwegian","yes","768","no","legacy","0","1","5","5","M:/Projects/PSA/PSA002/raw_data/NOR_003_SP_16.csv","legacy","yes","Kafkaesque Koffka","3.2.8","no","Bibliotekaren puttet boken tilbake på bordet.","0","0","j","NA","NA","NA","space","NA","NA","NA","NA","space","space","j","NA","NA","NA","space","NA","NA","NA","NA","f","f","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","3489","NA","NA","NA","33647","NA","NA","NA","NA","3546","9065","3489","NA","NA","NA","10655","NA","NA","NA","NA","438","607","NA","NA","NA","NA","NA","NA","NA","NA","10985","NA","2","legacy","no","1024","2","48000","-16","EXP","16","even","No","no","no","NA","10140","3398","133289","87200","NA","NA","NA","21127","NA","NA","NA","NA","3401","8852","NA","NA","NA","10129","NA","NA","NA","NA","10129","144816","144882","54784","93363","54803","87199","54803","54803","54784","134292","134293","88203","88204","144883","134293","144884","NA","144884","148375","NA","143360","91751","NA","NA","NA","93407","NA","NA","NA","NA","143863","92254","143864","92255","144303","92863","NA","NA","NA","NA","149875","NA","NA","104072","54784","93404","133288","10140","104072","NA","NA","NA","NA","NA","NA","10141","NA","104072","Orientation_PSA2018","12","56831","25","yes","1024"
"6835","NOR_LIST02.csv","Y","H","NOR_Prac2.csv","Racerbilsjåføren festet brannslukkeren under sitt sete.","fire_extinguisherH.jpg","V","48.1481481481","48.1481481481","[5, 9, 13, 19, 23, 25, 31, 34, 37, 42, 47]","2277.51851852","2277.51851852","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","0","undefined","1","1","undefined","6","j","0","0","0","6","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","5","0","5","0","0","0","6","6","5","5","0","6","0","0","0","0","0","6","5","0","0","0","0","0","0","0","0","6","5","6","5","6","5","6","5","6","5","7","NA","6","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","10/23/19 14:35:15","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_SP_1.2.4 (2).osexp","M:\Projects\PSA\PSA002\OpenSesame_Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","Norwegian","yes","768","no","legacy","6","1","5","6","M:/Projects/PSA/PSA002/raw_data/NOR_003_SP_16.csv","legacy","yes","Kafkaesque Koffka","3.2.8","no","Bibliotekaren puttet boken tilbake på bordet.","0","0","j","NA","NA","NA","space","NA","NA","NA","NA","space","space","j","NA","NA","NA","space","NA","NA","NA","NA","j","f","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","550","NA","NA","NA","33647","NA","NA","NA","NA","3546","4112","3489","NA","NA","NA","10655","NA","NA","NA","NA","550","607","NA","NA","NA","NA","NA","NA","NA","NA","10985","NA","2","legacy","no","1024","2","48000","-16","EXP","16","even","No","no","no","NA","10140","3398","150026","87200","NA","NA","NA","21127","NA","NA","NA","NA","3401","8852","NA","NA","NA","10129","NA","NA","NA","NA","10129","144816","144882","54784","93363","54803","87199","54803","54803","54784","151029","151030","88203","88204","144883","151030","144884","NA","144884","148375","NA","155144","91751","NA","NA","NA","93407","NA","NA","NA","NA","155647","92254","155648","92255","156200","92863","NA","NA","NA","NA","156700","NA","NA","104072","54784","93404","150024","10140","104072","NA","NA","NA","NA","NA","NA","10141","NA","104072","Orientation_PSA2018","13","61493","27","yes","1024"
"6835","NOR_LIST02.csv","F","F","NOR_Prac2.csv","Legen slo på kranen for å vaske hendene.","spider.jpg","V","48.275862069","48.275862069","[5, 9, 13, 19, 23, 25, 31, 34, 37, 42, 47]","2205.51724138","2205.51724138","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","0","undefined","1","1","undefined","6","f","0","0","0","7","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","5","0","5","0","0","0","7","7","5","5","0","7","0","0","0","0","0","7","5","0","0","0","0","0","0","0","0","7","5","7","5","7","5","7","5","7","5","8","NA","7","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","10/23/19 14:35:15","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_SP_1.2.4 (2).osexp","M:\Projects\PSA\PSA002\OpenSesame_Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","Norwegian","yes","768","no","legacy","7","1","5","7","M:/Projects/PSA/PSA002/raw_data/NOR_003_SP_16.csv","legacy","yes","Kafkaesque Koffka","3.2.8","no","Bibliotekaren puttet boken tilbake på bordet.","0","0","f","NA","NA","NA","space","NA","NA","NA","NA","space","space","j","NA","NA","NA","space","NA","NA","NA","NA","f","f","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","566","NA","NA","NA","33647","NA","NA","NA","NA","3546","1901","3489","NA","NA","NA","10655","NA","NA","NA","NA","566","607","NA","NA","NA","NA","NA","NA","NA","NA","10985","NA","2","legacy","no","1024","2","48000","-16","EXP","16","even","No","no","no","NA","10140","3398","156837","87200","NA","NA","NA","21127","NA","NA","NA","NA","3401","8852","NA","NA","NA","10129","NA","NA","NA","NA","10129","144816","144882","54784","93363","54803","87199","54803","54803","54784","157841","157841","88203","88204","144883","157841","144884","NA","144884","148375","NA","159744","91751","NA","NA","NA","93407","NA","NA","NA","NA","160247","92254","160248","92255","160816","92863","NA","NA","NA","NA","161316","NA","NA","104072","54784","93404","156835","10140","104072","NA","NA","NA","NA","NA","NA","10141","NA","104072","Orientation_PSA2018","14","63960","29","yes","1024"
"6835","NOR_LIST02.csv","F","F","NOR_Prac2.csv","Etter en uke kom maleriet med posten.","ftball.jpg","V","48.3870967742","48.3870967742","[5, 9, 13, 19, 23, 25, 31, 34, 37, 42, 47]","2142.80645161","2142.80645161","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","0","undefined","1","1","undefined","6","f","0","0","0","8","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","5","0","5","0","0","0","8","8","5","5","0","8","0","0","0","0","0","8","5","0","0","0","0","0","0","0","0","8","5","8","5","8","5","8","5","8","5","9","NA","8","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","10/23/19 14:35:15","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_SP_1.2.4 (2).osexp","M:\Projects\PSA\PSA002\OpenSesame_Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","Norwegian","yes","768","no","legacy","8","1","5","8","M:/Projects/PSA/PSA002/raw_data/NOR_003_SP_16.csv","legacy","yes","Kafkaesque Koffka","3.2.8","no","Bibliotekaren puttet boken tilbake på bordet.","0","0","f","NA","NA","NA","space","NA","NA","NA","NA","space","space","j","NA","NA","NA","space","NA","NA","NA","NA","f","f","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","430","NA","NA","NA","33647","NA","NA","NA","NA","3546","2037","3489","NA","NA","NA","10655","NA","NA","NA","NA","430","607","NA","NA","NA","NA","NA","NA","NA","NA","10985","NA","2","legacy","no","1024","2","48000","-16","EXP","16","even","No","no","no","NA","10140","3398","161524","87200","NA","NA","NA","21127","NA","NA","NA","NA","3401","8852","NA","NA","NA","10129","NA","NA","NA","NA","10129","144816","144882","54784","93363","54803","87199","54803","54803","54784","162527","162528","88203","88204","144883","162528","144884","NA","144884","148375","NA","164567","91751","NA","NA","NA","93407","NA","NA","NA","NA","165070","92254","165071","92255","165503","92863","NA","NA","NA","NA","166003","NA","NA","104072","54784","93404","161522","10140","104072","NA","NA","NA","NA","NA","NA","10141","NA","104072","Orientation_PSA2018","15","66427","31","yes","1024"
