LAB_SEED,List,Match,Orientation,PList,Probe,Target,Task,acc,accuracy,alt_task,average_response_time,avg_rt,background,bidi,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_Instruction_NOR,correct_Probe_Prac_response,correct_Probe_response,correct_Probe_sti_response,correct_Start_NOR,correct_Target_response,correct_Target_response_Prac,correct_Welcome_NOR,correct_count,correct_response,count_Check_This,count_Disable_Mouse,count_EXP,count_First_Fixation,count_First_Fixation_Prac,count_Instruction_DE,count_Instruction_E,count_Instruction_HUN,count_Instruction_NOR,count_Instruction_PL,count_Instruction_SC,count_Instruction_TC,count_Instruction_THAI,count_LAB_SEED,count_Language_Selection,count_List_Select_DE,count_List_Select_E,count_List_Select_HUN,count_List_Select_NOR,count_List_Select_PL,count_List_Select_SC,count_List_Select_TC,count_List_Select_THAI,count_List_Selection,count_Memory_loop,count_Memory_sequence,count_Prac,count_Prac_Count,count_Prac_Reset,count_Prac_Trial,count_Prac_loop,count_Prac_seq,count_Prac_setup,count_Probe,count_Probe_Collect,count_Probe_Prac,count_Probe_Prac_response,count_Probe_import,count_Probe_response,count_Probe_sti,count_Probe_sti_correct,count_Probe_sti_response,count_Probe_sti_wrong,count_STUDY_order,count_Second_Fixation,count_Second_Fixation_Prac,count_Start_DE,count_Start_E,count_Start_HUN,count_Start_NOR,count_Start_PL,count_Start_SC,count_Start_TC,count_Start_THAI,count_Target,count_Target_Prac,count_Target_response,count_Target_response_Prac,count_Target_response_correct,count_Target_response_correct_Prac,count_Target_response_noans,count_Target_response_noans_Prac,count_Target_response_wrong,count_Target_response_wrong_Prac,count_Trial_logger,count_Verification_Break,count_Verification_End,count_Verification_Exp,count_Verification_Prac,count_Verification_Start,count_Verification_Trial,count_Verification_Welcome,count_Verification_loop,count_Welcom_SC,count_Welcom_TC,count_Welcom_THAI,count_Welcome_DE,count_Welcome_E,count_Welcome_HUN,count_Welcome_NOR,count_Welcome_PL,count_presetup,datetime,de,description,disable_garbage_collection,empty_column,en,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,form_response,fullscreen,height,hun,keyboard_backend,live_row,live_row_Prac,live_row_Prac_loop,live_row_Verification_loop,logfile,mouse_backend,nor,opensesame_codename,opensesame_version,pol,rectarget,repeat_cycle,reset_loop,response,response_Instruction_DE,response_Instruction_E,response_Instruction_HUN,response_Instruction_NOR,response_Instruction_PL,response_Instruction_SC,response_Instruction_TC,response_Instruction_THAI,response_Probe_Prac_response,response_Probe_response,response_Probe_sti_response,response_Start_DE,response_Start_E,response_Start_HUN,response_Start_NOR,response_Start_PL,response_Start_SC,response_Start_TC,response_Start_THAI,response_Target_response,response_Target_response_Prac,response_Verification_Break,response_Verification_End,response_Welcom_SC,response_Welcom_TC,response_Welcom_THAI,response_Welcome_DE,response_Welcome_E,response_Welcome_HUN,response_Welcome_NOR,response_Welcome_PL,response_time,response_time_Instruction_DE,response_time_Instruction_E,response_time_Instruction_HUN,response_time_Instruction_NOR,response_time_Instruction_PL,response_time_Instruction_SC,response_time_Instruction_TC,response_time_Instruction_THAI,response_time_Probe_Prac_response,response_time_Probe_response,response_time_Probe_sti_response,response_time_Start_DE,response_time_Start_E,response_time_Start_HUN,response_time_Start_NOR,response_time_Start_PL,response_time_Start_SC,response_time_Start_TC,response_time_Start_THAI,response_time_Target_response,response_time_Target_response_Prac,response_time_Verification_Break,response_time_Verification_End,response_time_Welcom_SC,response_time_Welcom_TC,response_time_Welcom_THAI,response_time_Welcome_DE,response_time_Welcome_E,response_time_Welcome_HUN,response_time_Welcome_NOR,response_time_Welcome_PL,round_decimals,sampler_backend,sc,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,task_order,tc,thai,time_Check_This,time_Disable_Mouse,time_EXP,time_First_Fixation,time_First_Fixation_Prac,time_Instruction_DE,time_Instruction_E,time_Instruction_HUN,time_Instruction_NOR,time_Instruction_PL,time_Instruction_SC,time_Instruction_TC,time_Instruction_THAI,time_LAB_SEED,time_Language_Selection,time_List_Select_DE,time_List_Select_E,time_List_Select_HUN,time_List_Select_NOR,time_List_Select_PL,time_List_Select_SC,time_List_Select_TC,time_List_Select_THAI,time_List_Selection,time_Memory_loop,time_Memory_sequence,time_Prac,time_Prac_Count,time_Prac_Reset,time_Prac_Trial,time_Prac_loop,time_Prac_seq,time_Prac_setup,time_Probe,time_Probe_Collect,time_Probe_Prac,time_Probe_Prac_response,time_Probe_import,time_Probe_response,time_Probe_sti,time_Probe_sti_correct,time_Probe_sti_response,time_Probe_sti_wrong,time_STUDY_order,time_Second_Fixation,time_Second_Fixation_Prac,time_Start_DE,time_Start_E,time_Start_HUN,time_Start_NOR,time_Start_PL,time_Start_SC,time_Start_TC,time_Start_THAI,time_Target,time_Target_Prac,time_Target_response,time_Target_response_Prac,time_Target_response_correct,time_Target_response_correct_Prac,time_Target_response_noans,time_Target_response_noans_Prac,time_Target_response_wrong,time_Target_response_wrong_Prac,time_Trial_logger,time_Verification_Break,time_Verification_End,time_Verification_Exp,time_Verification_Prac,time_Verification_Start,time_Verification_Trial,time_Verification_Welcome,time_Verification_loop,time_Welcom_SC,time_Welcom_TC,time_Welcom_THAI,time_Welcome_DE,time_Welcome_E,time_Welcome_HUN,time_Welcome_NOR,time_Welcome_PL,time_presetup,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
6835,NOR_LIST03.csv,F,F,NOR_Prac1.csv,Rolig festet snikskytteren siktet på sin rifle.,needle.jpg,V,50,50,"[6, 9, 15, 17, 21, 25, 31, 34, 39, 43, 45]",2220.92857143,2220.92857143,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,undefined,0,0,NA,undefined,1,1,undefined,6,f,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,5,0,5,0,0,0,0,0,5,5,NA,0,NA,NA,NA,NA,0,0,5,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0,5,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01.10.2020 14:22,no,Matching Tasks,yes,,no,"OrientationCrossLanguages_2018PSA_SP_1.2.4 (2).osexp","M:\privat\Projects\PSA\PSA002\OpenSesame_Scripts",no,chinese-japanese-korean,no,18,no,#0000ff,no,Norwegian,yes,768,no,legacy,0,1,5,0,M:/privat/Projects/PSA/PSA002/raw_data/NOR_003_SP_37.csv,legacy,yes,Kafkaesque Koffka,03.02.2008,no,NA,0,0,f,NA,NA,NA,space,NA,NA,NA,NA,space,space,NA,NA,NA,NA,space,NA,NA,NA,NA,f,f,NA,NA,NA,NA,NA,NA,NA,NA,space,NA,984,NA,NA,NA,25279,NA,NA,NA,NA,2608,2835,NA,NA,NA,NA,83,NA,NA,NA,NA,984,742,NA,NA,NA,NA,NA,NA,NA,NA,9821,NA,2,legacy,no,1024,2,48000,-16,EXP,37,odd,No,no,no,NA,17218,4443,93142,87513,NA,NA,NA,27043,NA,NA,NA,NA,4445,15909,NA,NA,NA,17203,NA,NA,NA,NA,17203,NA,NA,52335,92873,52351,87512,52351,52351,52335,94143,94143,88514,88514,NA,94143,NA,NA,NA,NA,NA,96980,91124,NA,NA,NA,92911,NA,NA,NA,NA,97481,91627,97481,91628,98468,92372,NA,76745,NA,NA,98968,NA,NA,93006,52335,92909,93141,17218,93006,NA,NA,NA,NA,NA,NA,17220,NA,93006,Orientation_PSA2018,7,31093,14,yes,1024
6835,NOR_LIST03.csv,N,V,NOR_Prac1.csv,Småbarnet tegnet en katt med sin fargeblyant på sitt soveromsgulv.,crayonH.jpg,V,50,50,"[6, 9, 15, 17, 21, 25, 31, 34, 39, 43, 45]",2120.125,2120.125,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,undefined,0,0,NA,undefined,1,1,undefined,6,j,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,5,0,5,0,0,0,1,1,5,5,NA,1,NA,NA,NA,NA,0,1,5,0,0,0,0,0,0,0,0,1,5,1,5,1,5,1,5,1,5,1,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,01.10.2020 14:22,no,Matching Tasks,yes,,no,"OrientationCrossLanguages_2018PSA_SP_1.2.4 (2).osexp","M:\privat\Projects\PSA\PSA002\OpenSesame_Scripts",no,chinese-japanese-korean,no,18,no,#0000ff,no,Norwegian,yes,768,no,legacy,1,1,5,1,M:/privat/Projects/PSA/PSA002/raw_data/NOR_003_SP_37.csv,legacy,yes,Kafkaesque Koffka,03.02.2008,no,NA,0,0,j,NA,NA,NA,space,NA,NA,NA,NA,space,space,NA,NA,NA,NA,space,NA,NA,NA,NA,j,f,NA,NA,NA,NA,NA,NA,NA,NA,space,NA,776,NA,NA,NA,25279,NA,NA,NA,NA,2608,2053,NA,NA,NA,NA,83,NA,NA,NA,NA,776,742,NA,NA,NA,NA,NA,NA,NA,NA,9821,NA,2,legacy,no,1024,2,48000,-16,EXP,37,odd,No,no,no,NA,17218,4443,99108,87513,NA,NA,NA,27043,NA,NA,NA,NA,4445,15909,NA,NA,NA,17203,NA,NA,NA,NA,17203,NA,NA,52335,92873,52351,87512,52351,52351,52335,100109,100109,88514,88514,NA,100109,NA,NA,NA,NA,NA,102164,91124,NA,NA,NA,92911,NA,NA,NA,NA,102665,91627,102666,91628,103444,92372,NA,76745,NA,NA,103944,NA,NA,93006,52335,92909,99107,17218,93006,NA,NA,NA,NA,NA,NA,17220,NA,93006,Orientation_PSA2018,8,33922,16,yes,1024
6835,NOR_LIST03.csv,N,H,NOR_Prac1.csv,Sara plasserte den dyre tallerkenen på matten sin på bordet.,plateV.jpg,V,50,50,"[6, 9, 15, 17, 21, 25, 31, 34, 39, 43, 45]",2040.33333333,2040.33333333,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,undefined,0,0,NA,undefined,1,1,undefined,6,j,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,0,5,0,5,0,0,0,2,2,5,5,NA,2,NA,NA,NA,NA,0,2,5,0,0,0,0,0,0,0,0,2,5,2,5,2,5,2,5,2,5,2,NA,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,01.10.2020 14:22,no,Matching Tasks,yes,,no,"OrientationCrossLanguages_2018PSA_SP_1.2.4 (2).osexp","M:\privat\Projects\PSA\PSA002\OpenSesame_Scripts",no,chinese-japanese-korean,no,18,no,#0000ff,no,Norwegian,yes,768,no,legacy,2,1,5,2,M:/privat/Projects/PSA/PSA002/raw_data/NOR_003_SP_37.csv,legacy,yes,Kafkaesque Koffka,03.02.2008,no,NA,0,0,j,NA,NA,NA,space,NA,NA,NA,NA,space,space,NA,NA,NA,NA,space,NA,NA,NA,NA,j,f,NA,NA,NA,NA,NA,NA,NA,NA,space,NA,1065,NA,NA,NA,25279,NA,NA,NA,NA,2608,1739,NA,NA,NA,NA,83,NA,NA,NA,NA,1065,742,NA,NA,NA,NA,NA,NA,NA,NA,9821,NA,2,legacy,no,1024,2,48000,-16,EXP,37,odd,No,no,no,NA,17218,4443,104090,87513,NA,NA,NA,27043,NA,NA,NA,NA,4445,15909,NA,NA,NA,17203,NA,NA,NA,NA,17203,NA,NA,52335,92873,52351,87512,52351,52351,52335,105094,105094,88514,88514,NA,105095,NA,NA,NA,NA,NA,106836,91124,NA,NA,NA,92911,NA,NA,NA,NA,107337,91627,107337,91628,108405,92372,NA,76745,NA,NA,108905,NA,NA,93006,52335,92909,104089,17218,93006,NA,NA,NA,NA,NA,NA,17220,NA,93006,Orientation_PSA2018,9,36726,18,yes,1024
6835,NOR_LIST03.csv,Y,V,NOR_Prac1.csv,Bibliotekaren puttet boken tilbake i hylla.,bookV.jpg,V,50,50,"[6, 9, 15, 17, 21, 25, 31, 34, 39, 43, 45]",1936.3,1936.3,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,undefined,0,0,NA,undefined,1,1,undefined,6,j,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,0,5,0,5,0,0,0,3,3,5,5,NA,3,NA,NA,NA,NA,0,3,5,0,0,0,0,0,0,0,0,3,5,3,5,3,5,3,5,3,5,3,NA,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,01.10.2020 14:22,no,Matching Tasks,yes,,no,"OrientationCrossLanguages_2018PSA_SP_1.2.4 (2).osexp","M:\privat\Projects\PSA\PSA002\OpenSesame_Scripts",no,chinese-japanese-korean,no,18,no,#0000ff,no,Norwegian,yes,768,no,legacy,3,1,5,3,M:/privat/Projects/PSA/PSA002/raw_data/NOR_003_SP_37.csv,legacy,yes,Kafkaesque Koffka,03.02.2008,no,NA,0,0,j,NA,NA,NA,space,NA,NA,NA,NA,space,space,NA,NA,NA,NA,space,NA,NA,NA,NA,j,f,NA,NA,NA,NA,NA,NA,NA,NA,space,NA,600,NA,NA,NA,25279,NA,NA,NA,NA,2608,1400,NA,NA,NA,NA,83,NA,NA,NA,NA,600,742,NA,NA,NA,NA,NA,NA,NA,NA,9821,NA,2,legacy,no,1024,2,48000,-16,EXP,37,odd,No,no,no,NA,17218,4443,109056,87513,NA,NA,NA,27043,NA,NA,NA,NA,4445,15909,NA,NA,NA,17203,NA,NA,NA,NA,17203,NA,NA,52335,92873,52351,87512,52351,52351,52335,110058,110058,88514,88514,NA,110058,NA,NA,NA,NA,NA,111460,91124,NA,NA,NA,92911,NA,NA,NA,NA,111961,91627,111962,91628,112564,92372,NA,76745,NA,NA,113064,NA,NA,93006,52335,92909,109055,17218,93006,NA,NA,NA,NA,NA,NA,17220,NA,93006,Orientation_PSA2018,10,38726,20,yes,1024
6835,NOR_LIST03.csv,F,F,NOR_Prac1.csv,Mekanikeren byttet dekkene på veteranbilen.,glass.jpg,V,50,50,"[6, 9, 15, 17, 21, 25, 31, 34, 39, 43, 45]",1866.77272727,1866.77272727,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,undefined,0,0,NA,undefined,1,1,undefined,6,f,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,NA,0,5,0,5,0,0,0,4,4,5,5,NA,4,NA,NA,NA,NA,0,4,5,0,0,0,0,0,0,0,0,4,5,4,5,4,5,4,5,4,5,4,NA,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,01.10.2020 14:22,no,Matching Tasks,yes,,no,"OrientationCrossLanguages_2018PSA_SP_1.2.4 (2).osexp","M:\privat\Projects\PSA\PSA002\OpenSesame_Scripts",no,chinese-japanese-korean,no,18,no,#0000ff,no,Norwegian,yes,768,no,legacy,4,1,5,4,M:/privat/Projects/PSA/PSA002/raw_data/NOR_003_SP_37.csv,legacy,yes,Kafkaesque Koffka,03.02.2008,no,NA,0,0,f,NA,NA,NA,space,NA,NA,NA,NA,space,space,NA,NA,NA,NA,space,NA,NA,NA,NA,f,f,NA,NA,NA,NA,NA,NA,NA,NA,space,NA,729,NA,NA,NA,25279,NA,NA,NA,NA,2608,1614,NA,NA,NA,NA,83,NA,NA,NA,NA,729,742,NA,NA,NA,NA,NA,NA,NA,NA,9821,NA,2,legacy,no,1024,2,48000,-16,EXP,37,odd,No,no,no,NA,17218,4443,113194,87513,NA,NA,NA,27043,NA,NA,NA,NA,4445,15909,NA,NA,NA,17203,NA,NA,NA,NA,17203,NA,NA,52335,92873,52351,87512,52351,52351,52335,114195,114195,88514,88514,NA,114195,NA,NA,NA,NA,NA,115812,91124,NA,NA,NA,92911,NA,NA,NA,NA,116313,91627,116313,91628,117045,92372,NA,76745,NA,NA,117545,NA,NA,93006,52335,92909,113192,17218,93006,NA,NA,NA,NA,NA,NA,17220,NA,93006,Orientation_PSA2018,11,41069,22,yes,1024
6835,NOR_LIST03.csv,F,F,NOR_Prac1.csv,Svømmerne ble skremt av alligatoren.,stove.jpg,V,50,50,"[6, 9, 15, 17, 21, 25, 31, 34, 39, 43, 45]",1788.75,1788.75,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,undefined,0,0,NA,undefined,1,1,undefined,6,f,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,NA,0,5,0,5,0,0,0,5,5,5,5,NA,5,NA,NA,NA,NA,0,5,5,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,NA,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,01.10.2020 14:22,no,Matching Tasks,yes,,no,"OrientationCrossLanguages_2018PSA_SP_1.2.4 (2).osexp","M:\privat\Projects\PSA\PSA002\OpenSesame_Scripts",no,chinese-japanese-korean,no,18,no,#0000ff,no,Norwegian,yes,768,no,legacy,5,1,5,5,M:/privat/Projects/PSA/PSA002/raw_data/NOR_003_SP_37.csv,legacy,yes,Kafkaesque Koffka,03.02.2008,no,NA,0,0,f,NA,NA,NA,space,NA,NA,NA,NA,space,space,NA,NA,NA,NA,space,NA,NA,NA,NA,f,f,NA,NA,NA,NA,NA,NA,NA,NA,space,NA,678,NA,NA,NA,25279,NA,NA,NA,NA,2608,1183,NA,NA,NA,NA,83,NA,NA,NA,NA,678,742,NA,NA,NA,NA,NA,NA,NA,NA,9821,NA,2,legacy,no,1024,2,48000,-16,EXP,37,odd,No,no,no,NA,17218,4443,117690,87513,NA,NA,NA,27043,NA,NA,NA,NA,4445,15909,NA,NA,NA,17203,NA,NA,NA,NA,17203,NA,NA,52335,92873,52351,87512,52351,52351,52335,118691,118691,88514,88514,NA,118691,NA,NA,NA,NA,NA,119876,91124,NA,NA,NA,92911,NA,NA,NA,NA,120379,91627,120380,91628,121060,92372,NA,76745,NA,NA,121560,NA,NA,93006,52335,92909,117688,17218,93006,NA,NA,NA,NA,NA,NA,17220,NA,93006,Orientation_PSA2018,12,42930,24,yes,1024
6835,NOR_LIST03.csv,F,F,NOR_Prac1.csv,Clarissa håpet at hun skulle få en rød sykkel til bursdagen sin.,trmpet.jpg,V,50,50,"[6, 9, 15, 17, 21, 25, 31, 34, 39, 43, 45]",1750.46153846,1750.46153846,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,undefined,0,0,NA,undefined,1,1,undefined,6,f,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,NA,0,5,0,5,0,0,0,6,6,5,5,NA,6,NA,NA,NA,NA,0,6,5,0,0,0,0,0,0,0,0,6,5,6,5,6,5,6,5,6,5,6,NA,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,01.10.2020 14:22,no,Matching Tasks,yes,,no,"OrientationCrossLanguages_2018PSA_SP_1.2.4 (2).osexp","M:\privat\Projects\PSA\PSA002\OpenSesame_Scripts",no,chinese-japanese-korean,no,18,no,#0000ff,no,Norwegian,yes,768,no,legacy,6,1,5,6,M:/privat/Projects/PSA/PSA002/raw_data/NOR_003_SP_37.csv,legacy,yes,Kafkaesque Koffka,03.02.2008,no,NA,0,0,f,NA,NA,NA,space,NA,NA,NA,NA,space,space,NA,NA,NA,NA,space,NA,NA,NA,NA,f,f,NA,NA,NA,NA,NA,NA,NA,NA,space,NA,710,NA,NA,NA,25279,NA,NA,NA,NA,2608,1872,NA,NA,NA,NA,83,NA,NA,NA,NA,710,742,NA,NA,NA,NA,NA,NA,NA,NA,9821,NA,2,legacy,no,1024,2,48000,-16,EXP,37,odd,No,no,no,NA,17218,4443,121687,87513,NA,NA,NA,27043,NA,NA,NA,NA,4445,15909,NA,NA,NA,17203,NA,NA,NA,NA,17203,NA,NA,52335,92873,52351,87512,52351,52351,52335,122690,122690,88514,88514,NA,122690,NA,NA,NA,NA,NA,124564,91124,NA,NA,NA,92911,NA,NA,NA,NA,125067,91627,125068,91628,125780,92372,NA,76745,NA,NA,126280,NA,NA,93006,52335,92909,121685,17218,93006,NA,NA,NA,NA,NA,NA,17220,NA,93006,Orientation_PSA2018,13,45512,26,yes,1024
6835,NOR_LIST03.csv,F,F,NOR_Prac1.csv,Clarissa håpet at hun skulle få en rød sykkel til bursdagen sin.,trmpet.jpg,M,48.1481481481,48.1481481481,"[6, 9, 15, 17, 21, 25, 31, 34, 39, 43, 45]",2111.14814815,2111.14814815,#ffffff,yes,legacy,legacy,legacy,0,uniform,0,undefined,0,0,0,undefined,1,1,undefined,6,f,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,5,0,0,0,6,6,5,5,0,6,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,6,5,6,5,6,5,6,5,6,5,7,NA,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,01.10.2020 14:22,no,Matching Tasks,yes,,no,"OrientationCrossLanguages_2018PSA_SP_1.2.4 (2).osexp","M:\privat\Projects\PSA\PSA002\OpenSesame_Scripts",no,chinese-japanese-korean,no,18,no,#0000ff,no,Norwegian,yes,768,no,legacy,0,1,5,6,M:/privat/Projects/PSA/PSA002/raw_data/NOR_003_SP_37.csv,legacy,yes,Kafkaesque Koffka,03.02.2008,no,Småbarnet tegnet en katt med sin fargeblyant på sitt soveromsgulv.,0,0,j,NA,NA,NA,space,NA,NA,NA,NA,space,space,j,NA,NA,NA,space,NA,NA,NA,NA,f,f,NA,NA,NA,NA,NA,NA,NA,NA,space,NA,11489,NA,NA,NA,25279,NA,NA,NA,NA,2608,1872,11489,NA,NA,NA,83,NA,NA,NA,NA,710,742,NA,NA,NA,NA,NA,NA,NA,NA,9821,NA,2,legacy,no,1024,2,48000,-16,EXP,37,odd,No,no,no,NA,17218,4443,121687,87513,NA,NA,NA,27043,NA,NA,NA,NA,4445,15909,NA,NA,NA,17203,NA,NA,NA,NA,17203,126288,126367,52335,92873,52351,87512,52351,52351,52335,122690,122690,88514,88514,126367,122690,126369,NA,126369,137860,NA,124564,91124,NA,NA,NA,92911,NA,NA,NA,NA,125067,91627,125068,91628,125780,92372,NA,76745,NA,NA,139361,NA,NA,93006,52335,92909,121685,17218,93006,NA,NA,NA,NA,NA,NA,17220,NA,93006,Orientation_PSA2018,13,57001,27,yes,1024
6835,NOR_LIST03.csv,F,F,NOR_Prac1.csv,Den tørste mountainbikeren fylte på flasken sin ved vannfontenen.,flower.jpg,V,48.275862069,48.275862069,"[6, 9, 15, 17, 21, 25, 31, 34, 39, 43, 45]",2144.13793103,2144.13793103,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,undefined,0,0,0,undefined,1,1,undefined,6,f,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,5,0,0,0,7,7,5,5,0,7,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,7,5,7,5,7,5,7,5,7,5,8,NA,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,01.10.2020 14:22,no,Matching Tasks,yes,,no,"OrientationCrossLanguages_2018PSA_SP_1.2.4 (2).osexp","M:\privat\Projects\PSA\PSA002\OpenSesame_Scripts",no,chinese-japanese-korean,no,18,no,#0000ff,no,Norwegian,yes,768,no,legacy,7,1,5,7,M:/privat/Projects/PSA/PSA002/raw_data/NOR_003_SP_37.csv,legacy,yes,Kafkaesque Koffka,03.02.2008,no,Småbarnet tegnet en katt med sin fargeblyant på sitt soveromsgulv.,0,0,f,NA,NA,NA,space,NA,NA,NA,NA,space,space,j,NA,NA,NA,space,NA,NA,NA,NA,f,f,NA,NA,NA,NA,NA,NA,NA,NA,space,NA,841,NA,NA,NA,25279,NA,NA,NA,NA,2608,4338,11489,NA,NA,NA,83,NA,NA,NA,NA,841,742,NA,NA,NA,NA,NA,NA,NA,NA,9821,NA,2,legacy,no,1024,2,48000,-16,EXP,37,odd,No,no,no,NA,17218,4443,139527,87513,NA,NA,NA,27043,NA,NA,NA,NA,4445,15909,NA,NA,NA,17203,NA,NA,NA,NA,17203,126288,126367,52335,92873,52351,87512,52351,52351,52335,140528,140528,88514,88514,126367,140528,126369,NA,126369,137860,NA,144868,91124,NA,NA,NA,92911,NA,NA,NA,NA,145369,91627,145369,91628,146212,92372,NA,76745,NA,NA,146712,NA,NA,93006,52335,92909,139525,17218,93006,NA,NA,NA,NA,NA,NA,17220,NA,93006,Orientation_PSA2018,14,62180,29,yes,1024
6835,NOR_LIST03.csv,F,F,NOR_Prac1.csv,George la mobiltelefonen i frakkelommen sin.,spider.jpg,V,48.3870967742,48.3870967742,"[6, 9, 15, 17, 21, 25, 31, 34, 39, 43, 45]",2110.74193548,2110.74193548,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,undefined,0,0,0,undefined,1,1,undefined,6,f,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,5,0,0,0,8,8,5,5,0,8,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,8,5,8,5,8,5,8,5,8,5,9,NA,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,01.10.2020 14:22,no,Matching Tasks,yes,,no,"OrientationCrossLanguages_2018PSA_SP_1.2.4 (2).osexp","M:\privat\Projects\PSA\PSA002\OpenSesame_Scripts",no,chinese-japanese-korean,no,18,no,#0000ff,no,Norwegian,yes,768,no,legacy,8,1,5,8,M:/privat/Projects/PSA/PSA002/raw_data/NOR_003_SP_37.csv,legacy,yes,Kafkaesque Koffka,03.02.2008,no,Småbarnet tegnet en katt med sin fargeblyant på sitt soveromsgulv.,0,0,f,NA,NA,NA,space,NA,NA,NA,NA,space,space,j,NA,NA,NA,space,NA,NA,NA,NA,f,f,NA,NA,NA,NA,NA,NA,NA,NA,space,NA,777,NA,NA,NA,25279,NA,NA,NA,NA,2608,2476,11489,NA,NA,NA,83,NA,NA,NA,NA,777,742,NA,NA,NA,NA,NA,NA,NA,NA,9821,NA,2,legacy,no,1024,2,48000,-16,EXP,37,odd,No,no,no,NA,17218,4443,146860,87513,NA,NA,NA,27043,NA,NA,NA,NA,4445,15909,NA,NA,NA,17203,NA,NA,NA,NA,17203,126288,126367,52335,92873,52351,87512,52351,52351,52335,147862,147862,88514,88514,126367,147862,126369,NA,126369,137860,NA,150340,91124,NA,NA,NA,92911,NA,NA,NA,NA,150841,91627,150841,91628,151620,92372,NA,76745,NA,NA,152121,NA,NA,93006,52335,92909,146859,17218,93006,NA,NA,NA,NA,NA,NA,17220,NA,93006,Orientation_PSA2018,15,65433,31,yes,1024
