Identical,LAB_SEED,Orientation1,Orientation2,PPList,Picture1,Picture2,acc,accuracy,average_response_time,avg_rt,background,bidi,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_Pictures_response,correct_Start_PL,correct_Target_response_Prac,correct_Welcome_PP_PL,correct_count,correct_response,count_Check_This,count_Disable_Mouse,count_EXP,count_LAB_SEED,count_Language_Selection,count_List_Select,count_List_Selection,count_Pictures_Break,count_Pictures_End,count_Pictures_Exp,count_Pictures_Fixation,count_Pictures_Fixation_Prac,count_Pictures_Prac,count_Pictures_Start,count_Pictures_Target,count_Pictures_Trial,count_Pictures_Welcome,count_Pictures_loop,count_Pictures_response,count_Pictures_response_correct,count_Pictures_response_noans,count_Pictures_response_wrong,count_Prac,count_Prac_Count,count_Prac_Reset,count_Prac_Trial,count_Prac_loop,count_Prac_seq,count_Prac_setup,count_Start_DE,count_Start_E,count_Start_ELL,count_Start_HUN,count_Start_NOR,count_Start_PL,count_Start_POR,count_Start_SC,count_Start_TC,count_Start_THAI,count_Start_TUR,count_Target_Prac,count_Target_response_Prac,count_Target_response_correct_Prac,count_Target_response_noans_Prac,count_Target_response_wrong_Prac,count_Trial_logger,count_Welcome_PP_DE,count_Welcome_PP_E,count_Welcome_PP_ELL,count_Welcome_PP_HUN,count_Welcome_PP_NOR,count_Welcome_PP_PL,count_Welcome_PP_POR,count_Welcome_PP_SC,count_Welcome_PP_TC,count_Welcome_PP_THAI,count_Welcome_PP_TUR,datetime,de,description,disable_garbage_collection,ell,empty_column,en,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,form_response,fullscreen,height,hun,keyboard_backend,live_row,live_row_Pictures_loop,live_row_Prac,live_row_Prac_loop,logfile,mouse_backend,nor,opensesame_codename,opensesame_version,osf_always_upload_experiment,osf_id,pol,por,repeat_cycle,reset_loop,response,response_Pictures_Break,response_Pictures_End,response_Pictures_response,response_Start_DE,response_Start_E,response_Start_ELL,response_Start_HUN,response_Start_NOR,response_Start_PL,response_Start_POR,response_Start_SC,response_Start_TC,response_Start_THAI,response_Start_TUR,response_Target_response_Prac,response_Welcome_PP_DE,response_Welcome_PP_E,response_Welcome_PP_ELL,response_Welcome_PP_HUN,response_Welcome_PP_NOR,response_Welcome_PP_PL,response_Welcome_PP_POR,response_Welcome_PP_SC,response_Welcome_PP_TC,response_Welcome_PP_THAI,response_Welcome_PP_TUR,response_time,response_time_Pictures_Break,response_time_Pictures_End,response_time_Pictures_response,response_time_Start_DE,response_time_Start_E,response_time_Start_ELL,response_time_Start_HUN,response_time_Start_NOR,response_time_Start_PL,response_time_Start_POR,response_time_Start_SC,response_time_Start_TC,response_time_Start_THAI,response_time_Start_TUR,response_time_Target_response_Prac,response_time_Welcome_PP_DE,response_time_Welcome_PP_E,response_time_Welcome_PP_ELL,response_time_Welcome_PP_HUN,response_time_Welcome_PP_NOR,response_time_Welcome_PP_PL,response_time_Welcome_PP_POR,response_time_Welcome_PP_SC,response_time_Welcome_PP_TC,response_time_Welcome_PP_THAI,response_time_Welcome_PP_TUR,round_decimals,sampler_backend,sc,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,tc,thai,time_Check_This,time_Disable_Mouse,time_EXP,time_LAB_SEED,time_Language_Selection,time_List_Select,time_List_Selection,time_Pictures_Break,time_Pictures_End,time_Pictures_Exp,time_Pictures_Fixation,time_Pictures_Fixation_Prac,time_Pictures_Prac,time_Pictures_Start,time_Pictures_Target,time_Pictures_Trial,time_Pictures_Welcome,time_Pictures_loop,time_Pictures_response,time_Pictures_response_correct,time_Pictures_response_noans,time_Pictures_response_wrong,time_Prac,time_Prac_Count,time_Prac_Reset,time_Prac_Trial,time_Prac_loop,time_Prac_seq,time_Prac_setup,time_Start_DE,time_Start_E,time_Start_ELL,time_Start_HUN,time_Start_NOR,time_Start_PL,time_Start_POR,time_Start_SC,time_Start_TC,time_Start_THAI,time_Start_TUR,time_Target_Prac,time_Target_response_Prac,time_Target_response_correct_Prac,time_Target_response_noans_Prac,time_Target_response_wrong_Prac,time_Trial_logger,time_Welcome_PP_DE,time_Welcome_PP_E,time_Welcome_PP_ELL,time_Welcome_PP_HUN,time_Welcome_PP_NOR,time_Welcome_PP_PL,time_Welcome_PP_POR,time_Welcome_PP_SC,time_Welcome_PP_TC,time_Welcome_PP_THAI,time_Welcome_PP_TUR,title,total_correct,total_response_time,total_responses,tur,uniform_coordinates,width
N,2843,V,H,PP_LIST3.csv,brushV.jpg,brushH.jpg,92.3076923077,92.3076923077,758.153846154,758.153846154,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,j,0,0,0,0,0,0,0,NA,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,11,1,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,12/09/19 19:27:13,no,Matching Tasks,yes,no,,no,2_Orientation_PP_1.2.4_v7.osexp,C:\Users\memory lab\Dropbox\_!_Komputer_5\Object_Orientation_POL_001_komp_5,no,chinese-japanese-korean,no,18,no,#0000ff,no,Polish,yes,768,no,legacy,0,0,2,5,C:/Users/memory lab/Dropbox/_!_Komputer_5/Object_Orientation_POL_001_komp_5/2_Results_PP/2_PP_nrID_83.csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,yes,no,0,0,j,NA,NA,j,NA,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,f,NA,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,1036,NA,NA,1036,NA,NA,NA,NA,NA,802,NA,NA,NA,NA,NA,491,NA,NA,NA,NA,NA,19898,NA,NA,NA,NA,NA,2,legacy,no,1024,2,48000,-16,EXP,10,odd,no,no,NA,18937,4025,4026,17488,18927,18927,NA,NA,61469,61587,59140,38845,60656,62088,61585,18937,61469,62088,63126,NA,NA,38845,60633,50571,59138,50571,50571,38845,NA,NA,NA,NA,NA,60658,NA,NA,NA,NA,NA,59641,59641,60133,NA,50053,63626,NA,NA,NA,NA,NA,18938,NA,NA,NA,NA,NA,Orientation_PSA2018,12,9856,13,no,yes,1024
F,2843,F,F,PP_LIST3.csv,couch.jpg,spider.jpg,92.8571428571,92.8571428571,758.5,758.5,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,f,0,0,0,0,0,0,0,NA,1,0,1,11,0,0,1,1,0,0,1,1,1,1,0,11,1,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,1,0,0,0,0,0,0,0,0,0,0,0,12/09/19 19:27:13,no,Matching Tasks,yes,no,,no,2_Orientation_PP_1.2.4_v7.osexp,C:\Users\memory lab\Dropbox\_!_Komputer_5\Object_Orientation_POL_001_komp_5,no,chinese-japanese-korean,no,18,no,#0000ff,no,Polish,yes,768,no,legacy,1,1,2,5,C:/Users/memory lab/Dropbox/_!_Komputer_5/Object_Orientation_POL_001_komp_5/2_Results_PP/2_PP_nrID_83.csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,yes,no,0,0,f,NA,NA,f,NA,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,f,NA,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,763,NA,NA,763,NA,NA,NA,NA,NA,802,NA,NA,NA,NA,NA,491,NA,NA,NA,NA,NA,19898,NA,NA,NA,NA,NA,2,legacy,no,1024,2,48000,-16,EXP,10,odd,no,no,NA,18937,4025,4026,17488,18927,18927,NA,NA,61469,63764,59140,38845,60656,64265,63763,18937,61469,64265,65030,NA,NA,38845,60633,50571,59138,50571,50571,38845,NA,NA,NA,NA,NA,60658,NA,NA,NA,NA,NA,59641,59641,60133,NA,50053,65530,NA,NA,NA,NA,NA,18938,NA,NA,NA,NA,NA,Orientation_PSA2018,13,10619,14,no,yes,1024
F,2843,F,F,PP_LIST3.csv,tapedispenser.jpg,wrench.jpg,93.3333333333,93.3333333333,746.6,746.6,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,f,0,0,0,0,0,0,0,NA,2,0,2,11,0,0,2,2,0,0,2,2,2,2,0,11,1,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,2,0,0,0,0,0,0,0,0,0,0,0,12/09/19 19:27:13,no,Matching Tasks,yes,no,,no,2_Orientation_PP_1.2.4_v7.osexp,C:\Users\memory lab\Dropbox\_!_Komputer_5\Object_Orientation_POL_001_komp_5,no,chinese-japanese-korean,no,18,no,#0000ff,no,Polish,yes,768,no,legacy,2,2,2,5,C:/Users/memory lab/Dropbox/_!_Komputer_5/Object_Orientation_POL_001_komp_5/2_Results_PP/2_PP_nrID_83.csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,yes,no,0,0,f,NA,NA,f,NA,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,f,NA,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,580,NA,NA,580,NA,NA,NA,NA,NA,802,NA,NA,NA,NA,NA,491,NA,NA,NA,NA,NA,19898,NA,NA,NA,NA,NA,2,legacy,no,1024,2,48000,-16,EXP,10,odd,no,no,NA,18937,4025,4026,17488,18927,18927,NA,NA,61469,65643,59140,38845,60656,66144,65641,18937,61469,66144,66725,NA,NA,38845,60633,50571,59138,50571,50571,38845,NA,NA,NA,NA,NA,60658,NA,NA,NA,NA,NA,59641,59641,60133,NA,50053,67225,NA,NA,NA,NA,NA,18938,NA,NA,NA,NA,NA,Orientation_PSA2018,14,11199,15,no,yes,1024
Y,2843,V,V,PP_LIST3.csv,tireV.jpg,tireV.jpg,93.75,93.75,737.8125,737.8125,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,j,0,0,0,0,0,0,0,NA,3,0,3,11,0,0,3,3,0,0,3,3,3,3,0,11,1,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,3,0,0,0,0,0,0,0,0,0,0,0,12/09/19 19:27:13,no,Matching Tasks,yes,no,,no,2_Orientation_PP_1.2.4_v7.osexp,C:\Users\memory lab\Dropbox\_!_Komputer_5\Object_Orientation_POL_001_komp_5,no,chinese-japanese-korean,no,18,no,#0000ff,no,Polish,yes,768,no,legacy,3,3,2,5,C:/Users/memory lab/Dropbox/_!_Komputer_5/Object_Orientation_POL_001_komp_5/2_Results_PP/2_PP_nrID_83.csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,yes,no,0,0,j,NA,NA,j,NA,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,f,NA,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,606,NA,NA,606,NA,NA,NA,NA,NA,802,NA,NA,NA,NA,NA,491,NA,NA,NA,NA,NA,19898,NA,NA,NA,NA,NA,2,legacy,no,1024,2,48000,-16,EXP,10,odd,no,no,NA,18937,4025,4026,17488,18927,18927,NA,NA,61469,67344,59140,38845,60656,67845,67342,18937,61469,67845,68453,NA,NA,38845,60633,50571,59138,50571,50571,38845,NA,NA,NA,NA,NA,60658,NA,NA,NA,NA,NA,59641,59641,60133,NA,50053,68953,NA,NA,NA,NA,NA,18938,NA,NA,NA,NA,NA,Orientation_PSA2018,15,11805,16,no,yes,1024
N,2843,H,V,PP_LIST3.csv,axeH.jpg,axeV.jpg,94.1176470588,94.1176470588,750.294117647,750.294117647,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,j,0,0,0,0,0,0,0,NA,4,0,4,11,0,0,4,4,0,0,4,4,4,4,0,11,1,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,4,0,0,0,0,0,0,0,0,0,0,0,12/09/19 19:27:13,no,Matching Tasks,yes,no,,no,2_Orientation_PP_1.2.4_v7.osexp,C:\Users\memory lab\Dropbox\_!_Komputer_5\Object_Orientation_POL_001_komp_5,no,chinese-japanese-korean,no,18,no,#0000ff,no,Polish,yes,768,no,legacy,4,4,2,5,C:/Users/memory lab/Dropbox/_!_Komputer_5/Object_Orientation_POL_001_komp_5/2_Results_PP/2_PP_nrID_83.csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,yes,no,0,0,j,NA,NA,j,NA,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,f,NA,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,950,NA,NA,950,NA,NA,NA,NA,NA,802,NA,NA,NA,NA,NA,491,NA,NA,NA,NA,NA,19898,NA,NA,NA,NA,NA,2,legacy,no,1024,2,48000,-16,EXP,10,odd,no,no,NA,18937,4025,4026,17488,18927,18927,NA,NA,61469,69064,59140,38845,60656,69565,69063,18937,61469,69565,70517,NA,NA,38845,60633,50571,59138,50571,50571,38845,NA,NA,NA,NA,NA,60658,NA,NA,NA,NA,NA,59641,59641,60133,NA,50053,71017,NA,NA,NA,NA,NA,18938,NA,NA,NA,NA,NA,Orientation_PSA2018,16,12755,17,no,yes,1024
Y,2843,H,H,PP_LIST3.csv,glassH.jpg,glassH.jpg,94.4444444444,94.4444444444,739.555555556,739.555555556,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,j,0,0,0,0,0,0,0,NA,5,0,5,11,0,0,5,5,0,0,5,5,5,5,0,11,1,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,5,0,0,0,0,0,0,0,0,0,0,0,12/09/19 19:27:13,no,Matching Tasks,yes,no,,no,2_Orientation_PP_1.2.4_v7.osexp,C:\Users\memory lab\Dropbox\_!_Komputer_5\Object_Orientation_POL_001_komp_5,no,chinese-japanese-korean,no,18,no,#0000ff,no,Polish,yes,768,no,legacy,5,5,2,5,C:/Users/memory lab/Dropbox/_!_Komputer_5/Object_Orientation_POL_001_komp_5/2_Results_PP/2_PP_nrID_83.csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,yes,no,0,0,j,NA,NA,j,NA,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,f,NA,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,557,NA,NA,557,NA,NA,NA,NA,NA,802,NA,NA,NA,NA,NA,491,NA,NA,NA,NA,NA,19898,NA,NA,NA,NA,NA,2,legacy,no,1024,2,48000,-16,EXP,10,odd,no,no,NA,18937,4025,4026,17488,18927,18927,NA,NA,61469,71138,59140,38845,60656,71639,71137,18937,61469,71639,72197,NA,NA,38845,60633,50571,59138,50571,50571,38845,NA,NA,NA,NA,NA,60658,NA,NA,NA,NA,NA,59641,59641,60133,NA,50053,72697,NA,NA,NA,NA,NA,18938,NA,NA,NA,NA,NA,Orientation_PSA2018,17,13312,18,no,yes,1024
Y,2843,V,V,PP_LIST3.csv,screwV.jpg,screwV.jpg,94.7368421053,94.7368421053,727.947368421,727.947368421,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,j,0,0,0,0,0,0,0,NA,6,0,6,11,0,0,6,6,0,0,6,6,6,6,0,11,1,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,6,0,0,0,0,0,0,0,0,0,0,0,12/09/19 19:27:13,no,Matching Tasks,yes,no,,no,2_Orientation_PP_1.2.4_v7.osexp,C:\Users\memory lab\Dropbox\_!_Komputer_5\Object_Orientation_POL_001_komp_5,no,chinese-japanese-korean,no,18,no,#0000ff,no,Polish,yes,768,no,legacy,6,6,2,5,C:/Users/memory lab/Dropbox/_!_Komputer_5/Object_Orientation_POL_001_komp_5/2_Results_PP/2_PP_nrID_83.csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,yes,no,0,0,j,NA,NA,j,NA,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,f,NA,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,519,NA,NA,519,NA,NA,NA,NA,NA,802,NA,NA,NA,NA,NA,491,NA,NA,NA,NA,NA,19898,NA,NA,NA,NA,NA,2,legacy,no,1024,2,48000,-16,EXP,10,odd,no,no,NA,18937,4025,4026,17488,18927,18927,NA,NA,61469,72807,59140,38845,60656,73308,72806,18937,61469,73308,73829,NA,NA,38845,60633,50571,59138,50571,50571,38845,NA,NA,NA,NA,NA,60658,NA,NA,NA,NA,NA,59641,59641,60133,NA,50053,74329,NA,NA,NA,NA,NA,18938,NA,NA,NA,NA,NA,Orientation_PSA2018,18,13831,19,no,yes,1024
F,2843,F,F,PP_LIST3.csv,knife.jpg,ladder.jpg,95,95,727.2,727.2,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,f,0,0,0,0,0,0,0,NA,7,0,7,11,0,0,7,7,0,0,7,7,7,7,0,11,1,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,7,0,0,0,0,0,0,0,0,0,0,0,12/09/19 19:27:13,no,Matching Tasks,yes,no,,no,2_Orientation_PP_1.2.4_v7.osexp,C:\Users\memory lab\Dropbox\_!_Komputer_5\Object_Orientation_POL_001_komp_5,no,chinese-japanese-korean,no,18,no,#0000ff,no,Polish,yes,768,no,legacy,7,7,2,5,C:/Users/memory lab/Dropbox/_!_Komputer_5/Object_Orientation_POL_001_komp_5/2_Results_PP/2_PP_nrID_83.csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,yes,no,0,0,f,NA,NA,f,NA,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,f,NA,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,713,NA,NA,713,NA,NA,NA,NA,NA,802,NA,NA,NA,NA,NA,491,NA,NA,NA,NA,NA,19898,NA,NA,NA,NA,NA,2,legacy,no,1024,2,48000,-16,EXP,10,odd,no,no,NA,18937,4025,4026,17488,18927,18927,NA,NA,61469,74438,59140,38845,60656,74939,74436,18937,61469,74939,75654,NA,NA,38845,60633,50571,59138,50571,50571,38845,NA,NA,NA,NA,NA,60658,NA,NA,NA,NA,NA,59641,59641,60133,NA,50053,76154,NA,NA,NA,NA,NA,18938,NA,NA,NA,NA,NA,Orientation_PSA2018,19,14544,20,no,yes,1024
F,2843,F,F,PP_LIST3.csv,watch.jpg,skirt.jpg,95.2380952381,95.2380952381,722.523809524,722.523809524,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,f,0,0,0,0,0,0,0,NA,8,0,8,11,0,0,8,8,0,0,8,8,8,8,0,11,1,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,8,0,0,0,0,0,0,0,0,0,0,0,12/09/19 19:27:13,no,Matching Tasks,yes,no,,no,2_Orientation_PP_1.2.4_v7.osexp,C:\Users\memory lab\Dropbox\_!_Komputer_5\Object_Orientation_POL_001_komp_5,no,chinese-japanese-korean,no,18,no,#0000ff,no,Polish,yes,768,no,legacy,8,8,2,5,C:/Users/memory lab/Dropbox/_!_Komputer_5/Object_Orientation_POL_001_komp_5/2_Results_PP/2_PP_nrID_83.csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,yes,no,0,0,f,NA,NA,f,NA,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,f,NA,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,629,NA,NA,629,NA,NA,NA,NA,NA,802,NA,NA,NA,NA,NA,491,NA,NA,NA,NA,NA,19898,NA,NA,NA,NA,NA,2,legacy,no,1024,2,48000,-16,EXP,10,odd,no,no,NA,18937,4025,4026,17488,18927,18927,NA,NA,61469,76266,59140,38845,60656,76767,76264,18937,61469,76767,77398,NA,NA,38845,60633,50571,59138,50571,50571,38845,NA,NA,NA,NA,NA,60658,NA,NA,NA,NA,NA,59641,59641,60133,NA,50053,77898,NA,NA,NA,NA,NA,18938,NA,NA,NA,NA,NA,Orientation_PSA2018,20,15173,21,no,yes,1024
Y,2843,H,H,PP_LIST3.csv,ironH.jpg,ironH.jpg,95.4545454545,95.4545454545,726.363636364,726.363636364,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,j,0,0,0,0,0,0,0,NA,9,0,9,11,0,0,9,9,0,0,9,9,9,9,0,11,1,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,9,0,0,0,0,0,0,0,0,0,0,0,12/09/19 19:27:13,no,Matching Tasks,yes,no,,no,2_Orientation_PP_1.2.4_v7.osexp,C:\Users\memory lab\Dropbox\_!_Komputer_5\Object_Orientation_POL_001_komp_5,no,chinese-japanese-korean,no,18,no,#0000ff,no,Polish,yes,768,no,legacy,9,9,2,5,C:/Users/memory lab/Dropbox/_!_Komputer_5/Object_Orientation_POL_001_komp_5/2_Results_PP/2_PP_nrID_83.csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,yes,no,0,0,j,NA,NA,j,NA,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,f,NA,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,807,NA,NA,807,NA,NA,NA,NA,NA,802,NA,NA,NA,NA,NA,491,NA,NA,NA,NA,NA,19898,NA,NA,NA,NA,NA,2,legacy,no,1024,2,48000,-16,EXP,10,odd,no,no,NA,18937,4025,4026,17488,18927,18927,NA,NA,61469,78008,59140,38845,60656,78509,78006,18937,61469,78509,79318,NA,NA,38845,60633,50571,59138,50571,50571,38845,NA,NA,NA,NA,NA,60658,NA,NA,NA,NA,NA,59641,59641,60133,NA,50053,79818,NA,NA,NA,NA,NA,18938,NA,NA,NA,NA,NA,Orientation_PSA2018,21,15980,22,no,yes,1024
