"Identical","LAB_SEED","Orientation1","Orientation2","PPList","Picture1","Picture2","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_PL","correct_Target_response_Prac","correct_Welcome_PP_PL","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_DE","count_Start_E","count_Start_ELL","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_POR","count_Start_SC","count_Start_TC","count_Start_THAI","count_Start_TUR","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac","count_Target_response_wrong_Prac","count_Trial_logger","count_Welcome_PP_DE","count_Welcome_PP_E","count_Welcome_PP_ELL","count_Welcome_PP_HUN","count_Welcome_PP_NOR","count_Welcome_PP_PL","count_Welcome_PP_POR","count_Welcome_PP_SC","count_Welcome_PP_TC","count_Welcome_PP_THAI","count_Welcome_PP_TUR","datetime","de","description","disable_garbage_collection","ell","empty_column","en","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","hun","keyboard_backend","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","pol","por","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_DE","response_Start_E","response_Start_ELL","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_POR","response_Start_SC","response_Start_TC","response_Start_THAI","response_Start_TUR","response_Target_response_Prac","response_Welcome_PP_DE","response_Welcome_PP_E","response_Welcome_PP_ELL","response_Welcome_PP_HUN","response_Welcome_PP_NOR","response_Welcome_PP_PL","response_Welcome_PP_POR","response_Welcome_PP_SC","response_Welcome_PP_TC","response_Welcome_PP_THAI","response_Welcome_PP_TUR","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_DE","response_time_Start_E","response_time_Start_ELL","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_POR","response_time_Start_SC","response_time_Start_TC","response_time_Start_THAI","response_time_Start_TUR","response_time_Target_response_Prac","response_time_Welcome_PP_DE","response_time_Welcome_PP_E","response_time_Welcome_PP_ELL","response_time_Welcome_PP_HUN","response_time_Welcome_PP_NOR","response_time_Welcome_PP_PL","response_time_Welcome_PP_POR","response_time_Welcome_PP_SC","response_time_Welcome_PP_TC","response_time_Welcome_PP_THAI","response_time_Welcome_PP_TUR","round_decimals","sampler_backend","sc","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","tc","thai","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_DE","time_Start_E","time_Start_ELL","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_POR","time_Start_SC","time_Start_TC","time_Start_THAI","time_Start_TUR","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac","time_Target_response_wrong_Prac","time_Trial_logger","time_Welcome_PP_DE","time_Welcome_PP_E","time_Welcome_PP_ELL","time_Welcome_PP_HUN","time_Welcome_PP_NOR","time_Welcome_PP_PL","time_Welcome_PP_POR","time_Welcome_PP_SC","time_Welcome_PP_TC","time_Welcome_PP_THAI","time_Welcome_PP_TUR","title","total_correct","total_response_time","total_responses","tur","uniform_coordinates","width"
"F","2843","F","F","PP_LIST1.csv","piano.jpg","sutcse.jpg","100","100","722.714285714","722.714285714","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","0","0","0","0","0","0","0","0","0","0","0","0","12/14/19 15:26:18","no","Matching Tasks","yes","no","","no","2_Orientation_PP_1.2.4_v7.osexp","C:\Users\memory lab\Dropbox\_!_Komputer_3\Object_Orientation_POL_001_komp_3","no","chinese-japanese-korean","no","18","no","#0000ff","no","Polish","yes","768","no","legacy","0","0","1","5","C:/Users/memory lab/Dropbox/_!_Komputer_3/Object_Orientation_POL_001_komp_3/2_Results_PP/2_PP_nrID_32.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","yes","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","820","NA","NA","820","NA","NA","NA","NA","NA","1585","NA","NA","NA","NA","NA","497","NA","NA","NA","NA","NA","30943","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","32","even","no","no","NA","7078","2574","2574","5229","7070","7069","NA","NA","50239","50319","47122","38032","48645","50820","50318","7078","50239","50820","51641","NA","NA","38032","48621","38045","47120","38045","38045","38032","NA","NA","NA","NA","NA","48646","NA","NA","NA","NA","NA","47623","47623","48121","NA","NA","52141","NA","NA","NA","NA","NA","7080","NA","NA","NA","NA","NA","Orientation_PSA2018","7","5059","7","no","yes","1024"
"F","2843","F","F","PP_LIST1.csv","tiger.jpg","wndmil.jpg","100","100","724.25","724.25","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","1","0","1","5","0","0","1","1","0","0","1","1","1","1","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","1","0","0","0","0","0","0","0","0","0","0","0","12/14/19 15:26:18","no","Matching Tasks","yes","no","","no","2_Orientation_PP_1.2.4_v7.osexp","C:\Users\memory lab\Dropbox\_!_Komputer_3\Object_Orientation_POL_001_komp_3","no","chinese-japanese-korean","no","18","no","#0000ff","no","Polish","yes","768","no","legacy","1","1","1","5","C:/Users/memory lab/Dropbox/_!_Komputer_3/Object_Orientation_POL_001_komp_3/2_Results_PP/2_PP_nrID_32.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","yes","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","735","NA","NA","735","NA","NA","NA","NA","NA","1585","NA","NA","NA","NA","NA","497","NA","NA","NA","NA","NA","30943","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","32","even","no","no","NA","7078","2574","2574","5229","7070","7069","NA","NA","50239","52228","47122","38032","48645","52729","52227","7078","50239","52729","53465","NA","NA","38032","48621","38045","47120","38045","38045","38032","NA","NA","NA","NA","NA","48646","NA","NA","NA","NA","NA","47623","47623","48121","NA","NA","53965","NA","NA","NA","NA","NA","7080","NA","NA","NA","NA","NA","Orientation_PSA2018","8","5794","8","no","yes","1024"
"F","2843","F","F","PP_LIST1.csv","buggy.jpg","glass.jpg","100","100","718.777777778","718.777777778","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","2","0","2","5","0","0","2","2","0","0","2","2","2","2","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","2","0","0","0","0","0","0","0","0","0","0","0","12/14/19 15:26:18","no","Matching Tasks","yes","no","","no","2_Orientation_PP_1.2.4_v7.osexp","C:\Users\memory lab\Dropbox\_!_Komputer_3\Object_Orientation_POL_001_komp_3","no","chinese-japanese-korean","no","18","no","#0000ff","no","Polish","yes","768","no","legacy","2","2","1","5","C:/Users/memory lab/Dropbox/_!_Komputer_3/Object_Orientation_POL_001_komp_3/2_Results_PP/2_PP_nrID_32.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","yes","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","675","NA","NA","675","NA","NA","NA","NA","NA","1585","NA","NA","NA","NA","NA","497","NA","NA","NA","NA","NA","30943","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","32","even","no","no","NA","7078","2574","2574","5229","7070","7069","NA","NA","50239","54047","47122","38032","48645","54548","54045","7078","50239","54548","55225","NA","NA","38032","48621","38045","47120","38045","38045","38032","NA","NA","NA","NA","NA","48646","NA","NA","NA","NA","NA","47623","47623","48121","NA","NA","55725","NA","NA","NA","NA","NA","7080","NA","NA","NA","NA","NA","Orientation_PSA2018","9","6469","9","no","yes","1024"
"F","2843","F","F","PP_LIST1.csv","skirt.jpg","tlphon.jpg","100","100","701.7","701.7","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","3","0","3","5","0","0","3","3","0","0","3","3","3","3","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","3","0","0","0","0","0","0","0","0","0","0","0","12/14/19 15:26:18","no","Matching Tasks","yes","no","","no","2_Orientation_PP_1.2.4_v7.osexp","C:\Users\memory lab\Dropbox\_!_Komputer_3\Object_Orientation_POL_001_komp_3","no","chinese-japanese-korean","no","18","no","#0000ff","no","Polish","yes","768","no","legacy","3","3","1","5","C:/Users/memory lab/Dropbox/_!_Komputer_3/Object_Orientation_POL_001_komp_3/2_Results_PP/2_PP_nrID_32.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","yes","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","548","NA","NA","548","NA","NA","NA","NA","NA","1585","NA","NA","NA","NA","NA","497","NA","NA","NA","NA","NA","30943","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","32","even","no","no","NA","7078","2574","2574","5229","7070","7069","NA","NA","50239","55807","47122","38032","48645","56308","55806","7078","50239","56308","56857","NA","NA","38032","48621","38045","47120","38045","38045","38032","NA","NA","NA","NA","NA","48646","NA","NA","NA","NA","NA","47623","47623","48121","NA","NA","57357","NA","NA","NA","NA","NA","7080","NA","NA","NA","NA","NA","Orientation_PSA2018","10","7017","10","no","yes","1024"
"F","2843","F","F","PP_LIST1.csv","tlphon.jpg","knife.jpg","100","100","683.363636364","683.363636364","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","4","0","4","5","0","0","4","4","0","0","4","4","4","4","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","4","0","0","0","0","0","0","0","0","0","0","0","12/14/19 15:26:18","no","Matching Tasks","yes","no","","no","2_Orientation_PP_1.2.4_v7.osexp","C:\Users\memory lab\Dropbox\_!_Komputer_3\Object_Orientation_POL_001_komp_3","no","chinese-japanese-korean","no","18","no","#0000ff","no","Polish","yes","768","no","legacy","4","4","1","5","C:/Users/memory lab/Dropbox/_!_Komputer_3/Object_Orientation_POL_001_komp_3/2_Results_PP/2_PP_nrID_32.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","yes","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","500","NA","NA","500","NA","NA","NA","NA","NA","1585","NA","NA","NA","NA","NA","497","NA","NA","NA","NA","NA","30943","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","32","even","no","no","NA","7078","2574","2574","5229","7070","7069","NA","NA","50239","57438","47122","38032","48645","57939","57436","7078","50239","57939","58441","NA","NA","38032","48621","38045","47120","38045","38045","38032","NA","NA","NA","NA","NA","48646","NA","NA","NA","NA","NA","47623","47623","48121","NA","NA","58941","NA","NA","NA","NA","NA","7080","NA","NA","NA","NA","NA","Orientation_PSA2018","11","7517","11","no","yes","1024"
"N","2843","H","V","PP_LIST1.csv","nailH.jpg","nailV.jpg","100","100","693.333333333","693.333333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","5","0","5","5","0","0","5","5","0","0","5","5","5","5","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","5","0","0","0","0","0","0","0","0","0","0","0","12/14/19 15:26:18","no","Matching Tasks","yes","no","","no","2_Orientation_PP_1.2.4_v7.osexp","C:\Users\memory lab\Dropbox\_!_Komputer_3\Object_Orientation_POL_001_komp_3","no","chinese-japanese-korean","no","18","no","#0000ff","no","Polish","yes","768","no","legacy","5","5","1","5","C:/Users/memory lab/Dropbox/_!_Komputer_3/Object_Orientation_POL_001_komp_3/2_Results_PP/2_PP_nrID_32.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","yes","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","803","NA","NA","803","NA","NA","NA","NA","NA","1585","NA","NA","NA","NA","NA","497","NA","NA","NA","NA","NA","30943","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","32","even","no","no","NA","7078","2574","2574","5229","7070","7069","NA","NA","50239","59023","47122","38032","48645","59524","59022","7078","50239","59524","60329","NA","NA","38032","48621","38045","47120","38045","38045","38032","NA","NA","NA","NA","NA","48646","NA","NA","NA","NA","NA","47623","47623","48121","NA","NA","60829","NA","NA","NA","NA","NA","7080","NA","NA","NA","NA","NA","Orientation_PSA2018","12","8320","12","no","yes","1024"
"F","2843","F","F","PP_LIST1.csv","house.jpg","ring.jpg","100","100","694.461538462","694.461538462","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","6","0","6","5","0","0","6","6","0","0","6","6","6","6","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","6","0","0","0","0","0","0","0","0","0","0","0","12/14/19 15:26:18","no","Matching Tasks","yes","no","","no","2_Orientation_PP_1.2.4_v7.osexp","C:\Users\memory lab\Dropbox\_!_Komputer_3\Object_Orientation_POL_001_komp_3","no","chinese-japanese-korean","no","18","no","#0000ff","no","Polish","yes","768","no","legacy","6","6","1","5","C:/Users/memory lab/Dropbox/_!_Komputer_3/Object_Orientation_POL_001_komp_3/2_Results_PP/2_PP_nrID_32.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","yes","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","708","NA","NA","708","NA","NA","NA","NA","NA","1585","NA","NA","NA","NA","NA","497","NA","NA","NA","NA","NA","30943","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","32","even","no","no","NA","7078","2574","2574","5229","7070","7069","NA","NA","50239","60910","47122","38032","48645","61411","60908","7078","50239","61411","62121","NA","NA","38032","48621","38045","47120","38045","38045","38032","NA","NA","NA","NA","NA","48646","NA","NA","NA","NA","NA","47623","47623","48121","NA","NA","62621","NA","NA","NA","NA","NA","7080","NA","NA","NA","NA","NA","Orientation_PSA2018","13","9028","13","no","yes","1024"
"F","2843","F","F","PP_LIST1.csv","wrench.jpg","piano.jpg","100","100","692.071428571","692.071428571","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","7","0","7","5","0","0","7","7","0","0","7","7","7","7","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","7","0","0","0","0","0","0","0","0","0","0","0","12/14/19 15:26:18","no","Matching Tasks","yes","no","","no","2_Orientation_PP_1.2.4_v7.osexp","C:\Users\memory lab\Dropbox\_!_Komputer_3\Object_Orientation_POL_001_komp_3","no","chinese-japanese-korean","no","18","no","#0000ff","no","Polish","yes","768","no","legacy","7","7","1","5","C:/Users/memory lab/Dropbox/_!_Komputer_3/Object_Orientation_POL_001_komp_3/2_Results_PP/2_PP_nrID_32.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","yes","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","661","NA","NA","661","NA","NA","NA","NA","NA","1585","NA","NA","NA","NA","NA","497","NA","NA","NA","NA","NA","30943","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","32","even","no","no","NA","7078","2574","2574","5229","7070","7069","NA","NA","50239","62701","47122","38032","48645","63202","62700","7078","50239","63202","63865","NA","NA","38032","48621","38045","47120","38045","38045","38032","NA","NA","NA","NA","NA","48646","NA","NA","NA","NA","NA","47623","47623","48121","NA","NA","64365","NA","NA","NA","NA","NA","7080","NA","NA","NA","NA","NA","Orientation_PSA2018","14","9689","14","no","yes","1024"
"F","2843","F","F","PP_LIST1.csv","ladder.jpg","house.jpg","100","100","682.466666667","682.466666667","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","8","0","8","5","0","0","8","8","0","0","8","8","8","8","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","8","0","0","0","0","0","0","0","0","0","0","0","12/14/19 15:26:18","no","Matching Tasks","yes","no","","no","2_Orientation_PP_1.2.4_v7.osexp","C:\Users\memory lab\Dropbox\_!_Komputer_3\Object_Orientation_POL_001_komp_3","no","chinese-japanese-korean","no","18","no","#0000ff","no","Polish","yes","768","no","legacy","8","8","1","5","C:/Users/memory lab/Dropbox/_!_Komputer_3/Object_Orientation_POL_001_komp_3/2_Results_PP/2_PP_nrID_32.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","yes","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","548","NA","NA","548","NA","NA","NA","NA","NA","1585","NA","NA","NA","NA","NA","497","NA","NA","NA","NA","NA","30943","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","32","even","no","no","NA","7078","2574","2574","5229","7070","7069","NA","NA","50239","64446","47122","38032","48645","64947","64445","7078","50239","64947","65497","NA","NA","38032","48621","38045","47120","38045","38045","38032","NA","NA","NA","NA","NA","48646","NA","NA","NA","NA","NA","47623","47623","48121","NA","NA","65997","NA","NA","NA","NA","NA","7080","NA","NA","NA","NA","NA","Orientation_PSA2018","15","10237","15","no","yes","1024"
"N","2843","H","V","PP_LIST1.csv","keyH.jpg","keyV.jpg","100","100","678.125","678.125","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","9","0","9","5","0","0","9","9","0","0","9","9","9","9","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","9","0","0","0","0","0","0","0","0","0","0","0","12/14/19 15:26:18","no","Matching Tasks","yes","no","","no","2_Orientation_PP_1.2.4_v7.osexp","C:\Users\memory lab\Dropbox\_!_Komputer_3\Object_Orientation_POL_001_komp_3","no","chinese-japanese-korean","no","18","no","#0000ff","no","Polish","yes","768","no","legacy","9","9","1","5","C:/Users/memory lab/Dropbox/_!_Komputer_3/Object_Orientation_POL_001_komp_3/2_Results_PP/2_PP_nrID_32.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","yes","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","613","NA","NA","613","NA","NA","NA","NA","NA","1585","NA","NA","NA","NA","NA","497","NA","NA","NA","NA","NA","30943","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","32","even","no","no","NA","7078","2574","2574","5229","7070","7069","NA","NA","50239","66078","47122","38032","48645","66579","66076","7078","50239","66579","67193","NA","NA","38032","48621","38045","47120","38045","38045","38032","NA","NA","NA","NA","NA","48646","NA","NA","NA","NA","NA","47623","47623","48121","NA","NA","67693","NA","NA","NA","NA","NA","7080","NA","NA","NA","NA","NA","Orientation_PSA2018","16","10850","16","no","yes","1024"
