"LAB_SEED","List","Match","Orientation","PList","Probe","Target","Task","acc","accuracy","alt_task","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instruction_E","correct_Probe_Prac_response","correct_Probe_response","correct_Probe_sti_response","correct_Start_E","correct_Target_response","correct_Target_response_Prac","correct_Welcome_E","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_First_Fixation","count_First_Fixation_Prac","count_Instruction_DE","count_Instruction_E","count_Instruction_HUN","count_Instruction_NOR","count_Instruction_PL","count_Instruction_SC","count_Instruction_TC","count_Instruction_THAI","count_LAB_SEED","count_Language_Selection","count_List_Select_DE","count_List_Select_E","count_List_Select_HUN","count_List_Select_NOR","count_List_Select_PL","count_List_Select_SC","count_List_Select_TC","count_List_Select_THAI","count_List_Selection","count_Memory_loop","count_Memory_sequence","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Probe","count_Probe_Collect","count_Probe_Prac","count_Probe_Prac_response","count_Probe_import","count_Probe_response","count_Probe_sti","count_Probe_sti_correct","count_Probe_sti_response","count_Probe_sti_wrong","count_STUDY_order","count_Second_Fixation","count_Second_Fixation_Prac","count_Start_DE","count_Start_E","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_SC","count_Start_TC","count_Start_THAI","count_Target","count_Target_Prac","count_Target_response","count_Target_response_Prac","count_Target_response_correct","count_Target_response_correct_Prac","count_Target_response_noans","count_Target_response_noans_Prac","count_Target_response_wrong","count_Target_response_wrong_Prac","count_Trial_logger","count_Verification_Break","count_Verification_End","count_Verification_Exp","count_Verification_Prac","count_Verification_Start","count_Verification_Trial","count_Verification_Welcome","count_Verification_loop","count_Welcom_SC","count_Welcom_TC","count_Welcom_THAI","count_Welcome_DE","count_Welcome_E","count_Welcome_HUN","count_Welcome_NOR","count_Welcome_PL","count_presetup","datetime","de","description","disable_garbage_collection","empty_column","en","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","hun","keyboard_backend","live_row","live_row_Prac","live_row_Prac_loop","live_row_Verification_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","pol","rectarget","repeat_cycle","reset_loop","response","response_Instruction_DE","response_Instruction_E","response_Instruction_HUN","response_Instruction_NOR","response_Instruction_PL","response_Instruction_SC","response_Instruction_TC","response_Instruction_THAI","response_Probe_Prac_response","response_Probe_response","response_Probe_sti_response","response_Start_DE","response_Start_E","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_SC","response_Start_TC","response_Start_THAI","response_Target_response","response_Target_response_Prac","response_Verification_Break","response_Verification_End","response_Welcom_SC","response_Welcom_TC","response_Welcom_THAI","response_Welcome_DE","response_Welcome_E","response_Welcome_HUN","response_Welcome_NOR","response_Welcome_PL","response_time","response_time_Instruction_DE","response_time_Instruction_E","response_time_Instruction_HUN","response_time_Instruction_NOR","response_time_Instruction_PL","response_time_Instruction_SC","response_time_Instruction_TC","response_time_Instruction_THAI","response_time_Probe_Prac_response","response_time_Probe_response","response_time_Probe_sti_response","response_time_Start_DE","response_time_Start_E","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_SC","response_time_Start_TC","response_time_Start_THAI","response_time_Target_response","response_time_Target_response_Prac","response_time_Verification_Break","response_time_Verification_End","response_time_Welcom_SC","response_time_Welcom_TC","response_time_Welcom_THAI","response_time_Welcome_DE","response_time_Welcome_E","response_time_Welcome_HUN","response_time_Welcome_NOR","response_time_Welcome_PL","round_decimals","sampler_backend","sc","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","task_order","tc","thai","time_Check_This","time_Disable_Mouse","time_EXP","time_First_Fixation","time_First_Fixation_Prac","time_Instruction_DE","time_Instruction_E","time_Instruction_HUN","time_Instruction_NOR","time_Instruction_PL","time_Instruction_SC","time_Instruction_TC","time_Instruction_THAI","time_LAB_SEED","time_Language_Selection","time_List_Select_DE","time_List_Select_E","time_List_Select_HUN","time_List_Select_NOR","time_List_Select_PL","time_List_Select_SC","time_List_Select_TC","time_List_Select_THAI","time_List_Selection","time_Memory_loop","time_Memory_sequence","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Probe","time_Probe_Collect","time_Probe_Prac","time_Probe_Prac_response","time_Probe_import","time_Probe_response","time_Probe_sti","time_Probe_sti_correct","time_Probe_sti_response","time_Probe_sti_wrong","time_STUDY_order","time_Second_Fixation","time_Second_Fixation_Prac","time_Start_DE","time_Start_E","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_SC","time_Start_TC","time_Start_THAI","time_Target","time_Target_Prac","time_Target_response","time_Target_response_Prac","time_Target_response_correct","time_Target_response_correct_Prac","time_Target_response_noans","time_Target_response_noans_Prac","time_Target_response_wrong","time_Target_response_wrong_Prac","time_Trial_logger","time_Verification_Break","time_Verification_End","time_Verification_Exp","time_Verification_Prac","time_Verification_Start","time_Verification_Trial","time_Verification_Welcome","time_Verification_loop","time_Welcom_SC","time_Welcom_TC","time_Welcom_THAI","time_Welcome_DE","time_Welcome_E","time_Welcome_HUN","time_Welcome_NOR","time_Welcome_PL","time_presetup","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"2090","ENG_LIST3.csv","F","F","ENG_Prac1.csv","Grandmother baked a pancake for her granddaughter.","watch.jpg","V","41.6666666667","41.6666666667","[6, 9, 14, 19, 22, 25, 29, 35, 39, 43, 47]","3041.625","3041.625","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","0","10","2","10","2","2","0","0","0","10","10","NA","0","NA","NA","NA","NA","0","0","10","0","0","0","0","0","0","0","0","0","10","0","10","0","10","0","10","0","10","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10/31/19 16:35:19","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:/Users/PsySciAcc/Desktop/PSA 2-3","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","0","3","5","0","C:/Users/PsySciAcc/Desktop/PSA 2-3/PSA_001_sp_41.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","f","NA","space","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","f","f","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","564","NA","30680","NA","NA","NA","NA","NA","NA","2548","3533","NA","NA","11277","NA","NA","NA","NA","NA","NA","564","587","NA","NA","NA","NA","NA","NA","4878","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","41","odd","Yes","no","no","NA","33424","8878","176154","159166","NA","38315","NA","NA","NA","NA","NA","NA","8883","31073","NA","33384","NA","NA","NA","NA","NA","NA","33383","NA","NA","69033","164329","125943","159161","125943","125943","69033","177159","177159","160175","160175","NA","177160","NA","NA","NA","NA","NA","180699","162728","NA","164453","NA","NA","NA","NA","NA","NA","181206","163235","181207","163235","181777","163829","NA","94519","NA","125358","182277","NA","NA","175767","69033","164447","176149","33425","175768","NA","NA","NA","NA","33430","NA","NA","NA","175767","Orientation_PSA2018","10","72999","24","yes","1024"
"2090","ENG_LIST3.csv","N","V","ENG_Prac1.csv","The caterpillar inched along the lamp post.","caterpillarH.jpg","V","42.3076923077","42.3076923077","[6, 9, 14, 19, 22, 25, 29, 35, 39, 43, 47]","2882.92307692","2882.92307692","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","1","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","NA","0","10","2","10","2","2","0","1","1","10","10","NA","1","NA","NA","NA","NA","0","1","10","0","0","0","0","0","0","0","0","1","10","1","10","1","10","1","10","1","10","1","NA","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","10/31/19 16:35:19","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:/Users/PsySciAcc/Desktop/PSA 2-3","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","1","3","5","1","C:/Users/PsySciAcc/Desktop/PSA 2-3/PSA_001_sp_41.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","j","NA","space","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","j","f","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","691","NA","30680","NA","NA","NA","NA","NA","NA","2548","1266","NA","NA","11277","NA","NA","NA","NA","NA","NA","691","587","NA","NA","NA","NA","NA","NA","4878","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","41","odd","Yes","no","no","NA","33424","8878","182897","159166","NA","38315","NA","NA","NA","NA","NA","NA","8883","31073","NA","33384","NA","NA","NA","NA","NA","NA","33383","NA","NA","69033","164329","125943","159161","125943","125943","69033","183906","183906","160175","160175","NA","183907","NA","NA","NA","NA","NA","185179","162728","NA","164453","NA","NA","NA","NA","NA","NA","185687","163235","185687","163235","186383","163829","NA","94519","NA","125358","186884","NA","NA","175767","69033","164447","182893","33425","175768","NA","NA","NA","NA","33430","NA","NA","NA","175767","Orientation_PSA2018","11","74956","26","yes","1024"
"2090","ENG_LIST3.csv","Y","V","ENG_Prac1.csv","Derek held his bat high as the ball approached.","batV.jpg","V","42.8571428571","42.8571428571","[6, 9, 14, 19, 22, 25, 29, 35, 39, 43, 47]","2776.03571429","2776.03571429","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","2","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","NA","0","10","2","10","2","2","0","2","2","10","10","NA","2","NA","NA","NA","NA","0","2","10","0","0","0","0","0","0","0","0","2","10","2","10","2","10","2","10","2","10","2","NA","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","10/31/19 16:35:19","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:/Users/PsySciAcc/Desktop/PSA 2-3","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","2","3","5","2","C:/Users/PsySciAcc/Desktop/PSA 2-3/PSA_001_sp_41.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","j","NA","space","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","j","f","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","436","NA","30680","NA","NA","NA","NA","NA","NA","2548","2337","NA","NA","11277","NA","NA","NA","NA","NA","NA","436","587","NA","NA","NA","NA","NA","NA","4878","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","41","odd","Yes","no","no","NA","33424","8878","187421","159166","NA","38315","NA","NA","NA","NA","NA","NA","8883","31073","NA","33384","NA","NA","NA","NA","NA","NA","33383","NA","NA","69033","164329","125943","159161","125943","125943","69033","188427","188428","160175","160175","NA","188428","NA","NA","NA","NA","NA","190772","162728","NA","164453","NA","NA","NA","NA","NA","NA","191281","163235","191282","163235","191724","163829","NA","94519","NA","125358","192225","NA","NA","175767","69033","164447","187416","33425","175768","NA","NA","NA","NA","33430","NA","NA","NA","175767","Orientation_PSA2018","12","77729","28","yes","1024"
"2090","ENG_LIST3.csv","N","H","ENG_Prac1.csv","Sara situated the expensive plate on its mat on the table.","plateV.jpg","V","43.3333333333","43.3333333333","[6, 9, 14, 19, 22, 25, 29, 35, 39, 43, 47]","2734.66666667","2734.66666667","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","3","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","NA","0","10","2","10","2","2","0","3","3","10","10","NA","3","NA","NA","NA","NA","0","3","10","0","0","0","0","0","0","0","0","3","10","3","10","3","10","3","10","3","10","3","NA","3","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","10/31/19 16:35:19","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:/Users/PsySciAcc/Desktop/PSA 2-3","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","3","3","5","3","C:/Users/PsySciAcc/Desktop/PSA 2-3/PSA_001_sp_41.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","j","NA","space","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","j","f","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","572","NA","30680","NA","NA","NA","NA","NA","NA","2548","3739","NA","NA","11277","NA","NA","NA","NA","NA","NA","572","587","NA","NA","NA","NA","NA","NA","4878","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","41","odd","Yes","no","no","NA","33424","8878","192742","159166","NA","38315","NA","NA","NA","NA","NA","NA","8883","31073","NA","33384","NA","NA","NA","NA","NA","NA","33383","NA","NA","69033","164329","125943","159161","125943","125943","69033","193747","193747","160175","160175","NA","193748","NA","NA","NA","NA","NA","197493","162728","NA","164453","NA","NA","NA","NA","NA","NA","198002","163235","198003","163235","198582","163829","NA","94519","NA","125358","199082","NA","NA","175767","69033","164447","192737","33425","175768","NA","NA","NA","NA","33430","NA","NA","NA","175767","Orientation_PSA2018","13","82040","30","yes","1024"
"2090","ENG_LIST3.csv","F","F","ENG_Prac1.csv","The bartender poured another scotch for the salesman.","piano.jpg","V","43.75","43.75","[6, 9, 14, 19, 22, 25, 29, 35, 39, 43, 47]","2658.59375","2658.59375","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","4","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","NA","0","10","2","10","2","2","0","4","4","10","10","NA","4","NA","NA","NA","NA","0","4","10","0","0","0","0","0","0","0","0","4","10","4","10","4","10","4","10","4","10","4","NA","4","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","10/31/19 16:35:19","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:/Users/PsySciAcc/Desktop/PSA 2-3","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","4","3","5","4","C:/Users/PsySciAcc/Desktop/PSA 2-3/PSA_001_sp_41.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","f","NA","space","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","f","f","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","693","NA","30680","NA","NA","NA","NA","NA","NA","2548","2342","NA","NA","11277","NA","NA","NA","NA","NA","NA","693","587","NA","NA","NA","NA","NA","NA","4878","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","41","odd","Yes","no","no","NA","33424","8878","199613","159166","NA","38315","NA","NA","NA","NA","NA","NA","8883","31073","NA","33384","NA","NA","NA","NA","NA","NA","33383","NA","NA","69033","164329","125943","159161","125943","125943","69033","200617","200617","160175","160175","NA","200617","NA","NA","NA","NA","NA","202965","162728","NA","164453","NA","NA","NA","NA","NA","NA","203469","163235","203470","163235","204169","163829","NA","94519","NA","125358","204669","NA","NA","175767","69033","164447","199608","33425","175768","NA","NA","NA","NA","33430","NA","NA","NA","175767","Orientation_PSA2018","14","85075","32","yes","1024"
"2090","ENG_LIST3.csv","Y","H","ENG_Prac1.csv","The waiter knocked over the wineglass while admiring Maureen's gown.","glassH.jpg","V","44.1176470588","44.1176470588","[6, 9, 14, 19, 22, 25, 29, 35, 39, 43, 47]","2595.11764706","2595.11764706","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","5","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","NA","0","10","2","10","2","2","0","5","5","10","10","NA","5","NA","NA","NA","NA","0","5","10","0","0","0","0","0","0","0","0","5","10","5","10","5","10","5","10","5","10","5","NA","5","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","10/31/19 16:35:19","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:/Users/PsySciAcc/Desktop/PSA 2-3","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","5","3","5","5","C:/Users/PsySciAcc/Desktop/PSA 2-3/PSA_001_sp_41.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","j","NA","space","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","j","f","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","420","NA","30680","NA","NA","NA","NA","NA","NA","2548","2739","NA","NA","11277","NA","NA","NA","NA","NA","NA","420","587","NA","NA","NA","NA","NA","NA","4878","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","41","odd","Yes","no","no","NA","33424","8878","205213","159166","NA","38315","NA","NA","NA","NA","NA","NA","8883","31073","NA","33384","NA","NA","NA","NA","NA","NA","33383","NA","NA","69033","164329","125943","159161","125943","125943","69033","206218","206219","160175","160175","NA","206219","NA","NA","NA","NA","NA","208964","162728","NA","164453","NA","NA","NA","NA","NA","NA","209468","163235","209469","163235","209895","163829","NA","94519","NA","125358","210395","NA","NA","175767","69033","164447","205207","33425","175768","NA","NA","NA","NA","33430","NA","NA","NA","175767","Orientation_PSA2018","15","88234","34","yes","1024"
"2090","ENG_LIST3.csv","F","F","ENG_Prac1.csv","The taxi driver handed the receipt to the complaining passenger.","knife.jpg","V","44.4444444444","44.4444444444","[6, 9, 14, 19, 22, 25, 29, 35, 39, 43, 47]","2519.47222222","2519.47222222","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","6","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","NA","0","10","2","10","2","2","0","6","6","10","10","NA","6","NA","NA","NA","NA","0","6","10","0","0","0","0","0","0","0","0","6","10","6","10","6","10","6","10","6","10","6","NA","6","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","10/31/19 16:35:19","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:/Users/PsySciAcc/Desktop/PSA 2-3","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","6","3","5","6","C:/Users/PsySciAcc/Desktop/PSA 2-3/PSA_001_sp_41.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","f","NA","space","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","f","f","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","587","NA","30680","NA","NA","NA","NA","NA","NA","2548","1880","NA","NA","11277","NA","NA","NA","NA","NA","NA","587","587","NA","NA","NA","NA","NA","NA","4878","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","41","odd","Yes","no","no","NA","33424","8878","210899","159166","NA","38315","NA","NA","NA","NA","NA","NA","8883","31073","NA","33384","NA","NA","NA","NA","NA","NA","33383","NA","NA","69033","164329","125943","159161","125943","125943","69033","211905","211905","160175","160175","NA","211905","NA","NA","NA","NA","NA","213792","162728","NA","164453","NA","NA","NA","NA","NA","NA","214296","163235","214297","163235","214890","163829","NA","94519","NA","125358","215391","NA","NA","175767","69033","164447","210895","33425","175768","NA","NA","NA","NA","33430","NA","NA","NA","175767","Orientation_PSA2018","16","90701","36","yes","1024"
"2090","ENG_LIST3.csv","F","F","ENG_Prac1.csv","The taxi driver handed the receipt to the complaining passenger.","knife.jpg","M","43.2432432432","43.2432432432","[6, 9, 14, 19, 22, 25, 29, 35, 39, 43, 47]","2641.56756757","2641.56756757","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","0","undefined","1","1","undefined","6","f","0","0","0","6","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","10","2","10","2","2","0","6","6","10","10","0","6","0","0","0","0","0","6","10","0","0","0","0","0","0","0","0","6","10","6","10","6","10","6","10","6","10","7","NA","6","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","10/31/19 16:35:19","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:/Users/PsySciAcc/Desktop/PSA 2-3","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","0","3","5","6","C:/Users/PsySciAcc/Desktop/PSA 2-3/PSA_001_sp_41.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","Derek held his bat high as the ball approached.","0","0","j","NA","space","NA","NA","NA","NA","NA","NA","space","space","j","NA","space","NA","NA","NA","NA","NA","NA","f","f","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","7037","NA","30680","NA","NA","NA","NA","NA","NA","2548","1880","7037","NA","11277","NA","NA","NA","NA","NA","NA","587","587","NA","NA","NA","NA","NA","NA","4878","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","41","odd","Yes","no","no","NA","33424","8878","210899","159166","NA","38315","NA","NA","NA","NA","NA","NA","8883","31073","NA","33384","NA","NA","NA","NA","NA","NA","33383","215479","215717","69033","164329","125943","159161","125943","125943","69033","211905","211905","160175","160175","215717","211905","215722","NA","215722","222765","NA","213792","162728","NA","164453","NA","NA","NA","NA","NA","NA","214296","163235","214297","163235","214890","163829","NA","94519","NA","125358","224266","NA","NA","175767","69033","164447","210895","33425","175768","NA","NA","NA","NA","33430","NA","NA","NA","175767","Orientation_PSA2018","16","97738","37","yes","1024"
"2090","ENG_LIST3.csv","N","V","ENG_Prac1.csv","The race car driver fastened the fire-extinguisher onto the garage wall.","fire_extinguisherH.jpg","V","43.5897435897","43.5897435897","[6, 9, 14, 19, 22, 25, 29, 35, 39, 43, 47]","2645.05128205","2645.05128205","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","0","undefined","1","1","undefined","6","j","0","0","0","7","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","10","2","10","2","2","0","7","7","10","10","0","7","0","0","0","0","0","7","10","0","0","0","0","0","0","0","0","7","10","7","10","7","10","7","10","7","10","8","NA","7","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","10/31/19 16:35:19","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:/Users/PsySciAcc/Desktop/PSA 2-3","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","7","3","5","7","C:/Users/PsySciAcc/Desktop/PSA 2-3/PSA_001_sp_41.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","Derek held his bat high as the ball approached.","0","0","j","NA","space","NA","NA","NA","NA","NA","NA","space","space","j","NA","space","NA","NA","NA","NA","NA","NA","j","f","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","558","NA","30680","NA","NA","NA","NA","NA","NA","2548","4861","7037","NA","11277","NA","NA","NA","NA","NA","NA","558","587","NA","NA","NA","NA","NA","NA","4878","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","41","odd","Yes","no","no","NA","33424","8878","224803","159166","NA","38315","NA","NA","NA","NA","NA","NA","8883","31073","NA","33384","NA","NA","NA","NA","NA","NA","33383","215479","215717","69033","164329","125943","159161","125943","125943","69033","225808","225808","160175","160175","215717","225809","215722","NA","215722","222765","NA","230676","162728","NA","164453","NA","NA","NA","NA","NA","NA","231180","163235","231181","163235","231746","163829","NA","94519","NA","125358","232246","NA","NA","175767","69033","164447","224798","33425","175768","NA","NA","NA","NA","33430","NA","NA","NA","175767","Orientation_PSA2018","17","103157","39","yes","1024"
"2090","ENG_LIST3.csv","N","H","ENG_Prac1.csv","The young husband prepared to place the spare tire into the trunk.","tireV.jpg","V","43.9024390244","43.9024390244","[6, 9, 14, 19, 22, 25, 29, 35, 39, 43, 47]","2627.6097561","2627.6097561","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","0","undefined","1","1","undefined","6","j","0","0","0","8","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","10","2","10","2","2","0","8","8","10","10","0","8","0","0","0","0","0","8","10","0","0","0","0","0","0","0","0","8","10","8","10","8","10","8","10","8","10","9","NA","8","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","10/31/19 16:35:19","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:/Users/PsySciAcc/Desktop/PSA 2-3","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","8","3","5","8","C:/Users/PsySciAcc/Desktop/PSA 2-3/PSA_001_sp_41.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","Derek held his bat high as the ball approached.","0","0","j","NA","space","NA","NA","NA","NA","NA","NA","space","space","j","NA","space","NA","NA","NA","NA","NA","NA","j","f","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","570","NA","30680","NA","NA","NA","NA","NA","NA","2548","4005","7037","NA","11277","NA","NA","NA","NA","NA","NA","570","587","NA","NA","NA","NA","NA","NA","4878","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","41","odd","Yes","no","no","NA","33424","8878","232759","159166","NA","38315","NA","NA","NA","NA","NA","NA","8883","31073","NA","33384","NA","NA","NA","NA","NA","NA","33383","215479","215717","69033","164329","125943","159161","125943","125943","69033","233767","233767","160175","160175","215717","233768","215722","NA","215722","222765","NA","237779","162728","NA","164453","NA","NA","NA","NA","NA","NA","238284","163235","238284","163235","238861","163829","NA","94519","NA","125358","239361","NA","NA","175767","69033","164447","232754","33425","175768","NA","NA","NA","NA","33430","NA","NA","NA","175767","Orientation_PSA2018","18","107732","41","yes","1024"
