"ID","N","BF"
1,1,1
2,1,1
3,3,2.00170626221167
4,4,1.06125899650833
5,5,0.43974002102127
6,6,0.50021114914854
7,7,0.258673562222667
8,8,0.27201244919768
9,9,0.241913615284738
10,10,0.239250476458051
11,11,0.209088214146993
12,12,0.178498451798052
13,13,0.185582371968432
14,14,0.177887801633015
15,15,0.196665134992722
16,16,0.191892329434803
17,17,0.208099249992043
18,18,0.189017064985791
19,19,0.164393913867436
20,20,0.136281090225839
21,21,0.187959228344636
22,22,0.2374924086809
23,23,0.243937268926765
24,24,0.20716720825323
25,25,0.336057706980198
26,26,0.371978560674554
27,27,0.309234338694329
28,28,0.314052271417726
29,29,0.216788640665885
30,30,0.24047267243212
31,31,0.252106434105119
32,32,0.256460653004497
33,33,0.213757141358168
34,34,0.210041487969723
35,35,0.208506519828947
36,36,0.225907148332898
37,37,0.216837344399382
38,38,0.197138302696655
39,39,0.21509053792433
40,40,0.201729915629103
41,41,0.24340856927557
42,42,0.276735547371478
43,43,0.259756536168229
44,44,0.239071565793795
45,45,0.258293243743919
46,46,0.261940069810875
47,47,0.274621947703454
48,48,0.300545254413768
49,49,0.356333294078987
50,50,0.342577779682946
