"Identical","LAB_SEED","Orientation1","Orientation2","PPList","Picture1","Picture2","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_THAI","correct_Target_response_Prac","correct_Welcome_PP_THAI","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_DE","count_Start_E","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_SC","count_Start_TC","count_Start_THAI","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac","count_Target_response_wrong_Prac","count_Trial_logger","count_Welcome_PP_DE","count_Welcome_PP_E","count_Welcome_PP_HUN","count_Welcome_PP_NOR","count_Welcome_PP_PL","count_Welcome_PP_SC","count_Welcome_PP_TC","count_Welcome_PP_THAI","datetime","de","description","disable_garbage_collection","empty_column","en","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","hun","keyboard_backend","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","pol","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_DE","response_Start_E","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_SC","response_Start_TC","response_Start_THAI","response_Target_response_Prac","response_Welcome_PP_DE","response_Welcome_PP_E","response_Welcome_PP_HUN","response_Welcome_PP_NOR","response_Welcome_PP_PL","response_Welcome_PP_SC","response_Welcome_PP_TC","response_Welcome_PP_THAI","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_DE","response_time_Start_E","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_SC","response_time_Start_TC","response_time_Start_THAI","response_time_Target_response_Prac","response_time_Welcome_PP_DE","response_time_Welcome_PP_E","response_time_Welcome_PP_HUN","response_time_Welcome_PP_NOR","response_time_Welcome_PP_PL","response_time_Welcome_PP_SC","response_time_Welcome_PP_TC","response_time_Welcome_PP_THAI","round_decimals","sampler_backend","sc","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","tc","thai","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_DE","time_Start_E","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_SC","time_Start_TC","time_Start_THAI","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac","time_Target_response_wrong_Prac","time_Trial_logger","time_Welcome_PP_DE","time_Welcome_PP_E","time_Welcome_PP_HUN","time_Welcome_PP_NOR","time_Welcome_PP_PL","time_Welcome_PP_SC","time_Welcome_PP_TC","time_Welcome_PP_THAI","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"N","7236","H","V","PP_LIST3.csv","bookH.jpg","bookV.jpg","77.7777777778","77.7777777778","651.222222222","651.222222222","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","0","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","7","1","7","1","1","0","0","0","0","0","0","0","0","0","7","7","7","7","7","0","0","0","0","0","0","0","0","0","11/19/19 13:44:27","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Lenovo_502\Desktop\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","อักษรไทย","yes","768","no","legacy","0","0","2","5","C:/Users/Lenovo_502/Desktop/PSA002/data/THA_001_PP_3","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","F","NA","NA","F","NA","NA","NA","NA","NA","NA","NA","space","F","NA","NA","NA","NA","NA","NA","NA","space","649","NA","NA","649","NA","NA","NA","NA","NA","NA","NA","2859","655","NA","NA","NA","NA","NA","NA","NA","16260","2","legacy","no","1024","2","48000","-16","EXP","3","odd","no","yes","NA","9328","3422","3422","7516","9314","9314","NA","NA","42701","42828","38103","25604","39826","43334","42827","9328","42701","43334","NA","NA","43985","25604","39765","29204","38101","29204","29204","25604","NA","NA","NA","NA","NA","NA","NA","39828","38608","38608","39265","NA","28657","44485","NA","NA","NA","NA","NA","NA","NA","9330","Orientation_PSA2018","7","5861","9","yes","1024"
"N","7236","V","H","PP_LIST3.csv","crayonV.jpg","crayonH.jpg","80","80","659.4","659.4","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","1","0","1","7","0","0","1","1","0","0","1","1","1","1","0","7","1","7","1","1","0","0","0","0","0","0","0","0","0","7","7","7","7","7","1","0","0","0","0","0","0","0","0","11/19/19 13:44:27","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Lenovo_502\Desktop\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","อักษรไทย","yes","768","no","legacy","1","1","2","5","C:/Users/Lenovo_502/Desktop/PSA002/data/THA_001_PP_3","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","J","NA","NA","J","NA","NA","NA","NA","NA","NA","NA","space","F","NA","NA","NA","NA","NA","NA","NA","space","733","NA","NA","733","NA","NA","NA","NA","NA","NA","NA","2859","655","NA","NA","NA","NA","NA","NA","NA","16260","2","legacy","no","1024","2","48000","-16","EXP","3","odd","no","yes","NA","9328","3422","3422","7516","9314","9314","NA","NA","42701","44697","38103","25604","39826","45202","44695","9328","42701","45202","45937","NA","43985","25604","39765","29204","38101","29204","29204","25604","NA","NA","NA","NA","NA","NA","NA","39828","38608","38608","39265","NA","28657","46437","NA","NA","NA","NA","NA","NA","NA","9330","Orientation_PSA2018","8","6594","10","yes","1024"
"F","7236","F","F","PP_LIST3.csv","wrench.jpg","piano.jpg","81.8181818182","81.8181818182","671","671","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","2","0","2","7","0","0","2","2","0","0","2","2","2","2","0","7","1","7","1","1","0","0","0","0","0","0","0","0","0","7","7","7","7","7","2","0","0","0","0","0","0","0","0","11/19/19 13:44:27","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Lenovo_502\Desktop\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","อักษรไทย","yes","768","no","legacy","2","2","2","5","C:/Users/Lenovo_502/Desktop/PSA002/data/THA_001_PP_3","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","F","NA","NA","F","NA","NA","NA","NA","NA","NA","NA","space","F","NA","NA","NA","NA","NA","NA","NA","space","787","NA","NA","787","NA","NA","NA","NA","NA","NA","NA","2859","655","NA","NA","NA","NA","NA","NA","NA","16260","2","legacy","no","1024","2","48000","-16","EXP","3","odd","no","yes","NA","9328","3422","3422","7516","9314","9314","NA","NA","42701","46995","38103","25604","39826","47500","46993","9328","42701","47500","48289","NA","43985","25604","39765","29204","38101","29204","29204","25604","NA","NA","NA","NA","NA","NA","NA","39828","38608","38608","39265","NA","28657","48789","NA","NA","NA","NA","NA","NA","NA","9330","Orientation_PSA2018","9","7381","11","yes","1024"
"F","7236","F","F","PP_LIST3.csv","ftball.jpg","nut.jpg","83.3333333333","83.3333333333","693.5","693.5","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","3","0","3","7","0","0","3","3","0","0","3","3","3","3","0","7","1","7","1","1","0","0","0","0","0","0","0","0","0","7","7","7","7","7","3","0","0","0","0","0","0","0","0","11/19/19 13:44:27","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Lenovo_502\Desktop\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","อักษรไทย","yes","768","no","legacy","3","3","2","5","C:/Users/Lenovo_502/Desktop/PSA002/data/THA_001_PP_3","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","F","NA","NA","F","NA","NA","NA","NA","NA","NA","NA","space","F","NA","NA","NA","NA","NA","NA","NA","space","941","NA","NA","941","NA","NA","NA","NA","NA","NA","NA","2859","655","NA","NA","NA","NA","NA","NA","NA","16260","2","legacy","no","1024","2","48000","-16","EXP","3","odd","no","yes","NA","9328","3422","3422","7516","9314","9314","NA","NA","42701","49265","38103","25604","39826","49770","49263","9328","42701","49770","50713","NA","43985","25604","39765","29204","38101","29204","29204","25604","NA","NA","NA","NA","NA","NA","NA","39828","38608","38608","39265","NA","28657","51213","NA","NA","NA","NA","NA","NA","NA","9330","Orientation_PSA2018","10","8322","12","yes","1024"
"Y","7236","H","H","PP_LIST3.csv","nailH.jpg","nailH.jpg","84.6153846154","84.6153846154","694.692307692","694.692307692","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","4","0","4","7","0","0","4","4","0","0","4","4","4","4","0","7","1","7","1","1","0","0","0","0","0","0","0","0","0","7","7","7","7","7","4","0","0","0","0","0","0","0","0","11/19/19 13:44:27","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Lenovo_502\Desktop\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","อักษรไทย","yes","768","no","legacy","4","4","2","5","C:/Users/Lenovo_502/Desktop/PSA002/data/THA_001_PP_3","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","J","NA","NA","J","NA","NA","NA","NA","NA","NA","NA","space","F","NA","NA","NA","NA","NA","NA","NA","space","709","NA","NA","709","NA","NA","NA","NA","NA","NA","NA","2859","655","NA","NA","NA","NA","NA","NA","NA","16260","2","legacy","no","1024","2","48000","-16","EXP","3","odd","no","yes","NA","9328","3422","3422","7516","9314","9314","NA","NA","42701","51721","38103","25604","39826","52226","51719","9328","42701","52226","52937","NA","43985","25604","39765","29204","38101","29204","29204","25604","NA","NA","NA","NA","NA","NA","NA","39828","38608","38608","39265","NA","28657","53437","NA","NA","NA","NA","NA","NA","NA","9330","Orientation_PSA2018","11","9031","13","yes","1024"
"N","7236","V","H","PP_LIST3.csv","caterpillarV.jpg","caterpillarH.jpg","85.7142857143","85.7142857143","693.285714286","693.285714286","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","5","0","5","7","0","0","5","5","0","0","5","5","5","5","0","7","1","7","1","1","0","0","0","0","0","0","0","0","0","7","7","7","7","7","5","0","0","0","0","0","0","0","0","11/19/19 13:44:27","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Lenovo_502\Desktop\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","อักษรไทย","yes","768","no","legacy","5","5","2","5","C:/Users/Lenovo_502/Desktop/PSA002/data/THA_001_PP_3","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","J","NA","NA","J","NA","NA","NA","NA","NA","NA","NA","space","F","NA","NA","NA","NA","NA","NA","NA","space","675","NA","NA","675","NA","NA","NA","NA","NA","NA","NA","2859","655","NA","NA","NA","NA","NA","NA","NA","16260","2","legacy","no","1024","2","48000","-16","EXP","3","odd","no","yes","NA","9328","3422","3422","7516","9314","9314","NA","NA","42701","53994","38103","25604","39826","54499","53992","9328","42701","54499","55177","NA","43985","25604","39765","29204","38101","29204","29204","25604","NA","NA","NA","NA","NA","NA","NA","39828","38608","38608","39265","NA","28657","55677","NA","NA","NA","NA","NA","NA","NA","9330","Orientation_PSA2018","12","9706","14","yes","1024"
"F","7236","F","F","PP_LIST3.csv","mitten.jpg","needle.jpg","86.6666666667","86.6666666667","685.6","685.6","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","6","0","6","7","0","0","6","6","0","0","6","6","6","6","0","7","1","7","1","1","0","0","0","0","0","0","0","0","0","7","7","7","7","7","6","0","0","0","0","0","0","0","0","11/19/19 13:44:27","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Lenovo_502\Desktop\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","อักษรไทย","yes","768","no","legacy","6","6","2","5","C:/Users/Lenovo_502/Desktop/PSA002/data/THA_001_PP_3","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","F","NA","NA","F","NA","NA","NA","NA","NA","NA","NA","space","F","NA","NA","NA","NA","NA","NA","NA","space","578","NA","NA","578","NA","NA","NA","NA","NA","NA","NA","2859","655","NA","NA","NA","NA","NA","NA","NA","16260","2","legacy","no","1024","2","48000","-16","EXP","3","odd","no","yes","NA","9328","3422","3422","7516","9314","9314","NA","NA","42701","55843","38103","25604","39826","56349","55842","9328","42701","56349","56929","NA","43985","25604","39765","29204","38101","29204","29204","25604","NA","NA","NA","NA","NA","NA","NA","39828","38608","38608","39265","NA","28657","57429","NA","NA","NA","NA","NA","NA","NA","9330","Orientation_PSA2018","13","10284","15","yes","1024"
"F","7236","F","F","PP_LIST3.csv","tlphon.jpg","knife.jpg","87.5","87.5","686.375","686.375","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","7","0","7","7","0","0","7","7","0","0","7","7","7","7","0","7","1","7","1","1","0","0","0","0","0","0","0","0","0","7","7","7","7","7","7","0","0","0","0","0","0","0","0","11/19/19 13:44:27","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Lenovo_502\Desktop\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","อักษรไทย","yes","768","no","legacy","7","7","2","5","C:/Users/Lenovo_502/Desktop/PSA002/data/THA_001_PP_3","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","F","NA","NA","F","NA","NA","NA","NA","NA","NA","NA","space","F","NA","NA","NA","NA","NA","NA","NA","space","698","NA","NA","698","NA","NA","NA","NA","NA","NA","NA","2859","655","NA","NA","NA","NA","NA","NA","NA","16260","2","legacy","no","1024","2","48000","-16","EXP","3","odd","no","yes","NA","9328","3422","3422","7516","9314","9314","NA","NA","42701","57588","38103","25604","39826","58093","57586","9328","42701","58093","58793","NA","43985","25604","39765","29204","38101","29204","29204","25604","NA","NA","NA","NA","NA","NA","NA","39828","38608","38608","39265","NA","28657","59293","NA","NA","NA","NA","NA","NA","NA","9330","Orientation_PSA2018","14","10982","16","yes","1024"
"Y","7236","H","H","PP_LIST3.csv","ironH.jpg","ironH.jpg","88.2352941176","88.2352941176","687.647058824","687.647058824","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","8","0","8","7","0","0","8","8","0","0","8","8","8","8","0","7","1","7","1","1","0","0","0","0","0","0","0","0","0","7","7","7","7","7","8","0","0","0","0","0","0","0","0","11/19/19 13:44:27","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Lenovo_502\Desktop\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","อักษรไทย","yes","768","no","legacy","8","8","2","5","C:/Users/Lenovo_502/Desktop/PSA002/data/THA_001_PP_3","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","J","NA","NA","J","NA","NA","NA","NA","NA","NA","NA","space","F","NA","NA","NA","NA","NA","NA","NA","space","708","NA","NA","708","NA","NA","NA","NA","NA","NA","NA","2859","655","NA","NA","NA","NA","NA","NA","NA","16260","2","legacy","no","1024","2","48000","-16","EXP","3","odd","no","yes","NA","9328","3422","3422","7516","9314","9314","NA","NA","42701","59458","38103","25604","39826","59963","59456","9328","42701","59963","60673","NA","43985","25604","39765","29204","38101","29204","29204","25604","NA","NA","NA","NA","NA","NA","NA","39828","38608","38608","39265","NA","28657","61173","NA","NA","NA","NA","NA","NA","NA","9330","Orientation_PSA2018","15","11690","17","yes","1024"
"N","7236","H","V","PP_LIST3.csv","batH.jpg","batV.jpg","88.8888888889","88.8888888889","685.333333333","685.333333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","9","0","9","7","0","0","9","9","0","0","9","9","9","9","0","7","1","7","1","1","0","0","0","0","0","0","0","0","0","7","7","7","7","7","9","0","0","0","0","0","0","0","0","11/19/19 13:44:27","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Lenovo_502\Desktop\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","อักษรไทย","yes","768","no","legacy","9","9","2","5","C:/Users/Lenovo_502/Desktop/PSA002/data/THA_001_PP_3","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","J","NA","NA","J","NA","NA","NA","NA","NA","NA","NA","space","F","NA","NA","NA","NA","NA","NA","NA","space","646","NA","NA","646","NA","NA","NA","NA","NA","NA","NA","2859","655","NA","NA","NA","NA","NA","NA","NA","16260","2","legacy","no","1024","2","48000","-16","EXP","3","odd","no","yes","NA","9328","3422","3422","7516","9314","9314","NA","NA","42701","61343","38103","25604","39826","61848","61341","9328","42701","61848","62496","NA","43985","25604","39765","29204","38101","29204","29204","25604","NA","NA","NA","NA","NA","NA","NA","39828","38608","38608","39265","NA","28657","62997","NA","NA","NA","NA","NA","NA","NA","9330","Orientation_PSA2018","16","12336","18","yes","1024"
