"Identical","LAB_SEED","Orientation1","Orientation2","PPList","Picture1","Picture2","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_TUR","correct_Target_response_Prac","correct_Welcome_PP_TUR","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_DE","count_Start_E","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_POR","count_Start_SC","count_Start_TC","count_Start_THAI","count_Start_TUR","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac","count_Target_response_wrong_Prac","count_Trial_logger","count_Welcome_PP_DE","count_Welcome_PP_E","count_Welcome_PP_HUN","count_Welcome_PP_NOR","count_Welcome_PP_PL","count_Welcome_PP_POR","count_Welcome_PP_SC","count_Welcome_PP_TC","count_Welcome_PP_THAI","count_Welcome_PP_TUR","datetime","de","description","disable_garbage_collection","empty_column","en","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","hun","keyboard_backend","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","pol","por","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_DE","response_Start_E","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_POR","response_Start_SC","response_Start_TC","response_Start_THAI","response_Start_TUR","response_Target_response_Prac","response_Welcome_PP_DE","response_Welcome_PP_E","response_Welcome_PP_HUN","response_Welcome_PP_NOR","response_Welcome_PP_PL","response_Welcome_PP_POR","response_Welcome_PP_SC","response_Welcome_PP_TC","response_Welcome_PP_THAI","response_Welcome_PP_TUR","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_DE","response_time_Start_E","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_POR","response_time_Start_SC","response_time_Start_TC","response_time_Start_THAI","response_time_Start_TUR","response_time_Target_response_Prac","response_time_Welcome_PP_DE","response_time_Welcome_PP_E","response_time_Welcome_PP_HUN","response_time_Welcome_PP_NOR","response_time_Welcome_PP_PL","response_time_Welcome_PP_POR","response_time_Welcome_PP_SC","response_time_Welcome_PP_TC","response_time_Welcome_PP_THAI","response_time_Welcome_PP_TUR","round_decimals","sampler_backend","sc","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","tc","thai","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_DE","time_Start_E","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_POR","time_Start_SC","time_Start_TC","time_Start_THAI","time_Start_TUR","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac","time_Target_response_wrong_Prac","time_Trial_logger","time_Welcome_PP_DE","time_Welcome_PP_E","time_Welcome_PP_HUN","time_Welcome_PP_NOR","time_Welcome_PP_PL","time_Welcome_PP_POR","time_Welcome_PP_SC","time_Welcome_PP_TC","time_Welcome_PP_THAI","time_Welcome_PP_TUR","title","total_correct","total_response_time","total_responses","tur","uniform_coordinates","width"
"N","3024","V","H","PP_LIST3.csv","flashV.jpg","flashH.jpg","100","100","940.285714286","940.285714286","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","0","0","0","0","0","0","0","0","0","0","0","11/27/19 20:50:07","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\BELEMİR\Downloads","no","chinese-japanese-korean","no","18","no","#0000ff","no","Türkçe","yes","768","no","legacy","0","0","1","5","C:/Users/BELEMİR/Desktop/raw data/[TUR_007]_SP_[007].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","1566","NA","NA","1566","NA","NA","NA","NA","NA","NA","NA","NA","NA","1294","665","NA","NA","NA","NA","NA","NA","NA","NA","NA","4165","2","legacy","no","1024","2","48000","-16","EXP","7","odd","no","no","NA","14720","7353","7354","12702","14706","14706","NA","NA","31936","32142","28906","18900","30626","32645","32140","14720","31936","32645","34213","34718","NA","18901","30576","18922","28904","18922","18922","18901","NA","NA","NA","NA","NA","NA","NA","NA","NA","30629","29409","29409","30076","NA","NA","35219","NA","NA","NA","NA","NA","NA","NA","NA","NA","14723","Orientation_PSA2018","7","6582","7","yes","yes","1024"
"F","3024","F","F","PP_LIST3.csv","trmpet.jpg","tapedispenser.jpg","100","100","959.125","959.125","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","1","0","1","5","0","0","1","1","0","0","1","1","1","1","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","1","0","0","0","0","0","0","0","0","0","0","11/27/19 20:50:07","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\BELEMİR\Downloads","no","chinese-japanese-korean","no","18","no","#0000ff","no","Türkçe","yes","768","no","legacy","1","1","1","5","C:/Users/BELEMİR/Desktop/raw data/[TUR_007]_SP_[007].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","1091","NA","NA","1091","NA","NA","NA","NA","NA","NA","NA","NA","NA","1294","665","NA","NA","NA","NA","NA","NA","NA","NA","NA","4165","2","legacy","no","1024","2","48000","-16","EXP","7","odd","no","no","NA","14720","7353","7354","12702","14706","14706","NA","NA","31936","35389","28906","18900","30626","35891","35386","14720","31936","35891","36984","34718","NA","18901","30576","18922","28904","18922","18922","18901","NA","NA","NA","NA","NA","NA","NA","NA","NA","30629","29409","29409","30076","NA","NA","37484","NA","NA","NA","NA","NA","NA","NA","NA","NA","14723","Orientation_PSA2018","8","7673","8","yes","yes","1024"
"F","3024","F","F","PP_LIST3.csv","skirt.jpg","tlphon.jpg","100","100","937.444444444","937.444444444","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","2","0","2","5","0","0","2","2","0","0","2","2","2","2","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","2","0","0","0","0","0","0","0","0","0","0","11/27/19 20:50:07","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\BELEMİR\Downloads","no","chinese-japanese-korean","no","18","no","#0000ff","no","Türkçe","yes","768","no","legacy","2","2","1","5","C:/Users/BELEMİR/Desktop/raw data/[TUR_007]_SP_[007].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","764","NA","NA","764","NA","NA","NA","NA","NA","NA","NA","NA","NA","1294","665","NA","NA","NA","NA","NA","NA","NA","NA","NA","4165","2","legacy","no","1024","2","48000","-16","EXP","7","odd","no","no","NA","14720","7353","7354","12702","14706","14706","NA","NA","31936","37636","28906","18900","30626","38142","37634","14720","31936","38142","38909","34718","NA","18901","30576","18922","28904","18922","18922","18901","NA","NA","NA","NA","NA","NA","NA","NA","NA","30629","29409","29409","30076","NA","NA","39409","NA","NA","NA","NA","NA","NA","NA","NA","NA","14723","Orientation_PSA2018","9","8437","9","yes","yes","1024"
"Y","3024","H","H","PP_LIST3.csv","keyH.jpg","keyH.jpg","100","100","916.8","916.8","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","3","0","3","5","0","0","3","3","0","0","3","3","3","3","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","3","0","0","0","0","0","0","0","0","0","0","11/27/19 20:50:07","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\BELEMİR\Downloads","no","chinese-japanese-korean","no","18","no","#0000ff","no","Türkçe","yes","768","no","legacy","3","3","1","5","C:/Users/BELEMİR/Desktop/raw data/[TUR_007]_SP_[007].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","731","NA","NA","731","NA","NA","NA","NA","NA","NA","NA","NA","NA","1294","665","NA","NA","NA","NA","NA","NA","NA","NA","NA","4165","2","legacy","no","1024","2","48000","-16","EXP","7","odd","no","no","NA","14720","7353","7354","12702","14706","14706","NA","NA","31936","39552","28906","18900","30626","40058","39550","14720","31936","40058","40791","34718","NA","18901","30576","18922","28904","18922","18922","18901","NA","NA","NA","NA","NA","NA","NA","NA","NA","30629","29409","29409","30076","NA","NA","41291","NA","NA","NA","NA","NA","NA","NA","NA","NA","14723","Orientation_PSA2018","10","9168","10","yes","yes","1024"
"N","3024","V","H","PP_LIST3.csv","clothespinV.jpg","clothespinH.jpg","100","100","899.090909091","899.090909091","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","4","0","4","5","0","0","4","4","0","0","4","4","4","4","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","4","0","0","0","0","0","0","0","0","0","0","11/27/19 20:50:07","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\BELEMİR\Downloads","no","chinese-japanese-korean","no","18","no","#0000ff","no","Türkçe","yes","768","no","legacy","4","4","1","5","C:/Users/BELEMİR/Desktop/raw data/[TUR_007]_SP_[007].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","722","NA","NA","722","NA","NA","NA","NA","NA","NA","NA","NA","NA","1294","665","NA","NA","NA","NA","NA","NA","NA","NA","NA","4165","2","legacy","no","1024","2","48000","-16","EXP","7","odd","no","no","NA","14720","7353","7354","12702","14706","14706","NA","NA","31936","41473","28906","18900","30626","41978","41471","14720","31936","41978","42702","34718","NA","18901","30576","18922","28904","18922","18922","18901","NA","NA","NA","NA","NA","NA","NA","NA","NA","30629","29409","29409","30076","NA","NA","43202","NA","NA","NA","NA","NA","NA","NA","NA","NA","14723","Orientation_PSA2018","11","9890","11","yes","yes","1024"
"F","3024","F","F","PP_LIST3.csv","house.jpg","ring.jpg","100","100","887","887","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","5","0","5","5","0","0","5","5","0","0","5","5","5","5","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","5","0","0","0","0","0","0","0","0","0","0","11/27/19 20:50:07","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\BELEMİR\Downloads","no","chinese-japanese-korean","no","18","no","#0000ff","no","Türkçe","yes","768","no","legacy","5","5","1","5","C:/Users/BELEMİR/Desktop/raw data/[TUR_007]_SP_[007].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","754","NA","NA","754","NA","NA","NA","NA","NA","NA","NA","NA","NA","1294","665","NA","NA","NA","NA","NA","NA","NA","NA","NA","4165","2","legacy","no","1024","2","48000","-16","EXP","7","odd","no","no","NA","14720","7353","7354","12702","14706","14706","NA","NA","31936","43356","28906","18900","30626","43859","43354","14720","31936","43859","44615","34718","NA","18901","30576","18922","28904","18922","18922","18901","NA","NA","NA","NA","NA","NA","NA","NA","NA","30629","29409","29409","30076","NA","NA","45115","NA","NA","NA","NA","NA","NA","NA","NA","NA","14723","Orientation_PSA2018","12","10644","12","yes","yes","1024"
"N","3024","H","V","PP_LIST3.csv","axeH.jpg","axeV.jpg","100","100","860.615384615","860.615384615","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","6","0","6","5","0","0","6","6","0","0","6","6","6","6","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","6","0","0","0","0","0","0","0","0","0","0","11/27/19 20:50:07","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\BELEMİR\Downloads","no","chinese-japanese-korean","no","18","no","#0000ff","no","Türkçe","yes","768","no","legacy","6","6","1","5","C:/Users/BELEMİR/Desktop/raw data/[TUR_007]_SP_[007].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","544","NA","NA","544","NA","NA","NA","NA","NA","NA","NA","NA","NA","1294","665","NA","NA","NA","NA","NA","NA","NA","NA","NA","4165","2","legacy","no","1024","2","48000","-16","EXP","7","odd","no","no","NA","14720","7353","7354","12702","14706","14706","NA","NA","31936","45262","28906","18900","30626","45767","45260","14720","31936","45767","46313","34718","NA","18901","30576","18922","28904","18922","18922","18901","NA","NA","NA","NA","NA","NA","NA","NA","NA","30629","29409","29409","30076","NA","NA","46813","NA","NA","NA","NA","NA","NA","NA","NA","NA","14723","Orientation_PSA2018","13","11188","13","yes","yes","1024"
"F","3024","F","F","PP_LIST3.csv","buggy.jpg","glass.jpg","100","100","869.285714286","869.285714286","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","7","0","7","5","0","0","7","7","0","0","7","7","7","7","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","7","0","0","0","0","0","0","0","0","0","0","11/27/19 20:50:07","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\BELEMİR\Downloads","no","chinese-japanese-korean","no","18","no","#0000ff","no","Türkçe","yes","768","no","legacy","7","7","1","5","C:/Users/BELEMİR/Desktop/raw data/[TUR_007]_SP_[007].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","982","NA","NA","982","NA","NA","NA","NA","NA","NA","NA","NA","NA","1294","665","NA","NA","NA","NA","NA","NA","NA","NA","NA","4165","2","legacy","no","1024","2","48000","-16","EXP","7","odd","no","no","NA","14720","7353","7354","12702","14706","14706","NA","NA","31936","46960","28906","18900","30626","47462","46958","14720","31936","47462","48447","34718","NA","18901","30576","18922","28904","18922","18922","18901","NA","NA","NA","NA","NA","NA","NA","NA","NA","30629","29409","29409","30076","NA","NA","48947","NA","NA","NA","NA","NA","NA","NA","NA","NA","14723","Orientation_PSA2018","14","12170","14","yes","yes","1024"
"Y","3024","H","H","PP_LIST3.csv","guitarH.jpg","guitarH.jpg","100","100","870.866666667","870.866666667","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","8","0","8","5","0","0","8","8","0","0","8","8","8","8","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","8","0","0","0","0","0","0","0","0","0","0","11/27/19 20:50:07","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\BELEMİR\Downloads","no","chinese-japanese-korean","no","18","no","#0000ff","no","Türkçe","yes","768","no","legacy","8","8","1","5","C:/Users/BELEMİR/Desktop/raw data/[TUR_007]_SP_[007].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","893","NA","NA","893","NA","NA","NA","NA","NA","NA","NA","NA","NA","1294","665","NA","NA","NA","NA","NA","NA","NA","NA","NA","4165","2","legacy","no","1024","2","48000","-16","EXP","7","odd","no","no","NA","14720","7353","7354","12702","14706","14706","NA","NA","31936","49089","28906","18900","30626","49593","49087","14720","31936","49593","50489","34718","NA","18901","30576","18922","28904","18922","18922","18901","NA","NA","NA","NA","NA","NA","NA","NA","NA","30629","29409","29409","30076","NA","NA","50989","NA","NA","NA","NA","NA","NA","NA","NA","NA","14723","Orientation_PSA2018","15","13063","15","yes","yes","1024"
"Y","3024","V","V","PP_LIST3.csv","plateV.jpg","plateV.jpg","100","100","902.6875","902.6875","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","9","0","9","5","0","0","9","9","0","0","9","9","9","9","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","9","0","0","0","0","0","0","0","0","0","0","11/27/19 20:50:07","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\BELEMİR\Downloads","no","chinese-japanese-korean","no","18","no","#0000ff","no","Türkçe","yes","768","no","legacy","9","9","1","5","C:/Users/BELEMİR/Desktop/raw data/[TUR_007]_SP_[007].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","1380","NA","NA","1380","NA","NA","NA","NA","NA","NA","NA","NA","NA","1294","665","NA","NA","NA","NA","NA","NA","NA","NA","NA","4165","2","legacy","no","1024","2","48000","-16","EXP","7","odd","no","no","NA","14720","7353","7354","12702","14706","14706","NA","NA","31936","51145","28906","18900","30626","51650","51143","14720","31936","51651","53034","34718","NA","18901","30576","18922","28904","18922","18922","18901","NA","NA","NA","NA","NA","NA","NA","NA","NA","30629","29409","29409","30076","NA","NA","53534","NA","NA","NA","NA","NA","NA","NA","NA","NA","14723","Orientation_PSA2018","16","14443","16","yes","yes","1024"
