"Identical","LAB_SEED","Orientation1","Orientation2","PPList","Picture1","Picture2","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_SC","correct_Target_response_Prac","correct_Welcome_PP_SC","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_DE","count_Start_E","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_SC","count_Start_TC","count_Start_THAI","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac","count_Target_response_wrong_Prac","count_Trial_logger","count_Welcome_PP_DE","count_Welcome_PP_E","count_Welcome_PP_HUN","count_Welcome_PP_NOR","count_Welcome_PP_PL","count_Welcome_PP_SC","count_Welcome_PP_TC","count_Welcome_PP_THAI","datetime","de","description","disable_garbage_collection","empty_column","en","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","hun","keyboard_backend","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","pol","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_DE","response_Start_E","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_SC","response_Start_TC","response_Start_THAI","response_Target_response_Prac","response_Welcome_PP_DE","response_Welcome_PP_E","response_Welcome_PP_HUN","response_Welcome_PP_NOR","response_Welcome_PP_PL","response_Welcome_PP_SC","response_Welcome_PP_TC","response_Welcome_PP_THAI","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_DE","response_time_Start_E","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_SC","response_time_Start_TC","response_time_Start_THAI","response_time_Target_response_Prac","response_time_Welcome_PP_DE","response_time_Welcome_PP_E","response_time_Welcome_PP_HUN","response_time_Welcome_PP_NOR","response_time_Welcome_PP_PL","response_time_Welcome_PP_SC","response_time_Welcome_PP_TC","response_time_Welcome_PP_THAI","round_decimals","sampler_backend","sc","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","tc","thai","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_DE","time_Start_E","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_SC","time_Start_TC","time_Start_THAI","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac","time_Target_response_wrong_Prac","time_Trial_logger","time_Welcome_PP_DE","time_Welcome_PP_E","time_Welcome_PP_HUN","time_Welcome_PP_NOR","time_Welcome_PP_PL","time_Welcome_PP_SC","time_Welcome_PP_TC","time_Welcome_PP_THAI","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"F","5009","F","F","PP_LIST2.csv","house.jpg","ring.jpg","100","100","791.285714286","791.285714286","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","0","0","0","0","0","0","0","0","0","11/08/19 10:51:16","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","D:\TWN001","no","chinese-japanese-korean","no","18","no","#0000ff","no","简体中文","yes","768","no","legacy","0","0","1","5","TWN001_PP_24.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","space","NA","NA","j","NA","NA","NA","NA","NA","space","NA","NA","660","NA","NA","660","NA","NA","NA","NA","NA","1576","NA","NA","586","NA","NA","NA","NA","NA","11551","NA","NA","2","legacy","yes","1024","2","48000","-16","EXP","24","even","no","no","NA","8354","3046","3050","6634","8327","8327","NA","NA","33922","34073","30659","19930","32322","34577","34070","8355","33922","34577","35240","NA","NA","19930","32253","19968","30656","19968","19968","19930","NA","NA","NA","NA","NA","32325","NA","NA","31163","31163","31753","22928","NA","35741","NA","NA","NA","NA","NA","8358","NA","NA","Orientation_PSA2018","7","5539","7","yes","1024"
"F","5009","F","F","PP_LIST2.csv","mitten.jpg","needle.jpg","100","100","754.625","754.625","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","1","0","1","5","0","0","1","1","0","0","1","1","1","1","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","1","0","0","0","0","0","0","0","0","11/08/19 10:51:16","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","D:\TWN001","no","chinese-japanese-korean","no","18","no","#0000ff","no","简体中文","yes","768","no","legacy","1","1","1","5","TWN001_PP_24.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","space","NA","NA","j","NA","NA","NA","NA","NA","space","NA","NA","498","NA","NA","498","NA","NA","NA","NA","NA","1576","NA","NA","586","NA","NA","NA","NA","NA","11551","NA","NA","2","legacy","yes","1024","2","48000","-16","EXP","24","even","no","no","NA","8354","3046","3050","6634","8327","8327","NA","NA","33922","35971","30659","19930","32322","36475","35968","8355","33922","36475","36976","NA","NA","19930","32253","19968","30656","19968","19968","19930","NA","NA","NA","NA","NA","32325","NA","NA","31163","31163","31753","22928","NA","37477","NA","NA","NA","NA","NA","8358","NA","NA","Orientation_PSA2018","8","6037","8","yes","1024"
"N","5009","V","H","PP_LIST2.csv","nailV.jpg","nailH.jpg","88.8888888889","88.8888888889","717.777777778","717.777777778","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","0","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","2","0","2","5","0","0","2","2","0","0","2","2","2","2","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","2","0","0","0","0","0","0","0","0","11/08/19 10:51:16","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","D:\TWN001","no","chinese-japanese-korean","no","18","no","#0000ff","no","简体中文","yes","768","no","legacy","2","2","1","5","TWN001_PP_24.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","space","NA","NA","j","NA","NA","NA","NA","NA","space","NA","NA","423","NA","NA","423","NA","NA","NA","NA","NA","1576","NA","NA","586","NA","NA","NA","NA","NA","11551","NA","NA","2","legacy","yes","1024","2","48000","-16","EXP","24","even","no","no","NA","8354","3046","3050","6634","8327","8327","NA","NA","33922","37678","30659","19930","32322","38182","37675","8355","33922","38182","36976","NA","38608","19930","32253","19968","30656","19968","19968","19930","NA","NA","NA","NA","NA","32325","NA","NA","31163","31163","31753","22928","NA","39109","NA","NA","NA","NA","NA","8358","NA","NA","Orientation_PSA2018","8","6460","9","yes","1024"
"Y","5009","V","V","PP_LIST2.csv","batV.jpg","batV.jpg","90","90","695.4","695.4","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","3","0","3","5","0","0","3","3","0","0","3","3","3","3","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","3","0","0","0","0","0","0","0","0","11/08/19 10:51:16","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","D:\TWN001","no","chinese-japanese-korean","no","18","no","#0000ff","no","简体中文","yes","768","no","legacy","3","3","1","5","TWN001_PP_24.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","space","NA","NA","j","NA","NA","NA","NA","NA","space","NA","NA","494","NA","NA","494","NA","NA","NA","NA","NA","1576","NA","NA","586","NA","NA","NA","NA","NA","11551","NA","NA","2","legacy","yes","1024","2","48000","-16","EXP","24","even","no","no","NA","8354","3046","3050","6634","8327","8327","NA","NA","33922","39319","30659","19930","32322","39823","39316","8355","33922","39823","40320","NA","38608","19930","32253","19968","30656","19968","19968","19930","NA","NA","NA","NA","NA","32325","NA","NA","31163","31163","31753","22928","NA","40820","NA","NA","NA","NA","NA","8358","NA","NA","Orientation_PSA2018","9","6954","10","yes","1024"
"Y","5009","V","V","PP_LIST2.csv","bowlV.jpg","bowlV.jpg","90.9090909091","90.9090909091","673.363636364","673.363636364","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","4","0","4","5","0","0","4","4","0","0","4","4","4","4","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","4","0","0","0","0","0","0","0","0","11/08/19 10:51:16","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","D:\TWN001","no","chinese-japanese-korean","no","18","no","#0000ff","no","简体中文","yes","768","no","legacy","4","4","1","5","TWN001_PP_24.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","space","NA","NA","j","NA","NA","NA","NA","NA","space","NA","NA","453","NA","NA","453","NA","NA","NA","NA","NA","1576","NA","NA","586","NA","NA","NA","NA","NA","11551","NA","NA","2","legacy","yes","1024","2","48000","-16","EXP","24","even","no","no","NA","8354","3046","3050","6634","8327","8327","NA","NA","33922","41032","30659","19930","32322","41536","41029","8355","33922","41536","41992","NA","38608","19930","32253","19968","30656","19968","19968","19930","NA","NA","NA","NA","NA","32325","NA","NA","31163","31163","31753","22928","NA","42492","NA","NA","NA","NA","NA","8358","NA","NA","Orientation_PSA2018","10","7407","11","yes","1024"
"F","5009","F","F","PP_LIST2.csv","trmpet.jpg","tapedispenser.jpg","91.6666666667","91.6666666667","667.416666667","667.416666667","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","5","0","5","5","0","0","5","5","0","0","5","5","5","5","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","5","0","0","0","0","0","0","0","0","11/08/19 10:51:16","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","D:\TWN001","no","chinese-japanese-korean","no","18","no","#0000ff","no","简体中文","yes","768","no","legacy","5","5","1","5","TWN001_PP_24.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","space","NA","NA","j","NA","NA","NA","NA","NA","space","NA","NA","602","NA","NA","602","NA","NA","NA","NA","NA","1576","NA","NA","586","NA","NA","NA","NA","NA","11551","NA","NA","2","legacy","yes","1024","2","48000","-16","EXP","24","even","no","no","NA","8354","3046","3050","6634","8327","8327","NA","NA","33922","42692","30659","19930","32322","43196","42689","8355","33922","43196","43801","NA","38608","19930","32253","19968","30656","19968","19968","19930","NA","NA","NA","NA","NA","32325","NA","NA","31163","31163","31753","22928","NA","44301","NA","NA","NA","NA","NA","8358","NA","NA","Orientation_PSA2018","11","8009","12","yes","1024"
"Y","5009","H","H","PP_LIST2.csv","scssorH.jpg","scssorH.jpg","92.3076923077","92.3076923077","652","652","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","6","0","6","5","0","0","6","6","0","0","6","6","6","6","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","6","0","0","0","0","0","0","0","0","11/08/19 10:51:16","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","D:\TWN001","no","chinese-japanese-korean","no","18","no","#0000ff","no","简体中文","yes","768","no","legacy","6","6","1","5","TWN001_PP_24.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","space","NA","NA","j","NA","NA","NA","NA","NA","space","NA","NA","467","NA","NA","467","NA","NA","NA","NA","NA","1576","NA","NA","586","NA","NA","NA","NA","NA","11551","NA","NA","2","legacy","yes","1024","2","48000","-16","EXP","24","even","no","no","NA","8354","3046","3050","6634","8327","8327","NA","NA","33922","44515","30659","19930","32322","45019","44512","8355","33922","45019","45489","NA","38608","19930","32253","19968","30656","19968","19968","19930","NA","NA","NA","NA","NA","32325","NA","NA","31163","31163","31753","22928","NA","45989","NA","NA","NA","NA","NA","8358","NA","NA","Orientation_PSA2018","12","8476","13","yes","1024"
"F","5009","F","F","PP_LIST2.csv","tiger.jpg","wndmil.jpg","92.8571428571","92.8571428571","644.571428571","644.571428571","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","7","0","7","5","0","0","7","7","0","0","7","7","7","7","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","7","0","0","0","0","0","0","0","0","11/08/19 10:51:16","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","D:\TWN001","no","chinese-japanese-korean","no","18","no","#0000ff","no","简体中文","yes","768","no","legacy","7","7","1","5","TWN001_PP_24.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","space","NA","NA","j","NA","NA","NA","NA","NA","space","NA","NA","548","NA","NA","548","NA","NA","NA","NA","NA","1576","NA","NA","586","NA","NA","NA","NA","NA","11551","NA","NA","2","legacy","yes","1024","2","48000","-16","EXP","24","even","no","no","NA","8354","3046","3050","6634","8327","8327","NA","NA","33922","46201","30659","19930","32322","46705","46198","8355","33922","46705","47257","NA","38608","19930","32253","19968","30656","19968","19968","19930","NA","NA","NA","NA","NA","32325","NA","NA","31163","31163","31753","22928","NA","47757","NA","NA","NA","NA","NA","8358","NA","NA","Orientation_PSA2018","13","9024","14","yes","1024"
"F","5009","F","F","PP_LIST2.csv","sutcse.jpg","pumpkin.jpg","93.3333333333","93.3333333333","638.8","638.8","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","8","0","8","5","0","0","8","8","0","0","8","8","8","8","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","8","0","0","0","0","0","0","0","0","11/08/19 10:51:16","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","D:\TWN001","no","chinese-japanese-korean","no","18","no","#0000ff","no","简体中文","yes","768","no","legacy","8","8","1","5","TWN001_PP_24.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","space","NA","NA","j","NA","NA","NA","NA","NA","space","NA","NA","558","NA","NA","558","NA","NA","NA","NA","NA","1576","NA","NA","586","NA","NA","NA","NA","NA","11551","NA","NA","2","legacy","yes","1024","2","48000","-16","EXP","24","even","no","no","NA","8354","3046","3050","6634","8327","8327","NA","NA","33922","47967","30659","19930","32322","48471","47964","8355","33922","48471","49033","NA","38608","19930","32253","19968","30656","19968","19968","19930","NA","NA","NA","NA","NA","32325","NA","NA","31163","31163","31753","22928","NA","49533","NA","NA","NA","NA","NA","8358","NA","NA","Orientation_PSA2018","14","9582","15","yes","1024"
"N","5009","V","H","PP_LIST2.csv","pencilV.jpg","pencilH.jpg","93.75","93.75","635.3125","635.3125","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","9","0","9","5","0","0","9","9","0","0","9","9","9","9","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","9","0","0","0","0","0","0","0","0","11/08/19 10:51:16","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","D:\TWN001","no","chinese-japanese-korean","no","18","no","#0000ff","no","简体中文","yes","768","no","legacy","9","9","1","5","TWN001_PP_24.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","space","NA","NA","j","NA","NA","NA","NA","NA","space","NA","NA","583","NA","NA","583","NA","NA","NA","NA","NA","1576","NA","NA","586","NA","NA","NA","NA","NA","11551","NA","NA","2","legacy","yes","1024","2","48000","-16","EXP","24","even","no","no","NA","8354","3046","3050","6634","8327","8327","NA","NA","33922","49758","30659","19930","32322","50262","49755","8355","33922","50262","50849","NA","38608","19930","32253","19968","30656","19968","19968","19930","NA","NA","NA","NA","NA","32325","NA","NA","31163","31163","31753","22928","NA","51349","NA","NA","NA","NA","NA","8358","NA","NA","Orientation_PSA2018","15","10165","16","yes","1024"
