"Identical","LAB_SEED","Orientation1","Orientation2","PPList","Picture1","Picture2","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_TC","correct_Target_response_Prac","correct_Welcome_PP_TC","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_DE","count_Start_E","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_SC","count_Start_TC","count_Start_THAI","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac","count_Target_response_wrong_Prac","count_Trial_logger","count_Welcome_PP_DE","count_Welcome_PP_E","count_Welcome_PP_HUN","count_Welcome_PP_NOR","count_Welcome_PP_PL","count_Welcome_PP_SC","count_Welcome_PP_TC","count_Welcome_PP_THAI","datetime","de","description","disable_garbage_collection","empty_column","en","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","hun","keyboard_backend","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","pol","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_DE","response_Start_E","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_SC","response_Start_TC","response_Start_THAI","response_Target_response_Prac","response_Welcome_PP_DE","response_Welcome_PP_E","response_Welcome_PP_HUN","response_Welcome_PP_NOR","response_Welcome_PP_PL","response_Welcome_PP_SC","response_Welcome_PP_TC","response_Welcome_PP_THAI","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_DE","response_time_Start_E","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_SC","response_time_Start_TC","response_time_Start_THAI","response_time_Target_response_Prac","response_time_Welcome_PP_DE","response_time_Welcome_PP_E","response_time_Welcome_PP_HUN","response_time_Welcome_PP_NOR","response_time_Welcome_PP_PL","response_time_Welcome_PP_SC","response_time_Welcome_PP_TC","response_time_Welcome_PP_THAI","round_decimals","sampler_backend","sc","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","tc","thai","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_DE","time_Start_E","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_SC","time_Start_TC","time_Start_THAI","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac","time_Target_response_wrong_Prac","time_Trial_logger","time_Welcome_PP_DE","time_Welcome_PP_E","time_Welcome_PP_HUN","time_Welcome_PP_NOR","time_Welcome_PP_PL","time_Welcome_PP_SC","time_Welcome_PP_TC","time_Welcome_PP_THAI","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"F","5009","F","F","PP_LIST1.csv","house.jpg","ring.jpg","100","100","883.285714286","883.285714286","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","0","0","0","0","0","0","0","0","0","11/22/19 16:58:08","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","D:\TWN001","no","chinese-japanese-korean","no","18","no","#0000ff","no","繁體中文","yes","768","no","legacy","0","0","1","5","TWN001_PP_55.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","F","NA","NA","F","NA","NA","NA","NA","NA","NA","space","NA","J","NA","NA","NA","NA","NA","NA","J","NA","622","NA","NA","622","NA","NA","NA","NA","NA","NA","8496","NA","692","NA","NA","NA","NA","NA","NA","13094","NA","2","legacy","no","1024","2","48000","-16","EXP","55","odd","yes","no","NA","6549","2281","2284","5109","6533","6533","NA","NA","40881","40966","30609","19657","32372","41471","40964","6549","40881","41472","42096","NA","NA","19657","32308","19675","30607","19675","19675","19657","NA","NA","NA","NA","NA","NA","32374","NA","31114","31114","31807","22495","NA","42596","NA","NA","NA","NA","NA","NA","6551","NA","Orientation_PSA2018","7","6183","7","yes","1024"
"F","5009","F","F","PP_LIST1.csv","mitten.jpg","needle.jpg","100","100","845.625","845.625","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","1","0","1","5","0","0","1","1","0","0","1","1","1","1","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","1","0","0","0","0","0","0","0","0","11/22/19 16:58:08","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","D:\TWN001","no","chinese-japanese-korean","no","18","no","#0000ff","no","繁體中文","yes","768","no","legacy","1","1","1","5","TWN001_PP_55.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","F","NA","NA","F","NA","NA","NA","NA","NA","NA","space","NA","J","NA","NA","NA","NA","NA","NA","J","NA","582","NA","NA","582","NA","NA","NA","NA","NA","NA","8496","NA","692","NA","NA","NA","NA","NA","NA","13094","NA","2","legacy","no","1024","2","48000","-16","EXP","55","odd","yes","no","NA","6549","2281","2284","5109","6533","6533","NA","NA","40881","42815","30609","19657","32372","43320","42813","6549","40881","43320","43904","NA","NA","19657","32308","19675","30607","19675","19675","19657","NA","NA","NA","NA","NA","NA","32374","NA","31114","31114","31807","22495","NA","44404","NA","NA","NA","NA","NA","NA","6551","NA","Orientation_PSA2018","8","6765","8","yes","1024"
"N","5009","H","V","PP_LIST1.csv","nailH.jpg","nailV.jpg","100","100","846.555555556","846.555555556","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","2","0","2","5","0","0","2","2","0","0","2","2","2","2","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","2","0","0","0","0","0","0","0","0","11/22/19 16:58:08","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","D:\TWN001","no","chinese-japanese-korean","no","18","no","#0000ff","no","繁體中文","yes","768","no","legacy","2","2","1","5","TWN001_PP_55.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","J","NA","NA","J","NA","NA","NA","NA","NA","NA","space","NA","J","NA","NA","NA","NA","NA","NA","J","NA","854","NA","NA","854","NA","NA","NA","NA","NA","NA","8496","NA","692","NA","NA","NA","NA","NA","NA","13094","NA","2","legacy","no","1024","2","48000","-16","EXP","55","odd","yes","no","NA","6549","2281","2284","5109","6533","6533","NA","NA","40881","44551","30609","19657","32372","45056","44550","6549","40881","45056","45912","NA","NA","19657","32308","19675","30607","19675","19675","19657","NA","NA","NA","NA","NA","NA","32374","NA","31114","31114","31807","22495","NA","46412","NA","NA","NA","NA","NA","NA","6551","NA","Orientation_PSA2018","9","7619","9","yes","1024"
"Y","5009","H","H","PP_LIST1.csv","batH.jpg","batH.jpg","100","100","815.4","815.4","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","3","0","3","5","0","0","3","3","0","0","3","3","3","3","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","3","0","0","0","0","0","0","0","0","11/22/19 16:58:08","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","D:\TWN001","no","chinese-japanese-korean","no","18","no","#0000ff","no","繁體中文","yes","768","no","legacy","3","3","1","5","TWN001_PP_55.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","J","NA","NA","J","NA","NA","NA","NA","NA","NA","space","NA","J","NA","NA","NA","NA","NA","NA","J","NA","535","NA","NA","535","NA","NA","NA","NA","NA","NA","8496","NA","692","NA","NA","NA","NA","NA","NA","13094","NA","2","legacy","no","1024","2","48000","-16","EXP","55","odd","yes","no","NA","6549","2281","2284","5109","6533","6533","NA","NA","40881","46542","30609","19657","32372","47047","46540","6549","40881","47047","47584","NA","NA","19657","32308","19675","30607","19675","19675","19657","NA","NA","NA","NA","NA","NA","32374","NA","31114","31114","31807","22495","NA","48084","NA","NA","NA","NA","NA","NA","6551","NA","Orientation_PSA2018","10","8154","10","yes","1024"
"Y","5009","H","H","PP_LIST1.csv","bowlH.jpg","bowlH.jpg","100","100","799.272727273","799.272727273","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","4","0","4","5","0","0","4","4","0","0","4","4","4","4","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","4","0","0","0","0","0","0","0","0","11/22/19 16:58:08","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","D:\TWN001","no","chinese-japanese-korean","no","18","no","#0000ff","no","繁體中文","yes","768","no","legacy","4","4","1","5","TWN001_PP_55.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","J","NA","NA","J","NA","NA","NA","NA","NA","NA","space","NA","J","NA","NA","NA","NA","NA","NA","J","NA","638","NA","NA","638","NA","NA","NA","NA","NA","NA","8496","NA","692","NA","NA","NA","NA","NA","NA","13094","NA","2","legacy","no","1024","2","48000","-16","EXP","55","odd","yes","no","NA","6549","2281","2284","5109","6533","6533","NA","NA","40881","48247","30609","19657","32372","48752","48245","6549","40881","48752","49392","NA","NA","19657","32308","19675","30607","19675","19675","19657","NA","NA","NA","NA","NA","NA","32374","NA","31114","31114","31807","22495","NA","49892","NA","NA","NA","NA","NA","NA","6551","NA","Orientation_PSA2018","11","8792","11","yes","1024"
"F","5009","F","F","PP_LIST1.csv","trmpet.jpg","tapedispenser.jpg","100","100","796.166666667","796.166666667","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","5","0","5","5","0","0","5","5","0","0","5","5","5","5","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","5","0","0","0","0","0","0","0","0","11/22/19 16:58:08","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","D:\TWN001","no","chinese-japanese-korean","no","18","no","#0000ff","no","繁體中文","yes","768","no","legacy","5","5","1","5","TWN001_PP_55.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","F","NA","NA","F","NA","NA","NA","NA","NA","NA","space","NA","J","NA","NA","NA","NA","NA","NA","J","NA","762","NA","NA","762","NA","NA","NA","NA","NA","NA","8496","NA","692","NA","NA","NA","NA","NA","NA","13094","NA","2","legacy","no","1024","2","48000","-16","EXP","55","odd","yes","no","NA","6549","2281","2284","5109","6533","6533","NA","NA","40881","50043","30609","19657","32372","50548","50041","6549","40881","50548","51311","NA","NA","19657","32308","19675","30607","19675","19675","19657","NA","NA","NA","NA","NA","NA","32374","NA","31114","31114","31807","22495","NA","51812","NA","NA","NA","NA","NA","NA","6551","NA","Orientation_PSA2018","12","9554","12","yes","1024"
"N","5009","V","H","PP_LIST1.csv","scssorV.jpg","scssorH.jpg","100","100","780.461538462","780.461538462","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","6","0","6","5","0","0","6","6","0","0","6","6","6","6","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","6","0","0","0","0","0","0","0","0","11/22/19 16:58:08","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","D:\TWN001","no","chinese-japanese-korean","no","18","no","#0000ff","no","繁體中文","yes","768","no","legacy","6","6","1","5","TWN001_PP_55.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","J","NA","NA","J","NA","NA","NA","NA","NA","NA","space","NA","J","NA","NA","NA","NA","NA","NA","J","NA","592","NA","NA","592","NA","NA","NA","NA","NA","NA","8496","NA","692","NA","NA","NA","NA","NA","NA","13094","NA","2","legacy","no","1024","2","48000","-16","EXP","55","odd","yes","no","NA","6549","2281","2284","5109","6533","6533","NA","NA","40881","51965","30609","19657","32372","52469","51963","6549","40881","52469","53063","NA","NA","19657","32308","19675","30607","19675","19675","19657","NA","NA","NA","NA","NA","NA","32374","NA","31114","31114","31807","22495","NA","53563","NA","NA","NA","NA","NA","NA","6551","NA","Orientation_PSA2018","13","10146","13","yes","1024"
"F","5009","F","F","PP_LIST1.csv","tiger.jpg","wndmil.jpg","100","100","779.928571429","779.928571429","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","7","0","7","5","0","0","7","7","0","0","7","7","7","7","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","7","0","0","0","0","0","0","0","0","11/22/19 16:58:08","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","D:\TWN001","no","chinese-japanese-korean","no","18","no","#0000ff","no","繁體中文","yes","768","no","legacy","7","7","1","5","TWN001_PP_55.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","F","NA","NA","F","NA","NA","NA","NA","NA","NA","space","NA","J","NA","NA","NA","NA","NA","NA","J","NA","773","NA","NA","773","NA","NA","NA","NA","NA","NA","8496","NA","692","NA","NA","NA","NA","NA","NA","13094","NA","2","legacy","no","1024","2","48000","-16","EXP","55","odd","yes","no","NA","6549","2281","2284","5109","6533","6533","NA","NA","40881","53705","30609","19657","32372","54208","53704","6549","40881","54208","54983","NA","NA","19657","32308","19675","30607","19675","19675","19657","NA","NA","NA","NA","NA","NA","32374","NA","31114","31114","31807","22495","NA","55484","NA","NA","NA","NA","NA","NA","6551","NA","Orientation_PSA2018","14","10919","14","yes","1024"
"F","5009","F","F","PP_LIST1.csv","sutcse.jpg","pumpkin.jpg","100","100","779.133333333","779.133333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","8","0","8","5","0","0","8","8","0","0","8","8","8","8","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","8","0","0","0","0","0","0","0","0","11/22/19 16:58:08","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","D:\TWN001","no","chinese-japanese-korean","no","18","no","#0000ff","no","繁體中文","yes","768","no","legacy","8","8","1","5","TWN001_PP_55.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","F","NA","NA","F","NA","NA","NA","NA","NA","NA","space","NA","J","NA","NA","NA","NA","NA","NA","J","NA","768","NA","NA","768","NA","NA","NA","NA","NA","NA","8496","NA","692","NA","NA","NA","NA","NA","NA","13094","NA","2","legacy","no","1024","2","48000","-16","EXP","55","odd","yes","no","NA","6549","2281","2284","5109","6533","6533","NA","NA","40881","55667","30609","19657","32372","56172","55665","6549","40881","56173","56943","NA","NA","19657","32308","19675","30607","19675","19675","19657","NA","NA","NA","NA","NA","NA","32374","NA","31114","31114","31807","22495","NA","57443","NA","NA","NA","NA","NA","NA","6551","NA","Orientation_PSA2018","15","11687","15","yes","1024"
"N","5009","H","V","PP_LIST1.csv","pencilH.jpg","pencilV.jpg","100","100","765.6875","765.6875","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","9","0","9","5","0","0","9","9","0","0","9","9","9","9","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","9","0","0","0","0","0","0","0","0","11/22/19 16:58:08","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","D:\TWN001","no","chinese-japanese-korean","no","18","no","#0000ff","no","繁體中文","yes","768","no","legacy","9","9","1","5","TWN001_PP_55.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","0","0","J","NA","NA","J","NA","NA","NA","NA","NA","NA","space","NA","J","NA","NA","NA","NA","NA","NA","J","NA","564","NA","NA","564","NA","NA","NA","NA","NA","NA","8496","NA","692","NA","NA","NA","NA","NA","NA","13094","NA","2","legacy","no","1024","2","48000","-16","EXP","55","odd","yes","no","NA","6549","2281","2284","5109","6533","6533","NA","NA","40881","57592","30609","19657","32372","58097","57590","6549","40881","58098","58664","NA","NA","19657","32308","19675","30607","19675","19675","19657","NA","NA","NA","NA","NA","NA","32374","NA","31114","31114","31807","22495","NA","59164","NA","NA","NA","NA","NA","NA","6551","NA","Orientation_PSA2018","16","12251","16","yes","1024"
