"LAB_SEED","List","Match","Orientation","PList","Probe","Target","Task","acc","accuracy","alt_task","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instruction_TC","correct_Probe_Prac_response","correct_Probe_response","correct_Probe_sti_response","correct_Start_TC","correct_Target_response","correct_Target_response_Prac","correct_Welcom_TC","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EN_selection","count_EXP","count_First_Fixation","count_First_Fixation_Prac","count_Instruction_DE","count_Instruction_E","count_Instruction_HUN","count_Instruction_NOR","count_Instruction_PL","count_Instruction_SC","count_Instruction_TC","count_Instruction_THAI","count_Instruction_TUR","count_LAB_SEED","count_Language_Selection","count_List_Select_DE","count_List_Select_E","count_List_Select_HUN","count_List_Select_NOR","count_List_Select_PL","count_List_Select_SC","count_List_Select_TC","count_List_Select_THAI","count_List_Select_TUR","count_List_Selection","count_Memory_loop","count_Memory_sequence","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Probe","count_Probe_Collect","count_Probe_Prac","count_Probe_Prac_response","count_Probe_import","count_Probe_response","count_Probe_sti","count_Probe_sti_correct","count_Probe_sti_response","count_Probe_sti_wrong","count_STUDY_order","count_Second_Fixation","count_Second_Fixation_Prac","count_Start_DE","count_Start_E","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_SC","count_Start_TC","count_Start_THAI","count_Start_TUR","count_Target","count_Target_Prac","count_Target_response","count_Target_response_Prac","count_Target_response_correct","count_Target_response_correct_Prac","count_Target_response_noans","count_Target_response_noans_Prac","count_Target_response_wrong","count_Target_response_wrong_Prac","count_Trial_logger","count_Verification_Break","count_Verification_End","count_Verification_Exp","count_Verification_Prac","count_Verification_Start","count_Verification_Trial","count_Verification_Welcome","count_Verification_loop","count_Welcom_SC","count_Welcom_TC","count_Welcom_THAI","count_Welcom_TUR","count_Welcome_DE","count_Welcome_E","count_Welcome_HUN","count_Welcome_NOR","count_Welcome_PL","count_presetup","datetime","de","description","disable_garbage_collection","empty_column","en","en1","en2","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","hun","keyboard_backend","live_row","live_row_Prac","live_row_Prac_loop","live_row_Verification_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","pol","rectarget","repeat_cycle","reset_loop","response","response_Instruction_DE","response_Instruction_E","response_Instruction_HUN","response_Instruction_NOR","response_Instruction_PL","response_Instruction_SC","response_Instruction_TC","response_Instruction_THAI","response_Instruction_TUR","response_Probe_Prac_response","response_Probe_response","response_Probe_sti_response","response_Start_DE","response_Start_E","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_SC","response_Start_TC","response_Start_THAI","response_Start_TUR","response_Target_response","response_Target_response_Prac","response_Verification_Break","response_Verification_End","response_Welcom_SC","response_Welcom_TC","response_Welcom_THAI","response_Welcom_TUR","response_Welcome_DE","response_Welcome_E","response_Welcome_HUN","response_Welcome_NOR","response_Welcome_PL","response_time","response_time_Instruction_DE","response_time_Instruction_E","response_time_Instruction_HUN","response_time_Instruction_NOR","response_time_Instruction_PL","response_time_Instruction_SC","response_time_Instruction_TC","response_time_Instruction_THAI","response_time_Instruction_TUR","response_time_Probe_Prac_response","response_time_Probe_response","response_time_Probe_sti_response","response_time_Start_DE","response_time_Start_E","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_SC","response_time_Start_TC","response_time_Start_THAI","response_time_Start_TUR","response_time_Target_response","response_time_Target_response_Prac","response_time_Verification_Break","response_time_Verification_End","response_time_Welcom_SC","response_time_Welcom_TC","response_time_Welcom_THAI","response_time_Welcom_TUR","response_time_Welcome_DE","response_time_Welcome_E","response_time_Welcome_HUN","response_time_Welcome_NOR","response_time_Welcome_PL","round_decimals","sampler_backend","sc","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","task_order","tc","thai","time_Check_This","time_Disable_Mouse","time_EN_selection","time_EXP","time_First_Fixation","time_First_Fixation_Prac","time_Instruction_DE","time_Instruction_E","time_Instruction_HUN","time_Instruction_NOR","time_Instruction_PL","time_Instruction_SC","time_Instruction_TC","time_Instruction_THAI","time_Instruction_TUR","time_LAB_SEED","time_Language_Selection","time_List_Select_DE","time_List_Select_E","time_List_Select_HUN","time_List_Select_NOR","time_List_Select_PL","time_List_Select_SC","time_List_Select_TC","time_List_Select_THAI","time_List_Select_TUR","time_List_Selection","time_Memory_loop","time_Memory_sequence","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Probe","time_Probe_Collect","time_Probe_Prac","time_Probe_Prac_response","time_Probe_import","time_Probe_response","time_Probe_sti","time_Probe_sti_correct","time_Probe_sti_response","time_Probe_sti_wrong","time_STUDY_order","time_Second_Fixation","time_Second_Fixation_Prac","time_Start_DE","time_Start_E","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_SC","time_Start_TC","time_Start_THAI","time_Start_TUR","time_Target","time_Target_Prac","time_Target_response","time_Target_response_Prac","time_Target_response_correct","time_Target_response_correct_Prac","time_Target_response_noans","time_Target_response_noans_Prac","time_Target_response_wrong","time_Target_response_wrong_Prac","time_Trial_logger","time_Verification_Break","time_Verification_End","time_Verification_Exp","time_Verification_Prac","time_Verification_Start","time_Verification_Trial","time_Verification_Welcome","time_Verification_loop","time_Welcom_SC","time_Welcom_TC","time_Welcom_THAI","time_Welcom_TUR","time_Welcome_DE","time_Welcome_E","time_Welcome_HUN","time_Welcome_NOR","time_Welcome_PL","time_presetup","title","total_correct","total_response_time","total_responses","tur","uniform_coordinates","width"
"5009","TC_List01.csv","F","F","TC_Prac2.csv","青蛙吐出舌頭捕抓蒼蠅。","stove.jpg","V","38.2352941176","38.2352941176","[5, 10, 13, 19, 21, 26, 30, 35, 39, 43, 46]","1199.17647059","1199.17647059","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","0","15","4","15","4","4","0","0","0","15","15","NA","0","NA","NA","NA","NA","0","0","15","0","0","0","0","0","0","0","0","0","0","15","0","15","0","15","0","15","0","15","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10/30/19 16:35:46","no","Matching Tasks","yes","","no","no","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","D:\TWN001","no","chinese-japanese-korean","no","18","no","#0000ff","no","繁體中文","yes","768","no","legacy","0","5","5","0","TWN001_SP_11.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","F","NA","NA","NA","NA","NA","NA","space","NA","NA","space","space","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","F","F","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","637","NA","NA","NA","NA","NA","NA","22159","NA","NA","969","1100","NA","NA","NA","NA","NA","NA","NA","6197","NA","NA","637","610","NA","NA","NA","5963","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","11","odd","Yes","yes","no","NA","12650","NA","4007","122156","112117","NA","NA","NA","NA","NA","NA","18618","NA","NA","4010","8535","NA","NA","NA","NA","NA","NA","12626","NA","NA","12625","NA","NA","40796","115710","91696","112115","91696","91696","40796","123161","123161","113121","113121","NA","123162","NA","NA","NA","NA","NA","124265","114093","NA","NA","NA","NA","NA","NA","115780","NA","NA","124769","114597","124770","114597","125410","115210","NA","73929","NA","91143","125910","NA","NA","121996","40795","115777","122154","12650","121996","NA","12653","NA","NA","NA","NA","NA","NA","NA","121996","Orientation_PSA2018","13","40772","34","no","yes","1024"
"5009","TC_List01.csv","Y","H","TC_Prac2.csv","圖書館員把書放回了桌上。","bookH.jpg","V","38.8888888889","38.8888888889","[5, 10, 13, 19, 21, 26, 30, 35, 39, 43, 46]","1172.11111111","1172.11111111","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","0","1","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","NA","0","15","4","15","4","4","0","1","1","15","15","NA","1","NA","NA","NA","NA","0","1","15","0","0","0","0","0","0","0","0","0","1","15","1","15","1","15","1","15","1","15","1","NA","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","10/30/19 16:35:46","no","Matching Tasks","yes","","no","no","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","D:\TWN001","no","chinese-japanese-korean","no","18","no","#0000ff","no","繁體中文","yes","768","no","legacy","1","5","5","1","TWN001_SP_11.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","J","NA","NA","NA","NA","NA","NA","space","NA","NA","space","space","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","J","F","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","673","NA","NA","NA","NA","NA","NA","22159","NA","NA","969","751","NA","NA","NA","NA","NA","NA","NA","6197","NA","NA","673","610","NA","NA","NA","5963","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","11","odd","Yes","yes","no","NA","12650","NA","4007","126176","112117","NA","NA","NA","NA","NA","NA","18618","NA","NA","4010","8535","NA","NA","NA","NA","NA","NA","12626","NA","NA","12625","NA","NA","40796","115710","91696","112115","91696","91696","40796","127180","127180","113121","113121","NA","127181","NA","NA","NA","NA","NA","127935","114093","NA","NA","NA","NA","NA","NA","115780","NA","NA","128439","114597","128439","114597","129115","115210","NA","73929","NA","91143","129615","NA","NA","121996","40795","115777","126174","12650","121996","NA","12653","NA","NA","NA","NA","NA","NA","NA","121996","Orientation_PSA2018","14","42196","36","no","yes","1024"
"5009","TC_List01.csv","F","F","TC_Prac2.csv","剛出生的小熊吸引大量遊客，讓動物園比平常更擁擠。","skirt.jpg","V","39.4736842105","39.4736842105","[5, 10, 13, 19, 21, 26, 30, 35, 39, 43, 46]","1165.60526316","1165.60526316","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","0","2","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","NA","0","15","4","15","4","4","0","2","2","15","15","NA","2","NA","NA","NA","NA","0","2","15","0","0","0","0","0","0","0","0","0","2","15","2","15","2","15","2","15","2","15","2","NA","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","10/30/19 16:35:46","no","Matching Tasks","yes","","no","no","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","D:\TWN001","no","chinese-japanese-korean","no","18","no","#0000ff","no","繁體中文","yes","768","no","legacy","2","5","5","2","TWN001_SP_11.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","F","NA","NA","NA","NA","NA","NA","space","NA","NA","space","space","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","F","F","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","571","NA","NA","NA","NA","NA","NA","22159","NA","NA","969","1526","NA","NA","NA","NA","NA","NA","NA","6197","NA","NA","571","610","NA","NA","NA","5963","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","11","odd","Yes","yes","no","NA","12650","NA","4007","129850","112117","NA","NA","NA","NA","NA","NA","18618","NA","NA","4010","8535","NA","NA","NA","NA","NA","NA","12626","NA","NA","12625","NA","NA","40796","115710","91696","112115","91696","91696","40796","130854","130854","113121","113121","NA","130855","NA","NA","NA","NA","NA","132384","114093","NA","NA","NA","NA","NA","NA","115780","NA","NA","132888","114597","132889","114597","133463","115210","NA","73929","NA","91143","133963","NA","NA","121996","40795","115777","129848","12650","121996","NA","12653","NA","NA","NA","NA","NA","NA","NA","121996","Orientation_PSA2018","15","44293","38","no","yes","1024"
"5009","TC_List01.csv","F","F","TC_Prac2.csv","世明為女友買了一只美麗的戒指，希望她會答應婚事。","house.jpg","V","40","40","[5, 10, 13, 19, 21, 26, 30, 35, 39, 43, 46]","1178.05","1178.05","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","0","3","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","NA","0","15","4","15","4","4","0","3","3","15","15","NA","3","NA","NA","NA","NA","0","3","15","0","0","0","0","0","0","0","0","0","3","15","3","15","3","15","3","15","3","15","3","NA","3","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","10/30/19 16:35:46","no","Matching Tasks","yes","","no","no","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","D:\TWN001","no","chinese-japanese-korean","no","18","no","#0000ff","no","繁體中文","yes","768","no","legacy","3","5","5","3","TWN001_SP_11.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","F","NA","NA","NA","NA","NA","NA","space","NA","NA","space","space","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","F","F","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","1405","NA","NA","NA","NA","NA","NA","22159","NA","NA","969","1424","NA","NA","NA","NA","NA","NA","NA","6197","NA","NA","1405","610","NA","NA","NA","5963","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","11","odd","Yes","yes","no","NA","12650","NA","4007","134182","112117","NA","NA","NA","NA","NA","NA","18618","NA","NA","4010","8535","NA","NA","NA","NA","NA","NA","12626","NA","NA","12625","NA","NA","40796","115710","91696","112115","91696","91696","40796","135186","135186","113121","113121","NA","135187","NA","NA","NA","NA","NA","136614","114093","NA","NA","NA","NA","NA","NA","115780","NA","NA","137118","114597","137118","114597","138526","115210","NA","73929","NA","91143","139026","NA","NA","121996","40795","115777","134180","12650","121996","NA","12653","NA","NA","NA","NA","NA","NA","NA","121996","Orientation_PSA2018","16","47122","40","no","yes","1024"
"5009","TC_List01.csv","N","H","TC_Prac2.csv","少女一邊將梳子收進包包裡，一邊期待著派對。","brushV.jpg","V","40.4761904762","40.4761904762","[5, 10, 13, 19, 21, 26, 30, 35, 39, 43, 46]","1201.9047619","1201.9047619","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","0","4","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","NA","0","15","4","15","4","4","0","4","4","15","15","NA","4","NA","NA","NA","NA","0","4","15","0","0","0","0","0","0","0","0","0","4","15","4","15","4","15","4","15","4","15","4","NA","4","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","10/30/19 16:35:46","no","Matching Tasks","yes","","no","no","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","D:\TWN001","no","chinese-japanese-korean","no","18","no","#0000ff","no","繁體中文","yes","768","no","legacy","4","5","5","4","TWN001_SP_11.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","J","NA","NA","NA","NA","NA","NA","space","NA","NA","space","space","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","J","F","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","1675","NA","NA","NA","NA","NA","NA","22159","NA","NA","969","1683","NA","NA","NA","NA","NA","NA","NA","6197","NA","NA","1675","610","NA","NA","NA","5963","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","11","odd","Yes","yes","no","NA","12650","NA","4007","139244","112117","NA","NA","NA","NA","NA","NA","18618","NA","NA","4010","8535","NA","NA","NA","NA","NA","NA","12626","NA","NA","12625","NA","NA","40796","115710","91696","112115","91696","91696","40796","140248","140248","113121","113121","NA","140249","NA","NA","NA","NA","NA","141935","114093","NA","NA","NA","NA","NA","NA","115780","NA","NA","142439","114597","142440","114597","144118","115210","144622","73929","NA","91143","145122","NA","NA","121996","40795","115777","139241","12650","121996","NA","12653","NA","NA","NA","NA","NA","NA","NA","121996","Orientation_PSA2018","17","50480","42","no","yes","1024"
"5009","TC_List01.csv","Y","H","TC_Prac2.csv","伐木工贏得擲斧比賽，把斧頭插在樹墩上。","axeH.jpg","V","40.9090909091","40.9090909091","[5, 10, 13, 19, 21, 26, 30, 35, 39, 43, 46]","1203.47727273","1203.47727273","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","0","5","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","NA","0","15","4","15","4","4","0","5","5","15","15","NA","5","NA","NA","NA","NA","0","5","15","0","0","0","0","0","0","0","0","0","5","15","5","15","5","15","5","15","5","15","5","NA","5","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","10/30/19 16:35:46","no","Matching Tasks","yes","","no","no","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","D:\TWN001","no","chinese-japanese-korean","no","18","no","#0000ff","no","繁體中文","yes","768","no","legacy","5","5","5","5","TWN001_SP_11.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","J","NA","NA","NA","NA","NA","NA","space","NA","NA","space","space","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","J","F","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","634","NA","NA","NA","NA","NA","NA","22159","NA","NA","969","1839","NA","NA","NA","NA","NA","NA","NA","6197","NA","NA","634","610","NA","NA","NA","5963","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","11","odd","Yes","yes","no","NA","12650","NA","4007","145349","112117","NA","NA","NA","NA","NA","NA","18618","NA","NA","4010","8535","NA","NA","NA","NA","NA","NA","12626","NA","NA","12625","NA","NA","40796","115710","91696","112115","91696","91696","40796","146353","146353","113121","113121","NA","146354","NA","NA","NA","NA","NA","148196","114093","NA","NA","NA","NA","NA","NA","115780","NA","NA","148700","114597","148700","114597","149338","115210","144622","73929","NA","91143","149838","NA","NA","121996","40795","115777","145346","12650","121996","NA","12653","NA","NA","NA","NA","NA","NA","NA","121996","Orientation_PSA2018","18","52953","44","no","yes","1024"
"5009","TC_List01.csv","Y","H","TC_Prac2.csv","伐木工贏得擲斧比賽，把斧頭插在樹墩上。","axeH.jpg","M","42.2222222222","42.2222222222","[5, 10, 13, 19, 21, 26, 30, 35, 39, 43, 46]","1289.42222222","1289.42222222","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","1","undefined","1","1","undefined","6","f","0","0","0","0","5","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","15","4","15","4","4","0","5","5","15","15","0","5","0","0","0","0","0","5","15","0","0","0","0","0","0","0","0","0","5","15","5","15","5","15","5","15","5","15","6","NA","5","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","10/30/19 16:35:46","no","Matching Tasks","yes","","no","no","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","D:\TWN001","no","chinese-japanese-korean","no","18","no","#0000ff","no","繁體中文","yes","768","no","legacy","0","5","5","5","TWN001_SP_11.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","圖書館員把書放回了桌上。","0","0","F","NA","NA","NA","NA","NA","NA","space","NA","NA","space","space","F","NA","NA","NA","NA","NA","NA","space","NA","NA","J","F","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","5071","NA","NA","NA","NA","NA","NA","22159","NA","NA","969","1839","5071","NA","NA","NA","NA","NA","NA","6197","NA","NA","634","610","NA","NA","NA","5963","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","11","odd","Yes","yes","no","NA","12650","NA","4007","145349","112117","NA","NA","NA","NA","NA","NA","18618","NA","NA","4010","8535","NA","NA","NA","NA","NA","NA","12626","NA","NA","12625","149884","149978","40796","115710","91696","112115","91696","91696","40796","146353","146353","113121","113121","149978","146354","149981","155055","149981","NA","NA","148196","114093","NA","NA","NA","NA","NA","NA","115780","NA","NA","148700","114597","148700","114597","149338","115210","144622","73929","NA","91143","155555","NA","NA","121996","40795","115777","145346","12650","121996","NA","12653","NA","NA","NA","NA","NA","NA","NA","121996","Orientation_PSA2018","19","58024","45","no","yes","1024"
"5009","TC_List01.csv","N","V","TC_Prac2.csv","志明正要鎖緊櫥櫃頂層的螺絲釘。","screwH.jpg","V","42.5531914894","42.5531914894","[5, 10, 13, 19, 21, 26, 30, 35, 39, 43, 46]","1305.74468085","1305.74468085","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","1","undefined","1","1","undefined","6","j","0","0","0","0","6","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","15","4","15","4","4","0","6","6","15","15","0","6","0","0","0","0","0","6","15","0","0","0","0","0","0","0","0","0","6","15","6","15","6","15","6","15","6","15","7","NA","6","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","10/30/19 16:35:46","no","Matching Tasks","yes","","no","no","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","D:\TWN001","no","chinese-japanese-korean","no","18","no","#0000ff","no","繁體中文","yes","768","no","legacy","6","5","5","6","TWN001_SP_11.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","圖書館員把書放回了桌上。","0","0","J","NA","NA","NA","NA","NA","NA","space","NA","NA","space","space","F","NA","NA","NA","NA","NA","NA","space","NA","NA","J","F","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","681","NA","NA","NA","NA","NA","NA","22159","NA","NA","969","2665","5071","NA","NA","NA","NA","NA","NA","6197","NA","NA","681","610","NA","NA","NA","5963","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","11","odd","Yes","yes","no","NA","12650","NA","4007","155833","112117","NA","NA","NA","NA","NA","NA","18618","NA","NA","4010","8535","NA","NA","NA","NA","NA","NA","12626","NA","NA","12625","149884","149978","40796","115710","91696","112115","91696","91696","40796","156837","156837","113121","113121","149978","156838","149981","155055","149981","NA","NA","159506","114093","NA","NA","NA","NA","NA","NA","115780","NA","NA","160010","114597","160010","114597","160694","115210","144622","73929","NA","91143","161195","NA","NA","121996","40795","115777","155830","12650","121996","NA","12653","NA","NA","NA","NA","NA","NA","NA","121996","Orientation_PSA2018","20","61370","47","no","yes","1024"
"5009","TC_List01.csv","F","F","TC_Prac2.csv","靜宜覺得後院有個游泳池就好了。","pumpkin.jpg","V","42.8571428571","42.8571428571","[5, 10, 13, 19, 21, 26, 30, 35, 39, 43, 46]","1298.44897959","1298.44897959","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","1","undefined","1","1","undefined","6","f","0","0","0","0","7","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","15","4","15","4","4","0","7","7","15","15","0","7","0","0","0","0","0","7","15","0","0","0","0","0","0","0","0","0","7","15","7","15","7","15","7","15","7","15","8","NA","7","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","10/30/19 16:35:46","no","Matching Tasks","yes","","no","no","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","D:\TWN001","no","chinese-japanese-korean","no","18","no","#0000ff","no","繁體中文","yes","768","no","legacy","7","5","5","7","TWN001_SP_11.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","圖書館員把書放回了桌上。","0","0","F","NA","NA","NA","NA","NA","NA","space","NA","NA","space","space","F","NA","NA","NA","NA","NA","NA","space","NA","NA","F","F","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","662","NA","NA","NA","NA","NA","NA","22159","NA","NA","969","1592","5071","NA","NA","NA","NA","NA","NA","6197","NA","NA","662","610","NA","NA","NA","5963","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","11","odd","Yes","yes","no","NA","12650","NA","4007","161406","112117","NA","NA","NA","NA","NA","NA","18618","NA","NA","4010","8535","NA","NA","NA","NA","NA","NA","12626","NA","NA","12625","149884","149978","40796","115710","91696","112115","91696","91696","40796","162410","162410","113121","113121","149978","162411","149981","155055","149981","NA","NA","164006","114093","NA","NA","NA","NA","NA","NA","115780","NA","NA","164511","114597","164512","114597","165177","115210","144622","73929","NA","91143","165678","NA","NA","121996","40795","115777","161403","12650","121996","NA","12653","NA","NA","NA","NA","NA","NA","NA","121996","Orientation_PSA2018","21","63624","49","no","yes","1024"
"5009","TC_List01.csv","F","F","TC_Prac2.csv","公園裡有隻美洲野牛跑向他們。","ring.jpg","V","43.137254902","43.137254902","[5, 10, 13, 19, 21, 26, 30, 35, 39, 43, 46]","1278.78431373","1278.78431373","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","1","undefined","1","1","undefined","6","f","0","0","0","0","8","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","15","4","15","4","4","0","8","8","15","15","0","8","0","0","0","0","0","8","15","0","0","0","0","0","0","0","0","0","8","15","8","15","8","15","8","15","8","15","9","NA","8","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","10/30/19 16:35:46","no","Matching Tasks","yes","","no","no","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","D:\TWN001","no","chinese-japanese-korean","no","18","no","#0000ff","no","繁體中文","yes","768","no","legacy","8","5","5","8","TWN001_SP_11.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","圖書館員把書放回了桌上。","0","0","F","NA","NA","NA","NA","NA","NA","space","NA","NA","space","space","F","NA","NA","NA","NA","NA","NA","space","NA","NA","F","F","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","728","NA","NA","NA","NA","NA","NA","22159","NA","NA","969","866","5071","NA","NA","NA","NA","NA","NA","6197","NA","NA","728","610","NA","NA","NA","5963","NA","NA","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","11","odd","Yes","yes","no","NA","12650","NA","4007","165897","112117","NA","NA","NA","NA","NA","NA","18618","NA","NA","4010","8535","NA","NA","NA","NA","NA","NA","12626","NA","NA","12625","149884","149978","40796","115710","91696","112115","91696","91696","40796","166901","166901","113121","113121","149978","166902","149981","155055","149981","NA","NA","167771","114093","NA","NA","NA","NA","NA","NA","115780","NA","NA","168275","114597","168275","114597","169006","115210","144622","73929","NA","91143","169506","NA","NA","121996","40795","115777","165895","12650","121996","NA","12653","NA","NA","NA","NA","NA","NA","NA","121996","Orientation_PSA2018","22","65218","51","no","yes","1024"
