"LAB_SEED","List","Match","Orientation","PList","Probe","Target","Task","acc","accuracy","alt_task","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instruction_SC","correct_Probe_Prac_response","correct_Probe_response","correct_Probe_sti_response","correct_Start_SC","correct_Target_response","correct_Target_response_Prac","correct_Welcom_SC","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EN_selection","count_EXP","count_First_Fixation","count_First_Fixation_Prac","count_Instruction_DE","count_Instruction_E","count_Instruction_HUN","count_Instruction_NOR","count_Instruction_PL","count_Instruction_SC","count_Instruction_TC","count_Instruction_THAI","count_Instruction_TUR","count_LAB_SEED","count_Language_Selection","count_List_Select_DE","count_List_Select_E","count_List_Select_HUN","count_List_Select_NOR","count_List_Select_PL","count_List_Select_SC","count_List_Select_TC","count_List_Select_THAI","count_List_Select_TUR","count_List_Selection","count_Memory_loop","count_Memory_sequence","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Probe","count_Probe_Collect","count_Probe_Prac","count_Probe_Prac_response","count_Probe_import","count_Probe_response","count_Probe_sti","count_Probe_sti_correct","count_Probe_sti_response","count_Probe_sti_wrong","count_STUDY_order","count_Second_Fixation","count_Second_Fixation_Prac","count_Start_DE","count_Start_E","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_SC","count_Start_TC","count_Start_THAI","count_Start_TUR","count_Target","count_Target_Prac","count_Target_response","count_Target_response_Prac","count_Target_response_correct","count_Target_response_correct_Prac","count_Target_response_noans","count_Target_response_noans_Prac","count_Target_response_wrong","count_Target_response_wrong_Prac","count_Trial_logger","count_Verification_Break","count_Verification_End","count_Verification_Exp","count_Verification_Prac","count_Verification_Start","count_Verification_Trial","count_Verification_Welcome","count_Verification_loop","count_Welcom_SC","count_Welcom_TC","count_Welcom_THAI","count_Welcom_TUR","count_Welcome_DE","count_Welcome_E","count_Welcome_HUN","count_Welcome_NOR","count_Welcome_PL","count_presetup","datetime","de","description","disable_garbage_collection","empty_column","en","en1","en2","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","hun","keyboard_backend","live_row","live_row_Prac","live_row_Prac_loop","live_row_Verification_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","pol","rectarget","repeat_cycle","reset_loop","response","response_Instruction_DE","response_Instruction_E","response_Instruction_HUN","response_Instruction_NOR","response_Instruction_PL","response_Instruction_SC","response_Instruction_TC","response_Instruction_THAI","response_Instruction_TUR","response_Probe_Prac_response","response_Probe_response","response_Probe_sti_response","response_Start_DE","response_Start_E","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_SC","response_Start_TC","response_Start_THAI","response_Start_TUR","response_Target_response","response_Target_response_Prac","response_Verification_Break","response_Verification_End","response_Welcom_SC","response_Welcom_TC","response_Welcom_THAI","response_Welcom_TUR","response_Welcome_DE","response_Welcome_E","response_Welcome_HUN","response_Welcome_NOR","response_Welcome_PL","response_time","response_time_Instruction_DE","response_time_Instruction_E","response_time_Instruction_HUN","response_time_Instruction_NOR","response_time_Instruction_PL","response_time_Instruction_SC","response_time_Instruction_TC","response_time_Instruction_THAI","response_time_Instruction_TUR","response_time_Probe_Prac_response","response_time_Probe_response","response_time_Probe_sti_response","response_time_Start_DE","response_time_Start_E","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_SC","response_time_Start_TC","response_time_Start_THAI","response_time_Start_TUR","response_time_Target_response","response_time_Target_response_Prac","response_time_Verification_Break","response_time_Verification_End","response_time_Welcom_SC","response_time_Welcom_TC","response_time_Welcom_THAI","response_time_Welcom_TUR","response_time_Welcome_DE","response_time_Welcome_E","response_time_Welcome_HUN","response_time_Welcome_NOR","response_time_Welcome_PL","round_decimals","sampler_backend","sc","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","task_order","tc","thai","time_Check_This","time_Disable_Mouse","time_EN_selection","time_EXP","time_First_Fixation","time_First_Fixation_Prac","time_Instruction_DE","time_Instruction_E","time_Instruction_HUN","time_Instruction_NOR","time_Instruction_PL","time_Instruction_SC","time_Instruction_TC","time_Instruction_THAI","time_Instruction_TUR","time_LAB_SEED","time_Language_Selection","time_List_Select_DE","time_List_Select_E","time_List_Select_HUN","time_List_Select_NOR","time_List_Select_PL","time_List_Select_SC","time_List_Select_TC","time_List_Select_THAI","time_List_Select_TUR","time_List_Selection","time_Memory_loop","time_Memory_sequence","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Probe","time_Probe_Collect","time_Probe_Prac","time_Probe_Prac_response","time_Probe_import","time_Probe_response","time_Probe_sti","time_Probe_sti_correct","time_Probe_sti_response","time_Probe_sti_wrong","time_STUDY_order","time_Second_Fixation","time_Second_Fixation_Prac","time_Start_DE","time_Start_E","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_SC","time_Start_TC","time_Start_THAI","time_Start_TUR","time_Target","time_Target_Prac","time_Target_response","time_Target_response_Prac","time_Target_response_correct","time_Target_response_correct_Prac","time_Target_response_noans","time_Target_response_noans_Prac","time_Target_response_wrong","time_Target_response_wrong_Prac","time_Trial_logger","time_Verification_Break","time_Verification_End","time_Verification_Exp","time_Verification_Prac","time_Verification_Start","time_Verification_Trial","time_Verification_Welcome","time_Verification_loop","time_Welcom_SC","time_Welcom_TC","time_Welcom_THAI","time_Welcom_TUR","time_Welcome_DE","time_Welcome_E","time_Welcome_HUN","time_Welcome_NOR","time_Welcome_PL","time_presetup","title","total_correct","total_response_time","total_responses","tur","uniform_coordinates","width"
"5009","SC_List02.csv","F","F","SC_Prac2.csv","当体育老师拿出他的秒表时，所有学生都开始抱怨。","needle.jpg","V","50","50","[5, 10, 15, 18, 23, 27, 29, 33, 38, 42, 45]","1313.71428571","1313.71428571","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","0","5","0","5","0","0","0","0","0","5","5","NA","0","NA","NA","NA","NA","0","0","5","0","0","0","0","0","0","0","0","0","0","5","0","5","0","5","0","5","0","5","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11/21/19 11:43:31","no","Matching Tasks","yes","","no","no","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","D:\TWN001","no","chinese-japanese-korean","no","18","no","#0000ff","no","简体中文","yes","768","no","legacy","0","1","5","0","TWN001_SP_40.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","F","NA","NA","NA","NA","NA","space","NA","NA","NA","space","space","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","F","J","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","507","NA","NA","NA","NA","NA","22263","NA","NA","NA","1275","870","NA","NA","NA","NA","NA","NA","3128","NA","NA","NA","507","685","NA","NA","8771","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","yes","1024","2","48000","-16","EXP","40","even","No","no","no","NA","11242","NA","4821","76213","68865","NA","NA","NA","NA","NA","20018","NA","NA","NA","4824","10169","NA","NA","NA","NA","NA","11218","NA","NA","NA","11217","NA","NA","42299","72839","42329","68862","42329","42329","42299","77217","77217","69869","69869","NA","77218","NA","NA","NA","NA","NA","78091","71147","NA","NA","NA","NA","NA","72908","NA","NA","NA","78595","71651","78595","71651","79105","72339","NA","52160","NA","NA","79605","NA","NA","76055","42299","72905","76211","11242","76055","11244","NA","NA","NA","NA","NA","NA","NA","NA","76055","Orientation_PSA2018","7","18392","14","no","yes","1024"
"5009","SC_List02.csv","Y","H","SC_Prac2.csv","猎人把手电筒的灯光从山洞口处照射进去。","flashH.jpg","V","50","50","[5, 10, 15, 18, 23, 27, 29, 33, 38, 42, 45]","1244.8125","1244.8125","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","NA","0","5","0","5","0","0","0","1","1","5","5","NA","1","NA","NA","NA","NA","0","1","5","0","0","0","0","0","0","0","0","0","1","5","1","5","1","5","1","5","1","5","1","NA","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","11/21/19 11:43:31","no","Matching Tasks","yes","","no","no","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","D:\TWN001","no","chinese-japanese-korean","no","18","no","#0000ff","no","简体中文","yes","768","no","legacy","1","1","5","1","TWN001_SP_40.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","J","NA","NA","NA","NA","NA","space","NA","NA","NA","space","space","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","J","J","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","435","NA","NA","NA","NA","NA","22263","NA","NA","NA","1275","1090","NA","NA","NA","NA","NA","NA","3128","NA","NA","NA","435","685","NA","NA","8771","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","yes","1024","2","48000","-16","EXP","40","even","No","no","no","NA","11242","NA","4821","79933","68865","NA","NA","NA","NA","NA","20018","NA","NA","NA","4824","10169","NA","NA","NA","NA","NA","11218","NA","NA","NA","11217","NA","NA","42299","72839","42329","68862","42329","42329","42299","80938","80938","69869","69869","NA","80939","NA","NA","NA","NA","NA","82031","71147","NA","NA","NA","NA","NA","72908","NA","NA","NA","82536","71651","82536","71651","82974","72339","NA","52160","NA","NA","83474","NA","NA","76055","42299","72905","79931","11242","76055","11244","NA","NA","NA","NA","NA","NA","NA","NA","76055","Orientation_PSA2018","8","19917","16","no","yes","1024"
"5009","SC_List02.csv","F","F","SC_Prac2.csv","法医在凶器铲子上找到了嫌疑犯的指纹。","ladder.jpg","V","50","50","[5, 10, 15, 18, 23, 27, 29, 33, 38, 42, 45]","1185.55555556","1185.55555556","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","0","2","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","NA","0","5","0","5","0","0","0","2","2","5","5","NA","2","NA","NA","NA","NA","0","2","5","0","0","0","0","0","0","0","0","0","2","5","2","5","2","5","2","5","2","5","2","NA","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","11/21/19 11:43:31","no","Matching Tasks","yes","","no","no","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","D:\TWN001","no","chinese-japanese-korean","no","18","no","#0000ff","no","简体中文","yes","768","no","legacy","2","1","5","2","TWN001_SP_40.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","F","NA","NA","NA","NA","NA","space","NA","NA","NA","space","space","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","F","J","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","494","NA","NA","NA","NA","NA","22263","NA","NA","NA","1275","929","NA","NA","NA","NA","NA","NA","3128","NA","NA","NA","494","685","NA","NA","8771","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","yes","1024","2","48000","-16","EXP","40","even","No","no","no","NA","11242","NA","4821","83697","68865","NA","NA","NA","NA","NA","20018","NA","NA","NA","4824","10169","NA","NA","NA","NA","NA","11218","NA","NA","NA","11217","NA","NA","42299","72839","42329","68862","42329","42329","42299","84701","84701","69869","69869","NA","84702","NA","NA","NA","NA","NA","85634","71147","NA","NA","NA","NA","NA","72908","NA","NA","NA","86138","71651","86138","71651","86635","72339","NA","52160","NA","NA","87135","NA","NA","76055","42299","72905","83694","11242","76055","11244","NA","NA","NA","NA","NA","NA","NA","NA","76055","Orientation_PSA2018","9","21340","18","no","yes","1024"
"5009","SC_List02.csv","F","F","SC_Prac2.csv","蚂蚁爬进了蜂蜜罐里并且尝试着爬出來。","sutcse.jpg","V","50","50","[5, 10, 15, 18, 23, 27, 29, 33, 38, 42, 45]","1147.05","1147.05","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","0","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","NA","0","5","0","5","0","0","0","3","3","5","5","NA","3","NA","NA","NA","NA","0","3","5","0","0","0","0","0","0","0","0","0","3","5","3","5","3","5","3","5","3","5","3","NA","3","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","11/21/19 11:43:31","no","Matching Tasks","yes","","no","no","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","D:\TWN001","no","chinese-japanese-korean","no","18","no","#0000ff","no","简体中文","yes","768","no","legacy","3","1","5","3","TWN001_SP_40.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","F","NA","NA","NA","NA","NA","space","NA","NA","NA","space","space","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","F","J","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","520","NA","NA","NA","NA","NA","22263","NA","NA","NA","1275","1081","NA","NA","NA","NA","NA","NA","3128","NA","NA","NA","520","685","NA","NA","8771","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","yes","1024","2","48000","-16","EXP","40","even","No","no","no","NA","11242","NA","4821","87408","68865","NA","NA","NA","NA","NA","20018","NA","NA","NA","4824","10169","NA","NA","NA","NA","NA","11218","NA","NA","NA","11217","NA","NA","42299","72839","42329","68862","42329","42329","42299","88413","88413","69869","69869","NA","88414","NA","NA","NA","NA","NA","89498","71147","NA","NA","NA","NA","NA","72908","NA","NA","NA","90002","71651","90002","71651","90525","72339","NA","52160","NA","NA","91025","NA","NA","76055","42299","72905","87406","11242","76055","11244","NA","NA","NA","NA","NA","NA","NA","NA","76055","Orientation_PSA2018","10","22941","20","no","yes","1024"
"5009","SC_List02.csv","F","F","SC_Prac2.csv","彭妮把植物扔过客厅，砸向了谢尔顿。","tapedispenser.jpg","V","50","50","[5, 10, 15, 18, 23, 27, 29, 33, 38, 42, 45]","1123.45454545","1123.45454545","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","0","4","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","NA","0","5","0","5","0","0","0","4","4","5","5","NA","4","NA","NA","NA","NA","0","4","5","0","0","0","0","0","0","0","0","0","4","5","4","5","4","5","4","5","4","5","4","NA","4","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","11/21/19 11:43:31","no","Matching Tasks","yes","","no","no","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","D:\TWN001","no","chinese-japanese-korean","no","18","no","#0000ff","no","简体中文","yes","768","no","legacy","4","1","5","4","TWN001_SP_40.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","F","NA","NA","NA","NA","NA","space","NA","NA","NA","space","space","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","F","J","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","701","NA","NA","NA","NA","NA","22263","NA","NA","NA","1275","1074","NA","NA","NA","NA","NA","NA","3128","NA","NA","NA","701","685","NA","NA","8771","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","yes","1024","2","48000","-16","EXP","40","even","No","no","no","NA","11242","NA","4821","91255","68865","NA","NA","NA","NA","NA","20018","NA","NA","NA","4824","10169","NA","NA","NA","NA","NA","11218","NA","NA","NA","11217","NA","NA","42299","72839","42329","68862","42329","42329","42299","92259","92259","69869","69869","NA","92260","NA","NA","NA","NA","NA","93338","71147","NA","NA","NA","NA","NA","72908","NA","NA","NA","93842","71651","93843","71651","94547","72339","NA","52160","NA","NA","95047","NA","NA","76055","42299","72905","91252","11242","76055","11244","NA","NA","NA","NA","NA","NA","NA","NA","76055","Orientation_PSA2018","11","24716","22","no","yes","1024"
"5009","SC_List02.csv","N","V","SC_Prac2.csv","服务生一边给莫林倒酒一边欣赏她的袍子。","glassH.jpg","V","45.8333333333","45.8333333333","[5, 10, 15, 18, 23, 27, 29, 33, 38, 42, 45]","1092.83333333","1092.83333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","NA","undefined","0","1","undefined","6","j","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","NA","0","5","0","5","0","0","0","5","5","5","5","NA","5","NA","NA","NA","NA","0","5","5","0","0","0","0","0","0","0","0","0","5","5","5","5","5","5","5","5","5","5","5","NA","5","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","11/21/19 11:43:31","no","Matching Tasks","yes","","no","no","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","D:\TWN001","no","chinese-japanese-korean","no","18","no","#0000ff","no","简体中文","yes","768","no","legacy","5","1","5","5","TWN001_SP_40.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","F","NA","NA","NA","NA","NA","space","NA","NA","NA","space","space","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","F","J","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","553","NA","NA","NA","NA","NA","22263","NA","NA","NA","1275","959","NA","NA","NA","NA","NA","NA","3128","NA","NA","NA","553","685","NA","NA","8771","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","yes","1024","2","48000","-16","EXP","40","even","No","no","no","NA","11242","NA","4821","95308","68865","NA","NA","NA","NA","NA","20018","NA","NA","NA","4824","10169","NA","NA","NA","NA","NA","11218","NA","NA","NA","11217","NA","NA","42299","72839","42329","68862","42329","42329","42299","96312","96312","69869","69869","NA","96313","NA","NA","NA","NA","NA","97274","71147","NA","NA","NA","NA","NA","72908","NA","NA","NA","97779","71651","97779","71651","94547","72339","NA","52160","98335","NA","98835","NA","NA","76055","42299","72905","95305","11242","76055","11244","NA","NA","NA","NA","NA","NA","NA","NA","76055","Orientation_PSA2018","11","26228","24","no","yes","1024"
"5009","SC_List02.csv","N","V","SC_Prac2.csv","服务生一边给莫林倒酒一边欣赏她的袍子。","glassH.jpg","M","44","44","[5, 10, 15, 18, 23, 27, 29, 33, 38, 42, 45]","1187.16","1187.16","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","0","undefined","0","1","undefined","6","f","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","5","0","5","0","0","0","5","5","5","5","0","5","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","5","5","5","5","5","5","5","5","5","5","6","NA","5","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","11/21/19 11:43:31","no","Matching Tasks","yes","","no","no","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","D:\TWN001","no","chinese-japanese-korean","no","18","no","#0000ff","no","简体中文","yes","768","no","legacy","0","1","5","5","TWN001_SP_40.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","猎人把手电筒的灯光从山洞口处照射进去。","0","0","J","NA","NA","NA","NA","NA","space","NA","NA","NA","space","space","J","NA","NA","NA","NA","NA","space","NA","NA","NA","F","J","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","3451","NA","NA","NA","NA","NA","22263","NA","NA","NA","1275","959","3451","NA","NA","NA","NA","NA","3128","NA","NA","NA","553","685","NA","NA","8771","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","yes","1024","2","48000","-16","EXP","40","even","No","no","no","NA","11242","NA","4821","95308","68865","NA","NA","NA","NA","NA","20018","NA","NA","NA","4824","10169","NA","NA","NA","NA","NA","11218","NA","NA","NA","11217","98890","99003","42299","72839","42329","68862","42329","42329","42299","96312","96312","69869","69869","99003","96313","99005","NA","99005","102458","NA","97274","71147","NA","NA","NA","NA","NA","72908","NA","NA","NA","97779","71651","97779","71651","94547","72339","NA","52160","98335","NA","103959","NA","NA","76055","42299","72905","95305","11242","76055","11244","NA","NA","NA","NA","NA","NA","NA","NA","76055","Orientation_PSA2018","11","29679","25","no","yes","1024"
"5009","SC_List02.csv","N","H","SC_Prac2.csv","杰姆斯把碗放进橱柜里的空位。","bowlV.jpg","V","44.4444444444","44.4444444444","[5, 10, 15, 18, 23, 27, 29, 33, 38, 42, 45]","1219.62962963","1219.62962963","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","0","undefined","1","1","undefined","6","j","0","0","0","0","6","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","5","0","5","0","0","0","6","6","5","5","0","6","0","0","0","0","0","6","5","0","0","0","0","0","0","0","0","0","6","5","6","5","6","5","6","5","6","5","7","NA","6","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","11/21/19 11:43:31","no","Matching Tasks","yes","","no","no","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","D:\TWN001","no","chinese-japanese-korean","no","18","no","#0000ff","no","简体中文","yes","768","no","legacy","6","1","5","6","TWN001_SP_40.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","猎人把手电筒的灯光从山洞口处照射进去。","0","0","J","NA","NA","NA","NA","NA","space","NA","NA","NA","space","space","J","NA","NA","NA","NA","NA","space","NA","NA","NA","J","J","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","917","NA","NA","NA","NA","NA","22263","NA","NA","NA","1275","2334","3451","NA","NA","NA","NA","NA","3128","NA","NA","NA","917","685","NA","NA","8771","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","yes","1024","2","48000","-16","EXP","40","even","No","no","no","NA","11242","NA","4821","104225","68865","NA","NA","NA","NA","NA","20018","NA","NA","NA","4824","10169","NA","NA","NA","NA","NA","11218","NA","NA","NA","11217","98890","99003","42299","72839","42329","68862","42329","42329","42299","105230","105230","69869","69869","99003","105231","99005","NA","99005","102458","NA","107568","71147","NA","NA","NA","NA","NA","72908","NA","NA","NA","108072","71651","108072","71651","108992","72339","NA","52160","98335","NA","109492","NA","NA","76055","42299","72905","104223","11242","76055","11244","NA","NA","NA","NA","NA","NA","NA","NA","76055","Orientation_PSA2018","12","32930","27","no","yes","1024"
"5009","SC_List02.csv","N","H","SC_Prac2.csv","赢得掷斧比赛之后，那位伐木工人把斧头插在木桩上便离开了。","axeV.jpg","V","44.8275862069","44.8275862069","[5, 10, 15, 18, 23, 27, 29, 33, 38, 42, 45]","1212.44827586","1212.44827586","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","0","undefined","1","1","undefined","6","j","0","0","0","0","7","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","5","0","5","0","0","0","7","7","5","5","0","7","0","0","0","0","0","7","5","0","0","0","0","0","0","0","0","0","7","5","7","5","7","5","7","5","7","5","8","NA","7","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","11/21/19 11:43:31","no","Matching Tasks","yes","","no","no","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","D:\TWN001","no","chinese-japanese-korean","no","18","no","#0000ff","no","简体中文","yes","768","no","legacy","7","1","5","7","TWN001_SP_40.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","猎人把手电筒的灯光从山洞口处照射进去。","0","0","J","NA","NA","NA","NA","NA","space","NA","NA","NA","space","space","J","NA","NA","NA","NA","NA","space","NA","NA","NA","J","J","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","404","NA","NA","NA","NA","NA","22263","NA","NA","NA","1275","1827","3451","NA","NA","NA","NA","NA","3128","NA","NA","NA","404","685","NA","NA","8771","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","yes","1024","2","48000","-16","EXP","40","even","No","no","no","NA","11242","NA","4821","109715","68865","NA","NA","NA","NA","NA","20018","NA","NA","NA","4824","10169","NA","NA","NA","NA","NA","11218","NA","NA","NA","11217","98890","99003","42299","72839","42329","68862","42329","42329","42299","110719","110719","69869","69869","99003","110720","99005","NA","99005","102458","NA","112550","71147","NA","NA","NA","NA","NA","72908","NA","NA","NA","113054","71651","113056","71651","113463","72339","NA","52160","98335","NA","113963","NA","NA","76055","42299","72905","109712","11242","76055","11244","NA","NA","NA","NA","NA","NA","NA","NA","76055","Orientation_PSA2018","13","35161","29","no","yes","1024"
"5009","SC_List02.csv","F","F","SC_Prac2.csv","因为动物园正在展览刚出生的幼崽，所以比平时都要拥挤。","skirt.jpg","V","45.1612903226","45.1612903226","[5, 10, 15, 18, 23, 27, 29, 33, 38, 42, 45]","1225.48387097","1225.48387097","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","0","undefined","1","1","undefined","6","f","0","0","0","0","8","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","5","0","5","0","0","0","8","8","5","5","0","8","0","0","0","0","0","8","5","0","0","0","0","0","0","0","0","0","8","5","8","5","8","5","8","5","8","5","9","NA","8","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","11/21/19 11:43:31","no","Matching Tasks","yes","","no","no","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","D:\TWN001","no","chinese-japanese-korean","no","18","no","#0000ff","no","简体中文","yes","768","no","legacy","8","1","5","8","TWN001_SP_40.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","猎人把手电筒的灯光从山洞口处照射进去。","0","0","F","NA","NA","NA","NA","NA","space","NA","NA","NA","space","space","J","NA","NA","NA","NA","NA","space","NA","NA","NA","F","J","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","507","NA","NA","NA","NA","NA","22263","NA","NA","NA","1275","2322","3451","NA","NA","NA","NA","NA","3128","NA","NA","NA","507","685","NA","NA","8771","NA","NA","NA","NA","NA","NA","NA","NA","2","legacy","yes","1024","2","48000","-16","EXP","40","even","No","no","no","NA","11242","NA","4821","114197","68865","NA","NA","NA","NA","NA","20018","NA","NA","NA","4824","10169","NA","NA","NA","NA","NA","11218","NA","NA","NA","11217","98890","99003","42299","72839","42329","68862","42329","42329","42299","115201","115202","69869","69869","99003","115202","99005","NA","99005","102458","NA","117527","71147","NA","NA","NA","NA","NA","72908","NA","NA","NA","118031","71651","118031","71651","118541","72339","NA","52160","98335","NA","119041","NA","NA","76055","42299","72905","114194","11242","76055","11244","NA","NA","NA","NA","NA","NA","NA","NA","76055","Orientation_PSA2018","14","37990","31","no","yes","1024"
