"Identical","LAB_SEED","Orientation1","Orientation2","PPList","Picture1","Picture2","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_TC","correct_Target_response_Prac","correct_Welcome_PP_TC","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_DE","count_Start_E","count_Start_ELL","count_Start_HEB","count_Start_HIN","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_POR","count_Start_SC","count_Start_SLK","count_Start_SPA","count_Start_TC","count_Start_THAI","count_Start_TUR","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac","count_Target_response_wrong_Prac","count_Trial_logger","count_Welcome_PP_DE","count_Welcome_PP_E","count_Welcome_PP_ELL","count_Welcome_PP_HEB","count_Welcome_PP_HIN","count_Welcome_PP_HUN","count_Welcome_PP_NOR","count_Welcome_PP_PL","count_Welcome_PP_POR","count_Welcome_PP_SC","count_Welcome_PP_SLK","count_Welcome_PP_SPA","count_Welcome_PP_TC","count_Welcome_PP_THAI","count_Welcome_PP_TUR","datetime","de","description","disable_garbage_collection","ell","empty_column","en","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","heb","height","hin","hun","keyboard_backend","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","pol","por","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_DE","response_Start_E","response_Start_ELL","response_Start_HEB","response_Start_HIN","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_POR","response_Start_SC","response_Start_SLK","response_Start_SPA","response_Start_TC","response_Start_THAI","response_Start_TUR","response_Target_response_Prac","response_Welcome_PP_DE","response_Welcome_PP_E","response_Welcome_PP_ELL","response_Welcome_PP_HEB","response_Welcome_PP_HIN","response_Welcome_PP_HUN","response_Welcome_PP_NOR","response_Welcome_PP_PL","response_Welcome_PP_POR","response_Welcome_PP_SC","response_Welcome_PP_SLK","response_Welcome_PP_SPA","response_Welcome_PP_TC","response_Welcome_PP_THAI","response_Welcome_PP_TUR","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_DE","response_time_Start_E","response_time_Start_ELL","response_time_Start_HEB","response_time_Start_HIN","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_POR","response_time_Start_SC","response_time_Start_SLK","response_time_Start_SPA","response_time_Start_TC","response_time_Start_THAI","response_time_Start_TUR","response_time_Target_response_Prac","response_time_Welcome_PP_DE","response_time_Welcome_PP_E","response_time_Welcome_PP_ELL","response_time_Welcome_PP_HEB","response_time_Welcome_PP_HIN","response_time_Welcome_PP_HUN","response_time_Welcome_PP_NOR","response_time_Welcome_PP_PL","response_time_Welcome_PP_POR","response_time_Welcome_PP_SC","response_time_Welcome_PP_SLK","response_time_Welcome_PP_SPA","response_time_Welcome_PP_TC","response_time_Welcome_PP_THAI","response_time_Welcome_PP_TUR","round_decimals","sampler_backend","sc","slk","sound_buf_size","sound_channels","sound_freq","sound_sample_size","spa","start","subject_nr","subject_parity","tc","thai","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_DE","time_Start_E","time_Start_ELL","time_Start_HEB","time_Start_HIN","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_POR","time_Start_SC","time_Start_SLK","time_Start_SPA","time_Start_TC","time_Start_THAI","time_Start_TUR","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac","time_Target_response_wrong_Prac","time_Trial_logger","time_Welcome_PP_DE","time_Welcome_PP_E","time_Welcome_PP_ELL","time_Welcome_PP_HEB","time_Welcome_PP_HIN","time_Welcome_PP_HUN","time_Welcome_PP_NOR","time_Welcome_PP_PL","time_Welcome_PP_POR","time_Welcome_PP_SC","time_Welcome_PP_SLK","time_Welcome_PP_SPA","time_Welcome_PP_TC","time_Welcome_PP_THAI","time_Welcome_PP_TUR","title","total_correct","total_response_time","total_responses","tur","uniform_coordinates","width"
"F","2684","F","F","PP_LIST2.csv","watch.jpg","skirt.jpg","100","100","880.571428571","880.571428571","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/31/19 12:35:37","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\cckung\Downloads","no","mono","no","18","no","#0000ff","no","繁體中文","no","no","768","no","no","legacy","0","0","1","5","C:/Users/cckung/Desktop/New folder/TWN_002_PP_031.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","725","NA","NA","725","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3206","NA","NA","757","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","15232","NA","NA","2","legacy","no","no","1024","2","48000","-16","no","EXP","31","odd","yes","no","NA","9254","5302","5309","8208","9233","9233","NA","NA","40700","40867","35645","24509","37472","41371","40864","9255","40701","41372","42101","NA","NA","24510","37409","24547","35642","24547","24547","24510","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","37476","NA","NA","36148","36148","36909","27469","NA","42601","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9257","NA","NA","Orientation_PSA2018","7","6164","7","no","yes","1024"
"Y","2684","H","H","PP_LIST2.csv","screwH.jpg","screwH.jpg","100","100","862.125","862.125","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","1","0","1","5","0","0","1","1","0","0","1","1","1","1","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/31/19 12:35:37","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\cckung\Downloads","no","mono","no","18","no","#0000ff","no","繁體中文","no","no","768","no","no","legacy","1","1","1","5","C:/Users/cckung/Desktop/New folder/TWN_002_PP_031.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","733","NA","NA","733","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3206","NA","NA","757","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","15232","NA","NA","2","legacy","no","no","1024","2","48000","-16","no","EXP","31","odd","yes","no","NA","9254","5302","5309","8208","9233","9233","NA","NA","40700","42859","35645","24509","37472","43364","42855","9255","40701","43364","44102","NA","NA","24510","37409","24547","35642","24547","24547","24510","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","37476","NA","NA","36148","36148","36909","27469","NA","44602","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9257","NA","NA","Orientation_PSA2018","8","6897","8","no","yes","1024"
"Y","2684","H","H","PP_LIST2.csv","plateH.jpg","plateH.jpg","100","100","832.111111111","832.111111111","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","2","0","2","5","0","0","2","2","0","0","2","2","2","2","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/31/19 12:35:37","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\cckung\Downloads","no","mono","no","18","no","#0000ff","no","繁體中文","no","no","768","no","no","legacy","2","2","1","5","C:/Users/cckung/Desktop/New folder/TWN_002_PP_031.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","592","NA","NA","592","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3206","NA","NA","757","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","15232","NA","NA","2","legacy","no","no","1024","2","48000","-16","no","EXP","31","odd","yes","no","NA","9254","5302","5309","8208","9233","9233","NA","NA","40700","44816","35645","24509","37472","45321","44813","9255","40701","45321","45917","NA","NA","24510","37409","24547","35642","24547","24547","24510","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","37476","NA","NA","36148","36148","36909","27469","NA","46417","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9257","NA","NA","Orientation_PSA2018","9","7489","9","no","yes","1024"
"F","2684","F","F","PP_LIST2.csv","skirt.jpg","tlphon.jpg","100","100","829","829","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","3","0","3","5","0","0","3","3","0","0","3","3","3","3","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/31/19 12:35:37","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\cckung\Downloads","no","mono","no","18","no","#0000ff","no","繁體中文","no","no","768","no","no","legacy","3","3","1","5","C:/Users/cckung/Desktop/New folder/TWN_002_PP_031.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","801","NA","NA","801","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3206","NA","NA","757","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","15232","NA","NA","2","legacy","no","no","1024","2","48000","-16","no","EXP","31","odd","yes","no","NA","9254","5302","5309","8208","9233","9233","NA","NA","40700","46624","35645","24509","37472","47128","46621","9255","40701","47128","47934","NA","NA","24510","37409","24547","35642","24547","24547","24510","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","37476","NA","NA","36148","36148","36909","27469","NA","48434","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9257","NA","NA","Orientation_PSA2018","10","8290","10","no","yes","1024"
"N","2684","V","H","PP_LIST2.csv","glassV.jpg","glassH.jpg","100","100","823.636363636","823.636363636","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","4","0","4","5","0","0","4","4","0","0","4","4","4","4","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/31/19 12:35:37","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\cckung\Downloads","no","mono","no","18","no","#0000ff","no","繁體中文","no","no","768","no","no","legacy","4","4","1","5","C:/Users/cckung/Desktop/New folder/TWN_002_PP_031.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","770","NA","NA","770","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3206","NA","NA","757","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","15232","NA","NA","2","legacy","no","no","1024","2","48000","-16","no","EXP","31","odd","yes","no","NA","9254","5302","5309","8208","9233","9233","NA","NA","40700","48687","35645","24509","37472","49191","48683","9255","40701","49191","49965","NA","NA","24510","37409","24547","35642","24547","24547","24510","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","37476","NA","NA","36148","36148","36909","27469","NA","50465","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9257","NA","NA","Orientation_PSA2018","11","9060","11","no","yes","1024"
"F","2684","F","F","PP_LIST2.csv","umberella.jpg","flower.jpg","100","100","832.25","832.25","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","5","0","5","5","0","0","5","5","0","0","5","5","5","5","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/31/19 12:35:37","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\cckung\Downloads","no","mono","no","18","no","#0000ff","no","繁體中文","no","no","768","no","no","legacy","5","5","1","5","C:/Users/cckung/Desktop/New folder/TWN_002_PP_031.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","927","NA","NA","927","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3206","NA","NA","757","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","15232","NA","NA","2","legacy","no","no","1024","2","48000","-16","no","EXP","31","odd","yes","no","NA","9254","5302","5309","8208","9233","9233","NA","NA","40700","50657","35645","24509","37472","51162","50654","9255","40701","51162","52093","NA","NA","24510","37409","24547","35642","24547","24547","24510","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","37476","NA","NA","36148","36148","36909","27469","NA","52593","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9257","NA","NA","Orientation_PSA2018","12","9987","12","no","yes","1024"
"F","2684","F","F","PP_LIST2.csv","nut.jpg","watch.jpg","100","100","843.538461538","843.538461538","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","6","0","6","5","0","0","6","6","0","0","6","6","6","6","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/31/19 12:35:37","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\cckung\Downloads","no","mono","no","18","no","#0000ff","no","繁體中文","no","no","768","no","no","legacy","6","6","1","5","C:/Users/cckung/Desktop/New folder/TWN_002_PP_031.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","979","NA","NA","979","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3206","NA","NA","757","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","15232","NA","NA","2","legacy","no","no","1024","2","48000","-16","no","EXP","31","odd","yes","no","NA","9254","5302","5309","8208","9233","9233","NA","NA","40700","52797","35645","24509","37472","53301","52793","9255","40701","53302","54285","NA","NA","24510","37409","24547","35642","24547","24547","24510","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","37476","NA","NA","36148","36148","36909","27469","NA","54785","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9257","NA","NA","Orientation_PSA2018","13","10966","13","no","yes","1024"
"F","2684","F","F","PP_LIST2.csv","tiger.jpg","wndmil.jpg","100","100","864.571428571","864.571428571","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","7","0","7","5","0","0","7","7","0","0","7","7","7","7","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/31/19 12:35:37","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\cckung\Downloads","no","mono","no","18","no","#0000ff","no","繁體中文","no","no","768","no","no","legacy","7","7","1","5","C:/Users/cckung/Desktop/New folder/TWN_002_PP_031.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","1138","NA","NA","1138","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3206","NA","NA","757","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","15232","NA","NA","2","legacy","no","no","1024","2","48000","-16","no","EXP","31","odd","yes","no","NA","9254","5302","5309","8208","9233","9233","NA","NA","40700","54999","35645","24509","37472","55503","54995","9255","40701","55503","56645","NA","NA","24510","37409","24547","35642","24547","24547","24510","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","37476","NA","NA","36148","36148","36909","27469","NA","57145","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9257","NA","NA","Orientation_PSA2018","14","12104","14","no","yes","1024"
"F","2684","F","F","PP_LIST2.csv","knife.jpg","ladder.jpg","100","100","852.733333333","852.733333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","8","0","8","5","0","0","8","8","0","0","8","8","8","8","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/31/19 12:35:37","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\cckung\Downloads","no","mono","no","18","no","#0000ff","no","繁體中文","no","no","768","no","no","legacy","8","8","1","5","C:/Users/cckung/Desktop/New folder/TWN_002_PP_031.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","687","NA","NA","687","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3206","NA","NA","757","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","15232","NA","NA","2","legacy","no","no","1024","2","48000","-16","no","EXP","31","odd","yes","no","NA","9254","5302","5309","8208","9233","9233","NA","NA","40700","57354","35645","24509","37472","57858","57350","9255","40701","57858","58549","NA","NA","24510","37409","24547","35642","24547","24547","24510","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","37476","NA","NA","36148","36148","36909","27469","NA","59049","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9257","NA","NA","Orientation_PSA2018","15","12791","15","no","yes","1024"
"Y","2684","H","H","PP_LIST2.csv","tireH.jpg","tireH.jpg","100","100","843","843","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","9","0","9","5","0","0","9","9","0","0","9","9","9","9","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/31/19 12:35:37","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\cckung\Downloads","no","mono","no","18","no","#0000ff","no","繁體中文","no","no","768","no","no","legacy","9","9","1","5","C:/Users/cckung/Desktop/New folder/TWN_002_PP_031.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","697","NA","NA","697","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3206","NA","NA","757","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","15232","NA","NA","2","legacy","no","no","1024","2","48000","-16","no","EXP","31","odd","yes","no","NA","9254","5302","5309","8208","9233","9233","NA","NA","40700","59264","35645","24509","37472","59768","59261","9255","40701","59768","60469","NA","NA","24510","37409","24547","35642","24547","24547","24510","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","37476","NA","NA","36148","36148","36909","27469","NA","60969","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9257","NA","NA","Orientation_PSA2018","16","13488","16","no","yes","1024"
