"LAB_SEED","List","Match","Orientation","PList","Probe","Target","Task","acc","accuracy","alt_task","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instruction_E","correct_Probe_Prac_response","correct_Probe_response","correct_Probe_sti_response","correct_Start_E","correct_Target_response","correct_Target_response_Prac","correct_Welcome_E","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_First_Fixation","count_First_Fixation_Prac","count_Instruction_DE","count_Instruction_E","count_Instruction_NOB","count_Instruction_PL","count_Instruction_SC","count_Instruction_TC","count_LAB_SEED","count_Language_Selection","count_List_Select_DE","count_List_Select_E","count_List_Select_NOB","count_List_Select_PL","count_List_Select_SC","count_List_Select_TC","count_List_Selection","count_Memory_loop","count_Memory_sequence","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Probe","count_Probe_Collect","count_Probe_Prac","count_Probe_Prac_response","count_Probe_import","count_Probe_response","count_Probe_sti","count_Probe_sti_correct","count_Probe_sti_response","count_Probe_sti_wrong","count_STUDY_order","count_Second_Fixation","count_Second_Fixation_Prac","count_Start_DE","count_Start_E","count_Start_NOB","count_Start_PL","count_Start_SC","count_Start_TC","count_Target","count_Target_Prac","count_Target_response","count_Target_response_Prac","count_Target_response_correct","count_Target_response_correct_Prac","count_Target_response_noans","count_Target_response_noans_Prac","count_Target_response_wrong","count_Target_response_wrong_Prac","count_Trial_logger","count_Verification_Break","count_Verification_End","count_Verification_Exp","count_Verification_Prac","count_Verification_Start","count_Verification_Trial","count_Verification_Welcome","count_Verification_loop","count_Welcom_SC","count_Welcom_TC","count_Welcome_DE","count_Welcome_E","count_Welcome_NOB","count_Welcome_PL","count_presetup","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","keyboard_backend","language1","language2","language3","language4","language5","language6","live_row","live_row_Prac","live_row_Prac_loop","live_row_Verification_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","rectarget","repeat_cycle","reset_loop","response","response_Instruction_DE","response_Instruction_E","response_Instruction_NOB","response_Instruction_PL","response_Instruction_SC","response_Instruction_TC","response_Probe_Prac_response","response_Probe_response","response_Probe_sti_response","response_Start_DE","response_Start_E","response_Start_NOB","response_Start_PL","response_Start_SC","response_Start_TC","response_Target_response","response_Target_response_Prac","response_Verification_Break","response_Verification_End","response_Welcom_SC","response_Welcom_TC","response_Welcome_DE","response_Welcome_E","response_Welcome_NOB","response_Welcome_PL","response_time","response_time_Instruction_DE","response_time_Instruction_E","response_time_Instruction_NOB","response_time_Instruction_PL","response_time_Instruction_SC","response_time_Instruction_TC","response_time_Probe_Prac_response","response_time_Probe_response","response_time_Probe_sti_response","response_time_Start_DE","response_time_Start_E","response_time_Start_NOB","response_time_Start_PL","response_time_Start_SC","response_time_Start_TC","response_time_Target_response","response_time_Target_response_Prac","response_time_Verification_Break","response_time_Verification_End","response_time_Welcom_SC","response_time_Welcom_TC","response_time_Welcome_DE","response_time_Welcome_E","response_time_Welcome_NOB","response_time_Welcome_PL","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","task_order","time_Check_This","time_Disable_Mouse","time_EXP","time_First_Fixation","time_First_Fixation_Prac","time_Instruction_DE","time_Instruction_E","time_Instruction_NOB","time_Instruction_PL","time_Instruction_SC","time_Instruction_TC","time_LAB_SEED","time_Language_Selection","time_List_Select_DE","time_List_Select_E","time_List_Select_NOB","time_List_Select_PL","time_List_Select_SC","time_List_Select_TC","time_List_Selection","time_Memory_loop","time_Memory_sequence","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Probe","time_Probe_Collect","time_Probe_Prac","time_Probe_Prac_response","time_Probe_import","time_Probe_response","time_Probe_sti","time_Probe_sti_correct","time_Probe_sti_response","time_Probe_sti_wrong","time_STUDY_order","time_Second_Fixation","time_Second_Fixation_Prac","time_Start_DE","time_Start_E","time_Start_NOB","time_Start_PL","time_Start_SC","time_Start_TC","time_Target","time_Target_Prac","time_Target_response","time_Target_response_Prac","time_Target_response_correct","time_Target_response_correct_Prac","time_Target_response_noans","time_Target_response_noans_Prac","time_Target_response_wrong","time_Target_response_wrong_Prac","time_Trial_logger","time_Verification_Break","time_Verification_End","time_Verification_Exp","time_Verification_Prac","time_Verification_Start","time_Verification_Trial","time_Verification_Welcome","time_Verification_loop","time_Welcom_SC","time_Welcom_TC","time_Welcome_DE","time_Welcome_E","time_Welcome_NOB","time_Welcome_PL","time_presetup","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"8552","ENG_LIST1.csv","F","F","ENG_Prac2.csv","Penny threw the plant across the living room at Sheldon.","tapedispenser.jpg","V","50","50","[6, 10, 14, 19, 22, 27, 31, 33, 37, 42, 47]","2941.14285714","2941.14285714","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","0","5","0","5","0","0","0","0","0","5","5","NA","0","NA","NA","NA","NA","0","0","5","0","0","0","0","0","0","0","5","0","5","0","5","0","5","0","5","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09/27/19 10:00:41","Matching Tasks","yes","","SP.osexp","C:\Users\Chopik1\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","0","1","5","0","C:/Users/Chopik1/Desktop/Scripts/SP Data/202.CSV","legacy","Kafkaesque Koffka","3.2.8","NA","0","0","F","NA","space","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","F","J","NA","NA","NA","NA","NA","space","NA","NA","1678","NA","2860","NA","NA","NA","NA","3893","4175","NA","NA","7912","NA","NA","NA","NA","1678","870","NA","NA","NA","NA","NA","536915","NA","NA","2","legacy","1024","2","48000","-16","EXP","0","even","none of above","NA","28352","2961","624604","609654","NA","565274","NA","NA","NA","NA","2962","27250","NA","28327","NA","NA","NA","NA","28326","NA","NA","568160","616430","568192","609651","568192","568192","568160","625606","625606","610656","610657","NA","625607","NA","NA","NA","NA","NA","629786","614554","NA","616503","NA","NA","NA","NA","630288","615057","630289","615057","631970","615930","632473","NA","NA","NA","632973","NA","NA","624437","568160","616500","624601","28353","624437","NA","NA","NA","28356","NA","NA","624437","Orientation_PSA2018","7","41176","14","yes","1024"
"8552","ENG_LIST1.csv","Y","V","ENG_Prac2.csv","Rick hurriedly stuck his pencil in the coffee mug.","pencilV.jpg","V","50","50","[6, 10, 14, 19, 22, 27, 31, 33, 37, 42, 47]","2735.4375","2735.4375","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","NA","0","5","0","5","0","0","0","1","1","5","5","NA","1","NA","NA","NA","NA","0","1","5","0","0","0","0","0","0","1","5","1","5","1","5","1","5","1","5","1","NA","1","0","0","0","1","0","0","0","0","0","0","0","0","0","09/27/19 10:00:41","Matching Tasks","yes","","SP.osexp","C:\Users\Chopik1\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","1","1","5","1","C:/Users/Chopik1/Desktop/Scripts/SP Data/202.CSV","legacy","Kafkaesque Koffka","3.2.8","NA","0","0","J","NA","space","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","J","J","NA","NA","NA","NA","NA","space","NA","NA","662","NA","2860","NA","NA","NA","NA","3893","1929","NA","NA","7912","NA","NA","NA","NA","662","870","NA","NA","NA","NA","NA","536915","NA","NA","2","legacy","1024","2","48000","-16","EXP","0","even","none of above","NA","28352","2961","633211","609654","NA","565274","NA","NA","NA","NA","2962","27250","NA","28327","NA","NA","NA","NA","28326","NA","NA","568160","616430","568192","609651","568192","568192","568160","634213","634213","610656","610657","NA","634214","NA","NA","NA","NA","NA","636146","614554","NA","616503","NA","NA","NA","NA","636648","615057","636649","615057","637314","615930","632473","NA","NA","NA","637814","NA","NA","624437","568160","616500","633208","28353","624437","NA","NA","NA","28356","NA","NA","624437","Orientation_PSA2018","8","43767","16","yes","1024"
"8552","ENG_LIST1.csv","F","F","ENG_Prac2.csv","The ant walked towards the pot of honey and tried to climb in.","sutcse.jpg","V","50","50","[6, 10, 14, 19, 22, 27, 31, 33, 37, 42, 47]","2594","2594","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","2","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","NA","0","5","0","5","0","0","0","2","2","5","5","NA","2","NA","NA","NA","NA","0","2","5","0","0","0","0","0","0","2","5","2","5","2","5","2","5","2","5","2","NA","2","0","0","0","2","0","0","0","0","0","0","0","0","0","09/27/19 10:00:41","Matching Tasks","yes","","SP.osexp","C:\Users\Chopik1\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","2","1","5","2","C:/Users/Chopik1/Desktop/Scripts/SP Data/202.CSV","legacy","Kafkaesque Koffka","3.2.8","NA","0","0","F","NA","space","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","F","J","NA","NA","NA","NA","NA","space","NA","NA","574","NA","2860","NA","NA","NA","NA","3893","2351","NA","NA","7912","NA","NA","NA","NA","574","870","NA","NA","NA","NA","NA","536915","NA","NA","2","legacy","1024","2","48000","-16","EXP","0","even","none of above","NA","28352","2961","638028","609654","NA","565274","NA","NA","NA","NA","2962","27250","NA","28327","NA","NA","NA","NA","28326","NA","NA","568160","616430","568192","609651","568192","568192","568160","639030","639030","610656","610657","NA","639031","NA","NA","NA","NA","NA","641386","614554","NA","616503","NA","NA","NA","NA","641888","615057","641889","615057","642466","615930","632473","NA","NA","NA","642967","NA","NA","624437","568160","616500","638025","28353","624437","NA","NA","NA","28356","NA","NA","624437","Orientation_PSA2018","9","46692","18","yes","1024"
"8552","ENG_LIST1.csv","Y","V","ENG_Prac2.csv","The carpenter hammered the nail into the floor plank.","nailV.jpg","V","45","45","[6, 10, 14, 19, 22, 27, 31, 33, 37, 42, 47]","2443.25","2443.25","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","NA","undefined","0","1","undefined","6","j","0","0","0","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","NA","0","5","0","5","0","0","0","3","3","5","5","NA","3","NA","NA","NA","NA","0","3","5","0","0","0","0","0","0","3","5","3","5","3","5","3","5","3","5","3","NA","3","0","0","0","3","0","0","0","0","0","0","0","0","0","09/27/19 10:00:41","Matching Tasks","yes","","SP.osexp","C:\Users\Chopik1\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","3","1","5","3","C:/Users/Chopik1/Desktop/Scripts/SP Data/202.CSV","legacy","Kafkaesque Koffka","3.2.8","NA","0","0","F","NA","space","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","F","J","NA","NA","NA","NA","NA","space","NA","NA","622","NA","2860","NA","NA","NA","NA","3893","1551","NA","NA","7912","NA","NA","NA","NA","622","870","NA","NA","NA","NA","NA","536915","NA","NA","2","legacy","1024","2","48000","-16","EXP","0","even","none of above","NA","28352","2961","643173","609654","NA","565274","NA","NA","NA","NA","2962","27250","NA","28327","NA","NA","NA","NA","28326","NA","NA","568160","616430","568192","609651","568192","568192","568160","644175","644175","610656","610657","NA","644176","NA","NA","NA","NA","NA","645730","614554","NA","616503","NA","NA","NA","NA","646233","615057","646233","615057","642466","615930","632473","NA","646858","NA","647358","NA","NA","624437","568160","616500","643170","28353","624437","NA","NA","NA","28356","NA","NA","624437","Orientation_PSA2018","9","48865","20","yes","1024"
"8552","ENG_LIST1.csv","F","F","ENG_Prac2.csv","The builder pushed the wheelbarrow towards the pile of bricks.","trmpet.jpg","V","45.4545454545","45.4545454545","[6, 10, 14, 19, 22, 27, 31, 33, 37, 42, 47]","2264.13636364","2264.13636364","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","4","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","NA","0","5","0","5","0","0","0","4","4","5","5","NA","4","NA","NA","NA","NA","0","4","5","0","0","0","0","0","0","4","5","4","5","4","5","4","5","4","5","4","NA","4","0","0","0","4","0","0","0","0","0","0","0","0","0","09/27/19 10:00:41","Matching Tasks","yes","","SP.osexp","C:\Users\Chopik1\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","4","1","5","4","C:/Users/Chopik1/Desktop/Scripts/SP Data/202.CSV","legacy","Kafkaesque Koffka","3.2.8","NA","0","0","F","NA","space","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","F","J","NA","NA","NA","NA","NA","space","NA","NA","774","NA","2860","NA","NA","NA","NA","3893","172","NA","NA","7912","NA","NA","NA","NA","774","870","NA","NA","NA","NA","NA","536915","NA","NA","2","legacy","1024","2","48000","-16","EXP","0","even","none of above","NA","28352","2961","647567","609654","NA","565274","NA","NA","NA","NA","2962","27250","NA","28327","NA","NA","NA","NA","28326","NA","NA","568160","616430","568192","609651","568192","568192","568160","648569","648569","610656","610657","NA","648570","NA","NA","NA","NA","NA","648746","614554","NA","616503","NA","NA","NA","NA","649248","615057","649249","615057","650026","615930","632473","NA","646858","NA","650526","NA","NA","624437","568160","616500","647564","28353","624437","NA","NA","NA","28356","NA","NA","624437","Orientation_PSA2018","10","49811","22","yes","1024"
"8552","ENG_LIST1.csv","F","F","ENG_Prac2.csv","Abby had a swiss army knife with many nifty tools.","watch.jpg","V","45.8333333333","45.8333333333","[6, 10, 14, 19, 22, 27, 31, 33, 37, 42, 47]","2169.20833333","2169.20833333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","NA","0","5","0","5","0","0","0","5","5","5","5","NA","5","NA","NA","NA","NA","0","5","5","0","0","0","0","0","0","5","5","5","5","5","5","5","5","5","5","5","NA","5","0","0","0","5","0","0","0","0","0","0","0","0","0","09/27/19 10:00:41","Matching Tasks","yes","","SP.osexp","C:\Users\Chopik1\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","5","1","5","5","C:/Users/Chopik1/Desktop/Scripts/SP Data/202.CSV","legacy","Kafkaesque Koffka","3.2.8","NA","0","0","F","NA","space","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","F","J","NA","NA","NA","NA","NA","space","NA","NA","615","NA","2860","NA","NA","NA","NA","3893","1635","NA","NA","7912","NA","NA","NA","NA","615","870","NA","NA","NA","NA","NA","536915","NA","NA","2","legacy","1024","2","48000","-16","EXP","0","even","none of above","NA","28352","2961","650729","609654","NA","565274","NA","NA","NA","NA","2962","27250","NA","28327","NA","NA","NA","NA","28326","NA","NA","568160","616430","568192","609651","568192","568192","568160","651731","651731","610656","610657","NA","651732","NA","NA","NA","NA","NA","653370","614554","NA","616503","NA","NA","NA","NA","653872","615057","653872","615057","654490","615930","632473","NA","646858","NA","654990","NA","NA","624437","568160","616500","650726","28353","624437","NA","NA","NA","28356","NA","NA","624437","Orientation_PSA2018","11","52061","24","yes","1024"
"8552","ENG_LIST1.csv","Y","V","ENG_Prac2.csv","Frank placed the iron onto the shelf, hoping he wouldn't be late.","ironV.jpg","V","46.1538461538","46.1538461538","[6, 10, 14, 19, 22, 27, 31, 33, 37, 42, 47]","2111.73076923","2111.73076923","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","6","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","NA","0","5","0","5","0","0","0","6","6","5","5","NA","6","NA","NA","NA","NA","0","6","5","0","0","0","0","0","0","6","5","6","5","6","5","6","5","6","5","6","NA","6","0","0","0","6","0","0","0","0","0","0","0","0","0","09/27/19 10:00:41","Matching Tasks","yes","","SP.osexp","C:\Users\Chopik1\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","6","1","5","6","C:/Users/Chopik1/Desktop/Scripts/SP Data/202.CSV","legacy","Kafkaesque Koffka","3.2.8","NA","0","0","J","NA","space","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","J","J","NA","NA","NA","NA","NA","space","NA","NA","726","NA","2860","NA","NA","NA","NA","3893","2118","NA","NA","7912","NA","NA","NA","NA","726","870","NA","NA","NA","NA","NA","536915","NA","NA","2","legacy","1024","2","48000","-16","EXP","0","even","none of above","NA","28352","2961","655205","609654","NA","565274","NA","NA","NA","NA","2962","27250","NA","28327","NA","NA","NA","NA","28326","NA","NA","568160","616430","568192","609651","568192","568192","568160","656208","656209","610656","610657","NA","656209","NA","NA","NA","NA","NA","658330","614554","NA","616503","NA","NA","NA","NA","658833","615057","658833","615057","659562","615930","632473","NA","646858","NA","660062","NA","NA","624437","568160","616500","655203","28353","624437","NA","NA","NA","28356","NA","NA","624437","Orientation_PSA2018","12","54905","26","yes","1024"
"8552","ENG_LIST1.csv","Y","V","ENG_Prac2.csv","Frank placed the iron onto the shelf, hoping he wouldn't be late.","ironV.jpg","M","48.1481481481","48.1481481481","[6, 10, 14, 19, 22, 27, 31, 33, 37, 42, 47]","2295.59259259","2295.59259259","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","1","undefined","1","1","undefined","6","f","0","0","0","6","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","5","0","5","0","0","0","6","6","5","5","0","6","0","0","0","0","0","6","5","0","0","0","0","0","0","6","5","6","5","6","5","6","5","6","5","7","NA","6","0","0","0","6","0","0","0","0","0","0","0","0","0","09/27/19 10:00:41","Matching Tasks","yes","","SP.osexp","C:\Users\Chopik1\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","0","1","5","6","C:/Users/Chopik1/Desktop/Scripts/SP Data/202.CSV","legacy","Kafkaesque Koffka","3.2.8","Rick hurriedly stuck his pencil in the coffee mug.","0","0","F","NA","space","NA","NA","NA","NA","space","space","F","NA","space","NA","NA","NA","NA","J","J","NA","NA","NA","NA","NA","space","NA","NA","7076","NA","2860","NA","NA","NA","NA","3893","2118","7076","NA","7912","NA","NA","NA","NA","726","870","NA","NA","NA","NA","NA","536915","NA","NA","2","legacy","1024","2","48000","-16","EXP","0","even","none of above","NA","28352","2961","655205","609654","NA","565274","NA","NA","NA","NA","2962","27250","NA","28327","NA","NA","NA","NA","28326","660094","660176","568160","616430","568192","609651","568192","568192","568160","656208","656209","610656","610657","660176","656209","660179","667258","660179","NA","NA","658330","614554","NA","616503","NA","NA","NA","NA","658833","615057","658833","615057","659562","615930","632473","NA","646858","NA","668758","NA","NA","624437","568160","616500","655203","28353","624437","NA","NA","NA","28356","NA","NA","624437","Orientation_PSA2018","13","61981","27","yes","1024"
"8552","ENG_LIST1.csv","Y","H","ENG_Prac2.csv","Derek swung his bat as the ball approached.","batH.jpg","V","48.275862069","48.275862069","[6, 10, 14, 19, 22, 27, 31, 33, 37, 42, 47]","2216.55172414","2216.55172414","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","1","undefined","1","1","undefined","6","j","0","0","0","7","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","5","0","5","0","0","0","7","7","5","5","0","7","0","0","0","0","0","7","5","0","0","0","0","0","0","7","5","7","5","7","5","7","5","7","5","8","NA","7","0","0","0","7","0","0","0","0","0","0","0","0","0","09/27/19 10:00:41","Matching Tasks","yes","","SP.osexp","C:\Users\Chopik1\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","7","1","5","7","C:/Users/Chopik1/Desktop/Scripts/SP Data/202.CSV","legacy","Kafkaesque Koffka","3.2.8","Rick hurriedly stuck his pencil in the coffee mug.","0","0","J","NA","space","NA","NA","NA","NA","space","space","F","NA","space","NA","NA","NA","NA","J","J","NA","NA","NA","NA","NA","space","NA","NA","741","NA","2860","NA","NA","NA","NA","3893","1558","7076","NA","7912","NA","NA","NA","NA","741","870","NA","NA","NA","NA","NA","536915","NA","NA","2","legacy","1024","2","48000","-16","EXP","0","even","none of above","NA","28352","2961","668996","609654","NA","565274","NA","NA","NA","NA","2962","27250","NA","28327","NA","NA","NA","NA","28326","660094","660176","568160","616430","568192","609651","568192","568192","568160","669999","669999","610656","610657","660176","670000","660179","667258","660179","NA","NA","671562","614554","NA","616503","NA","NA","NA","NA","672064","615057","672065","615057","672810","615930","632473","NA","646858","NA","673310","NA","NA","624437","568160","616500","668993","28353","624437","NA","NA","NA","28356","NA","NA","624437","Orientation_PSA2018","14","64280","29","yes","1024"
"8552","ENG_LIST1.csv","Y","V","ENG_Prac2.csv","Mick set his guitar on the rack as he warmed up for the concert.","guitarV.jpg","V","48.3870967742","48.3870967742","[6, 10, 14, 19, 22, 27, 31, 33, 37, 42, 47]","2222.96774194","2222.96774194","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","1","undefined","1","1","undefined","6","j","0","0","0","8","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","5","0","5","0","0","0","8","8","5","5","0","8","0","0","0","0","0","8","5","0","0","0","0","0","0","8","5","8","5","8","5","8","5","8","5","9","NA","8","0","0","0","8","0","0","0","0","0","0","0","0","0","09/27/19 10:00:41","Matching Tasks","yes","","SP.osexp","C:\Users\Chopik1\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","8","1","5","8","C:/Users/Chopik1/Desktop/Scripts/SP Data/202.CSV","legacy","Kafkaesque Koffka","3.2.8","Rick hurriedly stuck his pencil in the coffee mug.","0","0","J","NA","space","NA","NA","NA","NA","space","space","F","NA","space","NA","NA","NA","NA","J","J","NA","NA","NA","NA","NA","space","NA","NA","589","NA","2860","NA","NA","NA","NA","3893","4043","7076","NA","7912","NA","NA","NA","NA","589","870","NA","NA","NA","NA","NA","536915","NA","NA","2","legacy","1024","2","48000","-16","EXP","0","even","none of above","NA","28352","2961","673521","609654","NA","565274","NA","NA","NA","NA","2962","27250","NA","28327","NA","NA","NA","NA","28326","660094","660176","568160","616430","568192","609651","568192","568192","568160","674523","674524","610656","610657","660176","674524","660179","667258","660179","NA","NA","678570","614554","NA","616503","NA","NA","NA","NA","679072","615057","679073","615057","679666","615930","632473","NA","646858","NA","680166","NA","NA","624437","568160","616500","673518","28353","624437","NA","NA","NA","28356","NA","NA","624437","Orientation_PSA2018","15","68912","31","yes","1024"
