"LAB_SEED","List","Match","Orientation","PList","Probe","Target","Task","acc","accuracy","alt_task","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instruction_E","correct_Probe_Prac_response","correct_Probe_response","correct_Probe_sti_response","correct_Start_E","correct_Target_response","correct_Target_response_Prac","correct_Welcome_E","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_First_Fixation","count_First_Fixation_Prac","count_Instruction_DE","count_Instruction_E","count_Instruction_NOB","count_Instruction_PL","count_Instruction_SC","count_Instruction_TC","count_LAB_SEED","count_Language_Selection","count_List_Select_DE","count_List_Select_E","count_List_Select_NOB","count_List_Select_PL","count_List_Select_SC","count_List_Select_TC","count_List_Selection","count_Memory_loop","count_Memory_sequence","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Probe","count_Probe_Collect","count_Probe_Prac","count_Probe_Prac_response","count_Probe_import","count_Probe_response","count_Probe_sti","count_Probe_sti_correct","count_Probe_sti_response","count_Probe_sti_wrong","count_STUDY_order","count_Second_Fixation","count_Second_Fixation_Prac","count_Start_DE","count_Start_E","count_Start_NOB","count_Start_PL","count_Start_SC","count_Start_TC","count_Target","count_Target_Prac","count_Target_response","count_Target_response_Prac","count_Target_response_correct","count_Target_response_correct_Prac","count_Target_response_noans","count_Target_response_noans_Prac","count_Target_response_wrong","count_Target_response_wrong_Prac","count_Trial_logger","count_Verification_Break","count_Verification_End","count_Verification_Exp","count_Verification_Prac","count_Verification_Start","count_Verification_Trial","count_Verification_Welcome","count_Verification_loop","count_Welcom_SC","count_Welcom_TC","count_Welcome_DE","count_Welcome_E","count_Welcome_NOB","count_Welcome_PL","count_presetup","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","keyboard_backend","language1","language2","language3","language4","language5","language6","live_row","live_row_Prac","live_row_Prac_loop","live_row_Verification_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","rectarget","repeat_cycle","reset_loop","response","response_Instruction_DE","response_Instruction_E","response_Instruction_NOB","response_Instruction_PL","response_Instruction_SC","response_Instruction_TC","response_Probe_Prac_response","response_Probe_response","response_Probe_sti_response","response_Start_DE","response_Start_E","response_Start_NOB","response_Start_PL","response_Start_SC","response_Start_TC","response_Target_response","response_Target_response_Prac","response_Verification_Break","response_Verification_End","response_Welcom_SC","response_Welcom_TC","response_Welcome_DE","response_Welcome_E","response_Welcome_NOB","response_Welcome_PL","response_time","response_time_Instruction_DE","response_time_Instruction_E","response_time_Instruction_NOB","response_time_Instruction_PL","response_time_Instruction_SC","response_time_Instruction_TC","response_time_Probe_Prac_response","response_time_Probe_response","response_time_Probe_sti_response","response_time_Start_DE","response_time_Start_E","response_time_Start_NOB","response_time_Start_PL","response_time_Start_SC","response_time_Start_TC","response_time_Target_response","response_time_Target_response_Prac","response_time_Verification_Break","response_time_Verification_End","response_time_Welcom_SC","response_time_Welcom_TC","response_time_Welcome_DE","response_time_Welcome_E","response_time_Welcome_NOB","response_time_Welcome_PL","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","task_order","time_Check_This","time_Disable_Mouse","time_EXP","time_First_Fixation","time_First_Fixation_Prac","time_Instruction_DE","time_Instruction_E","time_Instruction_NOB","time_Instruction_PL","time_Instruction_SC","time_Instruction_TC","time_LAB_SEED","time_Language_Selection","time_List_Select_DE","time_List_Select_E","time_List_Select_NOB","time_List_Select_PL","time_List_Select_SC","time_List_Select_TC","time_List_Selection","time_Memory_loop","time_Memory_sequence","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Probe","time_Probe_Collect","time_Probe_Prac","time_Probe_Prac_response","time_Probe_import","time_Probe_response","time_Probe_sti","time_Probe_sti_correct","time_Probe_sti_response","time_Probe_sti_wrong","time_STUDY_order","time_Second_Fixation","time_Second_Fixation_Prac","time_Start_DE","time_Start_E","time_Start_NOB","time_Start_PL","time_Start_SC","time_Start_TC","time_Target","time_Target_Prac","time_Target_response","time_Target_response_Prac","time_Target_response_correct","time_Target_response_correct_Prac","time_Target_response_noans","time_Target_response_noans_Prac","time_Target_response_wrong","time_Target_response_wrong_Prac","time_Trial_logger","time_Verification_Break","time_Verification_End","time_Verification_Exp","time_Verification_Prac","time_Verification_Start","time_Verification_Trial","time_Verification_Welcome","time_Verification_loop","time_Welcom_SC","time_Welcom_TC","time_Welcome_DE","time_Welcome_E","time_Welcome_NOB","time_Welcome_PL","time_presetup","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"8552","ENG_LIST2.csv","Y","H","ENG_Prac2.csv","The toddler drew a kitty cat with his crayon on his bedroom door.","crayonH.jpg","V","50","50","[5, 10, 13, 17, 23, 25, 31, 35, 39, 41, 46]","2396.21428571","2396.21428571","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","0","5","0","5","0","0","0","0","0","5","5","NA","0","NA","NA","NA","NA","0","0","5","0","0","0","0","0","0","0","5","0","5","0","5","0","5","0","5","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10/04/19 13:44:54","Matching Tasks","yes","","SP.osexp","C:\Users\psy-chop89-8\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","0","1","5","0","C:/Users/psy-chop89-8/Desktop/Scripts/SP Data/388.csv","legacy","Kafkaesque Koffka","3.2.8","NA","0","0","j","NA","space","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","j","j","NA","NA","NA","NA","NA","space","NA","NA","585","NA","4270","NA","NA","NA","NA","3147","3911","NA","NA","1945","NA","NA","NA","NA","585","1865","NA","NA","NA","NA","NA","1065910","NA","NA","2","legacy","1024","2","48000","-16","EXP","388","even","none of above","NA","6858","2540","1121170","1111566","NA","1072773","NA","NA","NA","NA","2541","6130","NA","6848","NA","NA","NA","NA","6848","NA","NA","1077053","1119085","1077067","1111565","1077068","1077067","1077053","1122171","1122171","1112568","1112568","NA","1122171","NA","NA","NA","NA","NA","1126084","1115717","NA","1119114","NA","NA","NA","NA","1126585","1116218","1126585","1116218","1127172","1118084","NA","1118585","NA","NA","1127672","NA","NA","1121068","1077053","1119113","1121169","6858","1121074","NA","NA","NA","6860","NA","NA","1121068","Orientation_PSA2018","7","33547","14","yes","1024"
"8552","ENG_LIST2.csv","Y","V","ENG_Prac2.csv","The young husband prepared to place the spare tire onto the wheel.","tireV.jpg","V","50","50","[5, 10, 13, 17, 23, 25, 31, 35, 39, 41, 46]","2389.125","2389.125","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","NA","0","5","0","5","0","0","0","1","1","5","5","NA","1","NA","NA","NA","NA","0","1","5","0","0","0","0","0","0","1","5","1","5","1","5","1","5","1","5","1","NA","1","0","0","0","1","0","0","0","0","0","0","0","0","0","10/04/19 13:44:54","Matching Tasks","yes","","SP.osexp","C:\Users\psy-chop89-8\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","1","1","5","1","C:/Users/psy-chop89-8/Desktop/Scripts/SP Data/388.csv","legacy","Kafkaesque Koffka","3.2.8","NA","0","0","j","NA","space","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","j","j","NA","NA","NA","NA","NA","space","NA","NA","665","NA","4270","NA","NA","NA","NA","3147","4014","NA","NA","1945","NA","NA","NA","NA","665","1865","NA","NA","NA","NA","NA","1065910","NA","NA","2","legacy","1024","2","48000","-16","EXP","388","even","none of above","NA","6858","2540","1127787","1111566","NA","1072773","NA","NA","NA","NA","2541","6130","NA","6848","NA","NA","NA","NA","6848","NA","NA","1077053","1119085","1077067","1111565","1077068","1077067","1077053","1128788","1128788","1112568","1112568","NA","1128788","NA","NA","NA","NA","NA","1132804","1115717","NA","1119114","NA","NA","NA","NA","1133305","1116218","1133305","1116218","1133972","1118084","NA","1118585","NA","NA","1134472","NA","NA","1121068","1077053","1119113","1127785","6858","1121074","NA","NA","NA","6860","NA","NA","1121068","Orientation_PSA2018","8","38226","16","yes","1024"
"8552","ENG_LIST2.csv","Y","H","ENG_Prac2.csv","The race car driver fastened the fire-extinguisher under his seat.","fire_extinguisherH.jpg","V","50","50","[5, 10, 13, 17, 23, 25, 31, 35, 39, 41, 46]","2778.83333333","2778.83333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","2","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","NA","0","5","0","5","0","0","0","2","2","5","5","NA","2","NA","NA","NA","NA","0","2","5","0","0","0","0","0","0","2","5","2","5","2","5","2","5","2","5","2","NA","2","0","0","0","2","0","0","0","0","0","0","0","0","0","10/04/19 13:44:54","Matching Tasks","yes","","SP.osexp","C:\Users\psy-chop89-8\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","2","1","5","2","C:/Users/psy-chop89-8/Desktop/Scripts/SP Data/388.csv","legacy","Kafkaesque Koffka","3.2.8","NA","0","0","j","NA","space","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","j","j","NA","NA","NA","NA","NA","space","NA","NA","937","NA","4270","NA","NA","NA","NA","3147","10856","NA","NA","1945","NA","NA","NA","NA","937","1865","NA","NA","NA","NA","NA","1065910","NA","NA","2","legacy","1024","2","48000","-16","EXP","388","even","none of above","NA","6858","2540","1134578","1111566","NA","1072773","NA","NA","NA","NA","2541","6130","NA","6848","NA","NA","NA","NA","6848","NA","NA","1077053","1119085","1077067","1111565","1077068","1077067","1077053","1135579","1135579","1112568","1112568","NA","1135579","NA","NA","NA","NA","NA","1146436","1115717","NA","1119114","NA","NA","NA","NA","1146938","1116218","1146938","1116218","1147877","1118084","NA","1118585","NA","NA","1148377","NA","NA","1121068","1077053","1119113","1134576","6858","1121074","NA","NA","NA","6860","NA","NA","1121068","Orientation_PSA2018","9","50019","18","yes","1024"
"8552","ENG_LIST2.csv","Y","V","ENG_Prac2.csv","Jim prepared to insert the screw into the top of the cabinet.","screwV.jpg","V","50","50","[5, 10, 13, 17, 23, 25, 31, 35, 39, 41, 46]","2693.65","2693.65","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","NA","0","5","0","5","0","0","0","3","3","5","5","NA","3","NA","NA","NA","NA","0","3","5","0","0","0","0","0","0","3","5","3","5","3","5","3","5","3","5","3","NA","3","0","0","0","3","0","0","0","0","0","0","0","0","0","10/04/19 13:44:54","Matching Tasks","yes","","SP.osexp","C:\Users\psy-chop89-8\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","3","1","5","3","C:/Users/psy-chop89-8/Desktop/Scripts/SP Data/388.csv","legacy","Kafkaesque Koffka","3.2.8","NA","0","0","j","NA","space","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","j","j","NA","NA","NA","NA","NA","space","NA","NA","1290","NA","4270","NA","NA","NA","NA","3147","2564","NA","NA","1945","NA","NA","NA","NA","1290","1865","NA","NA","NA","NA","NA","1065910","NA","NA","2","legacy","1024","2","48000","-16","EXP","388","even","none of above","NA","6858","2540","1148486","1111566","NA","1072773","NA","NA","NA","NA","2541","6130","NA","6848","NA","NA","NA","NA","6848","NA","NA","1077053","1119085","1077067","1111565","1077068","1077067","1077053","1149487","1149487","1112568","1112568","NA","1149487","NA","NA","NA","NA","NA","1152052","1115717","NA","1119114","NA","NA","NA","NA","1152553","1116218","1152553","1116218","1153844","1118084","NA","1118585","NA","NA","1154344","NA","NA","1121068","1077053","1119113","1148484","6858","1121074","NA","NA","NA","6860","NA","NA","1121068","Orientation_PSA2018","10","53873","20","yes","1024"
"8552","ENG_LIST2.csv","F","F","ENG_Prac2.csv","The elderly man took his hat off and sat down in the chair.","buggy.jpg","V","50","50","[5, 10, 13, 17, 23, 25, 31, 35, 39, 41, 46]","2614.04545455","2614.04545455","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","4","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","NA","0","5","0","5","0","0","0","4","4","5","5","NA","4","NA","NA","NA","NA","0","4","5","0","0","0","0","0","0","4","5","4","5","4","5","4","5","4","5","4","NA","4","0","0","0","4","0","0","0","0","0","0","0","0","0","10/04/19 13:44:54","Matching Tasks","yes","","SP.osexp","C:\Users\psy-chop89-8\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","4","1","5","4","C:/Users/psy-chop89-8/Desktop/Scripts/SP Data/388.csv","legacy","Kafkaesque Koffka","3.2.8","NA","0","0","f","NA","space","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","f","j","NA","NA","NA","NA","NA","space","NA","NA","729","NA","4270","NA","NA","NA","NA","3147","2907","NA","NA","1945","NA","NA","NA","NA","729","1865","NA","NA","NA","NA","NA","1065910","NA","NA","2","legacy","1024","2","48000","-16","EXP","388","even","none of above","NA","6858","2540","1154447","1111566","NA","1072773","NA","NA","NA","NA","2541","6130","NA","6848","NA","NA","NA","NA","6848","NA","NA","1077053","1119085","1077067","1111565","1077068","1077067","1077053","1155448","1155448","1112568","1112568","NA","1155448","NA","NA","NA","NA","NA","1158357","1115717","NA","1119114","NA","NA","NA","NA","1158858","1116218","1158858","1116218","1159589","1118084","NA","1118585","NA","NA","1160089","NA","NA","1121068","1077053","1119113","1154446","6858","1121074","NA","NA","NA","6860","NA","NA","1121068","Orientation_PSA2018","11","57509","22","yes","1024"
"8552","ENG_LIST2.csv","N","H","ENG_Prac2.csv","Janie grabbed the broom and rode it around the house, pretending it was her horse.","broomV.jpg","V","50","50","[5, 10, 13, 17, 23, 25, 31, 35, 39, 41, 46]","2573.58333333","2573.58333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","NA","0","5","0","5","0","0","0","5","5","5","5","NA","5","NA","NA","NA","NA","0","5","5","0","0","0","0","0","0","5","5","5","5","5","5","5","5","5","5","5","NA","5","0","0","0","5","0","0","0","0","0","0","0","0","0","10/04/19 13:44:54","Matching Tasks","yes","","SP.osexp","C:\Users\psy-chop89-8\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","5","1","5","5","C:/Users/psy-chop89-8/Desktop/Scripts/SP Data/388.csv","legacy","Kafkaesque Koffka","3.2.8","NA","0","0","j","NA","space","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","j","j","NA","NA","NA","NA","NA","space","NA","NA","825","NA","4270","NA","NA","NA","NA","3147","3432","NA","NA","1945","NA","NA","NA","NA","825","1865","NA","NA","NA","NA","NA","1065910","NA","NA","2","legacy","1024","2","48000","-16","EXP","388","even","none of above","NA","6858","2540","1160194","1111566","NA","1072773","NA","NA","NA","NA","2541","6130","NA","6848","NA","NA","NA","NA","6848","NA","NA","1077053","1119085","1077067","1111565","1077068","1077067","1077053","1161195","1161195","1112568","1112568","NA","1161195","NA","NA","NA","NA","NA","1164628","1115717","NA","1119114","NA","NA","NA","NA","1165129","1116218","1165129","1116218","1165956","1118084","NA","1118585","NA","NA","1166456","NA","NA","1121068","1077053","1119113","1160192","6858","1121074","NA","NA","NA","6860","NA","NA","1121068","Orientation_PSA2018","12","61766","24","yes","1024"
"8552","ENG_LIST2.csv","N","H","ENG_Prac2.csv","Janie grabbed the broom and rode it around the house, pretending it was her horse.","broomV.jpg","M","48","48","[5, 10, 13, 17, 23, 25, 31, 35, 39, 41, 46]","2657.48","2657.48","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","0","undefined","1","1","undefined","6","f","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","5","0","5","0","0","0","5","5","5","5","0","5","0","0","0","0","0","5","5","0","0","0","0","0","0","5","5","5","5","5","5","5","5","5","5","6","NA","5","0","0","0","5","0","0","0","0","0","0","0","0","0","10/04/19 13:44:54","Matching Tasks","yes","","SP.osexp","C:\Users\psy-chop89-8\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","0","1","5","5","C:/Users/psy-chop89-8/Desktop/Scripts/SP Data/388.csv","legacy","Kafkaesque Koffka","3.2.8","The race car driver fastened the fire-extinguisher under his seat.","0","0","j","NA","space","NA","NA","NA","NA","space","space","j","NA","space","NA","NA","NA","NA","j","j","NA","NA","NA","NA","NA","space","NA","NA","4671","NA","4270","NA","NA","NA","NA","3147","3432","4671","NA","1945","NA","NA","NA","NA","825","1865","NA","NA","NA","NA","NA","1065910","NA","NA","2","legacy","1024","2","48000","-16","EXP","388","even","none of above","NA","6858","2540","1160194","1111566","NA","1072773","NA","NA","NA","NA","2541","6130","NA","6848","NA","NA","NA","NA","6848","1166466","1166515","1077053","1119085","1077067","1111565","1077068","1077067","1077053","1161195","1161195","1112568","1112568","1166515","1161195","1166516","NA","1166516","1171188","NA","1164628","1115717","NA","1119114","NA","NA","NA","NA","1165129","1116218","1165129","1116218","1165956","1118084","NA","1118585","NA","NA","1172689","NA","NA","1121068","1077053","1119113","1160192","6858","1121074","NA","NA","NA","6860","NA","NA","1121068","Orientation_PSA2018","12","66437","25","yes","1024"
"8552","ENG_LIST2.csv","F","F","ENG_Prac2.csv","Penny threw the plant across the living room at Sheldon.","tapedispenser.jpg","V","48.1481481481","48.1481481481","[5, 10, 13, 17, 23, 25, 31, 35, 39, 41, 46]","2605.81481481","2605.81481481","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","0","undefined","1","1","undefined","6","f","0","0","0","6","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","5","0","5","0","0","0","6","6","5","5","0","6","0","0","0","0","0","6","5","0","0","0","0","0","0","6","5","6","5","6","5","6","5","6","5","7","NA","6","0","0","0","6","0","0","0","0","0","0","0","0","0","10/04/19 13:44:54","Matching Tasks","yes","","SP.osexp","C:\Users\psy-chop89-8\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","6","1","5","6","C:/Users/psy-chop89-8/Desktop/Scripts/SP Data/388.csv","legacy","Kafkaesque Koffka","3.2.8","The race car driver fastened the fire-extinguisher under his seat.","0","0","f","NA","space","NA","NA","NA","NA","space","space","j","NA","space","NA","NA","NA","NA","f","j","NA","NA","NA","NA","NA","space","NA","NA","633","NA","4270","NA","NA","NA","NA","3147","3287","4671","NA","1945","NA","NA","NA","NA","633","1865","NA","NA","NA","NA","NA","1065910","NA","NA","2","legacy","1024","2","48000","-16","EXP","388","even","none of above","NA","6858","2540","1172802","1111566","NA","1072773","NA","NA","NA","NA","2541","6130","NA","6848","NA","NA","NA","NA","6848","1166466","1166515","1077053","1119085","1077067","1111565","1077068","1077067","1077053","1173803","1173803","1112568","1112568","1166515","1173803","1166516","NA","1166516","1171188","NA","1177092","1115717","NA","1119114","NA","NA","NA","NA","1177593","1116218","1177593","1116218","1178228","1118084","NA","1118585","NA","NA","1178728","NA","NA","1121068","1077053","1119113","1172801","6858","1121074","NA","NA","NA","6860","NA","NA","1121068","Orientation_PSA2018","13","70357","27","yes","1024"
"8552","ENG_LIST2.csv","F","F","ENG_Prac2.csv","The colorful puzzle was much harder than the little boy had expected.","nut.jpg","V","44.8275862069","44.8275862069","[5, 10, 13, 17, 23, 25, 31, 35, 39, 41, 46]","2468.65517241","2468.65517241","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","0","undefined","0","1","undefined","6","f","0","0","0","7","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","5","0","5","0","0","0","7","7","5","5","0","7","0","0","0","0","0","7","5","0","0","0","0","0","0","7","5","7","5","7","5","7","5","7","5","8","NA","7","0","0","0","7","0","0","0","0","0","0","0","0","0","10/04/19 13:44:54","Matching Tasks","yes","","SP.osexp","C:\Users\psy-chop89-8\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","7","1","5","7","C:/Users/psy-chop89-8/Desktop/Scripts/SP Data/388.csv","legacy","Kafkaesque Koffka","3.2.8","The race car driver fastened the fire-extinguisher under his seat.","0","0","j","NA","space","NA","NA","NA","NA","space","space","j","NA","space","NA","NA","NA","NA","j","j","NA","NA","NA","NA","NA","space","NA","NA","1160","NA","4270","NA","NA","NA","NA","3147","74","4671","NA","1945","NA","NA","NA","NA","1160","1865","NA","NA","NA","NA","NA","1065910","NA","NA","2","legacy","1024","2","48000","-16","EXP","388","even","none of above","NA","6858","2540","1178832","1111566","NA","1072773","NA","NA","NA","NA","2541","6130","NA","6848","NA","NA","NA","NA","6848","1166466","1166515","1077053","1119085","1077067","1111565","1077068","1077067","1077053","1179833","1179833","1112568","1112568","1166515","1179833","1166516","NA","1166516","1171188","NA","1179909","1115717","NA","1119114","NA","NA","NA","NA","1180410","1116218","1180410","1116218","1178228","1118084","NA","1118585","1181572","NA","1182072","NA","NA","1121068","1077053","1119113","1178831","6858","1121074","NA","NA","NA","6860","NA","NA","1121068","Orientation_PSA2018","13","71591","29","yes","1024"
"8552","ENG_LIST2.csv","N","H","ENG_Prac2.csv","Jessica stuck the bottle in the wine rack, anticipating a romantic evening.","bottleV.jpg","V","45.1612903226","45.1612903226","[5, 10, 13, 17, 23, 25, 31, 35, 39, 41, 46]","2508.58064516","2508.58064516","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","0","undefined","1","1","undefined","6","j","0","0","0","8","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","5","0","5","0","0","0","8","8","5","5","0","8","0","0","0","0","0","8","5","0","0","0","0","0","0","8","5","8","5","8","5","8","5","8","5","9","NA","8","0","0","0","8","0","0","0","0","0","0","0","0","0","10/04/19 13:44:54","Matching Tasks","yes","","SP.osexp","C:\Users\psy-chop89-8\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","8","1","5","8","C:/Users/psy-chop89-8/Desktop/Scripts/SP Data/388.csv","legacy","Kafkaesque Koffka","3.2.8","The race car driver fastened the fire-extinguisher under his seat.","0","0","j","NA","space","NA","NA","NA","NA","space","space","j","NA","space","NA","NA","NA","NA","j","j","NA","NA","NA","NA","NA","space","NA","NA","1641","NA","4270","NA","NA","NA","NA","3147","4534","4671","NA","1945","NA","NA","NA","NA","1641","1865","NA","NA","NA","NA","NA","1065910","NA","NA","2","legacy","1024","2","48000","-16","EXP","388","even","none of above","NA","6858","2540","1182179","1111566","NA","1072773","NA","NA","NA","NA","2541","6130","NA","6848","NA","NA","NA","NA","6848","1166466","1166515","1077053","1119085","1077067","1111565","1077068","1077067","1077053","1183180","1183180","1112568","1112568","1166515","1183181","1166516","NA","1166516","1171188","NA","1187716","1115717","NA","1119114","NA","NA","NA","NA","1188217","1116218","1188217","1116218","1189860","1118084","1190362","1118585","1181572","NA","1190862","NA","NA","1121068","1077053","1119113","1182178","6858","1121074","NA","NA","NA","6860","NA","NA","1121068","Orientation_PSA2018","14","77766","31","yes","1024"
