"Result ID","Start Time ","Last Seen ","Duration ","Batch","Worker ID ","Worker Type ","MTurk Worker ID (Confirmation Code) ","State ","Message "
"3024","2021/04/25 20:29:55","2021/04/25 20:37:58","00:08:33","USA_030","3018","General Single","none(none)","FINISHED","none"
"3256","2021/04/29 19:17:09","2021/04/29 19:25:12","00:09:15","USA_030","3249","General Single","none(none)","FINISHED","none"
"906","2021/03/16 19:21:54","2021/03/16 19:29:55","00:09:28","USA_030","912","General Multiple","none(none)","FINISHED","none"
"869","2021/03/16 17:20:31","2021/03/16 17:28:33","00:09:40","USA_030","875","General Multiple","none(none)","FINISHED","none"
"1093","2021/03/21 20:32:29","2021/03/21 20:40:31","00:09:44","USA_030","1099","General Single","none(none)","FINISHED","none"
"1585","2021/04/05 16:40:30","2021/04/05 16:48:32","00:09:59","USA_030","1589","General Single","none(none)","FINISHED","none"
"1743","2021/04/11 17:06:21","2021/04/11 17:16:29","00:10:09","USA_030","1746","General Single","none(none)","FINISHED","none"
"3283","2021/04/29 22:59:45","2021/04/29 23:09:47","00:10:15","USA_030","3276","General Single","none(none)","FINISHED","none"
"871","2021/03/16 17:21:29","2021/03/16 17:31:31","00:10:20","USA_030","877","General Multiple","none(none)","FINISHED","none"
"873","2021/03/16 17:22:42","2021/03/16 17:32:45","00:10:37","USA_030","879","General Multiple","none(none)","FINISHED","none"
"682","2021/03/09 18:49:20","2021/03/09 18:59:23","00:10:51","USA_030","688","General Single","none(none)","FINISHED","none"
"879","2021/03/16 17:35:49","2021/03/16 17:45:52","00:10:59","USA_030","885","General Multiple","none(none)","FINISHED","none"
"875","2021/03/16 17:24:52","2021/03/16 17:34:54","00:11:27","USA_030","881","General Multiple","none(none)","FINISHED","none"
"3067","2021/04/27 15:34:31","2021/04/27 15:44:34","00:11:37","USA_030","3061","General Single","none(none)","FINISHED","none"
"902","2021/03/16 19:04:08","2021/03/16 19:14:10","00:11:53","USA_030","908","General Multiple","none(none)","FINISHED","none"
"876","2021/03/16 17:25:37","2021/03/16 17:35:39","00:11:56","USA_030","882","General Multiple","none(none)","FINISHED","none"
"842","2021/03/15 22:21:13","2021/03/15 22:33:15","00:12:12","USA_030","848","General Multiple","none(none)","FINISHED","none"
"874","2021/03/16 17:24:42","2021/03/16 17:36:44","00:12:13","USA_030","880","General Multiple","none(none)","FINISHED","none"
"723","2021/03/10 22:08:31","2021/03/10 22:20:34","00:12:22","USA_030","729","General Single","none(none)","FINISHED","none"
"1135","2021/03/23 01:08:24","2021/03/23 01:20:26","00:12:59","USA_030","1141","General Single","none(none)","FINISHED","none"
"684","2021/03/09 19:41:17","2021/03/09 19:53:19","00:13:18","USA_030","690","General Single","none(none)","FINISHED","none"
"2588","2021/04/19 20:05:44","2021/04/19 20:17:46","00:13:20","USA_030","2582","General Single","none(none)","FINISHED","none"
"877","2021/03/16 17:31:06","2021/03/16 17:45:08","00:15:14","USA_030","883","General Multiple","none(none)","FINISHED","none"
"2876","2021/04/23 14:12:08","2021/04/23 14:26:10","00:15:37","USA_030","2870","General Single","none(none)","FINISHED","none"
"2141","2021/04/16 19:08:07","2021/04/16 19:26:09","00:19:35","USA_030","2136","General Single","none(none)","FINISHED","none"
"3030","2021/04/26 15:39:09","2021/04/26 16:09:15","00:30:14","USA_030","3024","General Single","none(none)","FINISHED","none"
"3094","2021/04/28 14:02:21","2021/04/28 15:40:14","02:18:18","USA_030","3087","General Single","none(none)","FINISHED","none"
