"LAB_SEED","List","Match","Orientation","PList","Probe","Target","Task","acc","accuracy","alt_task","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instruction_E","correct_Probe_Prac_response","correct_Probe_response","correct_Probe_sti_response","correct_Start_E","correct_Target_response","correct_Target_response_Prac","correct_Welcome_E","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_First_Fixation","count_First_Fixation_Prac","count_Instruction_DE","count_Instruction_E","count_Instruction_HUN","count_Instruction_NOR","count_Instruction_PL","count_Instruction_SC","count_Instruction_TC","count_Instruction_THAI","count_LAB_SEED","count_Language_Selection","count_List_Select_DE","count_List_Select_E","count_List_Select_HUN","count_List_Select_NOR","count_List_Select_PL","count_List_Select_SC","count_List_Select_TC","count_List_Select_THAI","count_List_Selection","count_Memory_loop","count_Memory_sequence","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Probe","count_Probe_Collect","count_Probe_Prac","count_Probe_Prac_response","count_Probe_import","count_Probe_response","count_Probe_sti","count_Probe_sti_correct","count_Probe_sti_response","count_Probe_sti_wrong","count_STUDY_order","count_Second_Fixation","count_Second_Fixation_Prac","count_Start_DE","count_Start_E","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_SC","count_Start_TC","count_Start_THAI","count_Target","count_Target_Prac","count_Target_response","count_Target_response_Prac","count_Target_response_correct","count_Target_response_correct_Prac","count_Target_response_noans","count_Target_response_noans_Prac","count_Target_response_wrong","count_Target_response_wrong_Prac","count_Trial_logger","count_Verification_Break","count_Verification_End","count_Verification_Exp","count_Verification_Prac","count_Verification_Start","count_Verification_Trial","count_Verification_Welcome","count_Verification_loop","count_Welcom_SC","count_Welcom_TC","count_Welcom_THAI","count_Welcome_DE","count_Welcome_E","count_Welcome_HUN","count_Welcome_NOR","count_Welcome_PL","count_presetup","datetime","de","description","disable_garbage_collection","empty_column","en","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","hun","keyboard_backend","live_row","live_row_Prac","live_row_Prac_loop","live_row_Verification_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","pol","rectarget","repeat_cycle","reset_loop","response","response_Instruction_DE","response_Instruction_E","response_Instruction_HUN","response_Instruction_NOR","response_Instruction_PL","response_Instruction_SC","response_Instruction_TC","response_Instruction_THAI","response_Probe_Prac_response","response_Probe_response","response_Probe_sti_response","response_Start_DE","response_Start_E","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_SC","response_Start_TC","response_Start_THAI","response_Target_response","response_Target_response_Prac","response_Verification_Break","response_Verification_End","response_Welcom_SC","response_Welcom_TC","response_Welcom_THAI","response_Welcome_DE","response_Welcome_E","response_Welcome_HUN","response_Welcome_NOR","response_Welcome_PL","response_time","response_time_Instruction_DE","response_time_Instruction_E","response_time_Instruction_HUN","response_time_Instruction_NOR","response_time_Instruction_PL","response_time_Instruction_SC","response_time_Instruction_TC","response_time_Instruction_THAI","response_time_Probe_Prac_response","response_time_Probe_response","response_time_Probe_sti_response","response_time_Start_DE","response_time_Start_E","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_SC","response_time_Start_TC","response_time_Start_THAI","response_time_Target_response","response_time_Target_response_Prac","response_time_Verification_Break","response_time_Verification_End","response_time_Welcom_SC","response_time_Welcom_TC","response_time_Welcom_THAI","response_time_Welcome_DE","response_time_Welcome_E","response_time_Welcome_HUN","response_time_Welcome_NOR","response_time_Welcome_PL","round_decimals","sampler_backend","sc","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","task_order","tc","thai","time_Check_This","time_Disable_Mouse","time_EXP","time_First_Fixation","time_First_Fixation_Prac","time_Instruction_DE","time_Instruction_E","time_Instruction_HUN","time_Instruction_NOR","time_Instruction_PL","time_Instruction_SC","time_Instruction_TC","time_Instruction_THAI","time_LAB_SEED","time_Language_Selection","time_List_Select_DE","time_List_Select_E","time_List_Select_HUN","time_List_Select_NOR","time_List_Select_PL","time_List_Select_SC","time_List_Select_TC","time_List_Select_THAI","time_List_Selection","time_Memory_loop","time_Memory_sequence","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Probe","time_Probe_Collect","time_Probe_Prac","time_Probe_Prac_response","time_Probe_import","time_Probe_response","time_Probe_sti","time_Probe_sti_correct","time_Probe_sti_response","time_Probe_sti_wrong","time_STUDY_order","time_Second_Fixation","time_Second_Fixation_Prac","time_Start_DE","time_Start_E","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_SC","time_Start_TC","time_Start_THAI","time_Target","time_Target_Prac","time_Target_response","time_Target_response_Prac","time_Target_response_correct","time_Target_response_correct_Prac","time_Target_response_noans","time_Target_response_noans_Prac","time_Target_response_wrong","time_Target_response_wrong_Prac","time_Trial_logger","time_Verification_Break","time_Verification_End","time_Verification_Exp","time_Verification_Prac","time_Verification_Start","time_Verification_Trial","time_Verification_Welcome","time_Verification_loop","time_Welcom_SC","time_Welcom_TC","time_Welcom_THAI","time_Welcome_DE","time_Welcome_E","time_Welcome_HUN","time_Welcome_NOR","time_Welcome_PL","time_presetup","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"4899","ENG_LIST1.csv","N","H","ENG_Prac2.csv","Laura threw the decoration in the drawer with the clothespin.","clothespinV.jpg","V","18.3333333333","18.3333333333","[7, 9, 13, 17, 22, 27, 30, 34, 39, 41, 47]","1848.74444444","1848.74444444","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","0","88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","0","88","57","88","57","57","0","0","0","88","88","NA","0","NA","NA","NA","NA","0","0","88","0","0","0","0","0","0","0","0","0","88","0","88","0","88","0","88","0","88","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10/30/19 11:01:41","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","P:\Fac-Staff\LiMY\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","0","58","5","0","P:/Fac-Staff/LiMY/PSA002/data/US032_SP_08.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","j","NA","space","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","j","j","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","761","NA","624","NA","NA","NA","NA","NA","NA","1941","1887","NA","NA","16548","NA","NA","NA","NA","NA","NA","761","377","NA","NA","NA","NA","NA","NA","9129","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","8","even","No","no","no","NA","11400","4001","572729","551732","NA","20531","NA","NA","NA","NA","NA","NA","4002","9762","NA","11391","NA","NA","NA","NA","NA","NA","11391","NA","NA","21163","556056","532007","551730","532007","532006","21163","573730","573730","552733","552733","NA","573731","NA","NA","NA","NA","NA","575620","554676","NA","556078","NA","NA","NA","NA","NA","NA","576121","555177","576121","555177","576885","555556","NA","499490","NA","531476","577385","NA","NA","572634","21163","556076","572727","11400","572634","NA","NA","NA","NA","11401","NA","NA","NA","572634","Orientation_PSA2018","33","332774","180","yes","1024"
"4899","ENG_LIST1.csv","N","V","ENG_Prac2.csv","The anxious little boy placed the salt shaker onto the table.","saltH.jpg","V","18.6813186813","18.6813186813","[7, 9, 13, 17, 22, 27, 30, 34, 39, 41, 47]","1845.0989011","1845.0989011","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","1","88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","NA","0","88","57","88","57","57","0","1","1","88","88","NA","1","NA","NA","NA","NA","0","1","88","0","0","0","0","0","0","0","0","1","88","1","88","1","88","1","88","1","88","1","NA","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","10/30/19 11:01:41","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","P:\Fac-Staff\LiMY\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","1","58","5","1","P:/Fac-Staff/LiMY/PSA002/data/US032_SP_08.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","j","NA","space","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","j","j","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","809","NA","624","NA","NA","NA","NA","NA","NA","1941","2225","NA","NA","16548","NA","NA","NA","NA","NA","NA","809","377","NA","NA","NA","NA","NA","NA","9129","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","8","even","No","no","no","NA","11400","4001","577512","551732","NA","20531","NA","NA","NA","NA","NA","NA","4002","9762","NA","11391","NA","NA","NA","NA","NA","NA","11391","NA","NA","21163","556056","532007","551730","532007","532006","21163","578513","578513","552733","552733","NA","578513","NA","NA","NA","NA","NA","580740","554676","NA","556078","NA","NA","NA","NA","NA","NA","581241","555177","581241","555177","582052","555556","NA","499490","NA","531476","582552","NA","NA","572634","21163","556076","577511","11400","572634","NA","NA","NA","NA","11401","NA","NA","NA","572634","Orientation_PSA2018","34","335808","182","yes","1024"
"4899","ENG_LIST1.csv","F","F","ENG_Prac2.csv","The colorful puzzle was much harder than the little boy had expected.","nut.jpg","V","19.0217391304","19.0217391304","[7, 9, 13, 17, 22, 27, 30, 34, 39, 41, 47]","1829.85326087","1829.85326087","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","2","88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","NA","0","88","57","88","57","57","0","2","2","88","88","NA","2","NA","NA","NA","NA","0","2","88","0","0","0","0","0","0","0","0","2","88","2","88","2","88","2","88","2","88","2","NA","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","10/30/19 11:01:41","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","P:\Fac-Staff\LiMY\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","2","58","5","2","P:/Fac-Staff/LiMY/PSA002/data/US032_SP_08.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","f","NA","space","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","f","j","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","713","NA","624","NA","NA","NA","NA","NA","NA","1941","172","NA","NA","16548","NA","NA","NA","NA","NA","NA","713","377","NA","NA","NA","NA","NA","NA","9129","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","8","even","No","no","no","NA","11400","4001","582649","551732","NA","20531","NA","NA","NA","NA","NA","NA","4002","9762","NA","11391","NA","NA","NA","NA","NA","NA","11391","NA","NA","21163","556056","532007","551730","532007","532006","21163","583653","583653","552733","552733","NA","583654","NA","NA","NA","NA","NA","583828","554676","NA","556078","NA","NA","NA","NA","NA","NA","584329","555177","584329","555177","585044","555556","NA","499490","NA","531476","585544","NA","NA","572634","21163","556076","582647","11400","572634","NA","NA","NA","NA","11401","NA","NA","NA","572634","Orientation_PSA2018","35","336693","184","yes","1024"
"4899","ENG_LIST1.csv","F","F","ENG_Prac2.csv","The desperate chess player sacrificed a pawn for a stronger position.","tlphon.jpg","V","19.3548387097","19.3548387097","[7, 9, 13, 17, 22, 27, 30, 34, 39, 41, 47]","1826.91935484","1826.91935484","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","3","88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","NA","0","88","57","88","57","57","0","3","3","88","88","NA","3","NA","NA","NA","NA","0","3","88","0","0","0","0","0","0","0","0","3","88","3","88","3","88","3","88","3","88","3","NA","3","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","10/30/19 11:01:41","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","P:\Fac-Staff\LiMY\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","3","58","5","3","P:/Fac-Staff/LiMY/PSA002/data/US032_SP_08.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","f","NA","space","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","f","j","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","697","NA","624","NA","NA","NA","NA","NA","NA","1941","2417","NA","NA","16548","NA","NA","NA","NA","NA","NA","697","377","NA","NA","NA","NA","NA","NA","9129","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","8","even","No","no","no","NA","11400","4001","585640","551732","NA","20531","NA","NA","NA","NA","NA","NA","4002","9762","NA","11391","NA","NA","NA","NA","NA","NA","11391","NA","NA","21163","556056","532007","551730","532007","532006","21163","586641","586641","552733","552733","NA","586641","NA","NA","NA","NA","NA","589060","554676","NA","556078","NA","NA","NA","NA","NA","NA","589561","555177","589561","555177","590260","555556","NA","499490","NA","531476","590760","NA","NA","572634","21163","556076","585638","11400","572634","NA","NA","NA","NA","11401","NA","NA","NA","572634","Orientation_PSA2018","36","339807","186","yes","1024"
"4899","ENG_LIST1.csv","F","F","ENG_Prac2.csv","The builder pushed the wheelbarrow towards the pile of bricks.","trmpet.jpg","V","19.1489361702","19.1489361702","[7, 9, 13, 17, 22, 27, 30, 34, 39, 41, 47]","1818.39361702","1818.39361702","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","NA","undefined","0","1","undefined","6","f","0","0","0","4","88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","NA","0","88","57","88","57","57","0","4","4","88","88","NA","4","NA","NA","NA","NA","0","4","88","0","0","0","0","0","0","0","0","4","88","4","88","4","88","4","88","4","88","4","NA","4","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","10/30/19 11:01:41","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","P:\Fac-Staff\LiMY\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","4","58","5","4","P:/Fac-Staff/LiMY/PSA002/data/US032_SP_08.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","j","NA","space","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","j","j","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","761","NA","624","NA","NA","NA","NA","NA","NA","1941","1290","NA","NA","16548","NA","NA","NA","NA","NA","NA","761","377","NA","NA","NA","NA","NA","NA","9129","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","8","even","No","no","no","NA","11400","4001","590857","551732","NA","20531","NA","NA","NA","NA","NA","NA","4002","9762","NA","11391","NA","NA","NA","NA","NA","NA","11391","NA","NA","21163","556056","532007","551730","532007","532006","21163","591862","591862","552733","552733","NA","591864","NA","NA","NA","NA","NA","593156","554676","NA","556078","NA","NA","NA","NA","NA","NA","593657","555177","593657","555177","590260","555556","NA","499490","594421","531476","594921","NA","NA","572634","21163","556076","590856","11400","572634","NA","NA","NA","NA","11401","NA","NA","NA","572634","Orientation_PSA2018","36","341858","188","yes","1024"
"4899","ENG_LIST1.csv","N","V","ENG_Prac2.csv","Sara situated the expensive plate on its holder on the shelf.","plateH.jpg","V","18.9473684211","18.9473684211","[7, 9, 13, 17, 22, 27, 30, 34, 39, 41, 47]","1809.88421053","1809.88421053","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","NA","undefined","0","1","undefined","6","j","0","0","0","5","88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","NA","0","88","57","88","57","57","0","5","5","88","88","NA","5","NA","NA","NA","NA","0","5","88","0","0","0","0","0","0","0","0","5","88","5","88","5","88","5","88","5","88","5","NA","5","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","10/30/19 11:01:41","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","P:\Fac-Staff\LiMY\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","5","58","5","5","P:/Fac-Staff/LiMY/PSA002/data/US032_SP_08.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","None","NA","space","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","None","j","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","2000","NA","624","NA","NA","NA","NA","NA","NA","1941","20","NA","NA","16548","NA","NA","NA","NA","NA","NA","2000","377","NA","NA","NA","NA","NA","NA","9129","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","8","even","No","no","no","NA","11400","4001","595012","551732","NA","20531","NA","NA","NA","NA","NA","NA","4002","9762","NA","11391","NA","NA","NA","NA","NA","NA","11391","NA","NA","21163","556056","532007","551730","532007","532006","21163","596013","596013","552733","552733","NA","596014","NA","NA","NA","NA","NA","596036","554676","NA","556078","NA","NA","NA","NA","NA","NA","596537","555177","596537","555177","590260","555556","599040","499490","598539","531476","599540","NA","NA","572634","21163","556076","595011","11400","572634","NA","NA","NA","NA","11401","NA","NA","NA","572634","Orientation_PSA2018","36","343878","190","yes","1024"
"4899","ENG_LIST1.csv","N","H","ENG_Prac2.csv","The race car driver fastened the fire-extinguisher under his seat.","fire_extinguisherV.jpg","V","19.2708333333","19.2708333333","[7, 9, 13, 17, 22, 27, 30, 34, 39, 41, 47]","1808.97395833","1808.97395833","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","6","88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","NA","0","88","57","88","57","57","0","6","6","88","88","NA","6","NA","NA","NA","NA","0","6","88","0","0","0","0","0","0","0","0","6","88","6","88","6","88","6","88","6","88","6","NA","6","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","10/30/19 11:01:41","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","P:\Fac-Staff\LiMY\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","6","58","5","6","P:/Fac-Staff/LiMY/PSA002/data/US032_SP_08.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","j","NA","space","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","j","j","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","647","NA","624","NA","NA","NA","NA","NA","NA","1941","2798","NA","NA","16548","NA","NA","NA","NA","NA","NA","647","377","NA","NA","NA","NA","NA","NA","9129","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","8","even","No","no","no","NA","11400","4001","599658","551732","NA","20531","NA","NA","NA","NA","NA","NA","4002","9762","NA","11391","NA","NA","NA","NA","NA","NA","11391","NA","NA","21163","556056","532007","551730","532007","532006","21163","600659","600660","552733","552733","NA","600660","NA","NA","NA","NA","NA","603461","554676","NA","556078","NA","NA","NA","NA","NA","NA","603962","555177","603962","555177","604612","555556","599040","499490","598539","531476","605112","NA","NA","572634","21163","556076","599657","11400","572634","NA","NA","NA","NA","11401","NA","NA","NA","572634","Orientation_PSA2018","37","347323","192","yes","1024"
"4899","ENG_LIST1.csv","Y","H","ENG_Prac2.csv","Derek swung his bat as the ball approached.","batH.jpg","V","19.587628866","19.587628866","[7, 9, 13, 17, 22, 27, 30, 34, 39, 41, 47]","1804.03608247","1804.03608247","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","7","88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","NA","0","88","57","88","57","57","0","7","7","88","88","NA","7","NA","NA","NA","NA","0","7","88","0","0","0","0","0","0","0","0","7","88","7","88","7","88","7","88","7","88","7","NA","7","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","10/30/19 11:01:41","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","P:\Fac-Staff\LiMY\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","7","58","5","7","P:/Fac-Staff/LiMY/PSA002/data/US032_SP_08.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","j","NA","space","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","j","j","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","905","NA","624","NA","NA","NA","NA","NA","NA","1941","1755","NA","NA","16548","NA","NA","NA","NA","NA","NA","905","377","NA","NA","NA","NA","NA","NA","9129","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","8","even","No","no","no","NA","11400","4001","605229","551732","NA","20531","NA","NA","NA","NA","NA","NA","4002","9762","NA","11391","NA","NA","NA","NA","NA","NA","11391","NA","NA","21163","556056","532007","551730","532007","532006","21163","606230","606231","552733","552733","NA","606231","NA","NA","NA","NA","NA","607988","554676","NA","556078","NA","NA","NA","NA","NA","NA","608489","555177","608489","555177","609396","555556","599040","499490","598539","531476","609896","NA","NA","572634","21163","556076","605228","11400","572634","NA","NA","NA","NA","11401","NA","NA","NA","572634","Orientation_PSA2018","38","349983","194","yes","1024"
"4899","ENG_LIST1.csv","Y","H","ENG_Prac2.csv","Derek swung his bat as the ball approached.","batH.jpg","M","20","20","[7, 9, 13, 17, 22, 27, 30, 34, 39, 41, 47]","1832.53846154","1832.53846154","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","1","undefined","1","1","undefined","6","j","0","0","0","7","88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","88","57","88","57","57","0","7","7","88","88","0","7","0","0","0","0","0","7","88","0","0","0","0","0","0","0","0","7","88","7","88","7","88","7","88","7","88","8","NA","7","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","10/30/19 11:01:41","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","P:\Fac-Staff\LiMY\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","0","58","5","7","P:/Fac-Staff/LiMY/PSA002/data/US032_SP_08.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","Sara situated the expensive plate on its holder on the shelf.","0","0","j","NA","space","NA","NA","NA","NA","NA","NA","space","space","j","NA","space","NA","NA","NA","NA","NA","NA","j","j","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","7362","NA","624","NA","NA","NA","NA","NA","NA","1941","1755","7362","NA","16548","NA","NA","NA","NA","NA","NA","905","377","NA","NA","NA","NA","NA","NA","9129","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","8","even","No","no","no","NA","11400","4001","605229","551732","NA","20531","NA","NA","NA","NA","NA","NA","4002","9762","NA","11391","NA","NA","NA","NA","NA","NA","11391","609905","609950","21163","556056","532007","551730","532007","532006","21163","606230","606231","552733","552733","609950","606231","609952","617316","609952","NA","NA","607988","554676","NA","556078","NA","NA","NA","NA","NA","NA","608489","555177","608489","555177","609396","555556","599040","499490","598539","531476","617816","NA","NA","572634","21163","556076","605228","11400","572634","NA","NA","NA","NA","11401","NA","NA","NA","572634","Orientation_PSA2018","39","357345","195","yes","1024"
"4899","ENG_LIST1.csv","F","F","ENG_Prac2.csv","Bert drove his truck from the harbor to downtown.","piano.jpg","V","20.3045685279","20.3045685279","[7, 9, 13, 17, 22, 27, 30, 34, 39, 41, 47]","1827.63959391","1827.63959391","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","1","undefined","1","1","undefined","6","f","0","0","0","8","88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","88","57","88","57","57","0","8","8","88","88","0","8","0","0","0","0","0","8","88","0","0","0","0","0","0","0","0","8","88","8","88","8","88","8","88","8","88","9","NA","8","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","10/30/19 11:01:41","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","P:\Fac-Staff\LiMY\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","8","58","5","8","P:/Fac-Staff/LiMY/PSA002/data/US032_SP_08.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","Sara situated the expensive plate on its holder on the shelf.","0","0","f","NA","space","NA","NA","NA","NA","NA","NA","space","space","j","NA","space","NA","NA","NA","NA","NA","NA","f","j","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","889","NA","624","NA","NA","NA","NA","NA","NA","1941","1811","7362","NA","16548","NA","NA","NA","NA","NA","NA","889","377","NA","NA","NA","NA","NA","NA","9129","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","8","even","No","no","no","NA","11400","4001","617942","551732","NA","20531","NA","NA","NA","NA","NA","NA","4002","9762","NA","11391","NA","NA","NA","NA","NA","NA","11391","609905","609950","21163","556056","532007","551730","532007","532006","21163","618943","618943","552733","552733","609950","618943","609952","617316","609952","NA","NA","620756","554676","NA","556078","NA","NA","NA","NA","NA","NA","621257","555177","621257","555177","622148","555556","599040","499490","598539","531476","622648","NA","NA","572634","21163","556076","617940","11400","572634","NA","NA","NA","NA","11401","NA","NA","NA","572634","Orientation_PSA2018","40","360045","197","yes","1024"
