SEED,SUBJID,Sequence,DATE,SIGN,round,Note
4899,1,003 -> 002_SP -> 002_PP,2019/10/25,Y,1,
4899,2,003 -> 002_SP -> 002_PP,2019/10/28,Y,1,
4899,3,002_SP -> 002_PP -> 003,2019/10/28,Y,1,
4899,4,003 -> 002_SP -> 002_PP,2019/10/28,Y,1,
4899,5,002_SP -> 002_PP -> 003,2019/10/29,Y,1,
4899,6,002_SP -> 002_PP -> 003,2019/10/29,Y,1,
4899,7,002_SP -> 002_PP -> 003,2019/10/29,Y,1,
4899,8,003 -> 002_SP -> 002_PP,2019/10/30,Y,1,
4899,9,002_SP -> 002_PP -> 003,2019/11/1,Y,1,
4899,10,003 -> 002_SP -> 002_PP,2019/11/1,Y,1,
4899,11,002_SP -> 002_PP -> 003,2019/11/4,Y,1,
4899,12,003 -> 002_SP -> 002_PP,2019/11/4,Y,1,
4899,13,003 -> 002_SP -> 002_PP,2019/11/6,Y,1,
4899,14,003 -> 002_SP -> 002_PP,2019/11/6,Y,1,SP accidential stop?
4899,15,003 -> 002_SP -> 002_PP,2019/11/7,Y,1,
4899,16,003 -> 002_SP -> 002_PP,2019/11/8,Y,1,
4899,17,003 -> 002_SP -> 002_PP,2019/11/8,Y,1,
4899,18,003 -> 002_SP -> 002_PP,2019/11/8,Y,1,
4899,19,002_SP -> 002_PP -> 003,2019/11/11,Y,1,
4899,20,002_SP -> 002_PP -> 003,2019/11/11,Y,1,
4899,21,002_SP -> 002_PP -> 003,2019/11/11,Y,1,
4899,22,002_SP -> 002_PP -> 003,2019/11/13,Y,1,
4899,23,002_SP -> 002_PP -> 003,2019/11/13,Y,1,
4899,24,003 -> 002_SP -> 002_PP,2019/11/13,Y,1,
4899,25,002_SP -> 002_PP -> 003,2019/11/13,Y,1,
4899,26,003 -> 002_SP -> 002_PP,2019/11/13,Y,1,
4899,27,002_SP -> 002_PP -> 003,2019/11/15,Y,1,
4899,28,003 -> 002_SP -> 002_PP,2019/11/15,Y,1,
4899,29,002_SP -> 002_PP -> 003,2019/11/15,Y,1,
4899,30,003 -> 002_SP -> 002_PP,2019/11/15,Y,1,
4899,31,002_SP -> 002_PP -> 003,2019/11/18,Y,1,
4899,32,003 -> 002_SP -> 002_PP,2019/11/18,Y,1,
4899,33,003 -> 002_SP -> 002_PP,2019/11/18,Y,1,
4899,34,002_SP -> 002_PP -> 003,2019/11/20,Y,1,
4899,35,003 -> 002_SP -> 002_PP,2019/11/20,Y,1,
4899,36,002_SP -> 002_PP -> 003,2019/11/20,Y,1,
4899,37,002_SP -> 002_PP -> 003,2019/11/22,Y,1,
4899,38,002_SP -> 002_PP -> 003,2019/11/22,Y,1,
4899,39,003 -> 002_SP -> 002_PP,2019/11/22,Y,1,
4899,40,002_SP -> 002_PP -> 003,2019/11/22,Y,1,
4899,41,002_SP -> 002_PP -> 003,2019/11/25,Y,1,
4899,42,003 -> 002_SP -> 002_PP,2019/11/25,Y,1,
4899,43,002_SP -> 002_PP -> 003,2019/11/25,Y,1,
4899,44,003 -> 002_SP -> 002_PP,2019/11/25,Y,1,
4899,45,003 -> 002_SP -> 002_PP,2019/11/25,Y,1,
4899,46,002_SP -> 002_PP -> 003,2019/11/25,Y,1,
4899,47,002_SP -> 002_PP -> 003,2019/11/26,Y,1,
4899,48,003 -> 002_SP -> 002_PP,2019/11/26,Y,1,
4899,49,002_SP -> 002_PP -> 003,2019/11/26,Y,1,
4899,50,003 -> 002_SP -> 002_PP,2019/11/26,Y,1,
4899,51,003 -> 002_SP -> 002_PP,2019/11/26,Y,1, TO REPLACE #14 DATA
