Identical,LAB_SEED,Orientation1,Orientation2,PPList,Picture1,Picture2,acc,accuracy,average_response_time,avg_rt,background,bidi,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_Pictures_response,correct_Start_E,correct_Target_response_Prac,correct_Welcome_PP_E,correct_count,correct_response,count_Check_This,count_Disable_Mouse,count_EXP,count_LAB_SEED,count_Language_Selection,count_List_Select,count_List_Selection,count_Pictures_Break,count_Pictures_End,count_Pictures_Exp,count_Pictures_Fixation,count_Pictures_Fixation_Prac,count_Pictures_Prac,count_Pictures_Start,count_Pictures_Target,count_Pictures_Trial,count_Pictures_Welcome,count_Pictures_loop,count_Pictures_response,count_Pictures_response_correct,count_Pictures_response_noans,count_Pictures_response_wrong,count_Prac,count_Prac_Count,count_Prac_Reset,count_Prac_Trial,count_Prac_loop,count_Prac_seq,count_Prac_setup,count_Start_DE,count_Start_E,count_Start_HUN,count_Start_NOR,count_Start_PL,count_Start_SC,count_Start_TC,count_Start_THAI,count_Target_Prac,count_Target_response_Prac,count_Target_response_correct_Prac,count_Target_response_noans_Prac,count_Target_response_wrong_Prac,count_Trial_logger,count_Welcome_PP_DE,count_Welcome_PP_E,count_Welcome_PP_HUN,count_Welcome_PP_NOR,count_Welcome_PP_PL,count_Welcome_PP_SC,count_Welcome_PP_TC,count_Welcome_PP_THAI,datetime,de,description,disable_garbage_collection,empty_column,en,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,form_response,fullscreen,height,hun,keyboard_backend,live_row,live_row_Pictures_loop,live_row_Prac,live_row_Prac_loop,logfile,mouse_backend,nor,opensesame_codename,opensesame_version,osf_always_upload_experiment,osf_id,pol,repeat_cycle,reset_loop,response,response_Pictures_Break,response_Pictures_End,response_Pictures_response,response_Start_DE,response_Start_E,response_Start_HUN,response_Start_NOR,response_Start_PL,response_Start_SC,response_Start_TC,response_Start_THAI,response_Target_response_Prac,response_Welcome_PP_DE,response_Welcome_PP_E,response_Welcome_PP_HUN,response_Welcome_PP_NOR,response_Welcome_PP_PL,response_Welcome_PP_SC,response_Welcome_PP_TC,response_Welcome_PP_THAI,response_time,response_time_Pictures_Break,response_time_Pictures_End,response_time_Pictures_response,response_time_Start_DE,response_time_Start_E,response_time_Start_HUN,response_time_Start_NOR,response_time_Start_PL,response_time_Start_SC,response_time_Start_TC,response_time_Start_THAI,response_time_Target_response_Prac,response_time_Welcome_PP_DE,response_time_Welcome_PP_E,response_time_Welcome_PP_HUN,response_time_Welcome_PP_NOR,response_time_Welcome_PP_PL,response_time_Welcome_PP_SC,response_time_Welcome_PP_TC,response_time_Welcome_PP_THAI,round_decimals,sampler_backend,sc,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,tc,thai,time_Check_This,time_Disable_Mouse,time_EXP,time_LAB_SEED,time_Language_Selection,time_List_Select,time_List_Selection,time_Pictures_Break,time_Pictures_End,time_Pictures_Exp,time_Pictures_Fixation,time_Pictures_Fixation_Prac,time_Pictures_Prac,time_Pictures_Start,time_Pictures_Target,time_Pictures_Trial,time_Pictures_Welcome,time_Pictures_loop,time_Pictures_response,time_Pictures_response_correct,time_Pictures_response_noans,time_Pictures_response_wrong,time_Prac,time_Prac_Count,time_Prac_Reset,time_Prac_Trial,time_Prac_loop,time_Prac_seq,time_Prac_setup,time_Start_DE,time_Start_E,time_Start_HUN,time_Start_NOR,time_Start_PL,time_Start_SC,time_Start_TC,time_Start_THAI,time_Target_Prac,time_Target_response_Prac,time_Target_response_correct_Prac,time_Target_response_noans_Prac,time_Target_response_wrong_Prac,time_Trial_logger,time_Welcome_PP_DE,time_Welcome_PP_E,time_Welcome_PP_HUN,time_Welcome_PP_NOR,time_Welcome_PP_PL,time_Welcome_PP_SC,time_Welcome_PP_TC,time_Welcome_PP_THAI,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
F,6143,F,F,PP_LIST3.csv,ring.jpg,stove.jpg,100,100,808.5714286,808.5714286,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,f,0,0,0,0,0,0,0,NA,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,0,0,0,0,0,0,0,0,0,11/20/2019 17:47,no,Matching Tasks,yes,,yes,OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp,C:\PSA2,no,chinese-japanese-korean,no,18,no,#0000ff,no,English,yes,768,no,legacy,0,0,1,5,C:/PSA2/USA_033_PP_[44].csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,no,0,0,F,NA,NA,F,NA,space,NA,NA,NA,NA,NA,NA,F,NA,space,NA,NA,NA,NA,NA,NA,627,NA,NA,627,NA,2830,NA,NA,NA,NA,NA,NA,662,NA,23036,NA,NA,NA,NA,NA,NA,2,legacy,no,1024,2,48000,-16,EXP,44,even,no,no,NA,9750,2776,2780,8310,9741,9741,NA,NA,47148,47251,42616,32796,44307,47752,47250,9750,47148,47752,48380,NA,NA,32796,44280,32811,42614,32811,32811,32796,NA,44309,NA,NA,NA,NA,NA,NA,43117,43117,43780,NA,NA,48880,NA,9751,NA,NA,NA,NA,NA,NA,Orientation_PSA2018,7,5660,7,yes,1024
Y,6143,H,H,PP_LIST3.csv,guitarH.jpg,guitarH.jpg,100,100,790,790,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,j,0,0,0,0,0,0,0,NA,1,0,1,5,0,0,1,1,0,0,1,1,1,1,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,1,0,0,0,0,0,0,0,0,11/20/2019 17:47,no,Matching Tasks,yes,,yes,OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp,C:\PSA2,no,chinese-japanese-korean,no,18,no,#0000ff,no,English,yes,768,no,legacy,1,1,1,5,C:/PSA2/USA_033_PP_[44].csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,no,0,0,J,NA,NA,J,NA,space,NA,NA,NA,NA,NA,NA,F,NA,space,NA,NA,NA,NA,NA,NA,660,NA,NA,660,NA,2830,NA,NA,NA,NA,NA,NA,662,NA,23036,NA,NA,NA,NA,NA,NA,2,legacy,no,1024,2,48000,-16,EXP,44,even,no,no,NA,9750,2776,2780,8310,9741,9741,NA,NA,47148,49026,42616,32796,44307,49527,49024,9750,47148,49527,50189,NA,NA,32796,44280,32811,42614,32811,32811,32796,NA,44309,NA,NA,NA,NA,NA,NA,43117,43117,43780,NA,NA,50689,NA,9751,NA,NA,NA,NA,NA,NA,Orientation_PSA2018,8,6320,8,yes,1024
F,6143,F,F,PP_LIST3.csv,skirt.jpg,tlphon.jpg,100,100,778,778,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,f,0,0,0,0,0,0,0,NA,2,0,2,5,0,0,2,2,0,0,2,2,2,2,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,2,0,0,0,0,0,0,0,0,11/20/2019 17:47,no,Matching Tasks,yes,,yes,OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp,C:\PSA2,no,chinese-japanese-korean,no,18,no,#0000ff,no,English,yes,768,no,legacy,2,2,1,5,C:/PSA2/USA_033_PP_[44].csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,no,0,0,F,NA,NA,F,NA,space,NA,NA,NA,NA,NA,NA,F,NA,space,NA,NA,NA,NA,NA,NA,682,NA,NA,682,NA,2830,NA,NA,NA,NA,NA,NA,662,NA,23036,NA,NA,NA,NA,NA,NA,2,legacy,no,1024,2,48000,-16,EXP,44,even,no,no,NA,9750,2776,2780,8310,9741,9741,NA,NA,47148,50805,42616,32796,44307,51306,50803,9750,47148,51306,51989,NA,NA,32796,44280,32811,42614,32811,32811,32796,NA,44309,NA,NA,NA,NA,NA,NA,43117,43117,43780,NA,NA,52489,NA,9751,NA,NA,NA,NA,NA,NA,Orientation_PSA2018,9,7002,9,yes,1024
N,6143,V,H,PP_LIST3.csv,fire_extinguisherV.jpg,fire_extinguisherH.jpg,100,100,852.9,852.9,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,j,0,0,0,0,0,0,0,NA,3,0,3,5,0,0,3,3,0,0,3,3,3,3,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,3,0,0,0,0,0,0,0,0,11/20/2019 17:47,no,Matching Tasks,yes,,yes,OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp,C:\PSA2,no,chinese-japanese-korean,no,18,no,#0000ff,no,English,yes,768,no,legacy,3,3,1,5,C:/PSA2/USA_033_PP_[44].csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,no,0,0,J,NA,NA,J,NA,space,NA,NA,NA,NA,NA,NA,F,NA,space,NA,NA,NA,NA,NA,NA,1527,NA,NA,1527,NA,2830,NA,NA,NA,NA,NA,NA,662,NA,23036,NA,NA,NA,NA,NA,NA,2,legacy,no,1024,2,48000,-16,EXP,44,even,no,no,NA,9750,2776,2780,8310,9741,9741,NA,NA,47148,52615,42616,32796,44307,53116,52613,9750,47148,53116,54645,55146,NA,32796,44280,32811,42614,32811,32811,32796,NA,44309,NA,NA,NA,NA,NA,NA,43117,43117,43780,NA,NA,55646,NA,9751,NA,NA,NA,NA,NA,NA,Orientation_PSA2018,10,8529,10,yes,1024
F,6143,F,F,PP_LIST3.csv,pumpkin.jpg,trmpet.jpg,100,100,837.7272727,837.7272727,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,f,0,0,0,0,0,0,0,NA,4,0,4,5,0,0,4,4,0,0,4,4,4,4,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,4,0,0,0,0,0,0,0,0,11/20/2019 17:47,no,Matching Tasks,yes,,yes,OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp,C:\PSA2,no,chinese-japanese-korean,no,18,no,#0000ff,no,English,yes,768,no,legacy,4,4,1,5,C:/PSA2/USA_033_PP_[44].csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,no,0,0,F,NA,NA,F,NA,space,NA,NA,NA,NA,NA,NA,F,NA,space,NA,NA,NA,NA,NA,NA,686,NA,NA,686,NA,2830,NA,NA,NA,NA,NA,NA,662,NA,23036,NA,NA,NA,NA,NA,NA,2,legacy,no,1024,2,48000,-16,EXP,44,even,no,no,NA,9750,2776,2780,8310,9741,9741,NA,NA,47148,55767,42616,32796,44307,56269,55765,9750,47148,56269,56957,55146,NA,32796,44280,32811,42614,32811,32811,32796,NA,44309,NA,NA,NA,NA,NA,NA,43117,43117,43780,NA,NA,57457,NA,9751,NA,NA,NA,NA,NA,NA,Orientation_PSA2018,11,9215,11,yes,1024
F,6143,F,F,PP_LIST3.csv,mitten.jpg,needle.jpg,100,100,822.5,822.5,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,f,0,0,0,0,0,0,0,NA,5,0,5,5,0,0,5,5,0,0,5,5,5,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,0,0,0,0,0,0,0,0,11/20/2019 17:47,no,Matching Tasks,yes,,yes,OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp,C:\PSA2,no,chinese-japanese-korean,no,18,no,#0000ff,no,English,yes,768,no,legacy,5,5,1,5,C:/PSA2/USA_033_PP_[44].csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,no,0,0,F,NA,NA,F,NA,space,NA,NA,NA,NA,NA,NA,F,NA,space,NA,NA,NA,NA,NA,NA,655,NA,NA,655,NA,2830,NA,NA,NA,NA,NA,NA,662,NA,23036,NA,NA,NA,NA,NA,NA,2,legacy,no,1024,2,48000,-16,EXP,44,even,no,no,NA,9750,2776,2780,8310,9741,9741,NA,NA,47148,57575,42616,32796,44307,58076,57574,9750,47148,58076,58733,55146,NA,32796,44280,32811,42614,32811,32811,32796,NA,44309,NA,NA,NA,NA,NA,NA,43117,43117,43780,NA,NA,59233,NA,9751,NA,NA,NA,NA,NA,NA,Orientation_PSA2018,12,9870,12,yes,1024
Y,6143,H,H,PP_LIST3.csv,ironH.jpg,ironH.jpg,100,100,820.6153846,820.6153846,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,j,0,0,0,0,0,0,0,NA,6,0,6,5,0,0,6,6,0,0,6,6,6,6,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,6,0,0,0,0,0,0,0,0,11/20/2019 17:47,no,Matching Tasks,yes,,yes,OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp,C:\PSA2,no,chinese-japanese-korean,no,18,no,#0000ff,no,English,yes,768,no,legacy,6,6,1,5,C:/PSA2/USA_033_PP_[44].csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,no,0,0,J,NA,NA,J,NA,space,NA,NA,NA,NA,NA,NA,F,NA,space,NA,NA,NA,NA,NA,NA,798,NA,NA,798,NA,2830,NA,NA,NA,NA,NA,NA,662,NA,23036,NA,NA,NA,NA,NA,NA,2,legacy,no,1024,2,48000,-16,EXP,44,even,no,no,NA,9750,2776,2780,8310,9741,9741,NA,NA,47148,59352,42616,32796,44307,59853,59350,9750,47148,59853,60653,55146,NA,32796,44280,32811,42614,32811,32811,32796,NA,44309,NA,NA,NA,NA,NA,NA,43117,43117,43780,NA,NA,61153,NA,9751,NA,NA,NA,NA,NA,NA,Orientation_PSA2018,13,10668,13,yes,1024
F,6143,F,F,PP_LIST3.csv,wndmil.jpg,mitten.jpg,100,100,806.1428571,806.1428571,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,f,0,0,0,0,0,0,0,NA,7,0,7,5,0,0,7,7,0,0,7,7,7,7,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,7,0,0,0,0,0,0,0,0,11/20/2019 17:47,no,Matching Tasks,yes,,yes,OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp,C:\PSA2,no,chinese-japanese-korean,no,18,no,#0000ff,no,English,yes,768,no,legacy,7,7,1,5,C:/PSA2/USA_033_PP_[44].csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,no,0,0,F,NA,NA,F,NA,space,NA,NA,NA,NA,NA,NA,F,NA,space,NA,NA,NA,NA,NA,NA,618,NA,NA,618,NA,2830,NA,NA,NA,NA,NA,NA,662,NA,23036,NA,NA,NA,NA,NA,NA,2,legacy,no,1024,2,48000,-16,EXP,44,even,no,no,NA,9750,2776,2780,8310,9741,9741,NA,NA,47148,61268,42616,32796,44307,61770,61267,9750,47148,61770,62389,55146,NA,32796,44280,32811,42614,32811,32811,32796,NA,44309,NA,NA,NA,NA,NA,NA,43117,43117,43780,NA,NA,62889,NA,9751,NA,NA,NA,NA,NA,NA,Orientation_PSA2018,14,11286,14,yes,1024
N,6143,H,V,PP_LIST3.csv,bookH.jpg,bookV.jpg,100,100,791.1333333,791.1333333,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,j,0,0,0,0,0,0,0,NA,8,0,8,5,0,0,8,8,0,0,8,8,8,8,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,8,0,0,0,0,0,0,0,0,11/20/2019 17:47,no,Matching Tasks,yes,,yes,OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp,C:\PSA2,no,chinese-japanese-korean,no,18,no,#0000ff,no,English,yes,768,no,legacy,8,8,1,5,C:/PSA2/USA_033_PP_[44].csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,no,0,0,J,NA,NA,J,NA,space,NA,NA,NA,NA,NA,NA,F,NA,space,NA,NA,NA,NA,NA,NA,581,NA,NA,581,NA,2830,NA,NA,NA,NA,NA,NA,662,NA,23036,NA,NA,NA,NA,NA,NA,2,legacy,no,1024,2,48000,-16,EXP,44,even,no,no,NA,9750,2776,2780,8310,9741,9741,NA,NA,47148,63017,42616,32796,44307,63518,63015,9750,47148,63518,64101,55146,NA,32796,44280,32811,42614,32811,32811,32796,NA,44309,NA,NA,NA,NA,NA,NA,43117,43117,43780,NA,NA,64601,NA,9751,NA,NA,NA,NA,NA,NA,Orientation_PSA2018,15,11867,15,yes,1024
Y,6143,H,H,PP_LIST3.csv,nailH.jpg,nailH.jpg,100,100,776.5625,776.5625,#ffffff,yes,legacy,legacy,legacy,0,uniform,1,1,undefined,1,undefined,6,j,0,0,0,0,0,0,0,NA,9,0,9,5,0,0,9,9,0,0,9,9,9,9,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,9,0,0,0,0,0,0,0,0,11/20/2019 17:47,no,Matching Tasks,yes,,yes,OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp,C:\PSA2,no,chinese-japanese-korean,no,18,no,#0000ff,no,English,yes,768,no,legacy,9,9,1,5,C:/PSA2/USA_033_PP_[44].csv,legacy,no,Kafkaesque Koffka,3.2.8,yes,5a7ce671e83246000deafe81,no,0,0,J,NA,NA,J,NA,space,NA,NA,NA,NA,NA,NA,F,NA,space,NA,NA,NA,NA,NA,NA,558,NA,NA,558,NA,2830,NA,NA,NA,NA,NA,NA,662,NA,23036,NA,NA,NA,NA,NA,NA,2,legacy,no,1024,2,48000,-16,EXP,44,even,no,no,NA,9750,2776,2780,8310,9741,9741,NA,NA,47148,64729,42616,32796,44307,65230,64728,9750,47148,65230,65789,55146,NA,32796,44280,32811,42614,32811,32811,32796,NA,44309,NA,NA,NA,NA,NA,NA,43117,43117,43780,NA,NA,66289,NA,9751,NA,NA,NA,NA,NA,NA,Orientation_PSA2018,16,12425,16,yes,1024
