"LAB_SEED","List","Match","Orientation","PList","Probe","Target","Task","acc","accuracy","alt_task","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instruction_E","correct_Probe_Prac_response","correct_Probe_response","correct_Probe_sti_response","correct_Start_E","correct_Target_response","correct_Target_response_Prac","correct_Welcome_E","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_First_Fixation","count_First_Fixation_Prac","count_Instruction_DE","count_Instruction_E","count_Instruction_HUN","count_Instruction_NOR","count_Instruction_PL","count_Instruction_SC","count_Instruction_TC","count_Instruction_THAI","count_LAB_SEED","count_Language_Selection","count_List_Select_DE","count_List_Select_E","count_List_Select_HUN","count_List_Select_NOR","count_List_Select_PL","count_List_Select_SC","count_List_Select_TC","count_List_Select_THAI","count_List_Selection","count_Memory_loop","count_Memory_sequence","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Probe","count_Probe_Collect","count_Probe_Prac","count_Probe_Prac_response","count_Probe_import","count_Probe_response","count_Probe_sti","count_Probe_sti_correct","count_Probe_sti_response","count_Probe_sti_wrong","count_STUDY_order","count_Second_Fixation","count_Second_Fixation_Prac","count_Start_DE","count_Start_E","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_SC","count_Start_TC","count_Start_THAI","count_Target","count_Target_Prac","count_Target_response","count_Target_response_Prac","count_Target_response_correct","count_Target_response_correct_Prac","count_Target_response_noans","count_Target_response_noans_Prac","count_Target_response_wrong","count_Target_response_wrong_Prac","count_Trial_logger","count_Verification_Break","count_Verification_End","count_Verification_Exp","count_Verification_Prac","count_Verification_Start","count_Verification_Trial","count_Verification_Welcome","count_Verification_loop","count_Welcom_SC","count_Welcom_TC","count_Welcom_THAI","count_Welcome_DE","count_Welcome_E","count_Welcome_HUN","count_Welcome_NOR","count_Welcome_PL","count_presetup","datetime","de","description","disable_garbage_collection","empty_column","en","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","hun","keyboard_backend","live_row","live_row_Prac","live_row_Prac_loop","live_row_Verification_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","pol","rectarget","repeat_cycle","reset_loop","response","response_Instruction_DE","response_Instruction_E","response_Instruction_HUN","response_Instruction_NOR","response_Instruction_PL","response_Instruction_SC","response_Instruction_TC","response_Instruction_THAI","response_Probe_Prac_response","response_Probe_response","response_Probe_sti_response","response_Start_DE","response_Start_E","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_SC","response_Start_TC","response_Start_THAI","response_Target_response","response_Target_response_Prac","response_Verification_Break","response_Verification_End","response_Welcom_SC","response_Welcom_TC","response_Welcom_THAI","response_Welcome_DE","response_Welcome_E","response_Welcome_HUN","response_Welcome_NOR","response_Welcome_PL","response_time","response_time_Instruction_DE","response_time_Instruction_E","response_time_Instruction_HUN","response_time_Instruction_NOR","response_time_Instruction_PL","response_time_Instruction_SC","response_time_Instruction_TC","response_time_Instruction_THAI","response_time_Probe_Prac_response","response_time_Probe_response","response_time_Probe_sti_response","response_time_Start_DE","response_time_Start_E","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_SC","response_time_Start_TC","response_time_Start_THAI","response_time_Target_response","response_time_Target_response_Prac","response_time_Verification_Break","response_time_Verification_End","response_time_Welcom_SC","response_time_Welcom_TC","response_time_Welcom_THAI","response_time_Welcome_DE","response_time_Welcome_E","response_time_Welcome_HUN","response_time_Welcome_NOR","response_time_Welcome_PL","round_decimals","sampler_backend","sc","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","task_order","tc","thai","time_Check_This","time_Disable_Mouse","time_EXP","time_First_Fixation","time_First_Fixation_Prac","time_Instruction_DE","time_Instruction_E","time_Instruction_HUN","time_Instruction_NOR","time_Instruction_PL","time_Instruction_SC","time_Instruction_TC","time_Instruction_THAI","time_LAB_SEED","time_Language_Selection","time_List_Select_DE","time_List_Select_E","time_List_Select_HUN","time_List_Select_NOR","time_List_Select_PL","time_List_Select_SC","time_List_Select_TC","time_List_Select_THAI","time_List_Selection","time_Memory_loop","time_Memory_sequence","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Probe","time_Probe_Collect","time_Probe_Prac","time_Probe_Prac_response","time_Probe_import","time_Probe_response","time_Probe_sti","time_Probe_sti_correct","time_Probe_sti_response","time_Probe_sti_wrong","time_STUDY_order","time_Second_Fixation","time_Second_Fixation_Prac","time_Start_DE","time_Start_E","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_SC","time_Start_TC","time_Start_THAI","time_Target","time_Target_Prac","time_Target_response","time_Target_response_Prac","time_Target_response_correct","time_Target_response_correct_Prac","time_Target_response_noans","time_Target_response_noans_Prac","time_Target_response_wrong","time_Target_response_wrong_Prac","time_Trial_logger","time_Verification_Break","time_Verification_End","time_Verification_Exp","time_Verification_Prac","time_Verification_Start","time_Verification_Trial","time_Verification_Welcome","time_Verification_loop","time_Welcom_SC","time_Welcom_TC","time_Welcom_THAI","time_Welcome_DE","time_Welcome_E","time_Welcome_HUN","time_Welcome_NOR","time_Welcome_PL","time_presetup","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"6143","ENG_LIST4.csv","N","V","ENG_Prac1.csv","Derek held his bat high as the ball approached.","batH.jpg","V","45","45","[5, 10, 14, 18, 23, 26, 30, 35, 37, 42, 45]","3245.7","3245.7","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","0","8","1","8","1","1","0","0","0","8","8","NA","0","NA","NA","NA","NA","0","0","8","0","0","0","0","0","0","0","0","0","8","0","8","0","8","0","8","0","8","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/07/19 12:29:21","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:/PSA2","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","0","2","5","0","C:/PSA2/USA_033_SP_78.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","J","NA","space","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","J","J","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","1282","NA","47127","NA","NA","NA","NA","NA","NA","2158","4024","NA","NA","25692","NA","NA","NA","NA","NA","NA","1282","505","NA","NA","NA","NA","NA","NA","14767","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","78","even","Yes","no","no","NA","12529","4683","179905","149371","NA","27299","NA","NA","NA","NA","NA","NA","4686","10664","NA","12519","NA","NA","NA","NA","NA","NA","12519","NA","NA","74436","154040","104359","149369","104359","104359","74436","180906","180906","150372","150372","NA","180906","NA","NA","NA","NA","NA","184931","152532","NA","154070","NA","NA","NA","NA","NA","NA","185432","153033","185432","153033","186715","153540","NA","116825","NA","103836","187215","NA","NA","179771","74436","154068","179904","12530","179771","NA","NA","NA","NA","12531","NA","NA","NA","179771","Orientation_PSA2018","9","64914","20","yes","1024"
"6143","ENG_LIST4.csv","Y","H","ENG_Prac1.csv","The anxious little boy knocked the salt shaker over onto the table.","saltH.jpg","V","45.4545454545","45.4545454545","[5, 10, 14, 18, 23, 26, 30, 35, 37, 42, 45]","3182.36363636","3182.36363636","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","1","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","NA","0","8","1","8","1","1","0","1","1","8","8","NA","1","NA","NA","NA","NA","0","1","8","0","0","0","0","0","0","0","0","1","8","1","8","1","8","1","8","1","8","1","NA","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","12/07/19 12:29:21","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:/PSA2","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","1","2","5","1","C:/PSA2/USA_033_SP_78.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","J","NA","space","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","J","J","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","970","NA","47127","NA","NA","NA","NA","NA","NA","2158","4128","NA","NA","25692","NA","NA","NA","NA","NA","NA","970","505","NA","NA","NA","NA","NA","NA","14767","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","78","even","Yes","no","no","NA","12529","4683","187384","149371","NA","27299","NA","NA","NA","NA","NA","NA","4686","10664","NA","12519","NA","NA","NA","NA","NA","NA","12519","NA","NA","74436","154040","104359","149369","104359","104359","74436","188385","188386","150372","150372","NA","188386","NA","NA","NA","NA","NA","192515","152532","NA","154070","NA","NA","NA","NA","NA","NA","193016","153033","193016","153033","193988","153540","NA","116825","NA","103836","194488","NA","NA","179771","74436","154068","187383","12530","179771","NA","NA","NA","NA","12531","NA","NA","NA","179771","Orientation_PSA2018","10","70012","22","yes","1024"
"6143","ENG_LIST4.csv","F","F","ENG_Prac1.csv","Ted showed off his new motor cycle to his friends.","spider.jpg","V","45.8333333333","45.8333333333","[5, 10, 14, 18, 23, 26, 30, 35, 37, 42, 45]","3100.625","3100.625","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","2","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","NA","0","8","1","8","1","1","0","2","2","8","8","NA","2","NA","NA","NA","NA","0","2","8","0","0","0","0","0","0","0","0","2","8","2","8","2","8","2","8","2","8","2","NA","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","12/07/19 12:29:21","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:/PSA2","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","2","2","5","2","C:/PSA2/USA_033_SP_78.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","F","NA","space","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","F","J","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","649","NA","47127","NA","NA","NA","NA","NA","NA","2158","3754","NA","NA","25692","NA","NA","NA","NA","NA","NA","649","505","NA","NA","NA","NA","NA","NA","14767","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","78","even","Yes","no","no","NA","12529","4683","194631","149371","NA","27299","NA","NA","NA","NA","NA","NA","4686","10664","NA","12519","NA","NA","NA","NA","NA","NA","12519","NA","NA","74436","154040","104359","149369","104359","104359","74436","195632","195632","150372","150372","NA","195632","NA","NA","NA","NA","NA","199388","152532","NA","154070","NA","NA","NA","NA","NA","NA","199889","153033","199889","153033","200540","153540","NA","116825","NA","103836","201040","NA","NA","179771","74436","154068","194629","12530","179771","NA","NA","NA","NA","12531","NA","NA","NA","179771","Orientation_PSA2018","11","74415","24","yes","1024"
"6143","ENG_LIST4.csv","Y","V","ENG_Prac1.csv","The caterpillar inched along the lamp post.","caterpillarV.jpg","V","46.1538461538","46.1538461538","[5, 10, 14, 18, 23, 26, 30, 35, 37, 42, 45]","3032.80769231","3032.80769231","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","3","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","NA","0","8","1","8","1","1","0","3","3","8","8","NA","3","NA","NA","NA","NA","0","3","8","0","0","0","0","0","0","0","0","3","8","3","8","3","8","3","8","3","8","3","NA","3","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","12/07/19 12:29:21","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:/PSA2","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","3","2","5","3","C:/PSA2/USA_033_SP_78.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","J","NA","space","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","J","J","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","857","NA","47127","NA","NA","NA","NA","NA","NA","2158","3581","NA","NA","25692","NA","NA","NA","NA","NA","NA","857","505","NA","NA","NA","NA","NA","NA","14767","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","78","even","Yes","no","no","NA","12529","4683","201188","149371","NA","27299","NA","NA","NA","NA","NA","NA","4686","10664","NA","12519","NA","NA","NA","NA","NA","NA","12519","NA","NA","74436","154040","104359","149369","104359","104359","74436","202189","202189","150372","150372","NA","202189","NA","NA","NA","NA","NA","205772","152532","NA","154070","NA","NA","NA","NA","NA","NA","206273","153033","206273","153033","207131","153540","NA","116825","NA","103836","207632","NA","NA","179771","74436","154068","201187","12530","179771","NA","NA","NA","NA","12531","NA","NA","NA","179771","Orientation_PSA2018","12","78853","26","yes","1024"
"6143","ENG_LIST4.csv","F","F","ENG_Prac1.csv","A turtle was resting on a log across the pond.","pumpkin.jpg","V","46.4285714286","46.4285714286","[5, 10, 14, 18, 23, 26, 30, 35, 37, 42, 45]","3007","3007","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","4","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","NA","0","8","1","8","1","1","0","4","4","8","8","NA","4","NA","NA","NA","NA","0","4","8","0","0","0","0","0","0","0","0","4","8","4","8","4","8","4","8","4","8","4","NA","4","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","12/07/19 12:29:21","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:/PSA2","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","4","2","5","4","C:/PSA2/USA_033_SP_78.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","F","NA","space","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","F","J","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","600","NA","47127","NA","NA","NA","NA","NA","NA","2158","4743","NA","NA","25692","NA","NA","NA","NA","NA","NA","600","505","NA","NA","NA","NA","NA","NA","14767","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","78","even","Yes","no","no","NA","12529","4683","207777","149371","NA","27299","NA","NA","NA","NA","NA","NA","4686","10664","NA","12519","NA","NA","NA","NA","NA","NA","12519","NA","NA","74436","154040","104359","149369","104359","104359","74436","208778","208778","150372","150372","NA","208779","NA","NA","NA","NA","NA","213524","152532","NA","154070","NA","NA","NA","NA","NA","NA","214025","153033","214025","153033","214627","153540","NA","116825","NA","103836","215127","NA","NA","179771","74436","154068","207775","12530","179771","NA","NA","NA","NA","12531","NA","NA","NA","179771","Orientation_PSA2018","13","84196","28","yes","1024"
"6143","ENG_LIST4.csv","F","F","ENG_Prac1.csv","The todler rode his tricycle around and around.","tapedispenser.jpg","V","46.6666666667","46.6666666667","[5, 10, 14, 18, 23, 26, 30, 35, 37, 42, 45]","2925.63333333","2925.63333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","5","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","NA","0","8","1","8","1","1","0","5","5","8","8","NA","5","NA","NA","NA","NA","0","5","8","0","0","0","0","0","0","0","0","5","8","5","8","5","8","5","8","5","8","5","NA","5","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","12/07/19 12:29:21","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:/PSA2","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","5","2","5","5","C:/PSA2/USA_033_SP_78.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","F","NA","space","NA","NA","NA","NA","NA","NA","space","space","NA","NA","space","NA","NA","NA","NA","NA","NA","F","J","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","1232","NA","47127","NA","NA","NA","NA","NA","NA","2158","2341","NA","NA","25692","NA","NA","NA","NA","NA","NA","1232","505","NA","NA","NA","NA","NA","NA","14767","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","78","even","Yes","no","no","NA","12529","4683","215276","149371","NA","27299","NA","NA","NA","NA","NA","NA","4686","10664","NA","12519","NA","NA","NA","NA","NA","NA","12519","NA","NA","74436","154040","104359","149369","104359","104359","74436","216277","216277","150372","150372","NA","216277","NA","NA","NA","NA","NA","218620","152532","NA","154070","NA","NA","NA","NA","NA","NA","219121","153033","219121","153033","220355","153540","NA","116825","NA","103836","220855","NA","NA","179771","74436","154068","215274","12530","179771","NA","NA","NA","NA","12531","NA","NA","NA","179771","Orientation_PSA2018","14","87769","30","yes","1024"
"6143","ENG_LIST4.csv","F","F","ENG_Prac1.csv","The todler rode his tricycle around and around.","tapedispenser.jpg","M","45.1612903226","45.1612903226","[5, 10, 14, 18, 23, 26, 30, 35, 37, 42, 45]","3011.35483871","3011.35483871","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","0","undefined","1","1","undefined","6","f","0","0","0","5","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","8","1","8","1","1","0","5","5","8","8","0","5","0","0","0","0","0","5","8","0","0","0","0","0","0","0","0","5","8","5","8","5","8","5","8","5","8","6","NA","5","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","12/07/19 12:29:21","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:/PSA2","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","0","2","5","5","C:/PSA2/USA_033_SP_78.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","Ted showed off his new motor cycle to his friends.","0","0","J","NA","space","NA","NA","NA","NA","NA","NA","space","space","J","NA","space","NA","NA","NA","NA","NA","NA","F","J","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","5583","NA","47127","NA","NA","NA","NA","NA","NA","2158","2341","5583","NA","25692","NA","NA","NA","NA","NA","NA","1232","505","NA","NA","NA","NA","NA","NA","14767","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","78","even","Yes","no","no","NA","12529","4683","215276","149371","NA","27299","NA","NA","NA","NA","NA","NA","4686","10664","NA","12519","NA","NA","NA","NA","NA","NA","12519","220869","220954","74436","154040","104359","149369","104359","104359","74436","216277","216277","150372","150372","220954","216277","220955","NA","220955","226540","NA","218620","152532","NA","154070","NA","NA","NA","NA","NA","NA","219121","153033","219121","153033","220355","153540","NA","116825","NA","103836","228040","NA","NA","179771","74436","154068","215274","12530","179771","NA","NA","NA","NA","12531","NA","NA","NA","179771","Orientation_PSA2018","14","93352","31","yes","1024"
"6143","ENG_LIST4.csv","Y","V","ENG_Prac1.csv","The race car driver fastened the fire-extinguisher onto the garage wall.","fire_extinguisherV.jpg","V","45.4545454545","45.4545454545","[5, 10, 14, 18, 23, 26, 30, 35, 37, 42, 45]","2973.6969697","2973.6969697","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","0","undefined","1","1","undefined","6","j","0","0","0","6","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","8","1","8","1","1","0","6","6","8","8","0","6","0","0","0","0","0","6","8","0","0","0","0","0","0","0","0","6","8","6","8","6","8","6","8","6","8","7","NA","6","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","12/07/19 12:29:21","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:/PSA2","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","6","2","5","6","C:/PSA2/USA_033_SP_78.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","Ted showed off his new motor cycle to his friends.","0","0","J","NA","space","NA","NA","NA","NA","NA","NA","space","space","J","NA","space","NA","NA","NA","NA","NA","NA","J","J","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","751","NA","47127","NA","NA","NA","NA","NA","NA","2158","4029","5583","NA","25692","NA","NA","NA","NA","NA","NA","751","505","NA","NA","NA","NA","NA","NA","14767","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","78","even","Yes","no","no","NA","12529","4683","228212","149371","NA","27299","NA","NA","NA","NA","NA","NA","4686","10664","NA","12519","NA","NA","NA","NA","NA","NA","12519","220869","220954","74436","154040","104359","149369","104359","104359","74436","229213","229213","150372","150372","220954","229213","220955","NA","220955","226540","NA","233244","152532","NA","154070","NA","NA","NA","NA","NA","NA","233746","153033","233747","153033","234499","153540","NA","116825","NA","103836","234999","NA","NA","179771","74436","154068","228211","12530","179771","NA","NA","NA","NA","12531","NA","NA","NA","179771","Orientation_PSA2018","15","98132","33","yes","1024"
"6143","ENG_LIST4.csv","N","V","ENG_Prac1.csv","Janie grabbed the broom and swept the house, pretending she was Cinderella.","broomH.jpg","V","45.7142857143","45.7142857143","[5, 10, 14, 18, 23, 26, 30, 35, 37, 42, 45]","2952.17142857","2952.17142857","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","0","undefined","1","1","undefined","6","j","0","0","0","7","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","8","1","8","1","1","0","7","7","8","8","0","7","0","0","0","0","0","7","8","0","0","0","0","0","0","0","0","7","8","7","8","7","8","7","8","7","8","8","NA","7","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","12/07/19 12:29:21","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:/PSA2","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","7","2","5","7","C:/PSA2/USA_033_SP_78.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","Ted showed off his new motor cycle to his friends.","0","0","J","NA","space","NA","NA","NA","NA","NA","NA","space","space","J","NA","space","NA","NA","NA","NA","NA","NA","J","J","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","490","NA","47127","NA","NA","NA","NA","NA","NA","2158","4704","5583","NA","25692","NA","NA","NA","NA","NA","NA","490","505","NA","NA","NA","NA","NA","NA","14767","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","78","even","Yes","no","no","NA","12529","4683","235160","149371","NA","27299","NA","NA","NA","NA","NA","NA","4686","10664","NA","12519","NA","NA","NA","NA","NA","NA","12519","220869","220954","74436","154040","104359","149369","104359","104359","74436","236161","236161","150372","150372","220954","236161","220955","NA","220955","226540","NA","240867","152532","NA","154070","NA","NA","NA","NA","NA","NA","241368","153033","241368","153033","241860","153540","NA","116825","NA","103836","242360","NA","NA","179771","74436","154068","235159","12530","179771","NA","NA","NA","NA","12531","NA","NA","NA","179771","Orientation_PSA2018","16","103326","35","yes","1024"
"6143","ENG_LIST4.csv","Y","V","ENG_Prac1.csv","The hunter shone the flashlight onto the floor of the cavern.","flashV.jpg","V","45.9459459459","45.9459459459","[5, 10, 14, 18, 23, 26, 30, 35, 37, 42, 45]","2941.64864865","2941.64864865","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","0","undefined","1","1","undefined","6","j","0","0","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","8","1","8","1","1","0","8","8","8","8","0","8","0","0","0","0","0","8","8","0","0","0","0","0","0","0","0","8","8","8","8","8","8","8","8","8","8","9","NA","8","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","12/07/19 12:29:21","no","Matching Tasks","yes","","yes","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:/PSA2","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","yes","768","no","legacy","8","2","5","8","C:/PSA2/USA_033_SP_78.csv","legacy","no","Kafkaesque Koffka","3.2.8","no","Ted showed off his new motor cycle to his friends.","0","0","J","NA","space","NA","NA","NA","NA","NA","NA","space","space","J","NA","space","NA","NA","NA","NA","NA","NA","J","J","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","594","NA","47127","NA","NA","NA","NA","NA","NA","2158","4921","5583","NA","25692","NA","NA","NA","NA","NA","NA","594","505","NA","NA","NA","NA","NA","NA","14767","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","78","even","Yes","no","no","NA","12529","4683","242511","149371","NA","27299","NA","NA","NA","NA","NA","NA","4686","10664","NA","12519","NA","NA","NA","NA","NA","NA","12519","220869","220954","74436","154040","104359","149369","104359","104359","74436","243513","243513","150372","150372","220954","243513","220955","NA","220955","226540","NA","248436","152532","NA","154070","NA","NA","NA","NA","NA","NA","248937","153033","248937","153033","249532","153540","NA","116825","NA","103836","250032","NA","NA","179771","74436","154068","242510","12530","179771","NA","NA","NA","NA","12531","NA","NA","NA","179771","Orientation_PSA2018","17","108841","37","yes","1024"
